municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-06-01,10,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-06-01,16,16
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,10,10
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,3,3
PUERTO QUIJARRO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,27,27
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,21,21
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,591,591
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SACABAMBA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,5,5
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-06-01,18,18
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,17,17
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,3,3
SUCRE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,3,3
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,30,30
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
ASCENCION DE GUARAYOS,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,3,3
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
CAMARGO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,3,3
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,8,8
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-07-01,10,10
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,180,180
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
INCAHUASI,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,9,9
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,6,6
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-07-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-07-01,3,3
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,3,3
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,6,6
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,4,4
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,26,26
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,23,23
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,832,832
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,5,5
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN JOSE DE CHIQUITOS,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-07-01,17,17
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SAN RAMON,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,28,28
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,11,11
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-07-01,2,2
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-07-01,39,39
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
APOLO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,6,6
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,11,11
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,10,10
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,30,30
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,4,4
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,15,15
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,4,4
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,489,489
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,8,8
IXIAMAS,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,13,13
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,37,37
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,13,13
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,23,23
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,6,6
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,8,8
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,6,6
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,4,4
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,47,47
PUERTO SILES,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,498,498
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,2,2
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,4,4
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,8,8
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,23,23
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,4,4
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,40,40
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,3,3
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,3,3
TOTORA(CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
UNCIA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,3,3
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,14,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-08-01,5,5
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-08-01,41,41
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,11,11
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,21,21
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,444,444
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,25,25
MINEROS,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,4,4
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
POJO (CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,4,4
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,21,21
PRESTO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,6,6
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,40,40
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,17,17
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,526,526
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,4,4
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,20,20
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,6,6
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,16,16
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
TACACOMA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,6,6
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,3,3
TIRAQUE (CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,2,2
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,10,10
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-09-01,6,6
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-09-01,23,23
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,37,37
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,14,14
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,14,14
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,3,3
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,7,7
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,6,6
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,5,5
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,518,518
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,8,8
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,8,8
IXIAMAS,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,76,76
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,5,5
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,8,8
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,29,29
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,17,17
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
PAILON,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
POJO (CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,3,3
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,3,3
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,26,26
PRESTO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,4,4
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,4,4
PUERTO SILES,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,15,15
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,606,606
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,4,4
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,22,22
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,25,25
TACACOMA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
TIRAQUE (CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,9,9
TOTORA(CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,1,1
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-10-01,7,7
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-10-01,24,24
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
APOLO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,5,5
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,9,9
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,7,7
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,45,45
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,8,8
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
COLOMI,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,4,4
CONCEPCION,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,20,20
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,5,5
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,667,667
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,15,15
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,17,17
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,12,12
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,6,6
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,7,7
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,4,4
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,5,5
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,8,8
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,33,33
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
PUERTO QUIJARRO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,12,12
PUNATA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,14,14
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,582,582
SAN BUENA VENTURA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,4,4
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,12,12
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,6,6
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,4,4
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,14,14
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,2,2
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
TOTORA(CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,1,1
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-11-01,3,3
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-11-01,38,38
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,3,3
APOLO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,9,9
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,12,12
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,72,72
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,5,5
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,4,4
COLOMI,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,7,7
EL PUENTE(TJA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,32,32
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,3,3
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,6,6
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,493,493
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,7,7
LA ASUNTA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,5,5
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,6,6
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,6,6
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,10,10
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,12,12
POJO (CBBA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,9,9
PORTACHUELO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,26,26
PRESTO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
PUERTO QUIJARRO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,11,11
