municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
EL CHORO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,60,60
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,153,153
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,713,713
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,341,341
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,106,106
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
GUAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,837,837
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,152,152
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,456,456
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,84,84
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,924,924
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
HUATAJATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,30,30
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,387,387
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,277,277
INQUISIVI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,153,153
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,434,434
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,775,775
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,18052,18052
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,147,147
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,372,372
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,775,775
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
MOJINETE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,264,264
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,806,806
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1619,1619
MORO MORO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,308,308
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,248,248
OKINAWA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,4094,4094
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,372,372
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,261,261
PALCA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,310,310
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,270,270
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,465,465
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,279,279
POOPO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,744,744
PORONGO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,215,215
PORTACHUELO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,372,372
PORVENIR,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,185,185
POSTRER VALLE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,30,30
POTOSI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,2201,2201
PRESTO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,271,271
PUCARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
PUERTO CARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,26,26
PUERTO PEREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,96,96
PUERTO RICO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,80,80
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1178,1178
PUNA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,184,184
PUNATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,651,651
QUILLACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1149,1149
QUIME,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,83,83
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
RAVELO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
REYES,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
RIBERALTA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1085,1085
ROBORE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,279,279
RURRENABAQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,248,248
SABAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
SACABA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1426,1426
SACACA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SAIPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,98,98
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
SAMAIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,81,81
SAN BENITO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
SAN BORJA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,496,496
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
SAN CARLOS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
SAN IGNACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,654,654
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1333,1333
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,310,310
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,899,899
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,100,100
SAN JULIAN,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,956,956
SAN LUCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,763,763
SAN MATIAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,310,310
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
SAN RAFAEL,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SANTA ANA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,15210,15210
SANTA ROSA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,403,403
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,123,123
SAPAHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
SENA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,85,85
SHINAOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,402,402
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,112,112
SICAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
SIPE SIPE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,951,951
SOPACHUY,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,454,454
SORACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
SORATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
SUCRE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,4027,4027
TACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
TACOPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
TAPACARI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,431,431
TARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,589,589
TARACO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
TARATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,114,114
TARIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1470,1470
TARVITA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,775,775
TEOPONTE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,217,217
TIAWANACU,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
TIPUANI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
TIQUIPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,680,680
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,496,496
TOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
TODOS SANTOS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,31,31
TOLATA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,651,651
TORO TORO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,310,310
TOTORA(ORR),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
TRINIDAD,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1537,1537
TUPIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,527,527
UNCIA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,155,155
URUBICHA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
UYUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,496,496
VACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,248,248
VALLEGRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
VIACHA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,465,465
VILA VILA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,124,124
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,375,375
VILLA MONTES,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,372,372
VILLA RIVERO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,186,186
VILLA SERRANO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,403,403
VILLA TUNARI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,1081,1081
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,278,278
VILLAZON,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,434,434
VINTO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,341,341
VITICHI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,62,62
WARNES,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,372,372
YACO,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,118,118
YACUIBA,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,857,857
YAMPARAEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,359,359
YANACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,93,93
YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,437,437
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-03-01,279,279
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,300,300
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,31,31
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,600,600
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
ANCORAIMES,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,28,28
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,180,180
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,240,240
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,240,240
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,450,450
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,82,82
AUCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
AYO AYO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,1055,1055
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,374,374
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,180,180
BOLIVAR,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
CAIROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,196,196
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,150,150
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,270,270
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,617,617
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,270,270
CAQUIAVIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,330,330
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,168,168
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
CHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,150,150
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,241,241
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,50,50
CKOCHAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,330,330
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,1345,1345
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,205,205
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,9682,9682
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,408,408
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
COLLANA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,360,360
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
COMANCHE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,180,180
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,179,179
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,301,301
CORQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,734,734
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,266,266
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,240,240
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
DESAGUADERO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,6679,6679
EL CHORO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,58,58
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,152,152
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,690,690
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,176,176
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,180,180
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,270,270
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,91,91
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,115,115
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
GUAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,31,31
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,810,810
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,409,409
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,74,74
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,920,920
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,91,91
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,286,286
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
INQUISIVI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,150,150
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,450,450
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,690,690
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,15453,15453
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,150,150
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,174,174
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,360,360
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
LURIBAY,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,86,86
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,150,150
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,120,120
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,180,180
MECAPACA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,93,93
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,691,691
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
MOJINETE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,28,28
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,240,240
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,750,750
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,1833,1833
MORO MORO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,30,30
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,330,330
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,58,58
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,240,240
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,210,210
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,4507,4507
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,330,330
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,327,327
PALCA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,62,62
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,360,360
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,220,220
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,60,60
PELECHUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,90,90
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,480,480
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-04-01,300,300
