municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,50,50
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1,1
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,14,14
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,3,3
PASORAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,3,3
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,43,43
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,9,9
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,8,8
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,12,12
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,19,19
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1,1
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,33,33
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1,1
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,130,130
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1,1
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1347,1347
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,8,8
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,19,19
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,4,4
PUERTO PEREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,119,119
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,10,10
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,265,265
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,18,18
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,271,271
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,582,582
QUIME,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,10,10
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,54,54
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,590,590
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,63,63
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,243,243
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,461,461
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,3,3
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,33,33
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,26,26
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,4,4
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,29,29
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,3,3
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,12,12
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,9,9
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,331,331
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,20,20
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,20,20
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,161,161
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,426,426
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,103,103
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,25,25
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,183,183
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,210,210
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,80,80
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,50,50
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,27,27
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,5,5
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,13,13
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,12,12
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,31,31
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,12,12
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,125,125
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,49256,49256
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,33,33
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,23,23
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,13,13
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,4,4
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,8,8
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,180,180
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,42,42
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,58,58
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,19,19
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,7,7
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,11,11
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1935,1935
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,10,10
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,50,50
TARACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,4,4
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,10,10
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1663,1663
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,53,53
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,27,27
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,36,36
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,413,413
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,18,18
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,8,8
TODOS SANTOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,2,2
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,6,6
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,13,13
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,12,12
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,56,56
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,6,6
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,1228,1228
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,306,306
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,49,49
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,20,20
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,217,217
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,14,14
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,524,524
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,141,141
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,41,41
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,353,353
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,10,10
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,42,42
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,482,482
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,17,17
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,193,193
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,227,227
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,4,4
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,72,72
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,508,508
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,18,18
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,9,9
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,153,153
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,23,23
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,99,99
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,10,10
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,101,101
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
ANCORAIMES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,9,9
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,200,200
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,11,11
AUCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,37,37
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,48,48
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,29,29
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,41,41
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,90,90
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,11,11
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,16,16
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,18,18
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,16,16
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,30,30
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,21,21
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,46,46
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,423,423
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,31,31
CAQUIAVIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,44,44
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,180,180
CARIPUYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,83,83
CHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,37,37
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,43,43
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,66,66
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,10,10
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,115,115
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,792,792
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,38,38
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,7106,7106
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,59,59
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,33,33
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,14,14
COMANCHE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,106,106
COMBAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,120,120
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
CORO CORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,95,95
CORQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,201,201
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,58,58
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,68,68
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
DESAGUADERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3514,3514
EL CHORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,11,11
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,430,430
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,18,18
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,32,32
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,47,47
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,19,19
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
FILADELFIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,21,21
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,24,24
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,376,376
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,18,18
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,18,18
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,16,16
HUACHACALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,282,282
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,45,45
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,37,37
INQUISIVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,19,19
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,11,11
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,57,57
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,111,111
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6075,6075
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,247,247
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
LURIBAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,74,74
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,31,31
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,28,28
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,50,50
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
MOJINETE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,30,30
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,184,184
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,911,911
MORO MORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,24,24
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2859,2859
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,99,99
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,63,63
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,42,42
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
PASORAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,14,14
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,35,35
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
PELECHUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,13,13
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,25,25
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,23,23
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,177,177
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1264,1264
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,14,14
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,13,13
PUERTO ACOSTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,9,9
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,45,45
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,93,93
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,251,251
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,276,276
QUIABAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,526,526
QUIME,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,13,13
RAVELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,61,61
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,620,620
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,77,77
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,233,233
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,493,493
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,40,40
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,28,28
SAN ANDRES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,304,304
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,108,108
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,479,479
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,64,64
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,54,54
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,239,239
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,24,24
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,164,164
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,136,136
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,60,60
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,46,46
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,11,11
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,22,22
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,186,186
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6930,6930
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,26,26
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,22,22
SANTIAGO DE CALLAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,26,26
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
