,group,variable,month,L 16.2 REUMÁTICAS CANTIDAD,L 16.2 REUMÁTICAS CANTIDAD,TOTALES
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-03-01,6,13,19
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-03-01,5,7,12
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-03-01,2,11,13
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-03-01,2,1,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-03-01,4,13,17
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,24,30,54
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,2,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,1,6
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,18,27
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,35,49,84
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,2,8
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,4,5
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,19,28
ARQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,3,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,22,20,42
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,1,3
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,17,5,22
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,13,22,35
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,1,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,28,32,60
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,18,27
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,4,6
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,2,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,6,9
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,3,6
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,20,27
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,32,49,81
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,19,15,34
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,3,6
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,6,6
CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,3,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,6,11
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,2,4
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,3,6
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,6,13
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,15,21
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,2,8
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,14,14,28
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,8,15
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,64,104,168
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,4,10
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,2,4
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,16,25
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,5,8
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,8,11
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,4,5
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,5,9
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,8,11
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,10,19,29
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,27,53,80
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,4,7
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,6,6
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,13,10,23
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,83,189,272
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,71,26,97
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,1,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,9,12
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,7,16
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,10,14
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,11,13,24
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,3,5
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,9,14
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,11,7,18
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,5,10
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,12,10,22
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,21,27
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,3,5
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,9,13
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,9,20,29
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,2,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,91,235,326
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,12,17
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,4,7
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,15,25,40
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,11,15
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,7,7
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,17,25,42
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,20,24
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,8,10
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,72,96,168
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,6,9
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,25,25,50
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,37,48,85
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,4,10
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,9,16
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,4,6
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,8,16
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,125,26,151
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,15,16,31
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,17,26,43
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,30,34,64
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,12,14,26
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,10,4,14
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,2,4
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,6,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,12,29,41
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,10,14
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,7,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,10,6,16
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,16,23,39
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,16,20,36
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,10,15,25
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,10,16
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,5,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,3,8
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,10,17
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,5,11
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,14,17
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,20,33,53
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,14,21,35
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,1,5
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,23,31
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,13,16
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,2,10
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,103,231,334
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,15,12,27
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,14,15,29
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,4,8
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,7,12
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,7,10
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,3,9
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,14,6,20
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,2,5
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,11,15,26
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,5,8
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,14,14,28
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,276,366,642
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,4,6
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,13,17
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,18,44,62
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,7,13
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,6,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,3,5
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,24,30
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,3,7
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,3,4
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,2,2
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,2,4,6
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,7,11
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,5,8
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,8,16
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,11,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,12,19
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,1,1
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,1,8
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,12,20
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,5,10,15
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,18,22
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,8,5,13
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,27,39,66
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,6,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,3,6
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,7,11
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,5,6
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,16,33,49
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,4,10,14
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,15,22
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,22,29,51
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,6,17,23
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,46,48,94
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,7,8,15
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,10,11,21
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,1,1,2
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,0,4,4
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,3,0,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-04-01,13,13,26
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,16,29,45
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,4,7,11
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,4,24,28
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,17,21,38
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,10,3,13
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,5,6
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,2,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,10,12,22
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,7,4,11
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,3,7,10
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,16,10,26
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,3,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,19,24,43
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,18,30,48
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,7,17,24
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,1,3,4
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,4,0,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,4,8,12
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,0,2,2
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,6,11,17
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,2,8,10
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,5,15,20
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,22,31,53
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,27,29,56
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,2,2,4
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-05-01,12,21,33
