,group,variable,month,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
MOJINETE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,21,17,38
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,6,8,14
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,7,7,14
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,2,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,9,5,14
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,1,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,2,4
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,2,4
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,5,1,6
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,3,1,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,173,176,349
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,76,75,151
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,16,13,29
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,10,8,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,1,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,3,4,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,8,9,17
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,0,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,3,1,4
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,7,3,10
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,4,1,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,20,29,49
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,2,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,32,29,61
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,5,7,12
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,65,70,135
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,1,3
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,0,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,12,17,29
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,6,4,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,5,4,9
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,15,5,20
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,5,2,7
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,43,48,91
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,25,26,51
TACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,4,1,5
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,2,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,3,2,5
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,3,4
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,2,4,6
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,2,3
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,13,7,20
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-04-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,2,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,6,5,11
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,6,9
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,2,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,2,1,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,59,56,115
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,2,5
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,22,19,41
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,10,13
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,66,133,199
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,12,10,22
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,2,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,6,2,8
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,2,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,7,8,15
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,2,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
SAN ANTONIO DE LOMERIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,3,4
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,2,0,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,1,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,99,94,193
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,52,50,102
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,46,38,84
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,2,3
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,7,5,12
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,4,5
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,2,5
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,3,1,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,4,10,14
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
