,group,variable,month,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,60,31,91
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,2,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,3,1,4
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,16,5,21
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,21,23,44
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,3,24,27
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,3,2,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,7,3,10
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,23,5,28
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,58,27,85
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,2,0,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-11-01,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,4,3,7
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,2,4,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,14,12,26
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,5,2,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,6,5,11
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,7,8,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,15,6,21
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,39,37,76
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,0,3,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,3,0,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-12-01,2,2,4
