,group,variable,month,L 16.4 CÁNCER OTROS CANTIDAD,L 16.4 CÁNCER OTROS CANTIDAD,TOTALES
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,14,11,25
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,87,74,161
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,2,3
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,9,12,21
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,3,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,6,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,112,171,283
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,46,59,105
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,5,11,16
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,3,6,9
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,0,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,3,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,2,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,234,465,699
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,3,4,7
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,5,17,22
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,172,64,236
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,2,1,3
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,3,5,8
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,4,0,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,6,7
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,10,10
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,163,235,398
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,71,89,160
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,5,21,26
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,16,7,23
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,5,4,9
YOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-08-01,1,0,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,191,425,616
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,1,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,5,10,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,3,3,6
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,177,78,255
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,3,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,3,4,7
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,0,2
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,3,3,6
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,3,2,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,5,7
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,10,11
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,75,118,193
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,44,52,96
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,4,14,18
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,7,6,13
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,2,8,10
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-09-01,3,1,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,1,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,3,2,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,228,456,684
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,3,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,3,14,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,124,65,189
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,9,21,30
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,6,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,2,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,3,6,9
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,5,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,142,170,312
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,32,73,105
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,8,18,26
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,2,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,2,1,3
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-10-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,3,1,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,273,440,713
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,6,4,10
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,2,0,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,113,63,176
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,3,2,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,2,6,8
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,5,4,9
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,9,10
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,118,149,267
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,62,90,152
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,5,8,13
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,3,0,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-11-01,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,2,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,172,391,563
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,7,9,16
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,2,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,105,80,185
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,6,7,13
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,2,0,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,16,17
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,3,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,107,155,262
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,66,77,143
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,5,6,11
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,10,12,22
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,2,0,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,5,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,2,5,7
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-12-01,0,1,1
