,group,variable,month,L 16.5 DIABETES MELLITUS I - II CANTIDAD,L 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,39,35,74
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,2,7
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,3,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,5,10
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,11,19,30
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,155,122,277
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,11,5,16
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,0,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,4,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,3,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,4,5
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,7,8
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,65,167,232
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,38,63,101
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,3,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,4,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,14,17
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,6,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,234,196,430
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,9,11
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,6,9,15
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,4,6
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,6,10
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,28,71,99
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,70,88,158
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,1,4
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,17,32,49
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,37,40,77
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,2,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,8,11
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,1,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,6,8,14
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,13,15,28
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,16,17,33
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,4,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,7,12
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,3,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,1,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,9,9
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,13,17
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,4,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,14,40,54
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,10,6,16
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,1,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,9,10
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,4,8
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,1,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,274,553,827
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,3,5
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,3,5,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,5,6
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,135,234,369
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,5,7
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,4,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,11,12,23
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,7,11
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,4,5
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,3,3
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,15,34,49
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,9,14
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,20,16,36
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,9,13
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,19,25,44
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,14,16
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,4,2,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,5,19,24
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,6,6
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,9,9,18
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,15,8,23
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,2,6,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,33,30,63
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,6,11,17
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-04-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,3,6
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,1,3
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,33,32,65
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,4,4
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,9,6,15
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,5,8
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,10,13,23
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,54,48,102
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,5,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,5,6
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,7,16,23
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,19,27,46
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,161,210,371
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,11,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,4,7
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,3,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,5,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,3,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,63,178,241
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,3,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,16,36,52
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,4,4
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,4,2,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,14,21,35
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,5,7
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,9,7,16
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,234,290,524
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,5,7
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,4,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,2,5
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,5,6,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,34,81,115
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,104,136,240
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,2,4
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,4,5
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,28,45,73
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,31,42,73
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,9,7,16
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,4,1,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,8,11,19
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,1,4
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,4,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,9,14,23
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,5,2,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,29,43,72
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,8,4,12
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,7,13,20
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,3,1,4
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,2,3,5
SAN ANTONIO DE LOMERIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,16,17
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,5,8,13
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,4,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,31,38,69
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,3,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,7,10,17
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,0,5,5
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-05-01,1,4,5
