,group,variable,month,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,16,8,24
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,1,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,4,2,6
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,6,3,9
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,3,4
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,58,40,98
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,0,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,4,7,11
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,1,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,40,8,48
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,7,7,14
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,4,1,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,4,6,10
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,0,3
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,7,6,13
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,8,6,14
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,76,65,141
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,142,150,292
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,14,12,26
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,0,2
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,4,4,8
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,1,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,2,1,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,0,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,3,1,4
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-06-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,8,7,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,4,7
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,94,38,132
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,1,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,5,2,7
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,10,4,14
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,2,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,53,40,93
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,4,3,7
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,21,21
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,2,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,2,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,3,6
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,0,2
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,4,4
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,5,8,13
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,4,7
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,126,100,226
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,186,167,353
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,2,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,18,10,28
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,1,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,1,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,3,0,3
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-07-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,128,128
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,3,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,8,6,14
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,3,1,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,76,53,129
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,1,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,11,9,20
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,3,1,4
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,6,7,13
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,85,27,112
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,4,2,6
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,9,3,12
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,3,0,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,9,5,14
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,5,0,5
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,3,4,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,5,3,8
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,5,8,13
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,114,99,213
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,4,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,144,157,301
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,0,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,3,0,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,2,4
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,4,1,5
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,0,2
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-08-01,2,2,4
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,2,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,5,4,9
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,5,7,12
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,4,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,8,10
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,74,54,128
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,2,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,6,2,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,8,6,14
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,3,4,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,109,28,137
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,4,2,6
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,3,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,0,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,6,2,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,3,4,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,6,4,10
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,5,5,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,2,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,20,21,41
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
SAN PEDRO(PND),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,5,7,12
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,6,9,15
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,3,1,4
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,144,117,261
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,102,70,172
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,4,1,5
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,3,1,4
