,group,variable,month,L 16.1 CARDIOVASCULARES CANTIDAD,L 16.1 CARDIOVASCULARES CANTIDAD,TOTALES
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,20,31,51
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,12,7,19
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,10,14,24
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,7,10,17
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,23,15,38
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,8,10,18
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,6,6,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,40,31,71
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,4,9,13
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,6,4,10
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,2,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,2,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,5,8
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,13,28,41
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,7,0,7
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,29,41,70
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,50,38,88
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,8,9
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,4,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,6,6,12
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,144,131,275
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,0,2
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,3,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,4,6
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,27,24,51
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,19,8,27
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,53,111,164
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,56,43,99
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,3,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,12,9,21
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,4,5,9
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,2,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,4,1,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,335,415,750
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,16,16
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,0,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,5,8
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,14,19,33
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,15,29,44
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,45,47,92
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,4,7
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,5,8
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,6,12,18
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,46,47,93
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,3,3
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,0,3
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,6,11
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,10,4,14
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,1,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,8,5,13
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,1,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,4,9
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,14,10,24
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,9,12,21
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,4,3,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,3,5
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,2,7
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,15,18,33
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,396,424,820
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,2,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,249,367,616
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,22,6,28
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,53,36,89
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,3,8
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,4,1,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,2,5
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,13,27,40
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,20,60,80
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,1,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,17,22
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,24,32,56
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,8,0,8
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,8,17,25
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,4,9
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,9,13,22
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,5,8,13
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,3,2,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,12,11,23
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,1,3
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,0,1,1
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-03-01,2,1,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,3,4
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,6,8,14
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,3,2,5
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,3,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,6,8
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,13,16,29
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,19,34,53
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,31,14,45
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,3,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,6,4,10
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,7,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,66,69,135
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,2,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,8,35,43
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,3,3,6
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,38,49,87
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,46,16,62
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,2,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,2,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,9,5,14
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,5,6,11
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,178,247,425
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,2,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,5,6
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,7,18,25
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,7,17,24
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,35,32,67
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,15,8,23
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,21,24,45
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,1,5
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,3,7
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,3,1,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,10,14
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,9,6,15
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,8,7,15
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,4,5
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,4,2,6
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,10,9,19
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,0,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,5,14,19
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,2,4
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,3,5,8
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,220,276,496
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,2,1,3
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,120,220,340
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,11,10,21
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,12,8,20
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,8,10,18
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,1,2
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-04-01,1,0,1
