,group,variable,month,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,11,10,21
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,268,1287,1555
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,7,10,17
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,6,21,27
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,9,10
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,8,13,21
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,3,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,34,386,420
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,35,36
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,13,14,27
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,6,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,108,109
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,5,6
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,3,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,102,325,427
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,5,2,7
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,5,0,5
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,32,440,472
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,11,11
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,82,165,247
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,2,3,5
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,7,9,16
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,81,257,338
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,39,108,147
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,22,47,69
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,20,29,49
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,2,4,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,4,4,8
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,6,7
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,27,40,67
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,8,10
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,10,4,14
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,3,5
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,6,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,4,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,19,39,58
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,64,535,599
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,35,35
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,5,5
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,11,12
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,48,687,735
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,4,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,3,1,4
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,1,3
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,151,702,853
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,3,5,8
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,6,1,7
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,5,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,16,304,320
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,3,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,6,6
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,3,71,74
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,12,73,85
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,11,12
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,6,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,6,8
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,42,314,356
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,5,2,7
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,8,352,360
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,10,260,270
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,3,8,11
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,3,35,38
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,19,21,40
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,4,10,14
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,64,81,145
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,1,4,5
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,3,5
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,6,8
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,10,9,19
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,6,4,10
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-04-01,2,2,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,60,55,115
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,20,16,36
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,63,47,110
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,8,8
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,5,82,87
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,16,24,40
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,85,637,722
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,12,67,79
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,5,8,13
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,9,12
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,38,726,764
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,0,3
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,4,6
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,212,577,789
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,2,3
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,9,7,16
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,3,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,10,16,26
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,4,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,15,185,200
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,14,14
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,6,136,142
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,3,3
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,4,11,15
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,4,7
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,72,73
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,3,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,13,16
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,91,298,389
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,6,7
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,10,0,10
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,1,2
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,10,278,288
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,7,0,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,72,147,219
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,12,17,29
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,4,216,220
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,8,10
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,4,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,63,80,143
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,1,3,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,3,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,3,2,5
