,group,variable,month,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,4,5
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,70,105,175
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,3,11,14
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,6,6,12
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,3,3
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,4,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,3,6,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,3,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,2,10,12
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,4,3,7
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,3,2,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,78,108,186
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,7,36,43
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,9,14,23
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,4,4
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,2,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,2,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,3,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,3,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,4,5
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,5,1,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,4,1,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,6,7
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,5,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,76,169,245
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,6,8,14
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,7,7,14
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,13,114,127
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,2,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,2,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,103,163,266
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,4,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,3,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,4,12,16
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,6,3,9
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,8,1,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,4,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,4,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,15,16
SAN ANTONIO DE LOMERIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,5,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,11,12
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,2,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,1,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,73,138,211
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,79,106,185
TACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,31,61,92
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,1,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,2,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,3,9,12
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,2,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,1,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,2,8,10
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-05-01,3,4,7
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,1,2
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,4,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,10,10
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,3,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,5,3,8
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,7,7
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,1,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,101,199,300
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,4,9,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,5,5,10
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,45,102,147
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,4,4
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,1,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,3,8,11
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,4,2,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,97,214,311
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,1,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,6,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,0,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,15,47,62
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,3,3,6
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,4,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,9,9
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,2,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,3,10,13
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,81,197,278
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,80,127,207
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,26,67,93
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,1,3
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,7,9
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,6,8
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,2,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,3,6,9
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,4,9,13
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-06-01,0,3,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,4,4,8
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,7,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,3,12,15
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,3,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,6,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,159,225,384
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,2,5,7
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,98,97,195
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,5,6
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,102,231,333
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,2,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,4,0,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,12,28,40
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,3,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,7,12,19
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,1,2
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-07-01,0,4,4
