,group,variable,month,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,TOTALES
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,1,0,5,0,0,2,1,0,0,0,0,0,9
SAN PABLO DE LIPEZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,1,1,0,0,0,0,4
SAN PEDRO DE MACHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,4,0,1,0,0,0,0,0,5
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2
SAN RAFAEL,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,1,1,0,0,0,0,0,0,0,3
SAN RAMON BENI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,2
SAN RAMON SCZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
SANTA ANA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,2,1,0,0,1,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,2,12,49,30,344,54,434,69,142,1,1,0,1138
SANTA ROSA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,4,0,1,0,0,0,6
SANTA ROSA DEL SARA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,0,0,0,0,0,0,0,0,2
SANTIAGO DE HUARI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAPAHAQUI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
SENA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,5,0,0,0,0,0,6
SHINAOTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,6,0,2,0,0,0,0,0,9
SICAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SIPE SIPE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,5,0,15,0,4,0,0,0,0,0,24
SORACACHI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2
SORATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,4,0,6,0,1,0,0,0,0,0,11
SUCRE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,10,0,58,0,10,0,0,0,0,0,78
TACACOMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
TACOPAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,2
TAPACARI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,8,1,1,0,0,0,11
TARABUCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2
TARACO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,1,0,0,0,0,0,3
TARATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
TARIJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,4,0,71,2,35,1,0,0,0,0,113
TARVITA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,1,0,0,0,0,0,0,0,3
TEOPONTE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,1
TIAHUANACU,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2
TINGUIPAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,2,1,4,0,0,0,0,0,8
TIQUIPAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,7,3,0,0,0,0,0,0,12
TIRAQUE (CBBA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,4,0,0,0,0,0,0,0,5
TOCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2
TOLATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,3,0,1,1,0,0,0,0,5
TOLEDO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,0,0,2,0,0,0,0,0,3
TOMAVE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,1,0,0,1,0,0,0,0,0,0,0,2
TOMINA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,2,0,1,0,0,0,0,0,4
TORO TORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,2,1,2,0,0,0,0,0,7
TOTORA(CBBA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,3,0,2,1,0,0,0,0,6
TRINIDAD,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,1,0,12,0,51,0,62,0,11,0,0,0,137
TUPIZA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,3,0,9,0,1,0,0,0,13
UMALA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
UNCIA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,15,0,16,0,0,0,0,0,31
URIONDO (A. CONCEPCION),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
URUBICHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2
UYUNI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,7,0,6,0,6,2,2,0,0,0,23
VACAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,0,0,0,0,0,0,0,0,2
VALLEGRANDE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,2,0,0,0,0,0,1,0,3
VIACHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,3,0,10,1,12,0,0,0,0,0,26
VILA VILA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3
VILLA CHARCAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,0,0,1,0,0,0,0,0,2
VILLA MONTES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,0,14,1,1,0,0,0,0,0,18
VILLA NUEVA (LOMA ALTA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,1
VILLA SERRANO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
VILLA TUNARI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,2,1,18,0,11,2,0,0,0,0,34
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,2
VILLAZON,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,1,9,1,2,0,0,0,0,0,14
VINTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,1,3,1,11,2,1,1,0,0,0,0,20
VITICHI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,5,0,2,0,0,0,0,0,0,0,7
WALDO BALLIVIAN,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
WARNES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,2,0,7,1,39,0,6,0,0,0,0,0,55
YACO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
YACUIBA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,10,1,6,0,0,0,0,0,17
YAPACANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,4,1,21,0,3,0,0,0,29
YOCALLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
YOTALA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
YUNCHARA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ZUDAÑEZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ACHACACHI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,1,2,0,0,0,0,0,4
ACHOCALLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,4,0,0,0,0,0,5
AIQUILE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,3,0,1,0,0,0,0,0,4
ALALAY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ANCORAIMES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,1,1,1,0,0,0,0,5
ANZALDO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
APOLO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,1,0,1,0,0,0,0,0,4
ARAMPAMPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,1,0,0,0,0,2
ARANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,3,0,2,0,0,0,0,0,5
ARBIETO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,9,0,3,0,0,0,0,0,13
ARQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,1,0,2,0,2,0,0,0,0,0,6
ASCENCION DE GUARAYOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3
ATOCHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,2,1,0,0,0,0,5
AUCAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,1,0,0,0,0,0,3
AYATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,1,2,0,1,1,0,0,0,0,6
AYO AYO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,0,0,0,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,6,2,5,0,2,0,0,0,0,0,15
AZURDUY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,1
BATALLAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,0,3,0,0,0,1,0,0,0,7
BERMEJO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,1,0,0,0,0,0,3
BETANZOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,5,0,1,0,0,0,0,0,8
BOLIVAR,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1
BOYUIBE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
BUENA VISTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,2
CABEZAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,14,0,1,0,0,0,17
CAIROMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
"CAIZA ""D""",consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,2,0,1,0,0,0,4
CAJUATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,2,0,2,0,0,0,0,0,5
CALACOTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMARGO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,1,1,0,0,0,0,3
CAMIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,1,6,0,2,0,0,0,0,0,11
CAPINOTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,3,0,2,0,0,0,0,0,7
CAQUIAVIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,1,0,1,1,0,0,0,0,0,3
CARACOLLO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,6,0,1,0,0,0,0,0,7
CARANAVI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,6,3,0,1,0,0,0,0,0,10
CARAPARI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,2,1,0,0,0,0,0,0,5
CARIPUYO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,2,0,0,0,0,0,0,0,3
CARMEN RIVERO TORREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,3,0,0,0,0,0,3
CHACARILLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,6,0,20,0,3,0,0,0,0,0,29
CHAQUI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,1,0,0,0,0,0,0,3
CHARAGUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,4,0,8,0,1,0,0,0,14
CHARAÑA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,2
CHAYANTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,1,5,0,1,0,0,0,0,0,8
CHIMORE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,2,0,11,0,1,0,0,0,0,0,15
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,5,0,1,0,0,0,0,0,6
CHUMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,1,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,2,0,1,0,0,0,0,0,4
CKOCHAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,1,0,0,0,0,0,0,0,0,4
CLIZA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,1,0,0,0,0,2
COBIJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,0,13,0,5,0,0,0,0,0,21
COCAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,1,7,0,3,0,0,0,0,0,13
COCHABAMBA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,3,0,21,0,249,0,224,2,20,0,0,0,519
COIPASA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1
COLCAPIRHUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,10,1,2,0,0,0,0,0,13
"COLCHA ""K""",consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,3,0,0,0,0,0,3
COLOMI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,5,0,14,0,3,1,0,0,0,0,23
COLPA BELGICA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
COLQUECHACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,12,0,2,1,0,0,0,0,16
COLQUENCHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,3,0,1,0,0,0,0,0,4
COLQUIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,4,0,1,1,0,0,0,0,7
COMANCHE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
COMARAPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
COMBAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CONCEPCION,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,8,0,1,0,0,0,0,0,11
CORIPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,0,1,0,0,0,0,0,2
CORO CORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
COROICO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,1,1,0,0,0,0,4
CORQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,0,2,0,0,0,0,0,3
COTAGAITA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,0,3,0,1,0,0,0,0,0,7
COTOCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,6,0,26,0,12,0,0,0,0,0,44
CUATRO CAÑADAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,5,0,2,0,0,0,0,0,9
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
CULPINA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,1,0,0,0,0,2
DESAGUADERO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
EL ALTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,48,9,254,29,76,10,0,0,0,0,426
EL CHORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
EL PUENTE(STC),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,3,1,0,0,0,0,0,0,4
EL TORNO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,2,0,3,0,15,0,4,0,0,0,0,0,24
ENTRE RIOS TRJ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,2,0,2,0,0,0,0,0,0,0,4
ENTRE RIOS CBBA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,5,0,8,1,7,0,0,0,0,0,21
FERNANDEZ ALONSO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,2,0,3,0,1,0,0,0,0,0,7
FILADELFIA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
GAIOC JATUN AYLLU YURA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
GENERAL SAAVEDRA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,0,0,0,0,0,0,2
GIA-TIM,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,3,1,2,0,0,0,0,0,0,0,7
GUANAY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,6,0,0,0,0,0,8
GUAQUI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAYARAMERIN,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,2,0,9,0,6,0,0,1,0,0,19
GUTIERREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3
HUACARAJE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
HUACARETA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1
HUACHACALLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,1
HUANUNI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,4,0,2,0,0,0,0,0,6
HUAYLLAMARCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ICHOCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ICLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
INCAHUASI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,2,0,0,0,0,0,0,2
INGAVI (HUMAITA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
INQUISIVI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,0,3,0,1,0,0,0,0,0,7
IXIAMAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,8,0,2,0,0,0,0,0,11
JESUS DE MACHACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
LA ASUNTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,9,2,7,0,0,0,0,0,18
LA GUARDIA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,7,0,36,0,4,0,0,0,0,0,47
LA PAZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,10,0,139,1,65,0,0,0,0,0,216
LAJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,2,0,4,0,0,0,0,0,6
LAS CARRERAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
LICOMA PAMPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
LLALLAGUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,4,0,16,0,4,0,0,0,0,0,24
LLICA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
LURIBAY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MACHACAMARCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,1,0,0,0,0,0,2
MACHARETI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MAGDALENA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,3,0,3,0,3,0,0,0,0,0,9
MAIRANA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,1,0,7,3,0,0,0,0,0,0,12
MALLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MECAPACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
MINEROS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,5,0,1,0,0,0,0,0,6
MIZQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,1,0,4,0,6,0,0,0,0,0,0,0,11
MOCOMOCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MONTEAGUDO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-03-01,0,0,1,0,4,0,2,0,0,0,0,0,7
