,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL < A 10,MUJERES CON 4TA CONSULTA PRENATAL < A 10,TOTALES
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3
UYUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,3,0,26,0,4,0,0,0,0,0,33
VACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,4,0,2,0,0,0,0,0,6
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,3,0,14,0,1,0,0,0,0,0,18
VIACHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,4,0,32,0,4,0,0,0,0,0,40
VILA VILA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,1
VILLA CHARCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,1,0,3,0,8,1,1,0,0,0,0,0,14
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,1,0,10,0,32,1,6,0,0,0,0,0,50
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,1,0,3,0,0,0,0,0,0,0,4
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,1,1,1,1,1,0,0,0,0,5
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,14,0,72,1,23,1,0,0,0,0,111
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,2,0,5,0,2,0,0,0,0,0,9
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,2,0,25,0,7,0,1,0,0,0,35
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,9,0,28,6,2,1,0,0,0,0,46
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,2,0,1,0,0,0,0,0,3
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,3,0,0,0,0,0,0,0,3
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,2,0,24,1,92,1,22,0,0,0,0,0,142
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,1,0,2,0,0,0,0,0,0,0,3
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,1,0,12,0,67,0,16,1,0,0,0,0,97
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,1,3,0,74,18,2,4,0,0,102
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,0,2
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,3,0,5,0,1,0,0,0,0,0,9
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,2,2,1,0,0,0,0,0,5
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-03-01,0,0,0,0,2,1,1,0,0,0,0,0,4
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,1,0,0,0,0,0,0,0,3
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,2,0,7,0,21,2,2,1,0,0,0,0,35
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,20,0,4,0,0,0,0,0,25
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,7,0,1,0,0,0,0,0,9
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,6,0,1,0,0,0,0,0,7
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,0,0,0,0,0,0,0,3
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,0,0,1,0,0,0,0,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,1,1,0,0,0,0,0,3
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,11,1,4,0,0,0,0,0,17
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,13,0,2,0,0,0,0,0,17
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,13,0,0,0,0,0,0,0,13
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,4,0,4,1,1,0,0,0,0,0,11
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,11,0,19,0,3,0,0,0,0,0,34
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,2,0,8,0,8,1,1,0,0,0,21
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,3,0,0,0,0,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,5,0,0,0,0,0,0,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,8,0,5,0,1,1,0,0,18
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,1,2,2,2,3,0,1,0,0,0,0,11
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,12,0,0,0,0,0,0,0,16
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,3,1,0,0,0,0,0,0,6
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,22,0,8,0,0,0,0,0,34
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,1,4,1,19,1,3,1,0,0,0,0,30
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,3,0,0,1,0,0,0,0,5
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,0,1,0,0,0,0,0,0,2
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,0,1,0,0,0,0,0,4
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,13,0,2,0,0,0,0,0,19
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,5,0,1,0,0,0,0,0,7
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,6,0,0,0,0,0,0,0,8
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,11,0,1,0,0,0,0,0,14
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,2,0,0,0,0,3
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,12,0,0,0,0,0,0,0,13
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,1,13,1,3,0,0,0,0,0,18
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,0,1,0,0,0,0,3
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,5,0,20,0,4,0,0,0,0,0,29
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,13,0,3,0,0,0,0,0,18
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,5,0,12,0,8,0,0,0,0,0,25
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,5,0,39,0,9,0,0,0,0,0,53
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,8,1,1,0,0,0,0,0,12
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,1,1,0,0,0,0,5
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,2,0,0,0,0,0,4
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,1,1,0,0,0,0,0,0,0,2
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,3,1,30,1,6,0,0,0,0,0,42
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,9,0,3,0,0,0,0,0,14
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,7,0,15,1,6,0,0,0,0,0,29
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,1,0,0,0,0,0,0,2
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,1,4,1,1,0,0,0,0,0,9
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,7,0,11,2,4,0,0,0,0,0,24
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,10,0,3,0,0,0,0,0,13
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,2,0,1,0,0,0,0,5
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,2,0,2,1,1,0,0,0,0,0,7
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,5,3,3,1,0,0,0,0,15
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,11,0,2,0,0,0,0,0,15
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,8,0,52,0,14,0,0,0,0,0,74
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,10,3,1,1,0,0,0,0,18
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,38,0,355,0,140,0,3,0,0,0,536
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,27,1,8,0,0,0,0,0,40
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,1,7,1,0,0,0,0,0,0,9
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,6,1,14,0,4,1,0,0,0,0,26
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,0,0,0,0,0,0,3
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,12,1,3,0,0,0,0,0,19
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,2,1,0,0,0,0,0,5
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,10,0,4,0,0,0,0,0,16
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,10,0,32,0,6,0,0,0,0,0,49
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,7,0,1,0,0,0,0,0,10
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,6,0,3,0,0,0,0,0,10
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,1,2,0,0,0,0,0,6
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,7,0,0,0,0,0,0,0,9
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,5,0,7,0,4,0,0,0,0,0,17
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,18,0,92,0,7,0,0,0,0,0,117
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,9,0,2,0,0,0,0,0,14
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,4,1,0,0,1,0,0,0,8
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,1,9,4,3,1,0,0,0,0,21
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,1,0,0,0,0,0,0,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,7,0,4,0,0,0,0,0,12
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,2,0,78,17,500,123,125,36,0,0,0,0,881
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,5,0,1,0,0,0,0,0,9
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,1,4,0,2,1,0,0,0,0,9
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,13,0,28,0,6,0,0,0,0,0,48
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,1,2,2,0,0,0,0,0,0,6
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,8,0,5,0,0,0,0,0,16
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,7,0,32,0,6,0,0,0,0,0,45
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,2
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,0,0,0,0,0,0,3
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,4,0,8,0,0,0,0,0,0,0,13
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,1,0,1,0,0,0,0,0,3
GAIOC JATUN AYLLU YURA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,0,0,0,0,0,0,3
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,5,0,12,0,3,0,0,0,0,0,20
GIA-TIM,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,0,2,0,0,0,0,0,5
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,5,0,14,0,2,0,0,0,0,0,21
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,4,0,0,0,0,0,0,0,7
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,5,0,30,0,9,0,1,0,0,0,46
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,8,1,1,0,0,0,0,0,12
HUACARAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,1,1,0,0,0,0,0,4
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,3,0,1,0,0,0,0,0,7
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,11,0,0,0,0,0,0,0,14
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,3,1,1,0,0,0,0,0,6
HUATAJATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,1,0,0,0,0,0,0,0,3
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,2,0,0,0,0,0,0,3
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,1,5,0,0,0,0,0,0,0,10
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,1,7,1,0,1,0,0,0,0,11
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,0,0,1,0,0,0,0,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,0,3
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,7,0,0,0,0,0,0,0,8
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,1,0,2,0,1,0,0,0,0,0,5
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,6,0,2,0,0,0,0,0,9
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,37,0,9,0,0,0,0,0,48
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,10,0,67,0,8,0,0,0,0,0,85
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,50,0,453,6,179,0,0,0,0,0,688
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,2,6,0,0,0,0,0,11
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,12,0,7,0,0,0,0,0,20
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,1
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,0,0,0,0,0,0,0,3
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,15,0,32,0,4,0,0,0,0,0,51
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,4,0,0,0,0,0,0,0,5
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,5,0,0,0,0,0,0,0,6
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,3,1,0,0,0,0,0,0,6
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,1,11,1,1,0,0,0,0,0,18
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,9,0,3,0,0,0,0,0,16
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,8,0,0,0,0,0,0,0,10
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,7,0,3,2,0,0,0,0,14
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,17,0,6,0,0,0,0,0,25
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,6,0,1,0,0,0,0,0,9
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,3,2,0,0,0,0,0,0,5
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,1,0,2,0,0,0,0,0,0,0,4
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,16,0,5,2,0,0,0,0,23
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,23,9,97,0,45,0,1,0,0,0,176
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,1,1,1,0,0,0,0,0,5
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,1,0,0,0,0,0,2
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,1,0,0,0,0,0,2
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,6,0,3,1,0,0,0,0,12
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,5,0,0,0,0,0,0,0,8
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,2,0,43,0,306,12,72,4,0,0,0,0,439
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,1,12,0,2,0,0,0,0,0,18
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,4,1,0,1,0,0,0,0,8
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,1,0,4,0,19,0,2,0,0,0,0,0,26
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,17,1,0,0,0,0,0,0,18
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,2,0,2,0,24,1,5,0,0,0,0,0,34
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,2
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,0,0,0,0,0,0,3
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,2
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,21,0,6,0,0,0,0,0,31
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,3,0,1,0,0,0,0,0,5
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,5,0,1,0,0,0,0,0,6
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,4,0,12,6,2,1,0,0,0,0,25
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,6,0,2,0,0,0,0,0,8
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,2,0,2,0,0,0,0,0,5
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,4,0,0,0,0,0,0,0,5
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,5,3,0,0,0,0,0,0,8
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,3,2,2,5,0,0,0,0,0,15
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,2,0,0,0,0,0,0,0,5
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,4,0,0,0,0,0,0,0,4
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,4,0,0,0,0,0,0,0,4
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,34,0,243,3,45,5,1,0,0,0,331
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,0,3,1,1,0,0,0,0,0,0,5
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,3,0,13,0,4,0,0,0,0,0,20
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,3,0,2,0,0,0,0,0,6
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,5,0,0,1,0,0,0,0,8
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,2,0,3,0,0,0,0,0,0,0,5
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-04-01,0,0,1,0,1,1,0,0,0,0,0,0,3
