,group,variable,month,REPETIDAS 10 A 14,REPETIDAS 10 A 14,REPETIDAS 15 A 19,REPETIDAS 15 A 19,REPETIDAS 20 A 34,REPETIDAS 20 A 34,REPETIDAS 35 A 49,REPETIDAS 35 A 49,REPETIDAS 50 Y +,REPETIDAS 50 Y +,REPETIDAS < A 10,REPETIDAS < A 10,TOTALES
PALCA,consultas prenatales,repetidas,2024-03-01,0,0,1,0,18,1,28,4,0,0,0,0,52
PALOS BLANCOS,consultas prenatales,repetidas,2024-03-01,1,0,14,0,61,2,31,0,0,0,0,0,109
PAMPA AULLAGAS,consultas prenatales,repetidas,2024-03-01,0,0,1,0,4,0,1,0,0,0,0,0,6
PAMPA GRANDE,consultas prenatales,repetidas,2024-03-01,0,0,12,0,24,0,5,0,0,0,0,0,41
PAPEL PAMPA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,10,3,2,0,0,0,0,0,17
PASORAPA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,3,0,0,0,0,0,0,0,5
PATACAMAYA,consultas prenatales,repetidas,2024-03-01,0,0,28,0,110,0,19,0,0,0,0,0,157
PAZÑA,consultas prenatales,repetidas,2024-03-01,0,0,1,0,9,2,6,0,0,0,0,0,18
PELECHUCO,consultas prenatales,repetidas,2024-03-01,0,0,6,0,22,1,6,0,0,0,0,0,35
POCOATA,consultas prenatales,repetidas,2024-03-01,0,0,21,5,49,16,3,2,0,0,0,0,96
POCONA,consultas prenatales,repetidas,2024-03-01,0,0,0,5,7,10,19,7,0,0,0,0,48
POJO (CBBA),consultas prenatales,repetidas,2024-03-01,0,0,3,4,25,2,6,2,0,0,0,0,42
POOPO,consultas prenatales,repetidas,2024-03-01,0,0,2,2,25,0,4,0,0,0,0,0,33
PORCO,consultas prenatales,repetidas,2024-03-01,0,0,18,0,66,5,3,3,0,1,0,0,96
POROMA,consultas prenatales,repetidas,2024-03-01,0,0,15,4,16,5,12,2,0,0,0,0,54
PORONGO,consultas prenatales,repetidas,2024-03-01,0,0,5,0,15,0,22,1,1,0,0,0,44
PORTACHUELO,consultas prenatales,repetidas,2024-03-01,0,0,7,0,34,0,3,0,0,0,0,0,44
PORVENIR,consultas prenatales,repetidas,2024-03-01,0,0,3,0,18,0,4,0,0,0,0,0,25
POSTRER VALLE,consultas prenatales,repetidas,2024-03-01,0,0,0,0,3,4,0,0,0,0,0,0,7
POTOSI,consultas prenatales,repetidas,2024-03-01,3,0,178,2,1159,31,286,3,29,0,0,0,1691
PRESTO,consultas prenatales,repetidas,2024-03-01,0,0,5,2,7,2,5,4,0,0,0,0,25
PUCARA,consultas prenatales,repetidas,2024-03-01,0,0,0,0,1,1,1,0,0,0,0,0,3
PUCARANI,consultas prenatales,repetidas,2024-03-01,1,0,17,0,90,3,17,0,2,0,0,0,130
PUERTO ACOSTA,consultas prenatales,repetidas,2024-03-01,0,0,4,1,15,4,5,1,0,0,0,0,30
PUERTO CARABUCO,consultas prenatales,repetidas,2024-03-01,0,0,3,1,20,2,5,1,0,0,0,0,32
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2024-03-01,1,0,5,1,26,0,4,0,0,0,0,0,37
PUERTO PEREZ,consultas prenatales,repetidas,2024-03-01,0,0,3,0,14,0,3,1,0,0,0,0,21
PUERTO QUIJARRO,consultas prenatales,repetidas,2024-03-01,0,0,3,0,8,0,15,0,2,0,0,0,28
PUERTO RICO,consultas prenatales,repetidas,2024-03-01,1,0,14,0,21,0,0,0,0,0,0,0,36
PUERTO SILES,consultas prenatales,repetidas,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO SUAREZ,consultas prenatales,repetidas,2024-03-01,1,0,11,0,50,0,9,0,0,0,0,0,71
PUERTO VILLARROEL,consultas prenatales,repetidas,2024-03-01,7,0,103,0,392,1,65,0,0,0,0,0,568
PUNA,consultas prenatales,repetidas,2024-03-01,0,0,12,0,25,5,5,2,0,0,0,0,49
PUNATA,consultas prenatales,repetidas,2024-03-01,1,0,27,1,159,26,34,2,0,0,0,0,250
QUIABAYA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,7,0,1,0,0,0,0,0,10
QUILLACOLLO,consultas prenatales,repetidas,2024-03-01,4,0,66,10,410,75,95,9,0,0,0,0,669
QUIME,consultas prenatales,repetidas,2024-03-01,0,0,3,0,21,1,2,0,0,0,0,0,27
QUIRUSILLAS,consultas prenatales,repetidas,2024-03-01,0,0,0,0,5,0,0,0,0,0,0,0,5
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2024-03-01,0,0,4,0,3,0,2,0,0,0,0,0,9
RAVELO,consultas prenatales,repetidas,2024-03-01,2,0,8,1,16,5,4,1,0,0,0,0,37
REYES,consultas prenatales,repetidas,2024-03-01,0,0,0,2,6,0,32,1,5,0,0,0,46
RIBERALTA,consultas prenatales,repetidas,2024-03-01,16,0,168,0,393,1,164,0,0,0,0,0,742
ROBORE,consultas prenatales,repetidas,2024-03-01,2,0,7,0,40,0,11,0,0,0,0,0,60
RURRENABAQUE,consultas prenatales,repetidas,2024-03-01,0,0,20,0,63,1,32,0,9,0,0,0,125
SABAYA,consultas prenatales,repetidas,2024-03-01,0,0,1,1,12,3,1,0,0,0,0,0,18
SACABA,consultas prenatales,repetidas,2024-03-01,13,3,175,11,571,47,179,15,16,0,0,0,1030
SACABAMBA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,5,1,2,0,0,0,0,0,10
SACACA,consultas prenatales,repetidas,2024-03-01,0,0,9,3,29,3,9,2,0,0,0,0,55
SAIPINA,consultas prenatales,repetidas,2024-03-01,0,1,3,1,22,0,1,0,0,0,0,0,28
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2024-03-01,0,0,1,0,16,2,2,0,0,0,0,0,21
SAMAIPATA,consultas prenatales,repetidas,2024-03-01,2,0,11,0,53,0,9,0,0,0,0,0,75
SAN AGUSTIN,consultas prenatales,repetidas,2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2
SAN ANDRES,consultas prenatales,repetidas,2024-03-01,1,0,10,0,22,0,6,0,0,0,0,0,39
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2024-03-01,0,0,1,1,5,3,0,0,0,0,0,0,10
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2024-03-01,0,0,0,0,1,0,1,1,0,0,0,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2024-03-01,0,0,9,0,12,1,5,0,0,0,0,0,27
SAN BENITO,consultas prenatales,repetidas,2024-03-01,0,0,1,1,35,0,8,1,0,0,0,0,46
SAN BORJA,consultas prenatales,repetidas,2024-03-01,1,0,39,0,94,3,65,9,17,4,0,0,232
SAN BUENA VENTURA,consultas prenatales,repetidas,2024-03-01,0,0,22,3,57,4,13,0,0,0,0,0,99
SAN CARLOS,consultas prenatales,repetidas,2024-03-01,1,0,1,0,43,0,21,0,10,0,0,0,76
SAN IGNACIO,consultas prenatales,repetidas,2024-03-01,3,0,23,0,46,0,27,4,3,0,0,0,106
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2024-03-01,1,1,58,2,243,4,21,2,0,0,0,0,332
SAN JAVIER(BNI),consultas prenatales,repetidas,2024-03-01,0,0,0,0,4,0,3,0,0,0,0,0,7
SAN JAVIER(STC),consultas prenatales,repetidas,2024-03-01,0,0,12,0,59,0,7,0,0,0,0,0,78
SAN JOAQUIN,consultas prenatales,repetidas,2024-03-01,0,0,2,8,9,4,0,3,0,0,0,0,26
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2024-03-01,5,0,16,0,59,0,11,0,0,0,0,0,91
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2024-03-01,0,0,0,0,7,0,16,0,1,0,0,0,24
SAN JULIAN,consultas prenatales,repetidas,2024-03-01,1,0,26,3,206,0,37,1,4,0,0,0,278
SAN LORENZO(PND),consultas prenatales,repetidas,2024-03-01,1,0,7,0,17,3,3,0,2,0,0,0,33
SAN LORENZO(TJA),consultas prenatales,repetidas,2024-03-01,1,0,13,2,69,2,16,1,0,0,0,0,104
SAN LUCAS,consultas prenatales,repetidas,2024-03-01,1,0,15,5,72,11,48,4,0,0,0,0,156
SAN MATIAS,consultas prenatales,repetidas,2024-03-01,0,0,27,0,53,3,3,0,0,0,0,1,87
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2024-03-01,2,0,24,2,39,1,13,4,0,0,0,0,85
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2024-03-01,0,0,1,1,3,0,0,0,0,0,0,0,5
SAN PEDRO,consultas prenatales,repetidas,2024-03-01,0,0,8,0,46,0,22,0,1,0,0,0,77
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2024-03-01,1,0,9,3,41,8,23,9,0,0,0,0,94
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2024-03-01,0,0,3,0,10,1,0,0,0,0,0,0,14
SAN PEDRO DE MACHA,consultas prenatales,repetidas,2024-03-01,0,0,19,2,45,1,7,2,0,0,0,0,76
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2024-03-01,0,0,1,0,0,0,1,0,0,0,0,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,8,1,3,0,0,0,0,0,14
SAN PEDRO(PND),consultas prenatales,repetidas,2024-03-01,0,0,3,0,4,1,0,0,0,0,0,0,8
SAN RAFAEL,consultas prenatales,repetidas,2024-03-01,1,0,7,0,28,0,4,0,0,0,0,0,40
SAN RAMON BENI,consultas prenatales,repetidas,2024-03-01,0,0,4,0,18,0,1,0,0,0,0,0,23
SAN RAMON SCZ,consultas prenatales,repetidas,2024-03-01,0,0,2,0,9,0,2,0,0,0,0,0,13
SANTA ANA,consultas prenatales,repetidas,2024-03-01,6,0,19,0,63,0,8,0,0,0,0,0,96
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2024-03-01,4,0,532,0,3859,35,2897,8,551,3,1,0,7890
SANTA ROSA,consultas prenatales,repetidas,2024-03-01,0,0,4,0,32,0,6,0,0,0,0,0,42
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2024-03-01,0,0,10,24,21,0,8,0,2,0,0,0,65
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2024-03-01,0,0,1,0,7,1,4,0,0,0,0,0,13
SANTIAGO DE HUARI,consultas prenatales,repetidas,2024-03-01,0,0,6,1,10,0,3,0,0,0,0,0,20
SANTIAGO DE HUATA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,4,0,9,0,0,0,0,0,15
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2024-03-01,0,0,3,0,5,1,2,0,0,0,0,0,11
SANTIVAÑES,consultas prenatales,repetidas,2024-03-01,0,0,2,0,19,0,3,0,0,0,0,0,24
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2024-03-01,0,0,3,0,3,2,1,0,0,0,0,0,9
SAPAHAQUI,consultas prenatales,repetidas,2024-03-01,0,0,5,0,12,0,1,0,0,0,0,0,18
SENA,consultas prenatales,repetidas,2024-03-01,2,0,12,0,34,0,6,0,0,0,0,0,54
SHINAOTA,consultas prenatales,repetidas,2024-03-01,0,0,29,0,153,3,32,0,0,0,0,0,217
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2024-03-01,0,0,8,0,42,2,17,1,0,0,0,0,70
SICAYA,consultas prenatales,repetidas,2024-03-01,0,0,3,0,11,3,1,0,0,0,0,0,18
SIPE SIPE,consultas prenatales,repetidas,2024-03-01,0,0,54,0,320,4,46,0,0,0,0,0,424
SOPACHUY,consultas prenatales,repetidas,2024-03-01,0,0,6,0,12,0,2,0,0,0,0,0,20
SORACACHI,consultas prenatales,repetidas,2024-03-01,0,0,1,0,14,1,9,2,0,0,0,0,27
SORATA,consultas prenatales,repetidas,2024-03-01,0,0,15,0,61,1,9,0,0,0,0,0,86
SUCRE,consultas prenatales,repetidas,2024-03-01,2,0,124,2,1214,0,364,3,0,0,0,0,1709
TACACHI,consultas prenatales,repetidas,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
TACACOMA,consultas prenatales,repetidas,2024-03-01,0,0,2,0,13,0,30,0,0,0,0,0,45
TACOBAMBA,consultas prenatales,repetidas,2024-03-01,0,0,3,2,16,6,4,2,0,0,0,0,33
TACOPAYA,consultas prenatales,repetidas,2024-03-01,0,0,3,0,8,3,6,0,0,0,0,0,20
TAHUA,consultas prenatales,repetidas,2024-03-01,0,0,0,1,2,0,0,0,0,0,0,0,3
TAPACARI,consultas prenatales,repetidas,2024-03-01,0,0,13,1,41,2,21,3,0,0,0,0,81
TARABUCO,consultas prenatales,repetidas,2024-03-01,0,0,8,2,37,3,6,3,0,0,0,0,59
TARACO,consultas prenatales,repetidas,2024-03-01,0,0,5,0,10,0,4,1,0,0,0,0,20
TARATA,consultas prenatales,repetidas,2024-03-01,1,0,9,1,24,7,7,0,0,0,0,0,49
TARIJA,consultas prenatales,repetidas,2024-03-01,1,0,93,4,935,30,309,8,0,0,0,0,1380
TARVITA,consultas prenatales,repetidas,2024-03-01,0,0,17,4,21,2,6,2,2,0,0,0,54
TEOPONTE,consultas prenatales,repetidas,2024-03-01,0,0,7,0,38,1,5,0,0,0,0,0,51
TIAHUANACU,consultas prenatales,repetidas,2024-03-01,0,0,5,0,29,0,6,0,0,0,0,0,40
TINGUIPAYA,consultas prenatales,repetidas,2024-03-01,0,0,1,0,6,4,10,7,3,1,0,0,32
TIPUANI,consultas prenatales,repetidas,2024-03-01,0,0,3,0,24,0,2,0,0,0,0,0,29
TIQUIPAYA,consultas prenatales,repetidas,2024-03-01,0,0,34,3,201,21,41,0,0,0,0,0,300
TIRAQUE (CBBA),consultas prenatales,repetidas,2024-03-01,0,1,13,0,58,3,12,1,0,0,0,0,88
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2024-03-01,0,0,0,0,2,0,1,0,0,0,0,0,3
TOCO,consultas prenatales,repetidas,2024-03-01,0,0,3,0,15,0,1,0,0,0,0,0,19
TODOS SANTOS,consultas prenatales,repetidas,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1
TOLATA,consultas prenatales,repetidas,2024-03-01,0,0,6,0,25,0,8,0,0,0,0,0,39
TOLEDO,consultas prenatales,repetidas,2024-03-01,0,0,5,0,11,0,5,0,0,0,0,0,21
TOMAVE,consultas prenatales,repetidas,2024-03-01,0,0,6,1,10,6,0,0,0,0,0,0,23
TOMINA,consultas prenatales,repetidas,2024-03-01,0,0,3,1,14,1,4,1,1,0,0,0,25
TORO TORO,consultas prenatales,repetidas,2024-03-01,1,0,7,1,15,7,7,1,0,0,0,0,39
TOTORA(CBBA),consultas prenatales,repetidas,2024-03-01,2,0,22,1,48,1,18,0,0,0,0,0,92
TOTORA(ORR),consultas prenatales,repetidas,2024-03-01,0,0,1,0,5,0,0,0,0,0,0,0,6
TRIGAL,consultas prenatales,repetidas,2024-03-01,0,0,2,0,2,0,0,0,0,0,0,0,4
TRINIDAD,consultas prenatales,repetidas,2024-03-01,6,0,63,0,357,2,317,0,48,0,0,0,793
TUPIZA,consultas prenatales,repetidas,2024-03-01,1,0,7,0,75,1,121,4,15,1,0,0,225
TURCO,consultas prenatales,repetidas,2024-03-01,0,0,3,0,4,0,1,0,0,0,0,0,8
UMALA,consultas prenatales,repetidas,2024-03-01,0,0,4,0,6,1,6,1,0,0,0,0,18
UNCIA,consultas prenatales,repetidas,2024-03-01,0,0,11,1,129,5,38,0,0,0,0,0,184
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2024-03-01,0,0,20,0,31,0,13,0,0,0,0,0,64
URUBICHA,consultas prenatales,repetidas,2024-03-01,0,0,0,0,2,0,10,0,0,0,0,0,12
UYUNI,consultas prenatales,repetidas,2024-03-01,1,0,28,0,123,5,68,1,22,0,0,0,248
VACAS,consultas prenatales,repetidas,2024-03-01,1,0,6,1,12,0,5,1,0,0,0,0,26
VALLEGRANDE,consultas prenatales,repetidas,2024-03-01,1,0,15,0,69,0,22,1,0,0,0,0,108
VIACHA,consultas prenatales,repetidas,2024-03-01,0,0,32,0,255,3,46,0,0,0,0,0,336
VILA VILA,consultas prenatales,repetidas,2024-03-01,1,0,2,0,3,1,3,2,0,0,0,0,12
VILLA CHARCAS,consultas prenatales,repetidas,2024-03-01,1,0,8,4,29,6,8,3,0,0,0,0,59
VILLA MONTES,consultas prenatales,repetidas,2024-03-01,1,0,30,1,158,3,36,0,0,0,0,0,229
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2024-03-01,0,0,2,1,6,0,3,0,0,0,0,0,12
VILLA RIVERO,consultas prenatales,repetidas,2024-03-01,1,0,5,0,27,0,1,0,0,0,0,0,34
VILLA SERRANO,consultas prenatales,repetidas,2024-03-01,0,0,2,2,16,4,5,2,0,0,0,0,31
VILLA TUNARI,consultas prenatales,repetidas,2024-03-01,1,0,59,2,368,3,128,1,0,0,0,0,562
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2024-03-01,0,0,5,0,21,1,15,0,1,0,0,0,43
VILLAZON,consultas prenatales,repetidas,2024-03-01,0,0,20,3,163,3,33,0,8,0,0,0,230
VINTO,consultas prenatales,repetidas,2024-03-01,1,0,36,4,267,35,31,12,0,0,0,0,386
VITICHI,consultas prenatales,repetidas,2024-03-01,0,0,4,0,16,0,2,1,0,0,0,0,23
WALDO BALLIVIAN,consultas prenatales,repetidas,2024-03-01,0,0,0,0,6,0,0,0,0,0,0,0,6
WARNES,consultas prenatales,repetidas,2024-03-01,16,2,108,5,410,15,76,1,0,0,2,0,635
YACO,consultas prenatales,repetidas,2024-03-01,0,0,12,0,27,1,1,0,0,0,0,0,41
YACUIBA,consultas prenatales,repetidas,2024-03-01,1,0,51,1,297,4,98,1,0,0,0,0,453
YAMPARAEZ,consultas prenatales,repetidas,2024-03-01,0,0,5,1,14,0,4,0,0,0,0,0,24
YANACACHI,consultas prenatales,repetidas,2024-03-01,0,0,0,0,16,0,4,0,0,0,0,0,20
YAPACANI,consultas prenatales,repetidas,2024-03-01,0,0,3,1,11,2,131,43,10,14,0,0,215
YOCALLA,consultas prenatales,repetidas,2024-03-01,0,0,3,0,10,1,10,0,3,0,0,0,27
YOTALA,consultas prenatales,repetidas,2024-03-01,0,0,6,0,18,1,4,0,0,0,0,0,29
YUNCHARA,consultas prenatales,repetidas,2024-03-01,1,0,1,2,5,9,1,2,0,0,0,0,21
ZUDAÑEZ,consultas prenatales,repetidas,2024-03-01,0,0,6,0,13,2,3,0,0,0,0,0,24
ACACIO,consultas prenatales,repetidas,2024-04-01,0,0,3,0,5,0,2,0,0,0,0,0,10
ACHACACHI,consultas prenatales,repetidas,2024-04-01,11,0,68,1,80,8,12,2,0,0,0,0,182
ACHOCALLA,consultas prenatales,repetidas,2024-04-01,2,0,17,0,124,1,22,0,0,0,0,0,166
AIQUILE,consultas prenatales,repetidas,2024-04-01,1,0,16,0,63,3,10,2,0,0,0,0,95
ALALAY,consultas prenatales,repetidas,2024-04-01,0,0,1,1,2,1,1,0,0,0,0,0,6
ALCALA,consultas prenatales,repetidas,2024-04-01,0,0,0,0,11,0,2,0,0,0,0,0,13
ALTO BENI,consultas prenatales,repetidas,2024-04-01,0,0,7,0,26,0,5,0,0,0,0,0,38
ANCORAIMES,consultas prenatales,repetidas,2024-04-01,0,0,1,0,16,2,5,1,0,0,0,0,25
ANDAMARCA,consultas prenatales,repetidas,2024-04-01,0,0,1,2,5,2,2,0,0,0,0,0,12
ANTEQUERA,consultas prenatales,repetidas,2024-04-01,0,0,5,0,6,0,2,0,0,0,0,0,13
ANZALDO,consultas prenatales,repetidas,2024-04-01,0,0,2,0,14,2,3,0,0,0,0,0,21
APOLO,consultas prenatales,repetidas,2024-04-01,1,0,20,0,67,1,17,1,0,0,0,0,107
ARAMPAMPA,consultas prenatales,repetidas,2024-04-01,0,0,2,3,2,6,1,1,0,0,0,0,15
ARANI,consultas prenatales,repetidas,2024-04-01,0,0,8,1,31,0,6,2,0,0,0,0,48
ARBIETO,consultas prenatales,repetidas,2024-04-01,1,0,5,0,76,0,8,0,0,0,0,0,90
ARQUE,consultas prenatales,repetidas,2024-04-01,1,0,14,1,25,3,7,2,0,0,0,0,53
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2024-04-01,4,0,53,0,154,0,54,1,2,0,0,0,268
ATOCHA,consultas prenatales,repetidas,2024-04-01,1,0,4,0,34,0,22,1,1,0,0,0,63
AUCAPATA,consultas prenatales,repetidas,2024-04-01,0,0,4,0,13,0,0,0,0,0,0,0,17
AYATA,consultas prenatales,repetidas,2024-04-01,0,0,6,1,11,2,8,0,0,0,0,0,28
AYO AYO,consultas prenatales,repetidas,2024-04-01,0,0,5,1,24,4,2,1,0,0,0,0,37
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2024-04-01,0,0,34,1,59,3,11,0,1,1,0,0,110
AZURDUY,consultas prenatales,repetidas,2024-04-01,0,1,10,7,16,11,5,5,0,0,0,0,55
BATALLAS,consultas prenatales,repetidas,2024-04-01,0,0,15,1,60,2,4,2,0,0,0,0,84
BAURES,consultas prenatales,repetidas,2024-04-01,0,0,2,1,8,0,2,0,0,0,0,0,13
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2024-04-01,0,0,0,0,1,1,1,0,0,0,0,0,3
BELEN DE URMIRI,consultas prenatales,repetidas,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,2
BELLA FLOR,consultas prenatales,repetidas,2024-04-01,0,0,1,0,10,1,6,0,1,0,0,0,19
BERMEJO,consultas prenatales,repetidas,2024-04-01,1,0,20,0,155,3,44,2,0,0,0,0,225
BETANZOS,consultas prenatales,repetidas,2024-04-01,0,1,21,5,67,9,13,3,0,0,0,0,119
BOLIVAR,consultas prenatales,repetidas,2024-04-01,0,0,5,0,7,1,0,2,0,0,0,0,15
BOLPEBRA,consultas prenatales,repetidas,2024-04-01,0,0,1,0,8,1,0,0,0,0,0,0,10
BOYUIBE,consultas prenatales,repetidas,2024-04-01,0,0,3,1,13,4,1,0,0,0,0,0,22
BUENA VISTA,consultas prenatales,repetidas,2024-04-01,0,0,3,0,15,1,7,0,0,0,0,0,26
CABEZAS,consultas prenatales,repetidas,2024-04-01,0,0,15,1,52,0,3,0,0,0,0,0,71
CAIROMA,consultas prenatales,repetidas,2024-04-01,0,0,9,0,27,0,3,0,0,0,0,0,39
"CAIZA ""D""",consultas prenatales,repetidas,2024-04-01,1,0,7,1,36,0,7,0,0,0,0,0,52
CAJUATA,consultas prenatales,repetidas,2024-04-01,0,0,13,0,54,2,10,1,0,0,0,0,80
CALACOTO,consultas prenatales,repetidas,2024-04-01,0,0,0,1,1,1,0,6,0,0,0,0,9
CALAMARCA,consultas prenatales,repetidas,2024-04-01,0,0,7,0,32,1,5,0,0,0,0,0,45
CAMARGO,consultas prenatales,repetidas,2024-04-01,0,0,2,2,42,3,11,0,0,0,0,0,60
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2024-04-01,0,0,2,0,3,0,2,1,0,0,0,0,8
CAMIRI,consultas prenatales,repetidas,2024-04-01,0,0,13,1,81,4,11,0,1,0,0,0,111
CAPINOTA,consultas prenatales,repetidas,2024-04-01,0,0,12,0,61,0,10,0,0,0,0,0,83
CAQUIAVIRI,consultas prenatales,repetidas,2024-04-01,1,0,1,0,16,2,3,0,0,0,0,0,23
CARACOLLO,consultas prenatales,repetidas,2024-04-01,0,0,21,0,83,0,22,2,0,1,0,0,129
CARANAVI,consultas prenatales,repetidas,2024-04-01,0,0,26,0,209,0,39,0,0,0,0,0,274
CARAPARI,consultas prenatales,repetidas,2024-04-01,0,0,6,0,41,1,8,0,0,0,0,0,56
CARIPUYO,consultas prenatales,repetidas,2024-04-01,0,0,6,1,8,3,3,1,0,0,0,0,22
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2024-04-01,0,0,2,0,20,0,4,0,0,0,0,0,26
CATACORA,consultas prenatales,repetidas,2024-04-01,0,0,0,0,1,2,1,0,0,0,0,0,4
CHACARILLA,consultas prenatales,repetidas,2024-04-01,0,0,0,1,4,0,0,0,0,0,0,0,5
CHALLAPATA,consultas prenatales,repetidas,2024-04-01,1,0,41,3,175,3,33,0,0,0,0,0,256
CHAQUI,consultas prenatales,repetidas,2024-04-01,0,0,5,1,21,1,7,0,0,0,0,0,35
CHARAGUA,consultas prenatales,repetidas,2024-04-01,0,0,28,0,74,4,15,0,2,0,0,0,123
CHARAÑA,consultas prenatales,repetidas,2024-04-01,0,0,1,0,3,1,0,0,0,0,0,0,5
CHAYANTA,consultas prenatales,repetidas,2024-04-01,0,0,10,7,27,3,6,0,0,0,0,0,53
CHIMORE,consultas prenatales,repetidas,2024-04-01,0,0,29,0,135,5,39,0,0,0,0,0,208
CHIPAYA,consultas prenatales,repetidas,2024-04-01,1,0,1,0,5,0,0,0,0,0,0,0,7
CHUA COCANI,consultas prenatales,repetidas,2024-04-01,0,0,1,0,6,0,1,0,0,0,0,0,8
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2024-04-01,0,0,2,0,51,0,14,0,0,0,0,0,67
CHUMA,consultas prenatales,repetidas,2024-04-01,1,0,5,1,15,3,2,1,0,0,0,0,28
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2024-04-01,1,0,9,0,12,4,7,0,0,0,0,0,33
CKOCHAS,consultas prenatales,repetidas,2024-04-01,0,0,14,1,21,8,7,1,0,0,0,0,52
CLIZA,consultas prenatales,repetidas,2024-04-01,0,0,7,0,28,1,4,0,0,0,0,0,40
COBIJA,consultas prenatales,repetidas,2024-04-01,4,0,60,0,343,2,74,0,5,0,0,0,488
COCAPATA,consultas prenatales,repetidas,2024-04-01,0,0,22,6,42,12,12,3,0,0,0,0,97
COCHABAMBA,consultas prenatales,repetidas,2024-04-01,3,0,243,0,3184,0,1095,0,27,0,0,0,4552
COIPASA,consultas prenatales,repetidas,2024-04-01,0,0,0,0,4,0,0,0,0,0,0,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2024-04-01,0,0,22,0,234,3,52,0,0,0,0,0,311
"COLCHA ""K""",consultas prenatales,repetidas,2024-04-01,1,0,6,1,32,3,3,0,0,0,0,0,46
COLLANA,consultas prenatales,repetidas,2024-04-01,0,0,2,0,3,0,2,0,0,0,0,0,7
COLOMI,consultas prenatales,repetidas,2024-04-01,1,0,28,1,97,0,20,1,0,0,0,0,148
COLPA BELGICA,consultas prenatales,repetidas,2024-04-01,1,0,8,0,20,2,2,1,0,0,0,0,34
COLQUECHACA,consultas prenatales,repetidas,2024-04-01,1,0,12,3,55,9,8,1,1,0,0,0,90
COLQUENCHA,consultas prenatales,repetidas,2024-04-01,0,0,8,0,32,0,6,0,0,0,0,0,46
COLQUIRI,consultas prenatales,repetidas,2024-04-01,0,0,1,1,33,7,6,2,0,0,0,0,50
COMANCHE,consultas prenatales,repetidas,2024-04-01,0,0,1,1,0,3,0,0,0,0,0,0,5
COMARAPA,consultas prenatales,repetidas,2024-04-01,0,0,9,0,84,0,17,0,0,0,0,0,110
COMBAYA,consultas prenatales,repetidas,2024-04-01,0,0,1,0,0,0,0,1,0,0,0,0,2
CONCEPCION,consultas prenatales,repetidas,2024-04-01,1,0,17,1,65,1,9,0,0,0,0,0,94
COPACABANA,consultas prenatales,repetidas,2024-04-01,0,0,8,1,24,0,7,0,0,0,0,0,40
CORIPATA,consultas prenatales,repetidas,2024-04-01,0,0,3,0,40,0,30,0,0,0,0,0,73
CORO CORO,consultas prenatales,repetidas,2024-04-01,0,0,3,1,10,1,3,1,0,0,0,0,19
