,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,9,2,9,11
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,29,8,29,8,37
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,7,6,7,13
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,12,5,12,17
SORATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,35,11,35,46
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,301,20,301,20,321
TACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,0,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,12,4,12,16
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,4,2,4,6
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,4,10,4,14
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,29,26,29,26,55
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,27,21,27,21,48
TARACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,5,0,5,5
TARATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,1,11,1,12
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,110,6,110,6,116
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,7,8,7,15
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,9,2,9,11
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,6,9,6,15
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,54,9,54,63
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,21,2,21,2,23
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,91,12,91,12,103
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,60,31,60,31,91
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,2,0,2,2
TOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,0,4,0,4
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,3,7,3,10
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,0,2,0,2
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,12,7,12,19
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,4,12,4,16
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,11,10,11,21
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,7,12,7,19
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,8,0,8,8
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,190,2,190,2,192
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,36,14,36,14,50
TURCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,1,4,1,5
UMALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,15,0,15,15
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,16,20,16,20,36
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,19,4,19,4,23
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,8,8,8,16
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,23,4,23,4,27
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,9,6,9,15
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,2,13,2,15
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,41,46,41,46,87
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,10,4,10,14
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,33,3,33,3,36
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,0,6,0,6
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,10,10,10,20
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,121,36,121,36,157
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,2,5,2,7
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,37,2,37,2,39
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,81,16,81,16,97
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,8,7,8,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,92,27,92,27,119
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,7,3,7,10
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,97,4,97,4,101
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,4,3,4,7
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,70,15,70,15,85
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,1,0,1,1
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,2,8,2,10
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,8,1,8,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,4,3,4,7
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,15,6,15,21
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,37,89,37,89,126
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,23,8,23,31
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,43,11,43,11,54
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,5,7,5,12
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,21,6,21,27
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,3,0,3,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,3,6,3,9
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,17,3,17,20
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,22,18,22,18,40
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,7,0,7,7
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,7,9,7,16
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,24,4,24,28
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,25,8,25,8,33
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,43,1,43,1,44
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,8,12,8,20
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,2,5,2,7
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,18,0,18,18
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,3,8,3,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,28,29,28,29,57
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,17,7,17,7,24
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,16,10,16,26
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,3,8,3,11
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,2,1,2,3
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,61,8,61,8,69
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,46,33,46,79
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,21,4,21,25
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,4,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,3,6,3,9
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,29,12,29,12,41
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,9,33,9,42
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,23,10,23,33
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,16,4,16,20
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,0,16,0,16
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,9,3,9,12
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,15,3,15,3,18
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,4,16,4,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,1,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,65,7,65,7,72
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,16,33,16,49
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,10,2,10,12
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,7,16,7,23
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,100,52,100,52,152
CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,8,13,8,21
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,45,2,45,47
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,8,7,8,15
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,37,23,37,23,60
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,14,5,14,19
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,32,16,32,16,48
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,4,4,4,8
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,18,8,18,26
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,38,10,38,10,48
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,2,5,2,7
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,12,24,12,36
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,15,5,15,20
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,27,20,27,20,47
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,112,6,112,6,118
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1519,27,1519,27,1546
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,77,8,77,8,85
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,12,14,12,26
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,21,20,21,20,41
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,3,11,3,14
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,21,85,21,85,106
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,6,7,6,13
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,38,12,38,50
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,8,3,8,11
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,21,12,21,12,33
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,8,0,8,8
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,38,3,38,3,41
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,15,10,15,25
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,4,16,4,20
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,9,3,9,12
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,12,9,12,21
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,7,0,7,7
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,18,17,18,17,35
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,89,21,89,21,110
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,20,18,20,18,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,1,1,1,2
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,0,2,0,2
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,21,16,21,37
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,4,5,4,9
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,3,1,3,4
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,8,2,8,10
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1818,113,1818,113,1931
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,4,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,1,16,1,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,7,13,7,20
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,93,3,93,3,96
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,1,5,1,6
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,31,17,31,17,48
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,15,19,15,19,34
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,6,1,6,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,8,1,8,9
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,7,2,7,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,21,7,21,7,28
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,5,9,5,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,2,24,2,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,22,12,22,34
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,17,3,17,3,20
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,5,7,5,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,85,23,85,23,108
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,19,14,19,14,33
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,5,11,5,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,2,1,2,3
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,55,6,55,6,61
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,0,12,0,12
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,5,4,5,9
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,8,2,8,10
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,7,6,7,13
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,30,25,30,25,55
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,6,0,6,6
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,17,7,17,24
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,13,14,13,27
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,0,11,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,13,10,13,23
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,57,12,57,12,69
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,106,1,106,1,107
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1582,47,1582,47,1629
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,4,8,4,12
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,21,12,21,33
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,1,6,1,7
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,3,3,3,6
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,2,2,2,4
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,10,10,10,20
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,4,9,4,13
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,6,11,6,17
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,15,6,15,6,21
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,0,13,0,13
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,7,2,7,9
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,6,33,6,39
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,13,11,13,24
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,51,3,51,3,54
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,28,40,28,40,68
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,34,10,34,44
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,1,1,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,5,8,5,13
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,12,33,12,45
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,232,21,232,21,253
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,4,4,4,8
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,31,75,31,75,106
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,42,14,42,56
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,4,24,4,28
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,10,9,10,19
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,497,20,497,20,517
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,8,16,8,24
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,6,5,6,11
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,34,5,34,5,39
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,22,8,22,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,31,16,31,16,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,2,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,1,12,1,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,5,5,5,10
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,2,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,17,22,17,22,39
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,1,8,1,9
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,15,5,15,20
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,59,8,59,67
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,12,16,12,28
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,13,13,13,26
POOPO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,11,7,11,18
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,2,16,2,18
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,17,35,17,35,52
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,10,9,10,19
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,44,4,44,4,48
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,13,3,13,16
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,442,32,442,32,474
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,20,4,20,24
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,1,1,1,2
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,19,27,19,27,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,27,14,27,41
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,25,8,25,33
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,7,2,7,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,19,0,19,19
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,12,24,12,36
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,5,7,5,12
