,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
LLICA,vacunaciones en menores de 1 ano,bcg,2009-03-01,9,2,9,2,11
LORETO,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,0,2,0,2
LURIBAY,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,15,2,15,17
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,3,1,3,4
MACHARETI,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,4,7,4,11
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2009-03-01,20,11,20,11,31
MAIRANA,vacunaciones en menores de 1 ano,bcg,2009-03-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,2,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,bcg,2009-03-01,15,8,15,8,23
MECAPACA,vacunaciones en menores de 1 ano,bcg,2009-03-01,9,12,9,12,21
MINEROS,vacunaciones en menores de 1 ano,bcg,2009-03-01,41,0,41,0,41
MIZQUE,vacunaciones en menores de 1 ano,bcg,2009-03-01,29,31,29,31,60
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,29,1,29,30
MOJINETE,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,2,1,2,3
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,9,7,9,16
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2009-03-01,36,8,36,8,44
MONTERO,vacunaciones en menores de 1 ano,bcg,2009-03-01,346,7,346,7,353
MORO MORO,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,1,0,1,1
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,18,84,18,84,102
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2009-03-01,0,1,0,1,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,5,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2009-03-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,bcg,2009-03-01,11,37,11,37,48
OKINAWA,vacunaciones en menores de 1 ano,bcg,2009-03-01,21,0,21,0,21
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,5,0,5,5
ORURO,vacunaciones en menores de 1 ano,bcg,2009-03-01,627,7,627,7,634
PADCAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,13,4,13,4,17
PADILLA,vacunaciones en menores de 1 ano,bcg,2009-03-01,23,4,23,4,27
PAILON,vacunaciones en menores de 1 ano,bcg,2009-03-01,41,11,41,11,52
PALCA,vacunaciones en menores de 1 ano,bcg,2009-03-01,3,16,3,16,19
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2009-03-01,39,20,39,20,59
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,2,0,2,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2009-03-01,14,0,14,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,7,2,7,9
PASORAPA,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,3,1,3,4
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,31,17,31,17,48
PAZÑA,vacunaciones en menores de 1 ano,bcg,2009-03-01,3,2,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,3,12,3,12,15
POCOATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,60,4,60,64
POCONA,vacunaciones en menores de 1 ano,bcg,2009-03-01,22,6,22,6,28
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2009-03-01,17,0,17,0,17
POOPO,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,6,4,6,10
PORCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,17,8,17,8,25
POROMA,vacunaciones en menores de 1 ano,bcg,2009-03-01,17,20,17,20,37
PORONGO,vacunaciones en menores de 1 ano,bcg,2009-03-01,6,6,6,6,12
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2009-03-01,50,5,50,5,55
PORVENIR,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,5,1,5,6
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,bcg,2009-03-01,473,7,473,7,480
PRESTO,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,23,1,23,24
PUCARA,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,bcg,2009-03-01,18,33,18,33,51
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2009-03-01,10,36,10,36,46
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,31,0,31,31
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,6,0,6,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,18,0,18,18
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2009-03-01,30,16,30,16,46
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2009-03-01,3,6,3,6,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2009-03-01,56,0,56,0,56
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2009-03-01,136,3,136,3,139
PUNA,vacunaciones en menores de 1 ano,bcg,2009-03-01,27,49,27,49,76
PUNATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,71,4,71,4,75
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,7,2,7,9
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2009-03-01,217,8,217,8,225
QUIME,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,21,1,21,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,bcg,2009-03-01,10,50,10,50,60
REYES,vacunaciones en menores de 1 ano,bcg,2009-03-01,28,7,28,7,35
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2009-03-01,277,12,277,12,289
ROBORE,vacunaciones en menores de 1 ano,bcg,2009-03-01,25,8,25,8,33
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2009-03-01,36,9,36,9,45
SABAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,bcg,2009-03-01,213,10,213,10,223
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2009-03-01,5,2,5,2,7
SACACA,vacunaciones en menores de 1 ano,bcg,2009-03-01,6,38,6,38,44
SAIPINA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,8,2,8,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2009-03-01,8,6,8,6,14
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,1,4,1,5
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,3,0,3,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,5,3,5,3,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2009-03-01,8,9,8,9,17
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2009-03-01,13,5,13,5,18
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2009-03-01,91,38,91,38,129
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2009-03-01,12,7,12,7,19
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2009-03-01,52,2,52,2,54
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2009-03-01,26,23,26,23,49
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,87,24,87,24,111
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2009-03-01,0,6,0,6,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2009-03-01,25,3,25,3,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,9,1,9,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2009-03-01,21,34,21,34,55
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-03-01,18,3,18,3,21
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2009-03-01,65,33,65,33,98
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2009-03-01,6,8,6,8,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2009-03-01,18,8,18,8,26
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,30,43,30,43,73
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,29,6,29,6,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,19,0,19,0,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2009-03-01,32,0,32,0,32
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-03-01,14,30,14,30,44
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,11,0,11,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,8,0,8,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,bcg,2009-03-01,1,1,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,1,7,1,8
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-03-01,29,0,29,0,29
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,8,4,8,12
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2009-03-01,48,3,48,3,51
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2009-03-01,3027,214,3027,214,3241
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2009-03-01,15,6,15,6,21
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2009-03-01,19,0,19,0,19
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,8,2,8,10
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,9,2,9,11
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2009-03-01,13,2,13,2,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,10,1,10,11
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,13,2,13,15
SENA,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,1,2,1,3
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2009-03-01,15,37,15,37,52
SICAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,1,4,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2009-03-01,38,6,38,6,44
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2009-03-01,8,4,8,4,12
SORACACHI,vacunaciones en menores de 1 ano,bcg,2009-03-01,6,12,6,12,18
SORATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,16,31,16,31,47
SUCRE,vacunaciones en menores de 1 ano,bcg,2009-03-01,593,12,593,12,605
TACACOMA,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,6,7,6,13
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,14,4,14,18
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,12,6,12,6,18
TAHUA,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,2,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,bcg,2009-03-01,31,26,31,26,57
TARABUCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,26,4,26,4,30
TARACO,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,8,4,8,12
TARATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,8,0,8,0,8
TARIJA,vacunaciones en menores de 1 ano,bcg,2009-03-01,401,1,401,1,402
TARVITA,vacunaciones en menores de 1 ano,bcg,2009-03-01,12,4,12,4,16
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2009-03-01,5,4,5,4,9
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2009-03-01,5,14,5,14,19
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,10,61,10,61,71
TIPUANI,vacunaciones en menores de 1 ano,bcg,2009-03-01,16,4,16,4,20
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-03-01,110,17,110,17,127
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2009-03-01,90,21,90,21,111
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2009-03-01,3,1,3,1,4
TOCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,4,2,4,6
TOLATA,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,4,7,4,11
TOLEDO,vacunaciones en menores de 1 ano,bcg,2009-03-01,10,5,10,5,15
TOMAVE,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,19,1,19,20
TOMINA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,4,4,4,8
TORO TORO,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2009-03-01,22,8,22,8,30
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2009-03-01,3,3,3,3,6
TRIGAL,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,1,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2009-03-01,354,1,354,1,355
TUPIZA,vacunaciones en menores de 1 ano,bcg,2009-03-01,54,14,54,14,68
TURCO,vacunaciones en menores de 1 ano,bcg,2009-03-01,3,5,3,5,8
UMALA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,14,0,14,14
UNCIA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,34,0,34,34
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2009-03-01,12,3,12,3,15
URUBICHA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,19,0,19,19
UYUNI,vacunaciones en menores de 1 ano,bcg,2009-03-01,61,12,61,12,73
VACAS,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,19,1,19,20
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2009-03-01,40,1,40,1,41
VIACHA,vacunaciones en menores de 1 ano,bcg,2009-03-01,67,8,67,8,75
VILA VILA,vacunaciones en menores de 1 ano,bcg,2009-03-01,1,9,1,9,10
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2009-03-01,83,3,83,3,86
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2009-03-01,1,9,1,9,10
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2009-03-01,10,0,10,0,10
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2009-03-01,5,6,5,6,11
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2009-03-01,160,41,160,41,201
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2009-03-01,9,2,9,2,11
VILLAZON,vacunaciones en menores de 1 ano,bcg,2009-03-01,64,4,64,4,68
VINTO,vacunaciones en menores de 1 ano,bcg,2009-03-01,86,1,86,1,87
VITICHI,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,4,2,4,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,bcg,2009-03-01,2,3,2,3,5
WARNES,vacunaciones en menores de 1 ano,bcg,2009-03-01,98,19,98,19,117
YACO,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,10,7,10,17
YACUIBA,vacunaciones en menores de 1 ano,bcg,2009-03-01,173,4,173,4,177
YAMPARAEZ,vacunaciones en menores de 1 ano,bcg,2009-03-01,7,3,7,3,10
YANACACHI,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,0,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-03-01,89,3,89,3,92
YOCALLA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,10,0,10,10
YOTALA,vacunaciones en menores de 1 ano,bcg,2009-03-01,4,3,4,3,7
YUNCHARA,vacunaciones en menores de 1 ano,bcg,2009-03-01,0,10,0,10,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,bcg,2009-03-01,8,8,8,8,16
ACACIO,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,13,0,13,13
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2009-04-01,43,76,43,76,119
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2009-04-01,10,7,10,7,17
AIQUILE,vacunaciones en menores de 1 ano,bcg,2009-04-01,52,6,52,6,58
ALALAY,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,12,0,12,12
ALCALA,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,0,4,0,4
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,24,1,24,25
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,4,2,4,6
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,5,0,5,5
ANZALDO,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,11,3,11,14
APOLO,vacunaciones en menores de 1 ano,bcg,2009-04-01,24,16,24,16,40
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,10,0,10,10
ARANI,vacunaciones en menores de 1 ano,bcg,2009-04-01,12,10,12,10,22
ARBIETO,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,27,3,27,30
ARQUE,vacunaciones en menores de 1 ano,bcg,2009-04-01,17,12,17,12,29
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2009-04-01,63,8,63,8,71
ATOCHA,vacunaciones en menores de 1 ano,bcg,2009-04-01,8,6,8,6,14
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,4,3,4,7
AYATA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,14,0,14,14
AYO AYO,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2009-04-01,23,39,23,39,62
AZURDUY,vacunaciones en menores de 1 ano,bcg,2009-04-01,15,5,15,5,20
BATALLAS,vacunaciones en menores de 1 ano,bcg,2009-04-01,15,11,15,11,26
BAURES,vacunaciones en menores de 1 ano,bcg,2009-04-01,7,3,7,3,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,1,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2009-04-01,62,6,62,6,68
BETANZOS,vacunaciones en menores de 1 ano,bcg,2009-04-01,38,34,38,34,72
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2009-04-01,5,13,5,13,18
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,6,1,6,7
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,13,4,13,17
CABEZAS,vacunaciones en menores de 1 ano,bcg,2009-04-01,21,100,21,100,121
CAIROMA,vacunaciones en menores de 1 ano,bcg,2009-04-01,10,14,10,14,24
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2009-04-01,1,19,1,19,20
CAJUATA,vacunaciones en menores de 1 ano,bcg,2009-04-01,12,0,12,0,12
CALACOTO,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,7,0,7,7
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,14,9,14,9,23
CAMARGO,vacunaciones en menores de 1 ano,bcg,2009-04-01,16,8,16,8,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2009-04-01,3,0,3,0,3
CAMIRI,vacunaciones en menores de 1 ano,bcg,2009-04-01,88,1,88,1,89
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2009-04-01,20,3,20,3,23
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,19,1,19,20
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,40,0,40,40
CARANAVI,vacunaciones en menores de 1 ano,bcg,2009-04-01,125,53,125,53,178
CARANGAS,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,bcg,2009-04-01,7,8,7,8,15
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,15,2,15,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,2,4,2,6
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,0,3,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2009-04-01,46,35,46,35,81
CHAQUI,vacunaciones en menores de 1 ano,bcg,2009-04-01,6,12,6,12,18
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2009-04-01,21,72,21,72,93
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2009-04-01,8,44,8,44,52
CHIMORE,vacunaciones en menores de 1 ano,bcg,2009-04-01,25,12,25,12,37
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2009-04-01,19,5,19,5,24
CHUMA,vacunaciones en menores de 1 ano,bcg,2009-04-01,10,4,10,4,14
CLIZA,vacunaciones en menores de 1 ano,bcg,2009-04-01,18,20,18,20,38
COBIJA,vacunaciones en menores de 1 ano,bcg,2009-04-01,126,0,126,0,126
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2009-04-01,1401,50,1401,50,1451
COIPASA,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,1,2,1,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2009-04-01,79,0,79,0,79
COLLANA,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,1,2,1,3
COLOMI,vacunaciones en menores de 1 ano,bcg,2009-04-01,26,20,26,20,46
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,11,3,11,14
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2009-04-01,13,118,13,118,131
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,16,1,16,17
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,53,3,53,56
COMANCHE,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,5,0,5,5
COMARAPA,vacunaciones en menores de 1 ano,bcg,2009-04-01,47,7,47,7,54
COMBAYA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2009-04-01,39,10,39,10,49
COPACABANA,vacunaciones en menores de 1 ano,bcg,2009-04-01,6,11,6,11,17
CORIPATA,vacunaciones en menores de 1 ano,bcg,2009-04-01,9,9,9,9,18
CORO CORO,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,14,0,14,14
COROICO,vacunaciones en menores de 1 ano,bcg,2009-04-01,22,9,22,9,31
CORQUE,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,4,2,4,6
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2009-04-01,15,32,15,32,47
COTOCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,117,18,117,18,135
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2009-04-01,23,25,23,25,48
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2009-04-01,1,3,1,3,4
CUEVO,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,2,1,2,3
CULPINA,vacunaciones en menores de 1 ano,bcg,2009-04-01,18,15,18,15,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,11,2,11,13
CURVA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,8,0,8,8
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,7,0,7,7
EL ALTO,vacunaciones en menores de 1 ano,bcg,2009-04-01,1913,9,1913,9,1922
EL CHORO,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,3,4,3,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2009-04-01,22,12,22,12,34
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2009-04-01,7,5,7,5,12
EL TORNO,vacunaciones en menores de 1 ano,bcg,2009-04-01,88,2,88,2,90
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2009-04-01,4,4,4,4,8
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-04-01,29,27,29,27,56
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-04-01,11,20,11,20,31
ESCARA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,2,0,2,2
ESMERALDA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2009-04-01,6,8,6,8,14
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2009-04-01,1,2,1,2,3
EXALTACION,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2009-04-01,22,7,22,7,29
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2009-04-01,7,2,7,2,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2009-04-01,18,14,18,14,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2009-04-01,4,18,4,18,22
GUANAY,vacunaciones en menores de 1 ano,bcg,2009-04-01,11,7,11,7,18
GUAQUI,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,9,2,9,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2009-04-01,99,5,99,5,104
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2009-04-01,27,6,27,6,33
HUACARETA,vacunaciones en menores de 1 ano,bcg,2009-04-01,14,1,14,1,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2009-04-01,0,5,0,5,5
HUANUNI,vacunaciones en menores de 1 ano,bcg,2009-04-01,34,11,34,11,45
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,4,0,4,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,1,4,1,4,5
ICHOCA,vacunaciones en menores de 1 ano,bcg,2009-04-01,0,8,0,8,8
ICLA,vacunaciones en menores de 1 ano,bcg,2009-04-01,3,11,3,11,14
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2009-04-01,23,22,23,22,45
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,bcg,2009-04-01,0,3,0,3,3
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2009-04-01,2,35,2,35,37
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2009-04-01,9,18,9,18,27
