,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,3,5,3,5,8
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,3,7,3,10
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,0,10,0,10,10
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,11,0,11,0,11
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,30,15,30,15,45
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1953,66,1953,66,2019
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,25,2,25,2,27
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,24,8,24,8,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,7,1,7,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,2,3,2,3,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,0,7,0,7,7
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,4,1,4,1,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,7,1,7,8
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,3,12,3,12,15
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,9,0,9,0,9
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,24,7,24,31
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,2,8,2,8,10
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,49,6,49,6,55
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,4,5,4,5,9
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,7,6,7,13
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,30,7,30,37
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,308,23,308,23,331
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,6,7,6,13
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,4,1,4,5
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,11,7,11,7,18
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,25,15,25,15,40
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,22,21,22,21,43
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,0,3,0,3,3
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,12,3,12,3,15
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,256,10,256,10,266
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,9,7,9,16
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,5,7,5,7,12
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,5,6,5,11
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,10,38,10,38,48
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,20,2,20,2,22
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,79,7,79,7,86
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,45,37,45,37,82
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,5,2,5,2,7
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,3,0,3,0,3
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,2,6,2,8
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,5,12,5,12,17
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,10,3,10,3,13
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,12,6,12,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,21,13,21,13,34
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,0,3,0,3,3
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,2,1,2,3
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,143,5,143,5,148
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,62,16,62,16,78
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,2,4,2,4,6
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,0,10,0,10,10
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,9,12,9,12,21
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,13,4,13,4,17
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,3,7,3,10
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,27,11,27,11,38
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,9,8,9,8,17
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,21,1,21,1,22
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,34,37,34,37,71
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,3,5,3,5,8
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,41,13,41,13,54
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,5,0,5,0,5
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,6,7,6,13
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,100,17,100,17,117
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,4,6,4,10
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,48,15,48,15,63
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,55,14,55,14,69
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,4,11,4,11,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,93,30,93,30,123
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,2,4,2,4,6
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,94,2,94,2,96
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,6,6,6,12
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,6,1,6,1,7
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,82,16,82,16,98
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,3,9,3,9,12
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,7,2,7,2,9
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,4,10,4,10,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-02-01,11,15,11,15,26
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,11,6,11,17
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,21,88,21,88,109
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,9,20,9,20,29
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,26,18,26,18,44
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,8,1,8,9
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,3,3,3,6
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,25,1,25,26
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,1,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,6,4,6,10
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,21,4,21,25
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,13,16,13,16,29
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,10,6,10,16
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,12,11,12,11,23
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,13,6,13,19
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,21,6,21,6,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,33,0,33,0,33
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,7,6,7,6,13
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,9,2,9,11
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,18,1,18,19
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,7,8,7,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,23,30,23,30,53
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,20,17,20,17,37
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,16,15,16,15,31
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,7,1,7,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,3,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,45,12,45,12,57
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,40,39,40,39,79
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,15,8,15,23
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,2,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,0,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,14,11,14,11,25
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,31,5,31,5,36
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,13,5,13,18
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,7,4,7,11
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,4,18,4,22
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,7,4,7,11
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,5,8,5,13
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,17,7,17,7,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,6,2,6,8
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,49,7,49,7,56
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,31,19,31,19,50
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,12,2,12,14
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,24,17,24,17,41
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,93,49,93,49,142
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,14,7,14,7,21
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,35,5,35,40
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,4,4,4,8
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,35,13,35,13,48
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,14,6,14,20
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,27,14,27,14,41
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,3,3,3,6
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,12,28,12,28,40
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,29,9,29,9,38
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,20,14,20,14,34
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,11,11,11,11,22
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,11,21,11,21,32
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,114,8,114,8,122
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1378,32,1378,32,1410
COIPASA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,83,9,83,9,92
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,13,19,13,19,32
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,2,2,2,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,20,24,20,24,44
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,2,10,2,12
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,19,75,19,75,94
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,9,3,9,3,12
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,16,32,16,32,48
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,1,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,28,9,28,9,37
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,8,0,8,8
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,36,5,36,5,41
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,7,18,7,18,25
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,19,7,19,7,26
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,9,5,9,14
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,9,18,9,27
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,7,3,7,3,10
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,12,18,12,30
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,91,17,91,17,108
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,26,25,26,25,51
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,1,2,1,3
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,6,8,6,14
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,26,18,26,44
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,6,4,6,10
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,3,2,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,6,8,6,14
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1620,140,1620,140,1760
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,4,5,4,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,17,2,17,2,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,9,17,9,17,26
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,71,0,71,0,71
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,3,5,3,8
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,41,16,41,16,57
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,26,9,26,9,35
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,2,6,2,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,8,3,8,11
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,13,8,13,8,21
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,6,4,6,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,25,1,25,1,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,27,3,27,30
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,16,4,16,4,20
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,10,3,10,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,88,27,88,27,115
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,19,13,19,13,32
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,6,18,6,24
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,4,1,4,5
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,40,5,40,5,45
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,4,1,4,5
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,9,2,9,11
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,13,3,13,16
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,39,26,39,26,65
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,7,1,7,8
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,6,20,6,20,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,15,4,15,19
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,11,0,11,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,12,10,12,10,22
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,45,15,45,15,60
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,114,4,114,4,118
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1421,55,1421,55,1476
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,7,9,7,9,16
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,10,10,10,20
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,2,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,48,77,48,77,125
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,3,4,3,7
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,0,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,6,3,6,9
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,2,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,8,7,8,7,15
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,7,10,7,17
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,5,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,20,7,20,7,27
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,13,8,13,8,21
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,38,8,38,8,46
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,17,38,17,38,55
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,5,17,5,17,22
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,1,1,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,13,10,13,23
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,35,11,35,11,46
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,168,25,168,25,193
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,1,0,1,1
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,25,55,25,55,80
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,3,1,3,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,0,3,0,3,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,18,36,18,36,54
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,19,6,19,6,25
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,10,4,10,14
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,540,16,540,16,556
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,12,10,12,22
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,12,4,12,4,16
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,38,1,38,1,39
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,9,18,9,18,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,30,15,30,15,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,4,3,4,3,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,15,3,15,3,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,2,7,2,7,9
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,14,20,14,20,34
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,7,1,7,8
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,1,7,1,7,8
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,10,47,10,47,57
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,22,12,22,12,34
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,24,11,24,11,35
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,9,4,9,4,13
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,19,6,19,6,25
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-03-01,13,30,13,30,43
