,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,40,11,40,11,51
VINTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,57,8,57,8,65
VITICHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,4,16,4,16,20
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,0,1,0,1,1
WARNES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,91,39,91,39,130
YACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,0,4,0,4,4
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,111,4,111,4,115
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,6,7,6,7,13
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,3,0,3,0,3
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,58,25,58,25,83
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,2,5,2,5,7
YOTALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,2,4,2,4,6
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,1,6,1,6,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-02-01,7,11,7,11,18
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,16,3,16,19
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,21,92,21,92,113
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,24,3,24,27
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,22,23,22,23,45
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,1,2,1,3
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,3,4,3,7
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,32,4,32,36
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,1,4,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,5,6,5,11
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,18,4,18,22
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,26,19,26,45
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,6,2,6,8
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,11,10,11,21
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,21,8,21,29
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,21,7,21,7,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,39,0,39,0,39
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,21,3,21,3,24
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,3,3,3,6
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,18,0,18,18
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,5,5,5,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,26,38,26,38,64
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,11,23,11,23,34
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,21,9,21,30
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,2,1,2,3
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,7,0,7,7
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,41,14,41,14,55
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,36,42,36,42,78
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,16,8,16,24
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,3,4,3,7
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,20,7,20,7,27
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,28,9,28,9,37
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,15,8,15,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,21,2,21,23
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,14,4,14,4,18
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,12,0,12,12
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,13,5,13,18
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,11,16,11,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,1,1,1,2
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,40,4,40,4,44
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,21,22,21,22,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,7,3,7,10
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,24,12,24,12,36
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,62,57,62,57,119
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,13,8,13,8,21
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,31,2,31,33
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,11,3,11,14
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,1,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,18,26,18,26,44
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,17,4,17,21
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,20,17,20,17,37
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,26,8,26,34
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,32,22,32,22,54
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,18,19,18,37
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,8,3,8,11
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,17,30,17,30,47
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,95,4,95,4,99
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1295,39,1295,39,1334
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,3,0,3,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,97,9,97,9,106
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,14,20,14,20,34
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,3,0,3,3
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,20,28,20,28,48
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,12,5,12,5,17
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,70,16,70,86
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,6,8,6,14
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,35,16,35,51
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,1,5,1,6
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,25,7,25,7,32
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,57,5,57,5,62
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,22,6,22,28
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,8,16,8,24
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,10,6,10,16
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,7,19,7,26
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,8,4,8,12
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,14,19,14,19,33
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,77,21,77,21,98
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,23,19,23,42
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,0,6,0,6
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,18,23,18,23,41
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,9,6,9,15
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,4,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,7,1,7,8
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1475,181,1475,181,1656
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,5,3,5,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,22,0,22,0,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,14,6,14,20
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,96,5,96,5,101
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,1,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,39,23,39,23,62
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,35,13,35,13,48
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,2,9,2,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,5,0,5,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,3,4,3,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,30,7,30,7,37
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,8,3,8,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,26,7,26,7,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,16,5,16,21
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,9,16,9,25
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,12,2,12,14
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,70,56,70,56,126
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,9,10,9,19
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,12,10,12,22
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,3,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,38,4,38,4,42
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,2,2,2,4
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,8,3,8,11
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,18,9,18,9,27
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,24,38,24,38,62
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,8,0,8,8
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,20,8,20,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,12,16,12,16,28
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,1,16,1,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,15,8,15,8,23
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,47,13,47,13,60
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,96,9,96,9,105
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1446,68,1446,68,1514
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,0,2,0,2
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,2,4,2,6
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,14,12,14,12,26
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,4,3,4,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,28,74,28,74,102
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,2,1,2,3
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,4,0,4,4
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,9,8,9,17
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,0,8,0,8
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,5,6,5,11
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,7,16,7,23
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,15,0,15,0,15
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,3,3,3,6
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,5,19,5,24
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,9,10,9,19
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,35,7,35,7,42
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,38,19,38,57
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,25,5,25,30
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,8,4,8,12
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,35,13,35,13,48
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,155,23,155,23,178
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,21,59,21,59,80
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,4,2,4,6
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,11,41,11,41,52
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,15,9,15,9,24
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,5,6,5,11
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,535,31,535,31,566
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,19,19,19,38
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,8,16,8,24
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,42,4,42,4,46
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,7,19,7,19,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,25,18,25,18,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,1,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,17,4,17,4,21
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,6,2,6,8
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,2,6,2,8
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,18,22,18,22,40
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,4,8,4,12
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,11,4,11,15
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,42,9,42,51
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,16,6,16,6,22
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,22,4,22,4,26
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,4,3,4,7
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,2,19,2,21
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,13,26,13,26,39
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,10,10,10,20
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,38,12,38,12,50
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,13,2,13,15
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,4,4,4,4,8
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,410,47,410,47,457
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,18,2,18,20
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,2,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,30,9,30,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,30,5,30,35
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,28,5,28,33
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,2,2,2,4
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,0,8,0,8,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,18,10,18,10,28
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,2,9,2,11
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,26,11,26,11,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,76,25,76,25,101
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,29,47,29,47,76
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,39,4,39,4,43
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,7,3,7,10
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,186,20,186,20,206
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,5,19,5,19,24
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,0,3,0,3
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,38,8,38,46
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,23,5,23,5,28
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,160,48,160,48,208
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,29,2,29,2,31
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,41,13,41,13,54
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,5,3,5,8
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,210,59,210,59,269
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,6,3,6,9
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,11,43,11,43,54
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,9,8,9,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,14,9,14,9,23
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,7,5,7,5,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,8,19,8,19,27
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,1,4,1,4,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,2,6,2,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,7,5,7,5,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,20,9,20,9,29
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,71,33,71,33,104
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,12,12,12,12,24
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,28,6,28,6,34
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,32,9,32,9,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,113,18,113,18,131
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,4,2,4,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,25,3,25,3,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,9,4,9,4,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,31,13,31,13,44
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,9,10,9,19
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,45,41,45,41,86
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,3,7,3,7,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,22,12,22,12,34
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,40,54,40,54,94
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,6,19,6,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,19,0,19,0,19
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,33,10,33,10,43
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,10,38,10,38,48
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,6,8,6,8,14
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-03-01,2,0,2,0,2
