,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,16,0,16,16
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,1,11,1,12
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,10,2,10,12
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,12,2,12,2,14
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,5,14,5,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,0,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,62,7,62,7,69
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,36,7,36,7,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,10,2,10,12
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,24,7,24,7,31
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,87,46,87,46,133
CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,13,14,13,27
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,26,1,26,27
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,6,5,6,11
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,43,22,43,22,65
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,5,4,5,9
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,17,13,17,13,30
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,4,6,4,10
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,21,8,21,29
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,34,2,34,2,36
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,2,4,2,6
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,10,1,10,11
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,9,4,9,13
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,28,23,28,23,51
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,105,3,105,3,108
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1429,4,1429,4,1433
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,34,4,34,4,38
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,0,15,0,15
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,26,6,26,6,32
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,1,9,1,10
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,63,15,63,78
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,3,8,3,11
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,3,3,3,6
COMANCHE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,8,3,8,11
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,26,10,26,10,36
COMBAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,14,0,14,14
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,50,0,50,0,50
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,10,8,10,18
CORIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,3,9,3,12
CORO CORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,11,2,11,13
COROICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,10,11,10,11,21
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,11,1,11,12
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,21,13,21,13,34
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,56,19,56,19,75
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,22,18,22,18,40
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,1,2,1,3
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,0,3,0,3
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,23,19,23,19,42
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,4,5,4,9
CURVA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,1,2,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,4,1,4,5
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1219,1,1219,1,1220
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,3,4,3,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,2,13,2,15
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,8,13,8,21
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,86,3,86,3,89
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,1,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,49,3,49,3,52
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,21,13,21,13,34
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,2,5,2,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,6,1,6,7
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,5,2,5,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,26,7,26,7,33
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,7,8,7,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,27,0,27,0,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,12,12,12,12,24
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,5,9,5,14
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,5,8,5,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,96,21,96,21,117
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,23,10,23,10,33
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,3,9,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,4,1,4,5
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,61,5,61,5,66
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,0,13,0,13
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,3,4,3,7
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,2,2,2,4
ICLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,6,6,6,12
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,35,23,35,23,58
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,8,0,8,8
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,13,6,13,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,12,9,12,9,21
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,0,9,0,9
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,10,8,10,8,18
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,36,5,36,5,41
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,61,1,61,1,62
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1527,8,1527,8,1535
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,3,7,3,10
LAJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,22,7,22,29
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,0,4,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,0,7,0,7
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,55,38,55,38,93
LLICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,6,5,6,11
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,10,14,10,24
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,3,9,3,12
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,6,13,6,19
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,5,13,5,18
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,0,15,0,15
MALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,26,3,26,3,29
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,9,11,9,20
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,53,0,53,0,53
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,30,23,30,23,53
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,37,8,37,45
MOJINETE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,1,1,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,6,8,6,14
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,34,9,34,9,43
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,218,8,218,8,226
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,4,4,4,8
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,41,15,41,56
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,1,0,1,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,31,14,31,45
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,23,3,23,3,26
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,9,9,9,18
ORURO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,621,19,621,19,640
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,7,11,7,18
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,6,11,6,17
PAILON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,2,13,2,15
PALCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,10,5,10,15
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,35,15,35,15,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,2,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,1,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,19,5,19,5,24
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,1,7,1,8
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,10,5,10,15
POCOATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,55,9,55,64
POCONA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,17,12,17,12,29
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,19,4,19,4,23
POOPO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,6,8,6,14
PORCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,17,1,17,1,18
POROMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,10,16,10,16,26
PORONGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,8,6,8,14
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,41,5,41,5,46
PORVENIR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,10,1,10,11
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,435,4,435,4,439
PRESTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,16,4,16,20
PUCARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,31,8,31,8,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,27,14,27,41
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,21,6,21,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,5,1,5,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,20,0,20,20
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,19,10,19,10,29
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,10,5,10,5,15
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,36,4,36,4,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,118,3,118,3,121
PUNA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,26,47,26,47,73
PUNATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,43,3,43,3,46
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,6,1,6,7
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,159,6,159,6,165
QUIME,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,0,5,0,5
RAVELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,44,13,44,57
REYES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,27,0,27,0,27
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,212,63,212,63,275
ROBORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,33,2,33,2,35
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,43,1,43,1,44
SABAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,221,16,221,16,237
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,2,8,2,10
SACACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,21,54,21,54,75
SAIPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,15,11,15,26
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,4,13,4,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,0,5,0,5
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,11,6,11,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,8,3,8,11
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,2,2,2,4
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,21,1,21,1,22
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,95,46,95,46,141
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,12,8,12,8,20
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,36,0,36,0,36
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,32,12,32,12,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,123,20,123,20,143
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,2,0,2,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,33,3,33,3,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,3,9,3,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,28,0,28,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,0,7,0,7
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,47,32,47,32,79
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,10,12,10,12,22
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,18,8,18,8,26
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,38,56,38,56,94
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,32,1,32,1,33
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,24,0,24,0,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,25,7,25,7,32
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,16,22,16,22,38
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,7,4,7,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,4,2,4,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,6,0,6,6
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,0,8,0,8
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,24,0,24,0,24
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,12,5,12,17
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,29,0,29,0,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2435,14,2435,14,2449
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,0,15,0,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,0,14,0,14
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,6,3,6,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,7,5,7,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,0,3,0,3,3
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,5,0,5,0,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,7,4,7,11
SENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,3,4,3,7
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,23,23,23,23,46
SICAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,58,0,58,0,58
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,4,8,4,12
SORACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,9,7,9,16
SORATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,25,14,25,39
SUCRE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,581,23,581,23,604
TACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,12,10,12,10,22
TACOBAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,14,28,14,28,42
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,11,11,11,11,22
TAHUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,24,24,24,24,48
TARABUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,28,22,28,22,50
TARACO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,4,2,4,2,6
TARATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,15,4,15,4,19
TARIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,389,6,389,6,395
TARVITA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,13,11,13,11,24
TEOPONTE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,6,3,6,3,9
TIAWANACU,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,8,7,8,7,15
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,9,30,9,30,39
TIPUANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,28,1,28,1,29
TIQUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,80,2,80,2,82
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,69,6,69,6,75
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,7,0,7,0,7
TODOS SANTOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-03-01,3,3,3,3,6
