,group,variable,month,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,TOTALES,TOTALES,TOTALES
YOCALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-03-01,0,4,0,4,4
YOTALA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-03-01,14,8,14,8,22
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-03-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-03-01,11,7,11,7,18
ACACIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,5,0,5,5
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,45,19,45,64
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,6,4,6,10
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,16,8,16,8,24
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,7,2,7,9
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,2,2,2,4
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,11,4,11,15
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,3,4,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,5,0,5,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,10,1,10,11
APOLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,15,13,15,28
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,5,0,5,5
ARANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,8,5,8,13
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,14,1,14,15
ARQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,16,6,16,6,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,37,4,37,4,41
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,2,4,2,6
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,4,1,4,5
AYATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,13,0,13,13
AYO AYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,32,19,32,51
AZURDUY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,9,9,9,9,18
BATALLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,7,11,7,18
BAURES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,2,6,2,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,52,16,52,16,68
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,21,27,21,27,48
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,8,1,8,9
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,7,0,7,7
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,2,7,2,9
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,20,8,20,8,28
CABEZAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,24,4,24,4,28
CAIROMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,9,18,9,18,27
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,21,0,21,21
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,4,7,4,11
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,9,1,9,10
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,6,6,6,12
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,10,13,10,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,0,3,0,3
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,46,7,46,7,53
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,20,4,20,4,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,11,0,11,11
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,32,2,32,34
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,71,36,71,36,107
CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,2,0,2,2
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,7,11,7,18
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,20,3,20,23
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,2,10,2,12
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,16,31,16,31,47
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,5,3,5,8
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,37,19,37,19,56
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,2,3,2,5
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,20,11,20,31
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,5,19,5,24
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,3,0,3,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,10,10,10,20
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,7,3,7,10
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,25,7,25,32
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,83,0,83,0,83
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,994,1,994,1,995
COIPASA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,27,0,27,0,27
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,0,3,0,3
COLLANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,0,5,0,5
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,18,7,18,7,25
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,5,8,5,13
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,12,89,12,89,101
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,7,7,7,14
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,15,10,15,25
COMANCHE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,5,1,5,6
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,24,8,24,8,32
COMBAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,10,0,10,10
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,49,18,49,18,67
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,15,2,15,17
CORIPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,2,13,2,15
CORO CORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,11,2,11,13
COROICO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,4,13,4,17
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,6,3,6,9
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,18,27,18,27,45
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,69,26,69,26,95
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,16,19,16,19,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,1,0,1,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,9,3,9,3,12
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,21,7,21,7,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,1,1,1,2
CURVA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,4,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,8,4,8,12
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,955,3,955,3,958
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,9,1,9,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,1,11,1,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,16,11,16,27
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,76,8,76,8,84
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,3,2,3,5
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,12,7,12,7,19
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,12,10,12,10,22
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,2,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,6,10,6,16
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,0,19,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,6,3,6,9
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,17,13,17,13,30
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,7,0,7,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,70,12,70,12,82
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,9,19,9,28
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,10,7,10,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,1,0,1,1
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,25,28,25,28,53
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,4,2,4,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,10,1,10,11
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,2,1,2,3
ICLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,5,4,5,9
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,17,23,17,23,40
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,9,4,9,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,12,8,12,8,20
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,3,7,3,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,5,6,5,11
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,42,13,42,13,55
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,50,2,50,2,52
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1060,3,1060,3,1063
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,6,5,6,11
LAJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,13,7,13,20
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,2,2,2,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,43,16,43,16,59
LLICA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
LORETO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,2,0,2,2
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,8,3,8,11
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,5,6,5,11
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,3,6,3,9
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,3,10,3,13
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,5,19,5,24
MALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,15,4,15,4,19
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,9,17,9,17,26
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,35,4,35,4,39
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,20,34,20,34,54
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,14,4,14,18
MOJINETE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,1,1,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,8,1,8,9
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,36,3,36,3,39
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,92,4,92,4,96
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,39,11,39,50
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,1,0,1,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,3,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,16,38,16,38,54
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,18,7,18,7,25
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,2,3,2,5
ORURO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,334,61,334,61,395
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,16,4,16,20
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,4,11,4,15
PAILON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,17,11,17,28
PALCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1,3,1,3,4
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,30,10,30,10,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,2,8,2,10
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,17,7,17,7,24
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,5,5,5,10
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,6,3,6,9
POCOATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,47,5,47,52
POCONA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,12,10,12,22
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,14,3,14,3,17
POOPO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,7,2,7,9
PORCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,5,7,5,12
POROMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,20,3,20,23
PORONGO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,9,13,9,22
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,15,6,15,6,21
PORVENIR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,3,3,3,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,245,18,245,18,263
PRESTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,8,2,8,10
PUCARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,1,3,1,4
PUCARANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,13,6,13,6,19
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,17,3,17,20
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,9,2,9,11
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,5,3,5,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,7,0,7,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,18,11,18,29
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,0,7,0,7
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,34,8,34,8,42
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,54,22,54,22,76
PUNA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,29,46,29,46,75
PUNATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,42,3,42,3,45
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,146,5,146,5,151
QUIME,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,9,9,9,9,18
RAVELO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,35,8,35,43
REYES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,17,0,17,0,17
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,131,12,131,12,143
ROBORE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,22,1,22,1,23
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,15,4,15,4,19
SABAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,2,4,2,6
SACABA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,127,19,127,19,146
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
SACACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,3,40,3,40,43
SAIPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,5,6,5,6,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,15,8,15,23
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,7,8,7,15
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,13,6,13,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,0,3,0,3,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,7,2,7,9
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,7,15,7,15,22
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,14,2,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,37,5,37,5,42
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,3,6,3,9
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,28,0,28,0,28
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,28,11,28,11,39
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,106,23,106,23,129
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,21,0,21,0,21
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,6,2,6,2,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,1,19,1,20
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,15,0,15,0,15
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,30,24,30,24,54
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,4,3,4,3,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,15,10,15,10,25
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,42,40,42,40,82
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,22,6,22,6,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,21,0,21,0,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,8,0,8,0,8
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,19,8,19,8,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,11,10,11,21
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,6,2,6,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,5,2,5,7
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,11,3,11,3,14
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,5,10,5,15
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,2,1,2,1,3
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,1780,165,1780,165,1945
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,10,0,10,0,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-04-01,18,5,18,5,23
