,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
ANTEQUERA,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANZALDO,atencion odontologica,endodoncia,2016-04-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
APOLO,atencion odontologica,endodoncia,2016-04-01,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,5,5
ARAMPAMPA,atencion odontologica,endodoncia,2016-04-01,4,6,2,5,2,0,2,1,1,0,0,0,0,0,11,12,23
ARANI,atencion odontologica,endodoncia,2016-04-01,4,6,0,2,0,0,0,1,0,0,0,0,0,0,4,9,13
ARBIETO,atencion odontologica,endodoncia,2016-04-01,1,10,2,1,0,4,1,3,0,1,0,0,0,0,4,19,23
ARQUE,atencion odontologica,endodoncia,2016-04-01,1,0,0,1,1,3,1,7,0,0,0,0,0,0,3,11,14
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,2,6,8,10,2,0,0,0,0,0,13,16,29
ATOCHA,atencion odontologica,endodoncia,2016-04-01,13,10,22,14,22,27,20,33,0,1,0,0,0,0,77,85,162
AYATA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
AYO AYO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2016-04-01,2,1,9,34,6,12,32,18,4,2,0,0,0,0,53,67,120
AZURDUY,atencion odontologica,endodoncia,2016-04-01,8,11,0,0,0,1,0,5,0,0,0,0,0,0,8,17,25
BERMEJO,atencion odontologica,endodoncia,2016-04-01,1,2,7,5,4,14,11,27,0,1,0,0,0,0,23,49,72
BETANZOS,atencion odontologica,endodoncia,2016-04-01,2,4,7,1,2,4,3,13,1,1,0,0,0,0,15,23,38
BOLIVAR,atencion odontologica,endodoncia,2016-04-01,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,4
BOYUIBE,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,endodoncia,2016-04-01,3,3,0,0,0,0,3,11,0,0,0,0,0,0,6,14,20
CABEZAS,atencion odontologica,endodoncia,2016-04-01,0,1,1,6,1,0,0,0,1,13,0,0,0,0,3,20,23
CAIROMA,atencion odontologica,endodoncia,2016-04-01,0,0,1,0,1,1,0,3,0,0,0,0,0,0,2,4,6
"CAIZA ""D""",atencion odontologica,endodoncia,2016-04-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CAJUATA,atencion odontologica,endodoncia,2016-04-01,1,0,1,1,0,0,2,0,0,0,0,0,0,0,4,1,5
CALACOTO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CALAMARCA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,2,2,6,1,0,0,0,0,0,3,8,11
CAMARGO,atencion odontologica,endodoncia,2016-04-01,0,1,0,1,0,0,1,2,1,2,0,0,0,0,2,6,8
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2016-04-01,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,2,4
CAMIRI,atencion odontologica,endodoncia,2016-04-01,8,8,3,6,3,4,8,29,5,3,0,0,0,0,27,50,77
CAPINOTA,atencion odontologica,endodoncia,2016-04-01,3,1,7,4,0,1,11,11,0,4,0,0,0,0,21,21,42
CAQUIAVIRI,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,1,2,1,1,0,1,0,0,0,0,2,4,6
CARACOLLO,atencion odontologica,endodoncia,2016-04-01,17,7,2,6,1,0,0,10,0,1,0,0,0,0,20,24,44
CARANAVI,atencion odontologica,endodoncia,2016-04-01,2,6,0,1,3,4,7,5,0,1,0,0,0,0,12,17,29
CARAPARI,atencion odontologica,endodoncia,2016-04-01,1,0,8,10,3,9,8,20,0,0,0,0,0,0,20,39,59
CARIPUYO,atencion odontologica,endodoncia,2016-04-01,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,5,6
CARMEN RIVERO TORREZ,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CATACORA,atencion odontologica,endodoncia,2016-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,atencion odontologica,endodoncia,2016-04-01,9,16,12,7,0,3,5,9,1,3,0,0,0,0,27,38,65
CHAQUI,atencion odontologica,endodoncia,2016-04-01,1,1,1,0,4,0,0,3,0,0,0,0,0,0,6,4,10
CHARAGUA,atencion odontologica,endodoncia,2016-04-01,2,0,0,0,2,2,0,2,0,0,0,0,0,0,4,4,8
CHAYANTA,atencion odontologica,endodoncia,2016-04-01,8,2,1,9,3,9,4,6,5,0,0,0,0,0,21,26,47
CHIMORE,atencion odontologica,endodoncia,2016-04-01,6,3,1,0,0,5,3,4,1,0,0,0,0,0,11,12,23
CHIPAYA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHOQUE COTA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CHUA COCANI,atencion odontologica,endodoncia,2016-04-01,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2016-04-01,15,14,3,5,0,0,4,12,2,1,0,0,0,0,24,32,56
CHUMA,atencion odontologica,endodoncia,2016-04-01,2,1,0,1,5,14,4,14,1,0,0,0,0,0,12,30,42
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2016-04-01,4,4,0,0,0,0,0,1,0,1,0,0,0,0,4,6,10
CKOCHAS,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CLIZA,atencion odontologica,endodoncia,2016-04-01,6,2,4,5,0,2,1,9,0,4,0,0,0,0,11,22,33
COBIJA,atencion odontologica,endodoncia,2016-04-01,11,6,4,3,6,8,7,21,1,0,0,0,0,0,29,38,67
COCAPATA,atencion odontologica,endodoncia,2016-04-01,1,1,0,0,0,2,0,2,1,0,0,0,0,0,2,5,7
COCHABAMBA,atencion odontologica,endodoncia,2016-04-01,169,190,148,144,104,148,304,438,87,54,0,0,0,0,812,974,1786
COIPASA,atencion odontologica,endodoncia,2016-04-01,1,0,0,1,1,0,1,0,1,0,0,0,0,0,4,1,5
COLCAPIRHUA,atencion odontologica,endodoncia,2016-04-01,9,12,1,0,0,0,2,7,3,3,0,0,0,0,15,22,37
"COLCHA ""K""",atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,2,4
COLLANA,atencion odontologica,endodoncia,2016-04-01,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
COLOMI,atencion odontologica,endodoncia,2016-04-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
COLQUECHACA,atencion odontologica,endodoncia,2016-04-01,7,11,4,2,4,3,14,26,4,9,0,0,0,0,33,51,84
COLQUENCHA,atencion odontologica,endodoncia,2016-04-01,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,3,5
COLQUIRI,atencion odontologica,endodoncia,2016-04-01,1,6,2,4,1,2,4,5,4,0,0,0,0,0,12,17,29
COMANCHE,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COMARAPA,atencion odontologica,endodoncia,2016-04-01,16,2,4,3,7,8,7,25,3,0,0,0,0,0,37,38,75
COPACABANA,atencion odontologica,endodoncia,2016-04-01,1,0,1,1,0,1,1,0,2,1,0,0,0,0,5,3,8
CORIPATA,atencion odontologica,endodoncia,2016-04-01,0,3,1,0,1,4,8,1,1,0,0,0,0,0,11,8,19
CORO CORO,atencion odontologica,endodoncia,2016-04-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
COROICO,atencion odontologica,endodoncia,2016-04-01,0,4,3,5,1,5,10,19,0,0,0,0,0,0,14,33,47
CORQUE,atencion odontologica,endodoncia,2016-04-01,0,1,1,1,0,2,0,1,2,1,0,0,0,0,3,6,9
COTAGAITA,atencion odontologica,endodoncia,2016-04-01,8,6,17,14,10,27,27,57,2,8,0,0,0,0,64,112,176
COTOCA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13
CUATRO CAÑADAS,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2016-04-01,0,1,2,0,2,0,0,5,0,0,0,0,0,0,4,6,10
CUEVO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CULPINA,atencion odontologica,endodoncia,2016-04-01,4,2,0,1,1,0,2,10,2,2,0,0,0,0,9,15,24
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,0,0,1,2,0,1,0,0,0,0,2,3,5
CURVA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
DESAGUADERO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,atencion odontologica,endodoncia,2016-04-01,175,198,169,169,48,96,94,210,26,28,0,0,0,0,512,701,1213
EL CHORO,atencion odontologica,endodoncia,2016-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EL PUENTE(STC),atencion odontologica,endodoncia,2016-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
EL PUENTE(TJA),atencion odontologica,endodoncia,2016-04-01,0,0,6,2,1,1,5,8,0,1,0,0,0,0,12,12,24
EL TORNO,atencion odontologica,endodoncia,2016-04-01,4,4,1,0,5,8,11,15,0,1,0,0,0,0,21,28,49
EL VILLAR,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,5,6
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2016-04-01,1,0,11,15,1,6,3,11,5,0,0,0,0,0,21,32,53
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2016-04-01,9,7,4,1,1,1,1,6,0,0,0,0,0,0,15,15,30
ESCARA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,1,4
ESCOMA,atencion odontologica,endodoncia,2016-04-01,2,3,2,0,3,2,1,3,0,0,0,0,0,0,8,8,16
ESMERALDA,atencion odontologica,endodoncia,2016-04-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
EUCALIPTUS,atencion odontologica,endodoncia,2016-04-01,3,1,2,0,0,0,1,7,3,0,0,0,0,0,9,8,17
EUREKA (SANTOS MERCADO),atencion odontologica,endodoncia,2016-04-01,1,0,1,3,0,1,1,3,0,0,0,0,0,0,3,7,10
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2016-04-01,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,3
FILADELFIA,atencion odontologica,endodoncia,2016-04-01,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,3
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2016-04-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2016-04-01,10,1,1,1,0,2,3,12,0,3,0,0,0,0,14,19,33
GUANAY,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,2,2,3,3,2,1,0,0,0,0,7,6,13
GUAQUI,atencion odontologica,endodoncia,2016-04-01,1,0,1,0,2,1,6,19,2,0,0,0,0,0,12,20,32
GUAYARAMERIN,atencion odontologica,endodoncia,2016-04-01,2,4,2,4,1,2,5,13,3,2,0,0,0,0,13,25,38
HUACARETA,atencion odontologica,endodoncia,2016-04-01,0,1,0,0,0,4,1,3,0,0,0,0,0,0,1,8,9
HUACHACALLA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,4
HUANUNI,atencion odontologica,endodoncia,2016-04-01,8,13,4,3,4,0,5,15,0,0,0,0,0,0,21,31,52
HUARACAJE,atencion odontologica,endodoncia,2016-04-01,2,2,0,3,0,0,0,6,0,0,0,0,0,0,2,11,13
HUARINA,atencion odontologica,endodoncia,2016-04-01,1,9,3,4,0,0,3,8,7,7,0,0,0,0,14,28,42
HUATAJATA,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,1,0,1,6,3,2,0,0,0,0,6,8,14
HUAYLLAMARCA,atencion odontologica,endodoncia,2016-04-01,0,1,1,3,0,1,1,0,0,1,0,0,0,0,2,6,8
HUMANATA,atencion odontologica,endodoncia,2016-04-01,6,10,0,0,0,0,0,0,7,3,0,0,0,0,13,13,26
ICHOCA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ICLA,atencion odontologica,endodoncia,2016-04-01,0,1,2,1,2,5,1,6,0,0,0,0,0,0,5,13,18
INCAHUASI,atencion odontologica,endodoncia,2016-04-01,2,3,0,0,1,1,1,3,1,0,0,0,0,0,5,7,12
INQUISIVI,atencion odontologica,endodoncia,2016-04-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2016-04-01,1,0,0,0,1,2,0,2,0,1,0,0,0,0,2,5,7
IXIAMAS,atencion odontologica,endodoncia,2016-04-01,0,0,1,0,2,0,0,4,1,0,0,0,0,0,4,4,8
JESUS DE MACHACA,atencion odontologica,endodoncia,2016-04-01,2,0,2,1,1,0,1,1,0,1,0,0,0,0,6,3,9
LA ASUNTA,atencion odontologica,endodoncia,2016-04-01,4,3,5,6,1,2,5,20,0,0,0,0,0,0,15,31,46
LA GUARDIA,atencion odontologica,endodoncia,2016-04-01,2,0,0,0,0,3,1,5,0,2,0,0,0,0,3,10,13
LA PAZ,atencion odontologica,endodoncia,2016-04-01,135,143,149,171,56,92,336,524,81,76,0,0,0,0,757,1006,1763
LAGUNILLAS,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
LAJA,atencion odontologica,endodoncia,2016-04-01,4,2,1,1,0,8,0,17,2,1,0,0,0,0,7,29,36
LAS CARRERAS,atencion odontologica,endodoncia,2016-04-01,0,2,0,0,3,0,1,2,1,0,0,0,0,0,5,4,9
LICOMA PAMPA,atencion odontologica,endodoncia,2016-04-01,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
LLALLAGUA,atencion odontologica,endodoncia,2016-04-01,21,15,1,2,1,7,0,28,5,7,0,0,0,0,28,59,87
LURIBAY,atencion odontologica,endodoncia,2016-04-01,1,1,1,0,0,3,2,7,0,0,0,0,0,0,4,11,15
MACHACAMARCA,atencion odontologica,endodoncia,2016-04-01,2,1,0,10,0,0,0,0,8,0,0,0,0,0,10,11,21
MACHARETI,atencion odontologica,endodoncia,2016-04-01,13,0,1,0,0,1,1,3,0,0,0,0,0,0,15,4,19
MAGDALENA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,1,2,1,3,0,0,0,0,0,0,2,5,7
MAIRANA,atencion odontologica,endodoncia,2016-04-01,5,0,2,1,2,1,4,8,0,0,0,0,0,0,13,10,23
MAPIRI,atencion odontologica,endodoncia,2016-04-01,2,2,2,1,4,0,5,6,0,0,0,0,0,0,13,9,22
MECAPACA,atencion odontologica,endodoncia,2016-04-01,3,2,0,1,0,1,2,3,1,0,0,0,0,0,6,7,13
MINEROS,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,8,8
MIZQUE,atencion odontologica,endodoncia,2016-04-01,2,2,3,4,0,0,1,3,0,1,0,0,0,0,6,10,16
MOCOMOCO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MOJOCOYA,atencion odontologica,endodoncia,2016-04-01,1,0,1,2,2,0,1,7,0,1,0,0,0,0,5,10,15
MONTEAGUDO,atencion odontologica,endodoncia,2016-04-01,16,6,2,2,1,5,4,19,2,0,0,0,0,0,25,32,57
MONTERO,atencion odontologica,endodoncia,2016-04-01,3,4,9,7,1,3,3,7,0,0,0,0,0,0,16,21,37
MORO MORO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,5,7
MOROCHATA,atencion odontologica,endodoncia,2016-04-01,4,2,2,0,0,0,2,4,2,4,0,0,0,0,10,10,20
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,endodoncia,2016-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
OCURI,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
OKINAWA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,endodoncia,2016-04-01,74,84,77,70,17,35,118,190,34,75,0,0,0,0,320,454,774
PADCAYA,atencion odontologica,endodoncia,2016-04-01,0,0,1,1,1,0,0,6,0,0,0,0,0,0,2,7,9
PADILLA,atencion odontologica,endodoncia,2016-04-01,2,0,3,2,0,5,7,17,0,2,0,0,0,0,12,26,38
PAILON,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
PALCA,atencion odontologica,endodoncia,2016-04-01,4,16,0,0,0,0,0,4,0,0,0,0,0,0,4,20,24
PALOS BLANCOS,atencion odontologica,endodoncia,2016-04-01,2,2,0,0,0,3,2,12,1,1,0,0,0,0,5,18,23
PAMPA AULLAGAS,atencion odontologica,endodoncia,2016-04-01,1,1,3,0,0,0,0,2,0,0,0,0,0,0,4,3,7
PAMPA GRANDE,atencion odontologica,endodoncia,2016-04-01,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
PAPEL PAMPA,atencion odontologica,endodoncia,2016-04-01,0,2,2,0,0,0,0,1,5,0,0,0,0,0,7,3,10
PASORAPA,atencion odontologica,endodoncia,2016-04-01,0,0,0,4,1,1,1,0,2,3,0,0,0,0,4,8,12
PATACAMAYA,atencion odontologica,endodoncia,2016-04-01,9,19,1,3,1,2,5,19,1,11,0,0,0,0,17,54,71
PAZÑA,atencion odontologica,endodoncia,2016-04-01,0,2,2,2,0,0,11,6,0,1,0,0,0,0,13,11,24
POCOATA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCONA,atencion odontologica,endodoncia,2016-04-01,1,1,0,2,1,6,1,6,0,0,0,0,0,0,3,15,18
POJO (CBBA),atencion odontologica,endodoncia,2016-04-01,0,0,0,2,1,6,5,3,1,0,0,0,0,0,7,11,18
POOPO,atencion odontologica,endodoncia,2016-04-01,3,3,4,5,0,0,0,4,0,0,0,0,0,0,7,12,19
PORCO,atencion odontologica,endodoncia,2016-04-01,1,0,0,1,0,2,0,4,0,0,0,0,0,0,1,7,8
PORVENIR,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2,6
POSTRER VALLE,atencion odontologica,endodoncia,2016-04-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
POTOSI,atencion odontologica,endodoncia,2016-04-01,98,106,56,71,87,126,67,142,14,11,0,0,0,0,322,456,778
PRESTO,atencion odontologica,endodoncia,2016-04-01,3,0,7,10,8,4,6,8,0,4,0,0,0,0,24,26,50
PUCARA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
PUCARANI,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
PUERTO ACOSTA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,4
PUERTO CARABUCO,atencion odontologica,endodoncia,2016-04-01,58,29,0,1,0,1,0,6,1,1,0,0,0,0,59,38,97
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2016-04-01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3
PUERTO PEREZ,atencion odontologica,endodoncia,2016-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUERTO QUIJARRO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
PUERTO RICO,atencion odontologica,endodoncia,2016-04-01,0,0,3,3,1,1,1,1,0,0,0,0,0,0,5,5,10
PUERTO SUAREZ,atencion odontologica,endodoncia,2016-04-01,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,4
PUERTO VILLARROEL,atencion odontologica,endodoncia,2016-04-01,26,21,1,2,1,7,9,23,3,1,0,0,0,0,40,54,94
PUNA,atencion odontologica,endodoncia,2016-04-01,0,1,0,0,0,0,2,13,0,0,0,0,0,0,2,14,16
PUNATA,atencion odontologica,endodoncia,2016-04-01,6,4,9,5,5,5,6,19,2,0,0,0,0,0,28,33,61
QUIABAYA,atencion odontologica,endodoncia,2016-04-01,0,2,0,0,0,3,1,3,0,0,0,0,0,0,1,8,9
QUILLACOLLO,atencion odontologica,endodoncia,2016-04-01,72,74,95,52,44,59,53,89,52,62,0,0,0,0,316,336,652
QUIME,atencion odontologica,endodoncia,2016-04-01,2,0,97,1,0,3,0,0,2,1,0,0,0,0,101,5,106
QUIRUSILLAS,atencion odontologica,endodoncia,2016-04-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3
RAVELO,atencion odontologica,endodoncia,2016-04-01,0,3,0,0,1,2,2,5,2,2,0,0,0,0,5,12,17
REYES,atencion odontologica,endodoncia,2016-04-01,0,0,1,0,9,0,6,11,0,0,0,0,0,0,16,11,27
RIBERALTA,atencion odontologica,endodoncia,2016-04-01,1,1,12,10,15,25,13,6,0,0,0,0,0,0,41,42,83
ROBORE,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,7,3,0,0,0,0,0,0,0,0,7,3,10
RURRENABAQUE,atencion odontologica,endodoncia,2016-04-01,6,4,2,3,0,0,0,0,0,0,0,0,0,0,8,7,15
SABAYA,atencion odontologica,endodoncia,2016-04-01,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,4
SACABA,atencion odontologica,endodoncia,2016-04-01,34,69,63,48,4,15,13,45,10,10,0,0,0,0,124,187,311
SACABAMBA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACACA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,3,4
SAIPINA,atencion odontologica,endodoncia,2016-04-01,5,2,3,3,1,1,1,6,0,1,0,0,0,0,10,13,23
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2016-04-01,2,2,4,6,1,1,0,2,2,0,0,0,0,0,9,11,20
SAMAIPATA,atencion odontologica,endodoncia,2016-04-01,2,0,0,2,0,0,0,1,1,0,0,0,0,0,3,3,6
SAN AGUSTIN,atencion odontologica,endodoncia,2016-04-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
SAN ANDRES,atencion odontologica,endodoncia,2016-04-01,2,0,0,6,1,0,2,3,0,0,0,0,0,0,5,9,14
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,1,4,8,0,1,0,0,0,0,4,10,14
SAN BENITO,atencion odontologica,endodoncia,2016-04-01,2,0,1,1,0,2,0,2,0,0,0,0,0,0,3,5,8
SAN BORJA,atencion odontologica,endodoncia,2016-04-01,3,1,0,4,1,15,2,6,4,0,0,0,0,0,10,26,36
SAN BUENA VENTURA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,3,4
SAN CARLOS,atencion odontologica,endodoncia,2016-04-01,2,1,0,0,0,1,0,3,1,0,0,0,0,0,3,5,8
SAN IGNACIO,atencion odontologica,endodoncia,2016-04-01,7,5,1,1,0,3,1,5,8,0,0,0,0,0,17,14,31
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,2,1,0,10,2,0,0,0,0,0,4,11,15
SAN JAVIER(STC),atencion odontologica,endodoncia,2016-04-01,5,1,0,0,0,2,6,6,2,2,0,0,0,0,13,11,24
SAN JOAQUIN,atencion odontologica,endodoncia,2016-04-01,6,0,0,0,0,0,0,9,1,0,0,0,0,0,7,9,16
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2016-04-01,1,3,1,1,0,0,1,0,0,1,0,0,0,0,3,5,8
SAN JULIAN,atencion odontologica,endodoncia,2016-04-01,2,3,1,0,1,1,1,5,0,2,0,0,0,0,5,11,16
SAN LORENZO(PND),atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),atencion odontologica,endodoncia,2016-04-01,1,1,7,6,3,5,10,24,1,1,0,0,0,0,22,37,59
SAN LUCAS,atencion odontologica,endodoncia,2016-04-01,4,4,3,2,2,7,3,16,0,1,0,0,0,0,12,30,42
SAN MATIAS,atencion odontologica,endodoncia,2016-04-01,9,8,1,0,0,3,0,2,2,0,0,0,0,0,12,13,25
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2016-04-01,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,7,7
SAN PABLO DE LIPEZ,atencion odontologica,endodoncia,2016-04-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN PEDRO,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,1,2,2,2,0,0,0,0,0,0,3,4,7
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncia,2016-04-01,0,0,2,1,0,1,1,2,1,0,0,0,0,0,4,4,8
SAN PEDRO DE QUEMES,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncia,2016-04-01,0,3,0,0,1,0,6,4,0,0,0,0,0,0,7,7,14
SAN RAFAEL,atencion odontologica,endodoncia,2016-04-01,2,1,0,0,0,4,0,1,0,0,0,0,0,0,2,6,8
SAN RAMON BENI,atencion odontologica,endodoncia,2016-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN RAMON SCZ,atencion odontologica,endodoncia,2016-04-01,5,5,2,3,1,2,2,2,2,2,0,0,0,0,12,14,26
SANTA ANA,atencion odontologica,endodoncia,2016-04-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
