,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
LURIBAY,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,2,2,2,4,9,9,7,0,0,0,0,0,22,16,38
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,3,4,0,0,1,4,8,3,0,0,0,0,13,12,25
MACHARETI,atencion odontologica,cirugia bucal menor,2016-02-01,5,1,3,3,1,2,6,20,3,0,0,0,0,0,18,26,44
MAGDALENA,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,5,6,2,2,12,10,6,1,0,0,0,0,26,20,46
MAIRANA,atencion odontologica,cirugia bucal menor,2016-02-01,1,3,1,1,0,1,4,2,0,1,0,0,0,0,6,8,14
MAPIRI,atencion odontologica,cirugia bucal menor,2016-02-01,5,7,10,9,3,8,8,25,12,14,0,0,0,0,38,63,101
MECAPACA,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,2,3,5,6,4,19,0,4,0,0,0,0,13,32,45
MINEROS,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MIZQUE,atencion odontologica,cirugia bucal menor,2016-02-01,0,4,9,9,3,5,8,15,8,23,0,0,0,0,28,56,84
MOCOMOCO,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,12,8,10,10,8,17,16,8,0,0,0,0,46,43,89
MOJOCOYA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,2,5,0,2,9,18,2,8,0,0,0,0,14,33,47
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2016-02-01,7,3,6,6,1,3,9,17,0,2,0,0,0,0,23,31,54
MONTERO,atencion odontologica,cirugia bucal menor,2016-02-01,8,10,67,66,17,20,44,111,20,6,0,0,0,0,156,213,369
MORO MORO,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,1,0,3,4,5,0,3,0,0,0,0,4,13,17
MOROCHATA,atencion odontologica,cirugia bucal menor,2016-02-01,4,0,4,2,1,1,2,11,10,7,0,0,0,0,21,21,42
OCURI,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,8,2,3,8,16,26,8,4,0,0,0,0,35,41,76
OKINAWA,atencion odontologica,cirugia bucal menor,2016-02-01,2,2,4,2,0,2,1,8,2,0,0,0,0,0,9,14,23
OMEREQUE,atencion odontologica,cirugia bucal menor,2016-02-01,2,3,0,0,1,1,3,3,1,1,0,0,0,0,7,8,15
ORURO,atencion odontologica,cirugia bucal menor,2016-02-01,85,85,90,100,21,47,93,180,81,68,0,0,0,0,370,480,850
PADCAYA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,16,9,3,7,12,22,2,0,0,0,0,0,33,38,71
PADILLA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,1,0,0,1,4,8,1,1,0,0,0,0,7,10,17
PAILON,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PALCA,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,10,20,1,6,9,13,3,4,0,0,0,0,24,44,68
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,11,4,0,5,8,16,11,11,0,0,0,0,32,37,69
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,1,1,1,1,1,3,1,0,0,0,0,0,5,5,10
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,2,1,0,0,0,7,2,3,0,0,0,0,5,11,16
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,2,2,1,3,2,9,2,8,0,0,0,0,7,22,29
PASORAPA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,10,4,2,2,15,26,1,10,0,0,0,0,29,42,71
PATACAMAYA,atencion odontologica,cirugia bucal menor,2016-02-01,1,3,7,0,0,0,0,1,0,1,0,0,0,0,8,5,13
PAZÑA,atencion odontologica,cirugia bucal menor,2016-02-01,0,2,4,4,1,0,3,7,0,5,0,0,0,0,8,18,26
PELECHUCO,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,3,2,0,3,3,2,8,4,0,0,0,0,16,11,27
POCOATA,atencion odontologica,cirugia bucal menor,2016-02-01,1,4,0,1,1,0,7,12,0,1,0,0,0,0,9,18,27
POCONA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,6,8
POJO (CBBA),atencion odontologica,cirugia bucal menor,2016-02-01,0,0,10,5,0,4,12,17,2,2,0,0,0,0,24,28,52
POOPO,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,9,9,1,3,4,11,2,1,0,0,0,0,16,25,41
PORCO,atencion odontologica,cirugia bucal menor,2016-02-01,2,2,2,5,0,5,2,6,1,0,0,0,0,0,7,18,25
POROMA,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,5,4,2,3,4,16,10,2,0,0,0,0,23,26,49
PORONGO,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PORTACHUELO,atencion odontologica,cirugia bucal menor,2016-02-01,3,4,15,7,0,1,6,0,4,4,0,0,0,0,28,16,44
PORVENIR,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,2,0,0,0,4,1,0,0,0,0,0,2,6,8
POTOSI,atencion odontologica,cirugia bucal menor,2016-02-01,57,55,50,55,59,72,89,125,19,15,0,0,0,0,274,322,596
PRESTO,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,2,6,0,1,8,16,1,4,0,0,0,0,13,27,40
PUCARA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,2,3,1,0,7,3,0,0,0,0,0,0,10,6,16
PUCARANI,atencion odontologica,cirugia bucal menor,2016-02-01,8,7,24,20,13,32,28,51,61,32,0,0,0,0,134,142,276
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2016-02-01,1,2,7,4,7,10,7,15,14,24,0,0,0,0,36,55,91
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,14,7,6,16,31,25,29,20,0,0,0,0,81,69,150
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,0,0,0,1,2,0,0,0,0,0,0,0,3,2,5
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,2,0,0,1,0,1,1,0,0,0,0,0,4,2,6
PUERTO RICO,atencion odontologica,cirugia bucal menor,2016-02-01,0,3,2,7,7,3,8,8,0,0,0,0,0,0,17,21,38
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,0,0,0,2,0,5,7,0,0,0,0,0,8,7,15
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2016-02-01,12,16,2,4,2,0,1,7,3,0,0,0,0,0,20,27,47
PUNA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,6,5,5,7,22,27,2,8,0,0,0,0,35,47,82
PUNATA,atencion odontologica,cirugia bucal menor,2016-02-01,0,2,3,8,0,5,1,9,0,4,0,0,0,0,4,28,32
QUIABAYA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,1,4,2,2,0,0,0,0,0,6,3,9
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2016-02-01,38,19,1,3,0,2,1,18,5,5,0,0,0,0,45,47,92
QUIME,atencion odontologica,cirugia bucal menor,2016-02-01,9,7,7,7,4,6,11,17,9,6,0,0,0,0,40,43,83
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
RAVELO,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,1,1,0,6,8,16,2,2,0,0,0,0,13,25,38
REYES,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,4,6
RIBERALTA,atencion odontologica,cirugia bucal menor,2016-02-01,10,17,38,39,19,30,41,70,8,21,0,0,0,0,116,177,293
ROBORE,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2016-02-01,5,4,9,9,10,11,18,15,12,7,0,0,0,0,54,46,100
SABAYA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,4,1,1,1,1,8,1,8,0,0,0,0,8,18,26
SACABA,atencion odontologica,cirugia bucal menor,2016-02-01,23,16,9,10,2,14,7,35,16,26,0,0,0,0,57,101,158
SACABAMBA,atencion odontologica,cirugia bucal menor,2016-02-01,0,4,4,1,0,0,4,8,1,5,0,0,0,0,9,18,27
SACACA,atencion odontologica,cirugia bucal menor,2016-02-01,11,4,14,5,3,7,7,22,6,13,0,0,0,0,41,51,92
SAIPINA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2016-02-01,3,6,20,10,2,3,6,11,12,2,0,0,0,0,43,32,75
SAMAIPATA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,5,6
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
SAN ANDRES,atencion odontologica,cirugia bucal menor,2016-02-01,0,2,2,7,3,4,1,3,2,0,0,0,0,0,8,16,24
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,5,9,2,3,0,6,5,4,0,0,0,0,12,22,34
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,8,8
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,1,3,0,3,2,11,6,9,0,0,0,0,11,26,37
SAN BENITO,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,8,8
SAN BORJA,atencion odontologica,cirugia bucal menor,2016-02-01,1,2,3,10,3,4,3,14,5,8,0,0,0,0,15,38,53
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2016-02-01,0,3,1,3,0,4,4,8,4,3,0,0,0,0,9,21,30
SAN CARLOS,atencion odontologica,cirugia bucal menor,2016-02-01,3,1,2,2,0,1,0,0,1,0,0,0,0,0,6,4,10
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,21,14,6,13,10,40,16,2,0,0,0,0,55,69,124
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2016-02-01,3,5,1,0,2,4,2,16,15,13,0,0,0,0,23,38,61
SAN JAVIER(BNI),atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,4,6
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,1,1,0,1,3,0,0,0,0,0,0,3,4,7
SAN JOAQUIN,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,8,0,4,6,0,0,0,0,0,6,12,18
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,1,0,1,0,1,2,1,0,0,0,0,0,5,2,7
SAN JULIAN,atencion odontologica,cirugia bucal menor,2016-02-01,0,6,3,5,0,1,9,16,21,18,0,0,0,0,33,46,79
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2016-02-01,2,6,19,21,7,10,19,57,3,13,0,0,0,0,50,107,157
SAN LUCAS,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,5,2,3,8,7,43,7,7,0,0,0,0,22,60,82
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,3,7,1,2,5,8,5,7,0,0,0,0,14,24,38
SAN PABLO DE LIPEZ,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,3
SAN PEDRO,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,12,6,2,5,5,17,13,15,0,0,0,0,33,43,76
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2016-02-01,4,1,6,1,2,1,9,12,3,14,0,0,0,0,24,29,53
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,4,1,0,1,0,1,0,4,0,0,0,0,6,7,13
SAN PEDRO DE QUEMES,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,8,5,5,6,9,22,8,6,0,0,0,0,30,39,69
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,2,5,0,2,0,6,0,1,0,0,0,0,2,14,16
SAN RAMON SCZ,atencion odontologica,cirugia bucal menor,2016-02-01,5,8,1,1,1,1,1,1,1,1,0,0,0,0,9,12,21
SANTA ANA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,18,24,6,4,7,32,8,4,0,0,0,0,39,64,103
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2016-02-01,44,42,10,22,3,24,8,71,39,28,0,0,0,0,104,187,291
SANTA ROSA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,5,3,1,2,5,10,1,2,0,0,0,0,12,17,29
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2016-02-01,3,0,0,1,0,1,0,5,0,0,0,0,0,0,3,7,10
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,2,0,1,0,7,4,7,0,0,0,0,5,17,22
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2016-02-01,2,2,7,8,1,0,9,8,4,9,0,0,0,0,23,27,50
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2016-02-01,3,2,5,3,2,5,4,9,7,18,0,0,0,0,21,37,58
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,5,0,3,1,5,7,5,7,0,0,0,0,18,15,33
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,4,2,3,1,0,0,2,0,0,0,0,3,9,12
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,1,0,0,4,2,0,1,0,0,0,0,4,5,9
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2016-02-01,3,1,5,7,3,3,14,15,11,9,0,0,0,0,36,35,71
SENA,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,0,0,0,3,3,0,1,0,0,0,0,3,5,8
SHINAOTA,atencion odontologica,cirugia bucal menor,2016-02-01,1,2,6,4,1,0,0,11,1,1,0,0,0,0,9,18,27
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2016-02-01,0,2,2,10,7,7,13,27,7,19,0,0,0,0,29,65,94
SICAYA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,4,4,0,1,1,9,2,1,0,0,0,0,8,15,23
SIPE SIPE,atencion odontologica,cirugia bucal menor,2016-02-01,4,3,0,2,0,0,2,4,11,4,0,0,0,0,17,13,30
SOPACHUY,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,14,12,2,5,5,12,3,3,0,0,0,0,25,32,57
SORACACHI,atencion odontologica,cirugia bucal menor,2016-02-01,5,4,22,22,0,3,9,12,5,8,0,0,0,0,41,49,90
SORATA,atencion odontologica,cirugia bucal menor,2016-02-01,7,6,2,5,0,5,9,5,4,17,0,0,0,0,22,38,60
SUCRE,atencion odontologica,cirugia bucal menor,2016-02-01,79,90,111,130,25,49,66,158,58,50,0,0,0,0,339,477,816
TACACHI,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,4
TACACOMA,atencion odontologica,cirugia bucal menor,2016-02-01,3,1,4,3,2,3,7,19,1,5,0,0,0,0,17,31,48
TACOBAMBA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
TACOPAYA,atencion odontologica,cirugia bucal menor,2016-02-01,3,3,2,4,4,5,6,15,3,7,0,0,0,0,18,34,52
TAPACARI,atencion odontologica,cirugia bucal menor,2016-02-01,3,2,17,9,2,6,6,33,15,8,0,0,0,0,43,58,101
TARABUCO,atencion odontologica,cirugia bucal menor,2016-02-01,3,1,3,2,3,6,1,13,19,25,0,0,0,0,29,47,76
TARACO,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,4,3,2,4,5,7,21,11,0,0,0,0,32,25,57
TARATA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,2,2,0,0,1,1,0,2,0,0,0,0,3,5,8
TARIJA,atencion odontologica,cirugia bucal menor,2016-02-01,16,9,63,70,33,65,98,183,7,25,0,0,0,0,217,352,569
TARVITA,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,3,0,1,5,4,18,2,3,0,0,0,0,12,27,39
TEOPONTE,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,5,9,3,6,13,20,6,3,0,0,0,0,27,39,66
TIAWANACU,atencion odontologica,cirugia bucal menor,2016-02-01,4,1,3,4,3,11,8,9,1,4,0,0,0,0,19,29,48
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,2,2,9,16,24,11,23,0,0,0,0,30,58,88
TIPUANI,atencion odontologica,cirugia bucal menor,2016-02-01,3,2,8,3,1,2,11,4,1,6,0,0,0,0,24,17,41
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2016-02-01,20,14,30,20,7,12,5,36,4,22,0,0,0,0,66,104,170
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2016-02-01,4,4,7,8,1,3,2,8,7,8,0,0,0,0,21,31,52
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2016-02-01,1,0,1,0,0,0,4,4,1,3,0,0,0,0,7,7,14
TOCO,atencion odontologica,cirugia bucal menor,2016-02-01,1,5,4,6,1,1,2,9,7,10,0,0,0,0,15,31,46
TODOS SANTOS,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TOLATA,atencion odontologica,cirugia bucal menor,2016-02-01,1,2,2,2,0,0,2,5,1,5,0,0,0,0,6,14,20
TOLEDO,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,2,1,0,0,2,5,0,0,0,0,0,0,4,6,10
TOMAVE,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,1,1,1,0,0,1,0,0,0,0,0,0,3,2,5
TOMINA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,1,3,1,0,2,2,1,0,0,0,0,0,5,5,10
TORO TORO,atencion odontologica,cirugia bucal menor,2016-02-01,3,0,1,2,3,1,2,16,1,1,0,0,0,0,10,20,30
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2016-02-01,1,3,6,5,2,4,5,8,1,1,0,0,0,0,15,21,36
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2016-02-01,1,0,5,1,1,3,2,7,0,0,0,0,0,0,9,11,20
TRIGAL,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,2,0,1,1,7,1,3,0,0,0,0,2,13,15
TRINIDAD,atencion odontologica,cirugia bucal menor,2016-02-01,3,4,40,29,8,24,30,71,8,5,0,0,0,0,89,133,222
TUPIZA,atencion odontologica,cirugia bucal menor,2016-02-01,4,6,5,11,8,14,10,28,8,11,0,0,0,0,35,70,105
TURCO,atencion odontologica,cirugia bucal menor,2016-02-01,1,1,1,1,0,2,2,2,5,2,0,0,0,0,9,8,17
UMALA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,1,1,4,0,1,0,5,0,0,0,0,1,11,12
UNCIA,atencion odontologica,cirugia bucal menor,2016-02-01,5,4,11,9,0,5,1,13,4,8,0,0,0,0,21,39,60
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2016-02-01,0,2,3,11,8,7,16,44,17,9,0,0,0,0,44,73,117
URUBICHA,atencion odontologica,cirugia bucal menor,2016-02-01,5,1,0,0,0,1,1,2,0,0,0,0,0,0,6,4,10
UYUNI,atencion odontologica,cirugia bucal menor,2016-02-01,10,9,3,6,0,0,4,8,2,2,0,0,0,0,19,25,44
VACAS,atencion odontologica,cirugia bucal menor,2016-02-01,2,2,3,8,0,5,10,10,3,16,0,0,0,0,18,41,59
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2016-02-01,4,1,7,4,1,10,8,23,19,16,0,0,0,0,39,54,93
VIACHA,atencion odontologica,cirugia bucal menor,2016-02-01,4,10,13,15,4,8,15,25,27,27,0,0,0,0,63,85,148
VILA VILA,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
VILLA CHARCAS,atencion odontologica,cirugia bucal menor,2016-02-01,2,1,5,1,1,1,2,10,0,4,0,0,0,0,10,17,27
VILLA MONTES,atencion odontologica,cirugia bucal menor,2016-02-01,5,5,58,52,33,41,71,192,6,9,0,0,0,0,173,299,472
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2016-02-01,3,2,1,0,0,4,0,7,1,1,0,0,0,0,5,14,19
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2016-02-01,4,1,1,1,1,7,8,1,2,1,0,0,0,0,16,11,27
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2016-02-01,28,16,12,9,5,12,13,31,12,9,0,0,0,0,70,77,147
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,1,1,3,6,3,7,3,0,0,0,0,14,11,25
VILLAZON,atencion odontologica,cirugia bucal menor,2016-02-01,10,5,24,14,8,15,10,48,23,43,0,0,0,0,75,125,200
VINTO,atencion odontologica,cirugia bucal menor,2016-02-01,8,9,1,2,0,0,0,7,1,1,0,0,0,0,10,19,29
VITICHI,atencion odontologica,cirugia bucal menor,2016-02-01,0,0,8,5,7,11,8,25,6,8,0,0,0,0,29,49,78
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,12,3,4,3,3,24,3,3,0,0,0,0,24,33,57
WARNES,atencion odontologica,cirugia bucal menor,2016-02-01,9,7,5,15,0,14,5,20,4,0,0,0,0,0,23,56,79
YACO,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,0,1,0,2,0,7,2,0,0,0,0,10,3,13
YACUIBA,atencion odontologica,cirugia bucal menor,2016-02-01,5,1,33,34,14,43,49,97,11,14,0,0,0,0,112,189,301
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2016-02-01,3,0,0,4,3,1,7,5,3,3,0,0,0,0,16,13,29
YANACACHI,atencion odontologica,cirugia bucal menor,2016-02-01,4,0,4,6,0,3,11,8,2,0,0,0,0,0,21,17,38
YAPACANI,atencion odontologica,cirugia bucal menor,2016-02-01,7,7,1,0,1,5,5,12,4,5,0,0,0,0,18,29,47
YOCALLA,atencion odontologica,cirugia bucal menor,2016-02-01,0,1,0,0,0,0,6,4,1,1,0,0,0,0,7,6,13
YOTALA,atencion odontologica,cirugia bucal menor,2016-02-01,3,2,11,8,2,4,7,12,6,7,0,0,0,0,29,33,62
YUNCHARA,atencion odontologica,cirugia bucal menor,2016-02-01,1,0,21,24,2,7,10,24,1,2,0,0,0,0,35,57,92
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2016-02-01,2,0,0,2,1,2,1,1,1,0,0,0,0,0,5,5,10
ACACIO,atencion odontologica,cirugia bucal menor,2016-03-01,1,0,8,2,0,0,0,1,0,0,0,0,0,0,9,3,12
ACHACACHI,atencion odontologica,cirugia bucal menor,2016-03-01,2,0,7,4,5,9,12,27,31,27,0,0,0,0,57,67,124
ACHOCALLA,atencion odontologica,cirugia bucal menor,2016-03-01,0,2,10,5,5,4,9,13,9,2,0,0,0,0,33,26,59
ALALAY,atencion odontologica,cirugia bucal menor,2016-03-01,1,0,1,0,0,0,4,1,3,0,0,0,0,0,9,1,10
ALCALA,atencion odontologica,cirugia bucal menor,2016-03-01,1,7,10,12,2,9,4,9,1,1,0,0,0,0,18,38,56
ALTO BENI,atencion odontologica,cirugia bucal menor,2016-03-01,4,2,4,0,2,2,4,6,11,9,0,0,0,0,25,19,44
ANCORAIMES,atencion odontologica,cirugia bucal menor,2016-03-01,1,1,8,7,6,5,13,24,19,19,0,0,0,0,47,56,103
ANDAMARCA,atencion odontologica,cirugia bucal menor,2016-03-01,1,1,10,11,0,1,3,4,6,0,0,0,0,0,20,17,37
ANTEQUERA,atencion odontologica,cirugia bucal menor,2016-03-01,2,1,2,5,4,2,5,15,2,2,0,0,0,0,15,25,40
ANZALDO,atencion odontologica,cirugia bucal menor,2016-03-01,1,3,15,17,2,1,5,10,11,4,0,0,0,0,34,35,69
APOLO,atencion odontologica,cirugia bucal menor,2016-03-01,0,3,3,1,0,3,4,6,0,1,0,0,0,0,7,14,21
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2016-03-01,1,0,1,2,0,2,6,4,4,0,0,0,0,0,12,8,20
ARANI,atencion odontologica,cirugia bucal menor,2016-03-01,1,0,2,4,0,2,1,5,0,4,0,0,0,0,4,15,19
ARBIETO,atencion odontologica,cirugia bucal menor,2016-03-01,1,0,1,8,1,2,2,11,1,3,0,0,0,0,6,24,30
ARQUE,atencion odontologica,cirugia bucal menor,2016-03-01,1,3,7,3,5,9,8,29,10,5,0,0,0,0,31,49,80
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2016-03-01,8,1,0,5,0,2,1,9,4,11,0,0,0,0,13,28,41
ATOCHA,atencion odontologica,cirugia bucal menor,2016-03-01,3,9,21,9,7,11,30,51,0,0,0,0,0,0,61,80,141
AUCAPATA,atencion odontologica,cirugia bucal menor,2016-03-01,0,3,4,7,2,3,4,9,0,0,0,0,0,0,10,22,32
AYATA,atencion odontologica,cirugia bucal menor,2016-03-01,0,0,3,0,3,10,11,18,10,1,0,0,0,0,27,29,56
AYO AYO,atencion odontologica,cirugia bucal menor,2016-03-01,2,0,0,2,4,1,6,11,1,10,0,0,0,0,13,24,37
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2016-03-01,7,3,4,6,3,0,6,8,3,1,0,0,0,0,23,18,41
AZURDUY,atencion odontologica,cirugia bucal menor,2016-03-01,1,1,4,1,0,5,11,38,1,16,0,0,0,0,17,61,78
BATALLAS,atencion odontologica,cirugia bucal menor,2016-03-01,2,2,12,13,8,7,11,24,17,16,0,0,0,0,50,62,112
