,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
PORONGO,atencion odontologica,primera consulta,2016-02-01,21,22,0,0,0,0,0,3,5,1,0,14,0,9,26,49,75
PORTACHUELO,atencion odontologica,primera consulta,2016-02-01,1,8,3,2,3,4,5,31,1,0,0,2,0,0,13,47,60
PORVENIR,atencion odontologica,primera consulta,2016-02-01,38,54,12,9,15,11,12,24,3,2,0,7,0,10,80,117,197
POSTRER VALLE,atencion odontologica,primera consulta,2016-02-01,8,4,4,2,0,3,2,4,1,0,0,4,0,0,15,17,32
POTOSI,atencion odontologica,primera consulta,2016-02-01,224,232,130,154,169,199,242,368,51,49,0,82,0,89,816,1173,1989
PRESTO,atencion odontologica,primera consulta,2016-02-01,24,33,21,24,8,9,15,23,1,3,0,9,0,3,69,104,173
PUCARA,atencion odontologica,primera consulta,2016-02-01,11,5,4,5,2,2,7,9,0,0,0,3,0,2,24,26,50
PUCARANI,atencion odontologica,primera consulta,2016-02-01,24,34,29,36,14,41,37,83,33,15,0,8,0,12,137,229,366
PUERTO ACOSTA,atencion odontologica,primera consulta,2016-02-01,14,11,8,4,10,20,12,25,30,33,0,8,0,1,74,102,176
PUERTO CARABUCO,atencion odontologica,primera consulta,2016-02-01,8,7,16,9,11,20,35,37,17,12,0,1,0,1,87,87,174
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2016-02-01,28,29,43,23,2,5,6,10,2,2,0,3,0,3,81,75,156
PUERTO QUIJARRO,atencion odontologica,primera consulta,2016-02-01,42,20,2,1,1,5,4,15,2,5,0,16,0,6,51,68,119
PUERTO RICO,atencion odontologica,primera consulta,2016-02-01,23,31,29,30,13,2,13,15,1,0,0,4,0,1,79,83,162
PUERTO SUAREZ,atencion odontologica,primera consulta,2016-02-01,8,4,2,1,0,3,2,15,4,3,0,5,0,2,16,33,49
PUERTO VILLARROEL,atencion odontologica,primera consulta,2016-02-01,31,42,4,9,7,14,16,47,9,6,0,10,0,16,67,144,211
PUNA,atencion odontologica,primera consulta,2016-02-01,11,11,13,15,7,20,40,80,6,4,0,4,0,15,77,149,226
PUNATA,atencion odontologica,primera consulta,2016-02-01,10,20,7,8,10,9,11,43,5,8,0,10,0,11,43,109,152
QUIABAYA,atencion odontologica,primera consulta,2016-02-01,0,1,1,0,0,0,4,2,1,0,0,0,0,0,6,3,9
QUILLACOLLO,atencion odontologica,primera consulta,2016-02-01,118,108,24,26,4,27,15,114,16,16,0,24,0,61,177,376,553
QUIME,atencion odontologica,primera consulta,2016-02-01,45,43,8,4,7,16,29,39,19,11,0,10,0,3,108,126,234
QUIRUSILLAS,atencion odontologica,primera consulta,2016-02-01,1,2,8,5,2,2,4,2,1,0,0,1,0,0,16,12,28
RAVELO,atencion odontologica,primera consulta,2016-02-01,20,25,4,6,3,6,10,29,19,16,0,6,0,13,56,101,157
REYES,atencion odontologica,primera consulta,2016-02-01,0,0,1,2,3,0,1,2,0,0,0,0,0,0,5,4,9
RIBERALTA,atencion odontologica,primera consulta,2016-02-01,84,96,95,73,39,89,76,180,14,17,0,83,0,25,308,563,871
ROBORE,atencion odontologica,primera consulta,2016-02-01,21,25,14,15,3,11,3,40,6,0,0,1,0,4,47,96,143
RURRENABAQUE,atencion odontologica,primera consulta,2016-02-01,12,13,14,13,15,21,21,22,6,7,0,13,0,10,68,99,167
SABAYA,atencion odontologica,primera consulta,2016-02-01,2,5,26,22,1,4,3,13,4,6,0,1,0,2,36,53,89
SACABA,atencion odontologica,primera consulta,2016-02-01,58,62,21,16,6,23,34,104,31,38,0,22,0,58,150,323,473
SACABAMBA,atencion odontologica,primera consulta,2016-02-01,0,2,5,0,1,0,7,7,2,1,0,0,0,0,15,10,25
SACACA,atencion odontologica,primera consulta,2016-02-01,17,13,15,7,5,9,16,35,14,21,0,5,0,4,67,94,161
SAIPINA,atencion odontologica,primera consulta,2016-02-01,4,0,3,1,3,5,8,5,5,3,0,2,0,1,23,17,40
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2016-02-01,46,39,46,23,3,9,8,23,31,35,0,9,0,8,134,146,280
SAMAIPATA,atencion odontologica,primera consulta,2016-02-01,13,14,1,2,0,5,2,5,0,0,0,2,0,1,16,29,45
SAN ANDRES,atencion odontologica,primera consulta,2016-02-01,6,5,17,15,7,8,9,9,2,0,0,3,0,0,41,40,81
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2016-02-01,10,6,17,20,6,4,2,12,10,11,0,2,0,1,45,56,101
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2016-02-01,0,1,0,1,0,2,2,2,2,0,0,0,0,0,4,6,10
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2016-02-01,21,21,2,3,2,0,4,11,8,5,0,6,0,15,37,61,98
SAN BENITO,atencion odontologica,primera consulta,2016-02-01,11,10,1,6,0,1,1,6,0,2,0,2,0,3,13,30,43
SAN BORJA,atencion odontologica,primera consulta,2016-02-01,148,138,8,11,7,11,12,43,6,2,0,4,0,14,181,223,404
SAN BUENA VENTURA,atencion odontologica,primera consulta,2016-02-01,11,17,6,7,2,8,7,21,4,4,0,13,0,4,30,74,104
SAN CARLOS,atencion odontologica,primera consulta,2016-02-01,9,14,8,10,5,9,11,12,6,8,0,6,0,5,39,64,103
SAN IGNACIO,atencion odontologica,primera consulta,2016-02-01,27,30,45,71,13,33,38,72,22,4,0,19,0,10,145,239,384
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2016-02-01,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,6,6
SAN JAVIER(BNI),atencion odontologica,primera consulta,2016-02-01,1,1,4,9,1,0,3,2,1,0,0,1,0,0,10,13,23
SAN JAVIER(STC),atencion odontologica,primera consulta,2016-02-01,65,74,12,14,4,4,5,15,9,1,0,4,0,3,95,115,210
SAN JOAQUIN,atencion odontologica,primera consulta,2016-02-01,3,4,0,3,0,8,1,6,2,3,0,6,0,7,6,37,43
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2016-02-01,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,4
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2016-02-01,11,12,5,8,6,8,1,22,3,3,0,9,0,5,26,67,93
SAN JULIAN,atencion odontologica,primera consulta,2016-02-01,197,212,134,134,4,15,14,57,51,42,0,30,0,54,400,544,944
SAN LORENZO(PND),atencion odontologica,primera consulta,2016-02-01,11,10,0,0,0,0,0,0,1,0,0,5,0,2,12,17,29
SAN LORENZO(TJA),atencion odontologica,primera consulta,2016-02-01,20,23,61,79,33,46,54,121,9,11,0,5,0,1,177,286,463
SAN LUCAS,atencion odontologica,primera consulta,2016-02-01,91,78,32,42,2,30,23,97,7,6,0,31,0,7,155,291,446
SAN MATIAS,atencion odontologica,primera consulta,2016-02-01,10,4,5,3,2,4,7,7,3,5,0,1,0,2,27,26,53
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2016-02-01,37,55,10,6,3,8,12,26,5,10,0,5,0,3,67,113,180
SAN PABLO DE LIPEZ,atencion odontologica,primera consulta,2016-02-01,9,10,1,2,3,2,4,9,2,0,0,1,0,4,19,28,47
SAN PEDRO,atencion odontologica,primera consulta,2016-02-01,23,36,55,69,11,16,13,60,9,10,0,19,0,7,111,217,328
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2016-02-01,11,10,12,6,4,8,19,39,7,11,0,11,0,6,53,91,144
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2016-02-01,6,5,4,4,2,4,4,9,1,3,0,1,0,1,17,27,44
SAN PEDRO DE QUEMES,atencion odontologica,primera consulta,2016-02-01,1,0,1,2,0,0,1,3,0,1,0,1,0,0,3,7,10
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2016-02-01,11,4,4,2,4,7,5,23,11,18,0,2,0,3,35,59,94
SAN RAFAEL,atencion odontologica,primera consulta,2016-02-01,16,13,3,5,0,6,1,13,0,1,0,7,0,1,20,46,66
SAN RAMON BENI,atencion odontologica,primera consulta,2016-02-01,0,0,3,5,1,3,5,9,2,1,0,13,0,2,11,33,44
SAN RAMON SCZ,atencion odontologica,primera consulta,2016-02-01,38,59,10,8,7,8,5,9,2,2,0,10,0,5,62,101,163
SANTA ANA,atencion odontologica,primera consulta,2016-02-01,7,9,33,36,12,21,19,50,10,4,0,0,0,0,81,120,201
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2016-02-01,2709,2053,286,293,111,484,278,1816,518,493,0,1699,0,388,3902,7226,11128
SANTA ROSA,atencion odontologica,primera consulta,2016-02-01,3,0,6,4,1,2,4,13,1,2,0,2,0,1,15,24,39
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2016-02-01,16,18,3,9,4,8,12,23,14,11,0,6,0,9,49,84,133
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2016-02-01,6,4,5,4,0,5,2,12,3,6,0,9,0,9,16,49,65
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2016-02-01,25,13,26,24,6,5,31,53,20,21,0,5,0,9,108,130,238
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2016-02-01,15,7,5,8,3,8,10,17,12,13,0,3,0,3,45,59,104
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2016-02-01,0,1,5,0,3,6,6,6,4,6,0,3,0,0,18,22,40
SANTIVAÑES,atencion odontologica,primera consulta,2016-02-01,10,8,8,12,4,7,16,18,10,14,0,1,0,7,48,67,115
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2016-02-01,5,5,2,1,0,0,6,7,5,3,0,4,0,0,18,20,38
SAPAHAQUI,atencion odontologica,primera consulta,2016-02-01,21,22,9,7,7,9,9,13,6,10,0,0,0,6,52,67,119
SENA,atencion odontologica,primera consulta,2016-02-01,1,1,0,3,0,5,1,7,1,1,0,10,0,0,3,27,30
SHINAOTA,atencion odontologica,primera consulta,2016-02-01,19,20,18,14,7,8,14,36,4,1,0,14,0,44,62,137,199
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2016-02-01,6,7,1,4,8,3,9,21,12,9,0,1,0,4,36,49,85
SICAYA,atencion odontologica,primera consulta,2016-02-01,5,2,4,7,1,3,5,15,2,2,0,4,0,3,17,36,53
SIPE SIPE,atencion odontologica,primera consulta,2016-02-01,55,65,24,45,6,26,24,83,12,32,0,24,0,25,121,300,421
SOPACHUY,atencion odontologica,primera consulta,2016-02-01,14,18,11,15,3,7,17,27,1,4,0,7,0,7,46,85,131
SORACACHI,atencion odontologica,primera consulta,2016-02-01,18,16,37,34,7,11,11,23,5,9,0,6,0,6,78,105,183
SORATA,atencion odontologica,primera consulta,2016-02-01,27,19,3,11,2,9,12,16,6,7,0,23,0,23,50,108,158
SUCRE,atencion odontologica,primera consulta,2016-02-01,906,924,248,281,141,369,454,1412,126,104,0,804,0,228,1875,4122,5997
TACACHI,atencion odontologica,primera consulta,2016-02-01,0,4,2,2,0,0,0,2,0,1,0,0,0,0,2,9,11
TACACOMA,atencion odontologica,primera consulta,2016-02-01,3,1,2,5,1,2,12,24,2,3,0,5,0,1,20,41,61
TACOBAMBA,atencion odontologica,primera consulta,2016-02-01,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,8,8
TACOPAYA,atencion odontologica,primera consulta,2016-02-01,9,8,2,4,2,8,11,20,7,9,0,4,0,6,31,59,90
TAPACARI,atencion odontologica,primera consulta,2016-02-01,20,28,15,11,5,13,13,50,19,12,0,18,0,12,72,144,216
TARABUCO,atencion odontologica,primera consulta,2016-02-01,41,32,7,10,16,25,15,59,23,29,0,22,0,10,102,187,289
TARACO,atencion odontologica,primera consulta,2016-02-01,4,10,4,4,1,3,6,7,14,9,0,0,0,2,29,35,64
TARATA,atencion odontologica,primera consulta,2016-02-01,4,9,15,11,2,8,11,27,4,11,0,7,0,3,36,76,112
TARIJA,atencion odontologica,primera consulta,2016-02-01,270,250,247,278,128,211,380,804,52,48,0,53,0,15,1077,1659,2736
TARVITA,atencion odontologica,primera consulta,2016-02-01,60,52,9,15,12,15,18,47,6,6,0,27,0,6,105,168,273
TEOPONTE,atencion odontologica,primera consulta,2016-02-01,6,11,12,13,5,12,25,34,3,2,0,9,0,7,51,88,139
TIAWANACU,atencion odontologica,primera consulta,2016-02-01,15,12,5,9,4,17,15,35,4,5,0,20,0,8,43,106,149
TINGUIPAYA,atencion odontologica,primera consulta,2016-02-01,16,16,2,4,4,17,19,31,6,9,0,14,0,20,47,111,158
TIPUANI,atencion odontologica,primera consulta,2016-02-01,13,11,15,21,3,4,10,10,2,3,0,8,0,6,43,63,106
TIQUIPAYA,atencion odontologica,primera consulta,2016-02-01,75,93,45,44,11,19,25,83,10,8,0,28,0,22,166,297,463
TIRAQUE (CBBA),atencion odontologica,primera consulta,2016-02-01,6,9,7,11,3,6,7,18,2,6,0,6,0,20,25,76,101
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2016-02-01,8,3,1,2,1,0,4,6,1,4,0,0,0,1,15,16,31
TOCO,atencion odontologica,primera consulta,2016-02-01,7,6,1,5,2,2,2,11,2,6,0,3,0,0,14,33,47
TODOS SANTOS,atencion odontologica,primera consulta,2016-02-01,3,2,1,1,4,1,4,1,2,1,0,0,0,0,14,6,20
TOLATA,atencion odontologica,primera consulta,2016-02-01,7,8,1,4,0,6,8,18,5,10,0,4,0,5,21,55,76
TOLEDO,atencion odontologica,primera consulta,2016-02-01,2,2,9,8,2,9,6,28,3,1,0,3,0,2,22,53,75
TOMAVE,atencion odontologica,primera consulta,2016-02-01,7,9,10,9,3,10,15,15,8,6,0,2,0,2,43,53,96
TOMINA,atencion odontologica,primera consulta,2016-02-01,49,58,11,8,6,9,19,32,9,7,0,17,0,3,94,134,228
TORO TORO,atencion odontologica,primera consulta,2016-02-01,4,3,4,6,8,12,15,44,2,2,0,25,0,7,33,99,132
TOTORA(CBBA),atencion odontologica,primera consulta,2016-02-01,12,6,11,9,4,10,13,25,4,4,0,1,0,2,44,57,101
TOTORA(ORR),atencion odontologica,primera consulta,2016-02-01,5,5,3,4,1,4,5,12,0,1,0,4,0,0,14,30,44
TRIGAL,atencion odontologica,primera consulta,2016-02-01,8,6,44,48,0,5,5,7,4,6,0,1,0,0,61,73,134
TRINIDAD,atencion odontologica,primera consulta,2016-02-01,71,78,135,105,31,85,95,224,24,19,0,90,0,12,356,613,969
TUPIZA,atencion odontologica,primera consulta,2016-02-01,42,51,41,35,22,44,49,82,20,31,0,45,0,7,174,295,469
TURCO,atencion odontologica,primera consulta,2016-02-01,7,10,7,8,3,5,8,23,10,6,0,4,0,1,35,57,92
UMALA,atencion odontologica,primera consulta,2016-02-01,5,7,1,3,1,3,2,9,10,12,0,2,0,3,19,39,58
UNCIA,atencion odontologica,primera consulta,2016-02-01,20,34,12,23,10,18,12,34,6,10,0,9,0,15,60,143,203
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2016-02-01,17,27,28,47,27,33,59,116,7,8,0,4,0,1,138,236,374
URUBICHA,atencion odontologica,primera consulta,2016-02-01,7,5,4,2,1,7,3,10,2,0,0,6,0,2,17,32,49
UYUNI,atencion odontologica,primera consulta,2016-02-01,16,14,5,14,8,15,13,40,7,8,0,5,0,7,49,103,152
VACAS,atencion odontologica,primera consulta,2016-02-01,4,5,7,10,0,4,11,14,2,6,0,0,0,0,24,39,63
VALLEGRANDE,atencion odontologica,primera consulta,2016-02-01,65,52,11,16,8,22,12,49,14,12,0,8,0,6,110,165,275
VIACHA,atencion odontologica,primera consulta,2016-02-01,99,146,31,37,20,24,26,90,55,48,0,17,0,48,231,410,641
VILA VILA,atencion odontologica,primera consulta,2016-02-01,2,7,4,4,1,0,0,4,0,1,0,1,0,2,7,19,26
VILLA CHARCAS,atencion odontologica,primera consulta,2016-02-01,7,13,8,4,2,7,5,29,0,2,0,9,0,4,22,68,90
VILLA MONTES,atencion odontologica,primera consulta,2016-02-01,27,38,117,129,97,71,150,279,6,8,0,48,0,9,397,582,979
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2016-02-01,4,6,3,2,0,1,1,3,0,0,0,4,0,0,8,16,24
VILLA RIVERO,atencion odontologica,primera consulta,2016-02-01,6,8,3,2,2,9,6,20,2,4,0,3,0,2,19,48,67
VILLA SERRANO,atencion odontologica,primera consulta,2016-02-01,30,24,7,7,4,6,10,9,6,2,0,18,0,12,57,78,135
VILLA TUNARI,atencion odontologica,primera consulta,2016-02-01,47,42,11,17,3,20,19,72,12,8,0,35,0,27,92,221,313
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2016-02-01,39,23,2,2,4,14,10,24,6,0,0,20,0,6,61,89,150
VILLAZON,atencion odontologica,primera consulta,2016-02-01,45,42,34,34,16,28,21,93,21,29,0,27,0,22,137,275,412
VINTO,atencion odontologica,primera consulta,2016-02-01,36,73,14,15,4,9,7,62,11,17,0,14,0,38,72,228,300
VITICHI,atencion odontologica,primera consulta,2016-02-01,8,6,10,9,5,10,9,40,9,14,0,5,0,6,41,90,131
WALDO BALLIVIAN,atencion odontologica,primera consulta,2016-02-01,7,3,9,4,6,4,6,13,2,1,0,0,0,0,30,25,55
WARNES,atencion odontologica,primera consulta,2016-02-01,22,31,9,19,3,16,19,47,2,2,0,16,0,7,55,138,193
YACO,atencion odontologica,primera consulta,2016-02-01,1,2,0,0,1,0,2,0,4,1,0,0,0,0,8,3,11
YACUIBA,atencion odontologica,primera consulta,2016-02-01,19,19,73,60,58,77,90,210,14,13,0,16,0,2,254,397,651
YAMPARAEZ,atencion odontologica,primera consulta,2016-02-01,32,20,5,13,6,19,9,25,5,5,0,12,0,8,57,102,159
YANACACHI,atencion odontologica,primera consulta,2016-02-01,9,4,4,9,0,5,10,17,1,1,0,3,0,4,24,43,67
YAPACANI,atencion odontologica,primera consulta,2016-02-01,54,65,17,13,2,19,11,55,15,13,0,40,0,54,99,259,358
YOCALLA,atencion odontologica,primera consulta,2016-02-01,3,2,3,4,1,4,7,10,10,2,0,1,0,2,24,25,49
YOTALA,atencion odontologica,primera consulta,2016-02-01,13,14,11,5,2,8,9,29,3,4,0,9,0,7,38,76,114
YUNCHARA,atencion odontologica,primera consulta,2016-02-01,8,5,21,27,3,12,15,58,3,5,0,4,0,1,50,112,162
ZUDAÑEZ,atencion odontologica,primera consulta,2016-02-01,27,24,4,7,5,16,6,30,3,2,0,14,0,4,45,97,142
ACACIO,atencion odontologica,primera consulta,2016-03-01,8,14,3,8,0,2,4,13,3,7,0,6,0,4,18,54,72
ACHACACHI,atencion odontologica,primera consulta,2016-03-01,35,21,8,14,2,10,12,39,15,15,0,15,0,7,72,121,193
ACHOCALLA,atencion odontologica,primera consulta,2016-03-01,41,43,5,7,4,9,7,22,5,2,0,11,0,6,62,100,162
AIQUILE,atencion odontologica,primera consulta,2016-03-01,64,74,13,10,2,2,5,7,7,8,0,6,0,0,91,107,198
ALALAY,atencion odontologica,primera consulta,2016-03-01,10,3,2,0,1,0,2,5,8,7,0,1,0,1,23,17,40
ALCALA,atencion odontologica,primera consulta,2016-03-01,18,13,14,17,8,10,10,11,0,3,0,5,0,4,50,63,113
ALTO BENI,atencion odontologica,primera consulta,2016-03-01,30,19,6,6,2,7,11,15,7,11,0,3,0,2,56,63,119
ANCORAIMES,atencion odontologica,primera consulta,2016-03-01,27,13,3,5,2,3,5,8,7,5,0,1,0,4,44,39,83
ANDAMARCA,atencion odontologica,primera consulta,2016-03-01,8,7,31,32,1,4,13,24,21,15,0,4,0,10,74,96,170
ANTEQUERA,atencion odontologica,primera consulta,2016-03-01,9,5,3,7,3,2,10,11,1,4,0,0,0,2,26,31,57
ANZALDO,atencion odontologica,primera consulta,2016-03-01,23,12,49,45,7,2,6,9,14,15,0,0,0,4,99,87,186
APOLO,atencion odontologica,primera consulta,2016-03-01,21,17,4,3,1,5,6,9,12,9,0,2,0,5,44,50,94
ARAMPAMPA,atencion odontologica,primera consulta,2016-03-01,9,6,3,4,1,7,6,6,3,2,0,5,0,3,22,33,55
ARANI,atencion odontologica,primera consulta,2016-03-01,7,5,2,4,1,2,2,14,2,6,0,3,0,1,14,35,49
ARBIETO,atencion odontologica,primera consulta,2016-03-01,38,49,4,16,2,8,8,40,31,38,0,13,0,17,83,181,264
ARQUE,atencion odontologica,primera consulta,2016-03-01,15,4,7,4,8,13,8,26,8,6,0,3,0,11,46,67,113
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2016-03-01,52,54,3,3,1,11,6,26,15,14,0,59,0,6,77,173,250
ATOCHA,atencion odontologica,primera consulta,2016-03-01,29,31,88,53,24,29,82,92,14,16,0,5,0,4,237,230,467
AUCAPATA,atencion odontologica,primera consulta,2016-03-01,5,2,3,5,1,4,7,12,0,0,0,2,0,4,16,29,45
AYATA,atencion odontologica,primera consulta,2016-03-01,13,10,3,2,6,10,11,22,5,3,0,1,0,6,38,54,92
AYO AYO,atencion odontologica,primera consulta,2016-03-01,1,2,1,2,1,2,6,12,1,5,0,1,0,2,10,26,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2016-03-01,50,50,15,12,6,11,16,31,20,13,0,9,0,17,107,143,250
AZURDUY,atencion odontologica,primera consulta,2016-03-01,45,30,3,2,3,6,11,33,3,9,0,15,0,4,65,99,164
BATALLAS,atencion odontologica,primera consulta,2016-03-01,35,27,27,17,9,10,11,35,14,14,0,12,0,7,96,122,218
BAURES,atencion odontologica,primera consulta,2016-03-01,0,1,4,4,5,1,10,15,4,3,0,0,0,0,23,24,47
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2016-03-01,9,6,23,18,11,8,2,3,2,2,0,0,0,1,47,38,85
BELEN DE URMIRI,atencion odontologica,primera consulta,2016-03-01,0,2,1,3,0,3,4,3,0,1,0,0,0,0,5,12,17
BELLA FLOR,atencion odontologica,primera consulta,2016-03-01,1,3,7,10,0,0,4,6,0,0,0,3,0,0,12,22,34
BERMEJO,atencion odontologica,primera consulta,2016-03-01,72,76,115,133,82,147,173,334,45,63,0,67,0,28,487,848,1335
BETANZOS,atencion odontologica,primera consulta,2016-03-01,45,54,25,27,13,18,25,73,28,38,0,21,0,10,136,241,377
BOLIVAR,atencion odontologica,primera consulta,2016-03-01,4,3,24,25,14,20,8,14,2,4,0,0,0,1,52,67,119
BOYUIBE,atencion odontologica,primera consulta,2016-03-01,0,1,1,2,1,2,2,7,1,1,0,0,0,0,5,13,18
BUENA VISTA,atencion odontologica,primera consulta,2016-03-01,28,29,7,5,8,9,10,22,10,7,0,10,0,2,63,84,147
CABEZAS,atencion odontologica,primera consulta,2016-03-01,61,95,10,8,2,8,9,26,45,36,0,21,0,5,127,199,326
CAIROMA,atencion odontologica,primera consulta,2016-03-01,25,18,6,18,9,5,22,30,3,9,0,7,0,5,65,92,157
"CAIZA ""D""",atencion odontologica,primera consulta,2016-03-01,14,15,11,7,5,11,13,48,5,12,0,16,0,9,48,118,166
CAJUATA,atencion odontologica,primera consulta,2016-03-01,8,21,10,10,6,12,12,30,9,5,0,16,0,6,45,100,145
CALACOTO,atencion odontologica,primera consulta,2016-03-01,4,7,2,1,0,0,1,3,5,2,0,0,0,1,12,14,26
CALAMARCA,atencion odontologica,primera consulta,2016-03-01,23,12,28,25,16,27,22,56,11,10,0,7,0,11,100,148,248
CAMARGO,atencion odontologica,primera consulta,2016-03-01,42,41,7,0,0,11,8,41,9,4,0,33,0,13,66,143,209
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2016-03-01,9,9,6,7,3,5,6,12,1,1,0,4,0,2,25,40,65
CAMIRI,atencion odontologica,primera consulta,2016-03-01,150,132,464,475,78,103,45,102,20,18,0,47,0,33,757,910,1667
CAPINOTA,atencion odontologica,primera consulta,2016-03-01,62,69,10,10,2,4,5,34,6,14,0,6,0,14,85,151,236
CAQUIAVIRI,atencion odontologica,primera consulta,2016-03-01,22,22,30,37,6,9,16,23,10,8,0,4,0,9,84,112,196
CARACOLLO,atencion odontologica,primera consulta,2016-03-01,13,19,21,28,7,24,26,60,10,11,0,9,0,8,77,159,236
CARANAVI,atencion odontologica,primera consulta,2016-03-01,51,46,50,58,18,20,19,46,13,11,0,8,0,14,151,203,354
CARAPARI,atencion odontologica,primera consulta,2016-03-01,7,9,24,35,28,18,42,55,3,3,0,0,0,0,104,120,224
CARIPUYO,atencion odontologica,primera consulta,2016-03-01,10,15,75,78,8,16,10,19,6,7,0,5,0,5,109,145,254
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2016-03-01,9,20,3,6,0,2,8,24,3,7,0,6,0,4,23,69,92
CATACORA,atencion odontologica,primera consulta,2016-03-01,0,1,1,3,3,1,6,5,0,0,0,1,0,0,10,11,21
CHALLAPATA,atencion odontologica,primera consulta,2016-03-01,78,93,173,152,8,30,42,119,55,51,0,20,0,38,356,503,859
CHAQUI,atencion odontologica,primera consulta,2016-03-01,9,7,7,3,3,10,7,26,12,6,0,4,0,4,38,60,98
CHARAGUA,atencion odontologica,primera consulta,2016-03-01,39,42,14,13,20,27,35,88,1,4,0,20,0,16,109,210,319
CHARAÑA,atencion odontologica,primera consulta,2016-03-01,5,5,2,1,1,2,2,8,2,0,0,0,0,0,12,16,28
CHAYANTA,atencion odontologica,primera consulta,2016-03-01,17,18,9,7,9,10,21,49,10,10,0,10,0,6,66,110,176
CHIMORE,atencion odontologica,primera consulta,2016-03-01,41,35,25,23,5,20,22,66,8,3,0,16,0,19,101,182,283
CHIPAYA,atencion odontologica,primera consulta,2016-03-01,20,12,2,2,0,2,3,8,1,0,0,3,0,0,26,27,53
CHOQUE COTA,atencion odontologica,primera consulta,2016-03-01,8,5,18,10,2,2,2,7,5,11,0,3,0,2,35,40,75
CHUA COCANI,atencion odontologica,primera consulta,2016-03-01,0,3,2,0,0,3,2,2,1,3,0,0,0,0,5,11,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2016-03-01,17,20,19,20,4,11,9,23,1,1,0,5,0,7,50,87,137
CHUMA,atencion odontologica,primera consulta,2016-03-01,12,17,10,10,17,25,23,64,22,34,0,10,0,12,84,172,256
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2016-03-01,5,4,1,2,1,4,2,11,0,2,0,2,0,7,9,32,41
CKOCHAS,atencion odontologica,primera consulta,2016-03-01,16,13,5,5,5,12,11,21,55,82,0,9,0,6,92,148,240
CLIZA,atencion odontologica,primera consulta,2016-03-01,16,8,8,16,2,12,15,36,14,14,0,8,0,5,55,99,154
COBIJA,atencion odontologica,primera consulta,2016-03-01,165,155,44,48,32,68,217,160,11,3,0,69,0,19,469,522,991
COCAPATA,atencion odontologica,primera consulta,2016-03-01,66,50,0,0,0,5,0,21,8,5,0,10,0,16,74,107,181
COCHABAMBA,atencion odontologica,primera consulta,2016-03-01,573,566,185,226,83,161,139,531,73,92,0,446,0,161,1053,2183,3236
COIPASA,atencion odontologica,primera consulta,2016-03-01,3,2,4,5,1,3,1,5,4,4,0,4,0,1,13,24,37
