,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
COLPA BELGICA,atencion odontologica,consulta nueva,2016-04-01,29,32,70,83,0,5,0,7,1,2,0,1,0,3,100,133,233
COLQUECHACA,atencion odontologica,consulta nueva,2016-04-01,115,95,23,27,11,47,55,247,60,65,0,85,0,46,264,612,876
COLQUENCHA,atencion odontologica,consulta nueva,2016-04-01,11,12,85,71,13,65,29,52,4,2,0,7,0,0,142,209,351
COLQUIRI,atencion odontologica,consulta nueva,2016-04-01,111,80,45,42,23,40,71,105,30,31,0,27,0,22,280,347,627
COMANCHE,atencion odontologica,consulta nueva,2016-04-01,10,9,4,2,2,4,3,10,2,2,0,1,0,12,21,40,61
COMARAPA,atencion odontologica,consulta nueva,2016-04-01,75,52,27,5,8,24,20,90,2,9,0,4,0,90,132,274,406
COPACABANA,atencion odontologica,consulta nueva,2016-04-01,60,59,11,12,8,6,12,27,9,8,0,3,0,2,100,117,217
CORIPATA,atencion odontologica,consulta nueva,2016-04-01,51,48,39,35,10,27,22,40,7,3,0,1,0,0,129,154,283
CORO CORO,atencion odontologica,consulta nueva,2016-04-01,11,4,3,2,9,6,8,14,2,2,0,8,0,1,33,37,70
COROICO,atencion odontologica,consulta nueva,2016-04-01,11,29,42,26,18,31,56,127,20,16,0,10,0,43,147,282,429
CORQUE,atencion odontologica,consulta nueva,2016-04-01,51,42,72,81,7,10,9,57,30,35,0,23,0,12,169,260,429
COTAGAITA,atencion odontologica,consulta nueva,2016-04-01,65,98,44,42,31,45,101,218,60,72,0,26,0,20,301,521,822
COTOCA,atencion odontologica,consulta nueva,2016-04-01,230,183,16,11,0,14,11,65,15,9,0,35,0,7,272,324,596
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2016-04-01,74,67,10,5,0,7,10,51,14,7,0,5,0,28,108,170,278
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2016-04-01,0,2,8,7,5,2,2,21,0,3,0,5,0,9,15,49,64
CUEVO,atencion odontologica,consulta nueva,2016-04-01,37,56,8,24,11,20,23,62,10,0,0,6,0,0,89,168,257
CULPINA,atencion odontologica,consulta nueva,2016-04-01,120,115,15,21,4,37,35,125,27,26,0,49,0,46,201,419,620
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2016-04-01,32,30,10,3,3,6,8,39,57,16,0,10,0,16,110,120,230
CURVA,atencion odontologica,consulta nueva,2016-04-01,25,21,3,0,2,1,4,27,3,3,0,0,0,19,37,71,108
DESAGUADERO,atencion odontologica,consulta nueva,2016-04-01,1,1,2,3,0,4,4,15,2,2,0,3,0,3,9,31,40
EL ALTO,atencion odontologica,consulta nueva,2016-04-01,2949,3192,2642,2968,668,1261,685,2289,299,319,0,622,0,797,7243,11448,18691
EL CHORO,atencion odontologica,consulta nueva,2016-04-01,59,56,12,21,0,16,16,11,39,54,0,6,0,4,126,168,294
EL PUENTE(STC),atencion odontologica,consulta nueva,2016-04-01,27,44,122,126,1,3,7,24,4,1,0,14,0,16,161,228,389
EL PUENTE(TJA),atencion odontologica,consulta nueva,2016-04-01,14,3,78,40,33,25,82,195,13,19,0,6,0,1,220,289,509
EL TORNO,atencion odontologica,consulta nueva,2016-04-01,154,168,1327,1212,32,50,38,93,32,42,0,31,0,20,1583,1616,3199
EL VILLAR,atencion odontologica,consulta nueva,2016-04-01,29,24,4,11,4,7,18,49,4,6,0,9,0,4,59,110,169
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2016-04-01,56,74,206,194,46,89,56,232,24,19,0,11,0,9,388,628,1016
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2016-04-01,62,52,16,16,1,23,7,57,2,3,0,26,0,43,88,220,308
ESCARA,atencion odontologica,consulta nueva,2016-04-01,11,3,1,0,1,3,1,13,8,6,0,2,0,11,22,38,60
ESCOMA,atencion odontologica,consulta nueva,2016-04-01,19,8,41,17,9,6,7,24,6,16,0,1,0,0,82,72,154
ESMERALDA,atencion odontologica,consulta nueva,2016-04-01,2,5,0,3,0,0,0,5,12,19,0,1,0,0,14,33,47
EUCALIPTUS,atencion odontologica,consulta nueva,2016-04-01,10,19,15,19,3,8,9,50,19,14,0,9,0,10,56,129,185
EUREKA (SANTOS MERCADO),atencion odontologica,consulta nueva,2016-04-01,2,2,8,12,0,7,10,16,1,0,0,1,0,0,21,38,59
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2016-04-01,28,35,111,93,18,26,5,43,8,5,0,27,0,9,170,238,408
FILADELFIA,atencion odontologica,consulta nueva,2016-04-01,5,5,1,5,13,40,8,13,2,0,0,3,0,6,29,72,101
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2016-04-01,45,56,52,53,5,19,7,38,18,16,0,17,0,18,127,217,344
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2016-04-01,86,70,14,20,7,22,48,128,14,30,0,27,0,40,169,337,506
GUANAY,atencion odontologica,consulta nueva,2016-04-01,26,25,10,9,7,10,19,16,20,15,0,11,0,8,82,94,176
GUAQUI,atencion odontologica,consulta nueva,2016-04-01,28,21,15,14,6,23,42,91,53,47,0,10,0,10,144,216,360
GUAYARAMERIN,atencion odontologica,consulta nueva,2016-04-01,45,45,58,67,43,124,146,283,34,45,0,116,0,46,326,726,1052
GUTIERREZ,atencion odontologica,consulta nueva,2016-04-01,10,13,50,53,3,13,10,23,3,1,0,4,0,2,76,109,185
HUACARETA,atencion odontologica,consulta nueva,2016-04-01,27,19,3,3,4,29,26,43,7,2,0,21,0,27,67,144,211
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2016-04-01,29,31,47,43,2,4,8,18,0,0,0,10,0,0,86,106,192
HUACHACALLA,atencion odontologica,consulta nueva,2016-04-01,4,14,26,35,22,16,10,13,5,0,0,3,0,0,67,81,148
HUANUNI,atencion odontologica,consulta nueva,2016-04-01,111,141,107,173,40,43,191,192,19,22,0,7,0,21,468,599,1067
HUARACAJE,atencion odontologica,consulta nueva,2016-04-01,4,2,0,5,1,2,0,3,1,0,0,0,0,0,6,12,18
HUARINA,atencion odontologica,consulta nueva,2016-04-01,51,40,22,10,1,3,10,30,56,33,0,3,0,4,140,123,263
HUATAJATA,atencion odontologica,consulta nueva,2016-04-01,32,16,9,2,6,4,11,53,31,24,0,0,0,26,89,125,214
HUAYLLAMARCA,atencion odontologica,consulta nueva,2016-04-01,36,29,38,52,4,30,27,36,2,13,0,10,0,5,107,175,282
HUMANATA,atencion odontologica,consulta nueva,2016-04-01,12,21,1,0,0,0,2,4,39,22,0,2,0,2,54,51,105
ICHOCA,atencion odontologica,consulta nueva,2016-04-01,38,90,2,4,1,14,8,24,75,42,0,13,0,12,124,199,323
ICLA,atencion odontologica,consulta nueva,2016-04-01,148,130,22,21,22,37,8,113,6,16,0,23,0,45,206,385,591
INCAHUASI,atencion odontologica,consulta nueva,2016-04-01,110,92,15,18,8,21,19,83,1,1,0,27,0,19,153,261,414
INQUISIVI,atencion odontologica,consulta nueva,2016-04-01,175,89,34,23,18,56,22,103,212,132,0,11,0,51,461,465,926
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2016-04-01,198,201,34,39,19,37,36,97,54,32,0,6,0,26,341,438,779
IXIAMAS,atencion odontologica,consulta nueva,2016-04-01,14,5,9,12,7,9,7,52,5,2,0,11,0,12,42,103,145
JESUS DE MACHACA,atencion odontologica,consulta nueva,2016-04-01,32,35,11,21,14,20,22,65,20,22,0,4,0,13,99,180,279
LA ASUNTA,atencion odontologica,consulta nueva,2016-04-01,110,116,80,93,17,65,85,203,6,5,0,18,0,94,298,594,892
LA GUARDIA,atencion odontologica,consulta nueva,2016-04-01,147,161,9,6,0,4,6,42,21,10,0,12,0,46,183,281,464
LA PAZ,atencion odontologica,consulta nueva,2016-04-01,3857,3916,1586,1534,574,906,2167,4737,858,718,0,1253,0,674,9042,13738,22780
LAGUNILLAS,atencion odontologica,consulta nueva,2016-04-01,1,0,6,4,3,2,22,28,1,1,0,4,0,0,33,39,72
LAJA,atencion odontologica,consulta nueva,2016-04-01,40,39,10,13,6,29,17,99,28,14,0,21,0,46,101,261,362
LAS CARRERAS,atencion odontologica,consulta nueva,2016-04-01,13,17,6,16,7,1,10,33,16,8,0,10,0,4,52,89,141
LICOMA PAMPA,atencion odontologica,consulta nueva,2016-04-01,64,69,5,11,0,9,10,36,8,20,0,19,0,17,87,181,268
LLALLAGUA,atencion odontologica,consulta nueva,2016-04-01,198,246,36,48,3,35,27,210,23,50,0,55,0,121,287,765,1052
LLICA,atencion odontologica,consulta nueva,2016-04-01,3,9,37,19,6,10,43,40,3,7,0,2,0,3,92,90,182
LURIBAY,atencion odontologica,consulta nueva,2016-04-01,11,20,7,3,6,8,18,45,4,5,0,5,0,5,46,91,137
MACHACAMARCA,atencion odontologica,consulta nueva,2016-04-01,44,31,18,41,15,5,32,33,29,36,0,4,0,8,138,158,296
MACHARETI,atencion odontologica,consulta nueva,2016-04-01,74,91,4,4,8,14,18,78,28,2,0,48,0,6,132,243,375
MAGDALENA,atencion odontologica,consulta nueva,2016-04-01,11,5,15,11,8,22,43,69,4,1,0,5,0,8,81,121,202
MAIRANA,atencion odontologica,consulta nueva,2016-04-01,64,60,17,9,9,16,11,103,11,15,0,37,0,34,112,274,386
MALLA,atencion odontologica,consulta nueva,2016-04-01,3,1,1,2,0,0,1,3,1,11,0,0,0,0,6,17,23
MAPIRI,atencion odontologica,consulta nueva,2016-04-01,41,43,57,63,7,15,29,56,0,6,0,5,0,14,134,202,336
MECAPACA,atencion odontologica,consulta nueva,2016-04-01,59,62,27,30,2,26,20,40,8,9,0,7,0,5,116,179,295
MINEROS,atencion odontologica,consulta nueva,2016-04-01,48,56,1,8,9,29,10,63,14,15,0,14,0,67,82,252,334
MIZQUE,atencion odontologica,consulta nueva,2016-04-01,154,202,19,24,3,22,10,40,28,32,0,7,0,18,214,345,559
MOCOMOCO,atencion odontologica,consulta nueva,2016-04-01,32,22,9,9,8,13,37,38,39,24,0,6,0,10,125,122,247
MOJOCOYA,atencion odontologica,consulta nueva,2016-04-01,55,31,95,130,34,44,34,110,37,5,0,26,0,14,255,360,615
MONTEAGUDO,atencion odontologica,consulta nueva,2016-04-01,249,205,30,51,10,87,64,317,23,11,0,87,0,163,376,921,1297
MONTERO,atencion odontologica,consulta nueva,2016-04-01,88,124,268,313,52,114,92,301,71,45,0,38,0,31,571,966,1537
MORO MORO,atencion odontologica,consulta nueva,2016-04-01,22,19,4,11,4,11,25,21,3,5,0,4,0,2,58,73,131
MOROCHATA,atencion odontologica,consulta nueva,2016-04-01,88,119,26,15,5,22,28,110,32,52,0,40,0,47,179,405,584
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2016-04-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2016-04-01,0,6,9,1,4,2,0,4,6,1,0,2,0,0,19,16,35
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2016-04-01,3,6,0,0,0,0,0,0,14,5,0,2,0,2,17,15,32
OCURI,atencion odontologica,consulta nueva,2016-04-01,31,33,0,9,10,10,15,87,15,22,0,16,0,25,71,202,273
OKINAWA,atencion odontologica,consulta nueva,2016-04-01,5,6,4,1,1,4,5,15,1,1,0,1,0,7,16,35,51
OMEREQUE,atencion odontologica,consulta nueva,2016-04-01,8,24,9,4,2,4,2,27,13,0,0,2,0,9,34,70,104
ORURO,atencion odontologica,consulta nueva,2016-04-01,970,1083,547,572,184,352,897,1805,309,313,0,345,0,339,2907,4809,7716
PADCAYA,atencion odontologica,consulta nueva,2016-04-01,19,18,80,68,9,12,15,56,3,4,0,1,0,0,126,159,285
PADILLA,atencion odontologica,consulta nueva,2016-04-01,32,37,20,31,5,51,56,137,19,16,0,47,0,37,132,356,488
PAILON,atencion odontologica,consulta nueva,2016-04-01,43,34,41,53,16,23,53,117,17,8,0,14,0,26,170,275,445
PALCA,atencion odontologica,consulta nueva,2016-04-01,99,67,17,2,9,19,18,53,17,9,0,6,0,28,160,184,344
PALOS BLANCOS,atencion odontologica,consulta nueva,2016-04-01,62,52,20,10,8,50,23,109,28,20,0,36,0,52,141,329,470
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2016-04-01,4,13,92,87,2,14,1,12,6,5,0,16,0,5,105,152,257
PAMPA GRANDE,atencion odontologica,consulta nueva,2016-04-01,55,61,125,115,0,5,1,20,0,7,0,15,0,9,181,232,413
PAPEL PAMPA,atencion odontologica,consulta nueva,2016-04-01,9,16,4,1,4,4,7,24,29,20,0,4,0,9,53,78,131
PASORAPA,atencion odontologica,consulta nueva,2016-04-01,7,16,81,77,8,13,33,16,9,30,0,0,0,0,138,152,290
PATACAMAYA,atencion odontologica,consulta nueva,2016-04-01,92,103,25,16,4,17,18,116,14,11,0,5,0,45,153,313,466
PAZÑA,atencion odontologica,consulta nueva,2016-04-01,44,50,13,17,7,16,16,79,11,6,0,21,0,13,91,202,293
PELECHUCO,atencion odontologica,consulta nueva,2016-04-01,21,1,5,4,1,3,3,14,1,0,0,0,0,3,31,25,56
POCOATA,atencion odontologica,consulta nueva,2016-04-01,69,86,12,15,3,13,18,32,24,23,0,26,0,17,126,212,338
POCONA,atencion odontologica,consulta nueva,2016-04-01,58,54,168,117,15,24,15,64,8,13,0,6,0,41,264,319,583
POJO (CBBA),atencion odontologica,consulta nueva,2016-04-01,36,38,33,48,9,20,30,51,1,10,0,2,0,13,109,182,291
POOPO,atencion odontologica,consulta nueva,2016-04-01,24,40,65,89,7,20,29,69,5,22,0,28,0,2,130,270,400
PORCO,atencion odontologica,consulta nueva,2016-04-01,51,20,23,17,8,20,45,27,0,3,0,23,0,24,127,134,261
POROMA,atencion odontologica,consulta nueva,2016-04-01,89,92,79,113,15,29,16,72,26,25,0,32,0,20,225,383,608
PORONGO,atencion odontologica,consulta nueva,2016-04-01,16,15,7,16,0,2,0,2,5,7,0,2,0,4,28,48,76
PORTACHUELO,atencion odontologica,consulta nueva,2016-04-01,9,9,187,220,15,7,9,18,2,6,0,26,0,5,222,291,513
PORVENIR,atencion odontologica,consulta nueva,2016-04-01,37,58,36,43,4,3,16,18,1,2,0,7,0,7,94,138,232
POSTRER VALLE,atencion odontologica,consulta nueva,2016-04-01,25,42,4,8,0,8,16,10,6,0,0,1,0,4,51,73,124
POTOSI,atencion odontologica,consulta nueva,2016-04-01,727,1058,359,396,211,401,436,1159,129,141,0,216,0,396,1862,3767,5629
PRESTO,atencion odontologica,consulta nueva,2016-04-01,142,137,196,157,47,56,26,154,27,22,0,37,0,54,438,617,1055
PUCARA,atencion odontologica,consulta nueva,2016-04-01,5,1,4,0,0,1,10,27,3,0,0,0,0,11,22,40,62
PUCARANI,atencion odontologica,consulta nueva,2016-04-01,54,51,31,32,25,47,39,106,78,36,0,13,0,25,227,310,537
PUERTO ACOSTA,atencion odontologica,consulta nueva,2016-04-01,22,24,7,4,7,13,12,19,34,32,0,6,0,2,82,100,182
PUERTO CARABUCO,atencion odontologica,consulta nueva,2016-04-01,13,8,9,2,5,4,15,29,10,7,0,0,0,1,52,51,103
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2016-04-01,40,69,78,69,53,46,7,22,0,10,0,21,0,0,178,237,415
PUERTO PEREZ,atencion odontologica,consulta nueva,2016-04-01,14,6,0,4,0,5,3,10,5,3,0,2,0,1,22,31,53
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2016-04-01,57,58,70,72,0,3,8,41,13,0,0,22,0,20,148,216,364
PUERTO RICO,atencion odontologica,consulta nueva,2016-04-01,31,34,15,14,7,7,16,16,2,0,0,5,0,4,71,80,151
PUERTO SUAREZ,atencion odontologica,consulta nueva,2016-04-01,24,13,26,20,7,4,2,41,12,3,0,29,0,11,71,121,192
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2016-04-01,177,236,21,39,6,53,81,227,34,31,0,36,0,156,319,778,1097
PUNA,atencion odontologica,consulta nueva,2016-04-01,47,39,29,40,12,35,44,167,17,27,0,27,0,24,149,359,508
PUNATA,atencion odontologica,consulta nueva,2016-04-01,78,96,88,103,26,51,34,176,73,41,0,37,0,33,299,537,836
QUIABAYA,atencion odontologica,consulta nueva,2016-04-01,32,21,7,9,2,14,32,45,9,3,0,4,0,17,82,113,195
QUILLACOLLO,atencion odontologica,consulta nueva,2016-04-01,974,999,368,145,117,172,153,611,187,152,0,114,0,334,1799,2527,4326
QUIME,atencion odontologica,consulta nueva,2016-04-01,223,187,19,24,16,20,46,70,26,30,0,14,0,26,330,371,701
QUIRUSILLAS,atencion odontologica,consulta nueva,2016-04-01,4,1,32,14,0,0,0,5,3,6,0,0,0,0,39,26,65
RAVELO,atencion odontologica,consulta nueva,2016-04-01,120,136,7,3,8,28,34,92,35,59,0,45,0,43,204,406,610
REYES,atencion odontologica,consulta nueva,2016-04-01,8,14,68,50,3,8,8,29,1,6,0,5,0,1,88,113,201
RIBERALTA,atencion odontologica,consulta nueva,2016-04-01,319,423,153,203,134,329,230,443,106,45,0,272,0,71,942,1786,2728
ROBORE,atencion odontologica,consulta nueva,2016-04-01,46,50,25,23,5,14,5,16,3,3,0,0,0,0,84,106,190
RURRENABAQUE,atencion odontologica,consulta nueva,2016-04-01,43,39,55,60,56,58,60,66,16,13,0,26,0,18,230,280,510
SABAYA,atencion odontologica,consulta nueva,2016-04-01,13,31,84,89,3,16,14,35,40,28,0,10,0,18,154,227,381
SACABA,atencion odontologica,consulta nueva,2016-04-01,603,777,1458,1863,358,600,296,610,154,178,0,151,0,212,2869,4391,7260
SACABAMBA,atencion odontologica,consulta nueva,2016-04-01,0,2,10,9,4,10,9,16,7,17,0,8,0,0,30,62,92
SACACA,atencion odontologica,consulta nueva,2016-04-01,61,75,12,7,8,41,23,88,4,16,0,29,0,47,108,303,411
SAIPINA,atencion odontologica,consulta nueva,2016-04-01,16,25,14,22,2,4,11,30,14,11,0,1,0,8,57,101,158
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2016-04-01,103,90,171,223,46,15,36,73,57,48,0,27,0,17,413,493,906
SAMAIPATA,atencion odontologica,consulta nueva,2016-04-01,30,36,18,18,0,12,7,26,5,1,0,4,0,10,60,107,167
SAN AGUSTIN,atencion odontologica,consulta nueva,2016-04-01,5,4,2,2,5,4,6,6,0,0,0,0,0,1,18,17,35
SAN ANDRES,atencion odontologica,consulta nueva,2016-04-01,29,8,6,41,1,15,13,54,0,0,0,18,0,8,49,144,193
SAN ANDRES DE MACHACA,atencion odontologica,consulta nueva,2016-04-01,12,37,100,80,14,13,22,34,17,17,0,4,0,6,165,191,356
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta nueva,2016-04-01,18,21,1,1,0,0,1,16,0,0,0,0,0,5,20,43,63
SAN ANTONIO DE LOMERIO,atencion odontologica,consulta nueva,2016-04-01,10,11,5,3,2,3,4,10,4,7,0,2,0,2,25,38,63
SAN BENITO,atencion odontologica,consulta nueva,2016-04-01,97,116,21,13,8,22,25,47,30,20,0,13,0,35,181,266,447
SAN BORJA,atencion odontologica,consulta nueva,2016-04-01,58,47,18,25,2,25,20,79,9,20,0,21,0,17,107,234,341
SAN BUENA VENTURA,atencion odontologica,consulta nueva,2016-04-01,17,17,33,49,13,15,11,46,8,10,0,6,0,14,82,157,239
SAN CARLOS,atencion odontologica,consulta nueva,2016-04-01,23,27,10,8,7,10,20,47,13,8,0,10,0,22,73,132,205
SAN IGNACIO,atencion odontologica,consulta nueva,2016-04-01,46,51,114,118,46,77,66,167,28,20,0,17,0,24,300,474,774
SAN IGNACIO DE VELASCO,atencion odontologica,consulta nueva,2016-04-01,341,313,3,1,3,12,14,38,121,128,0,26,0,29,482,547,1029
SAN JAVIER(BNI),atencion odontologica,consulta nueva,2016-04-01,33,33,195,155,19,16,0,2,0,0,0,0,0,0,247,206,453
SAN JAVIER(STC),atencion odontologica,consulta nueva,2016-04-01,66,64,47,54,8,7,19,36,33,7,0,6,0,8,173,182,355
SAN JOAQUIN,atencion odontologica,consulta nueva,2016-04-01,4,1,0,0,0,0,7,9,3,0,0,0,0,0,14,10,24
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta nueva,2016-04-01,9,7,13,22,8,10,14,25,12,7,0,11,0,4,56,86,142
SAN JUAN DE YAPACANI,atencion odontologica,consulta nueva,2016-04-01,59,51,6,6,8,5,12,36,5,4,0,5,0,9,90,116,206
SAN JULIAN,atencion odontologica,consulta nueva,2016-04-01,136,143,26,16,6,15,8,66,42,21,0,47,0,118,218,426,644
SAN LORENZO(PND),atencion odontologica,consulta nueva,2016-04-01,30,11,46,41,0,8,4,6,2,0,0,6,0,2,82,74,156
SAN LORENZO(TJA),atencion odontologica,consulta nueva,2016-04-01,76,81,156,253,96,93,113,290,27,18,0,12,0,0,468,747,1215
SAN LUCAS,atencion odontologica,consulta nueva,2016-04-01,187,211,34,53,12,35,60,217,26,21,0,86,0,31,319,654,973
SAN MATIAS,atencion odontologica,consulta nueva,2016-04-01,5,11,2,3,4,1,5,3,3,2,0,1,0,1,19,22,41
SAN MIGUEL DE VELASCO,atencion odontologica,consulta nueva,2016-04-01,27,17,24,31,11,24,13,54,26,20,0,8,0,20,101,174,275
SAN PABLO DE LIPEZ,atencion odontologica,consulta nueva,2016-04-01,8,27,8,8,7,6,10,16,1,0,0,9,0,3,34,69,103
SAN PEDRO,atencion odontologica,consulta nueva,2016-04-01,98,101,91,68,55,65,25,105,14,12,0,48,0,29,283,428,711
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta nueva,2016-04-01,72,85,24,17,7,23,20,82,25,40,0,34,0,29,148,310,458
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta nueva,2016-04-01,8,5,10,4,2,19,5,16,5,7,0,4,0,12,30,67,97
SAN PEDRO DE QUEMES,atencion odontologica,consulta nueva,2016-04-01,0,1,0,0,4,0,1,4,0,0,0,1,0,0,5,6,11
SAN PEDRO DE TIQUINA,atencion odontologica,consulta nueva,2016-04-01,6,21,13,28,9,5,19,12,7,7,0,3,0,3,54,79,133
SAN RAFAEL,atencion odontologica,consulta nueva,2016-04-01,99,64,6,5,0,4,6,35,14,1,0,7,0,3,125,119,244
SAN RAMON BENI,atencion odontologica,consulta nueva,2016-04-01,0,0,0,1,0,0,0,4,1,0,0,2,0,0,1,7,8
SAN RAMON SCZ,atencion odontologica,consulta nueva,2016-04-01,39,51,13,23,21,19,15,30,5,5,0,16,0,15,93,159,252
SANTA ANA,atencion odontologica,consulta nueva,2016-04-01,8,17,121,134,50,110,49,164,22,22,0,13,0,2,250,462,712
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta nueva,2016-04-01,4462,4290,755,755,400,1096,1836,5446,1034,788,0,2649,0,1290,8487,16314,24801
SANTA ROSA,atencion odontologica,consulta nueva,2016-04-01,2,3,6,12,1,3,6,20,0,0,0,2,0,0,15,40,55
SANTA ROSA DEL SARA,atencion odontologica,consulta nueva,2016-04-01,29,36,3,2,1,10,5,15,6,4,0,6,0,14,44,87,131
SANTIAGO DE CALLAPA,atencion odontologica,consulta nueva,2016-04-01,3,3,1,1,1,3,3,10,11,2,0,0,0,8,19,27,46
SANTIAGO DE HUARI,atencion odontologica,consulta nueva,2016-04-01,92,99,165,170,17,40,80,141,27,17,0,21,0,33,381,521,902
SANTIAGO DE HUATA,atencion odontologica,consulta nueva,2016-04-01,44,38,4,26,0,15,39,46,73,66,0,5,0,14,160,210,370
SANTIAGO DE MACHACA,atencion odontologica,consulta nueva,2016-04-01,6,13,4,0,1,10,6,18,8,8,0,3,0,0,25,52,77
SANTIVAÑES,atencion odontologica,consulta nueva,2016-04-01,6,9,11,23,6,2,35,52,9,17,0,0,0,4,67,107,174
SANTUARIO DE QUILLACAS,atencion odontologica,consulta nueva,2016-04-01,7,10,1,8,3,1,7,12,14,21,0,9,0,3,32,64,96
SAPAHAQUI,atencion odontologica,consulta nueva,2016-04-01,36,29,9,13,6,21,34,74,29,29,0,0,0,47,114,213,327
SENA,atencion odontologica,consulta nueva,2016-04-01,58,53,40,39,6,19,8,29,2,0,0,16,0,11,114,167,281
SHINAOTA,atencion odontologica,consulta nueva,2016-04-01,49,61,17,27,3,23,23,53,5,9,0,16,0,22,97,211,308
SICA SICA (VILLA AROMA),atencion odontologica,consulta nueva,2016-04-01,21,33,21,25,11,25,24,66,35,44,0,7,0,11,112,211,323
SICAYA,atencion odontologica,consulta nueva,2016-04-01,0,2,2,0,2,7,2,31,2,2,0,5,0,13,8,60,68
SIPE SIPE,atencion odontologica,consulta nueva,2016-04-01,190,228,44,54,12,45,37,231,40,51,0,52,0,186,323,847,1170
SOPACHUY,atencion odontologica,consulta nueva,2016-04-01,35,13,52,79,33,57,35,54,9,6,0,10,0,37,164,256,420
SORACACHI,atencion odontologica,consulta nueva,2016-04-01,59,72,308,228,11,44,24,54,26,20,0,11,0,15,428,444,872
SORATA,atencion odontologica,consulta nueva,2016-04-01,73,84,17,33,2,28,45,139,46,44,0,47,0,56,183,431,614
SUCRE,atencion odontologica,consulta nueva,2016-04-01,2489,2426,997,1131,310,848,766,2941,272,236,0,1293,0,848,4834,9723,14557
TACACOMA,atencion odontologica,consulta nueva,2016-04-01,1,11,12,16,11,8,18,23,4,0,0,3,0,1,46,62,108
TACOBAMBA,atencion odontologica,consulta nueva,2016-04-01,0,13,7,11,8,6,2,31,0,3,0,3,0,18,17,85,102
TACOPAYA,atencion odontologica,consulta nueva,2016-04-01,7,8,6,2,3,13,4,30,12,20,0,7,0,10,32,90,122
TAHUA,atencion odontologica,consulta nueva,2016-04-01,6,2,2,3,0,0,7,10,4,13,0,4,0,0,19,32,51
TAPACARI,atencion odontologica,consulta nueva,2016-04-01,83,71,21,17,12,38,41,157,42,90,0,31,0,84,199,488,687
TARABUCO,atencion odontologica,consulta nueva,2016-04-01,162,156,50,50,12,34,33,120,35,41,0,24,0,52,292,477,769
TARACO,atencion odontologica,consulta nueva,2016-04-01,51,34,16,6,2,15,5,25,66,60,0,11,0,11,140,162,302
TARATA,atencion odontologica,consulta nueva,2016-04-01,16,31,31,10,6,7,30,82,37,24,0,13,0,20,120,187,307
TARIJA,atencion odontologica,consulta nueva,2016-04-01,352,337,863,1032,384,596,928,2095,138,110,0,111,0,26,2665,4307,6972
TARVITA,atencion odontologica,consulta nueva,2016-04-01,71,75,21,24,16,28,26,86,11,14,0,37,0,35,145,299,444
TEOPONTE,atencion odontologica,consulta nueva,2016-04-01,38,23,36,19,18,11,25,52,6,5,0,11,0,5,123,126,249
TIAWANACU,atencion odontologica,consulta nueva,2016-04-01,14,16,29,37,8,28,27,49,10,17,0,16,0,12,88,175,263
TINGUIPAYA,atencion odontologica,consulta nueva,2016-04-01,32,24,2,6,5,13,13,89,30,33,0,23,0,20,82,208,290
TIPUANI,atencion odontologica,consulta nueva,2016-04-01,32,27,12,10,5,10,4,28,6,2,0,0,0,10,59,87,146
TIQUIPAYA,atencion odontologica,consulta nueva,2016-04-01,675,743,116,158,14,65,27,451,78,94,0,203,0,189,910,1903,2813
