,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
SAN PABLO DE LIPEZ,atencion odontologica,exodoncia,2016-03-01,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9
SAN PEDRO,atencion odontologica,exodoncia,2016-03-01,0,0,17,15,3,2,5,10,3,5,0,0,0,0,28,32,60
SAN PEDRO DE BUENA VISTA,atencion odontologica,exodoncia,2016-03-01,1,0,6,4,3,5,13,23,11,21,0,0,0,0,34,53,87
SAN PEDRO DE CURAHUARA,atencion odontologica,exodoncia,2016-03-01,0,0,2,0,0,1,1,0,1,1,0,0,0,0,4,2,6
SAN PEDRO DE QUEMES,atencion odontologica,exodoncia,2016-03-01,0,0,2,2,0,0,1,0,1,0,0,0,0,0,4,2,6
SAN PEDRO DE TIQUINA,atencion odontologica,exodoncia,2016-03-01,3,0,3,2,3,1,8,15,5,7,0,0,0,0,22,25,47
SAN RAFAEL,atencion odontologica,exodoncia,2016-03-01,0,0,0,3,0,0,1,6,1,1,0,0,0,0,2,10,12
SAN RAMON BENI,atencion odontologica,exodoncia,2016-03-01,0,0,3,1,2,3,6,9,0,0,0,0,0,0,11,13,24
SAN RAMON SCZ,atencion odontologica,exodoncia,2016-03-01,0,0,2,1,1,2,0,0,1,1,0,0,0,0,4,4,8
SANTA ANA,atencion odontologica,exodoncia,2016-03-01,0,0,26,16,6,6,10,15,3,3,0,0,0,0,45,40,85
SANTA CRUZ DE LA SIERRA,atencion odontologica,exodoncia,2016-03-01,15,16,96,97,24,64,78,227,190,126,0,0,0,0,403,530,933
SANTA ROSA,atencion odontologica,exodoncia,2016-03-01,0,0,5,6,3,1,4,16,1,3,0,0,0,0,13,26,39
SANTA ROSA DEL SARA,atencion odontologica,exodoncia,2016-03-01,1,0,3,3,0,2,5,8,9,11,0,0,0,0,18,24,42
SANTIAGO DE CALLAPA,atencion odontologica,exodoncia,2016-03-01,2,0,0,1,1,2,1,6,6,5,0,0,0,0,10,14,24
SANTIAGO DE HUARI,atencion odontologica,exodoncia,2016-03-01,0,0,3,4,0,0,1,8,8,6,0,0,0,0,12,18,30
SANTIAGO DE HUATA,atencion odontologica,exodoncia,2016-03-01,1,0,3,2,1,5,4,6,7,18,0,0,0,0,16,31,47
SANTIAGO DE MACHACA,atencion odontologica,exodoncia,2016-03-01,1,0,3,3,2,2,6,7,9,11,0,0,0,0,21,23,44
SANTIVAÑES,atencion odontologica,exodoncia,2016-03-01,0,0,0,2,1,1,3,10,3,11,0,0,0,0,7,24,31
SANTUARIO DE QUILLACAS,atencion odontologica,exodoncia,2016-03-01,0,0,3,0,0,0,0,3,4,1,0,0,0,0,7,4,11
SAPAHAQUI,atencion odontologica,exodoncia,2016-03-01,0,1,3,3,3,3,9,13,8,11,0,0,0,0,23,31,54
SENA,atencion odontologica,exodoncia,2016-03-01,2,1,1,1,1,5,5,9,1,0,0,0,0,0,10,16,26
SHINAOTA,atencion odontologica,exodoncia,2016-03-01,0,0,16,10,0,2,0,9,2,4,0,0,0,0,18,25,43
SICA SICA (VILLA AROMA),atencion odontologica,exodoncia,2016-03-01,2,1,11,7,7,8,7,23,10,11,0,0,0,0,37,50,87
SICAYA,atencion odontologica,exodoncia,2016-03-01,0,0,2,3,0,2,1,7,0,0,0,0,0,0,3,12,15
SIPE SIPE,atencion odontologica,exodoncia,2016-03-01,0,1,6,17,0,0,0,6,5,5,0,0,0,0,11,29,40
SOPACHUY,atencion odontologica,exodoncia,2016-03-01,0,0,5,9,0,3,7,18,6,0,0,0,0,0,18,30,48
SORACACHI,atencion odontologica,exodoncia,2016-03-01,1,0,9,34,10,6,4,14,5,3,0,0,0,0,29,57,86
SORATA,atencion odontologica,exodoncia,2016-03-01,1,0,5,7,3,9,11,18,13,19,0,0,0,0,33,53,86
SUCRE,atencion odontologica,exodoncia,2016-03-01,17,17,153,236,43,49,149,271,63,61,0,0,0,0,425,634,1059
TACACHI,atencion odontologica,exodoncia,2016-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TACACOMA,atencion odontologica,exodoncia,2016-03-01,0,0,8,6,2,5,18,25,8,2,0,0,0,0,36,38,74
TACOBAMBA,atencion odontologica,exodoncia,2016-03-01,0,0,8,2,0,3,1,9,0,6,0,0,0,0,9,20,29
TACOPAYA,atencion odontologica,exodoncia,2016-03-01,0,0,2,2,2,1,4,8,4,7,0,0,0,0,12,18,30
TAHUA,atencion odontologica,exodoncia,2016-03-01,0,0,0,2,0,0,0,1,2,2,0,0,0,0,2,5,7
TAPACARI,atencion odontologica,exodoncia,2016-03-01,0,0,5,11,0,7,5,22,37,19,0,0,0,0,47,59,106
TARABUCO,atencion odontologica,exodoncia,2016-03-01,0,0,5,6,3,9,8,21,5,16,0,0,0,0,21,52,73
TARACO,atencion odontologica,exodoncia,2016-03-01,0,0,3,6,3,5,2,8,14,13,0,0,0,0,22,32,54
TARATA,atencion odontologica,exodoncia,2016-03-01,0,0,3,5,1,1,3,12,4,9,0,0,0,0,11,27,38
TARIJA,atencion odontologica,exodoncia,2016-03-01,7,2,113,121,59,69,126,266,31,31,0,0,0,0,336,489,825
TARVITA,atencion odontologica,exodoncia,2016-03-01,0,0,6,6,1,6,18,37,3,10,0,0,0,0,28,59,87
TEOPONTE,atencion odontologica,exodoncia,2016-03-01,0,0,4,5,6,6,10,11,8,2,0,0,0,0,28,24,52
TIAWANACU,atencion odontologica,exodoncia,2016-03-01,0,0,8,6,3,5,6,20,4,9,0,0,0,0,21,40,61
TINGUIPAYA,atencion odontologica,exodoncia,2016-03-01,0,0,0,7,3,7,8,40,29,30,0,0,0,0,40,84,124
TIPUANI,atencion odontologica,exodoncia,2016-03-01,3,2,6,5,0,2,3,4,3,0,0,0,0,0,15,13,28
TIQUIPAYA,atencion odontologica,exodoncia,2016-03-01,3,0,22,30,4,9,11,37,8,19,0,0,0,0,48,95,143
TIRAQUE (CBBA),atencion odontologica,exodoncia,2016-03-01,0,0,4,2,1,0,2,11,12,2,0,0,0,0,19,15,34
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,exodoncia,2016-03-01,0,0,4,1,2,2,1,3,0,4,0,0,0,0,7,10,17
TOCO,atencion odontologica,exodoncia,2016-03-01,0,0,3,2,1,0,0,8,6,7,0,0,0,0,10,17,27
TODOS SANTOS,atencion odontologica,exodoncia,2016-03-01,0,0,1,0,0,0,3,0,0,1,0,0,0,0,4,1,5
TOLATA,atencion odontologica,exodoncia,2016-03-01,0,0,2,0,0,0,2,0,1,8,0,0,0,0,5,8,13
TOLEDO,atencion odontologica,exodoncia,2016-03-01,0,0,4,5,1,2,0,2,2,1,0,0,0,0,7,10,17
TOMAVE,atencion odontologica,exodoncia,2016-03-01,0,0,6,7,4,6,21,28,19,9,0,0,0,0,50,50,100
TOMINA,atencion odontologica,exodoncia,2016-03-01,0,0,3,1,3,3,8,18,2,6,0,0,0,0,16,28,44
TORO TORO,atencion odontologica,exodoncia,2016-03-01,0,0,1,5,1,5,5,10,3,6,0,0,0,0,10,26,36
TOTORA(CBBA),atencion odontologica,exodoncia,2016-03-01,0,0,8,7,3,0,6,7,3,3,0,0,0,0,20,17,37
TRIGAL,atencion odontologica,exodoncia,2016-03-01,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,10,11
TRINIDAD,atencion odontologica,exodoncia,2016-03-01,15,19,68,80,33,30,71,102,18,12,0,0,0,0,205,243,448
TUPIZA,atencion odontologica,exodoncia,2016-03-01,2,0,22,20,16,14,26,40,20,21,0,0,0,0,86,95,181
TURCO,atencion odontologica,exodoncia,2016-03-01,0,0,2,7,0,1,5,3,1,2,0,0,0,0,8,13,21
UMALA,atencion odontologica,exodoncia,2016-03-01,0,0,4,1,1,0,2,2,4,4,0,0,0,0,11,7,18
UNCIA,atencion odontologica,exodoncia,2016-03-01,2,9,8,10,1,12,7,18,9,20,0,0,0,0,27,69,96
URIONDO (A. CONCEPCION),atencion odontologica,exodoncia,2016-03-01,0,0,9,7,5,6,20,24,3,0,0,0,0,0,37,37,74
URUBICHA,atencion odontologica,exodoncia,2016-03-01,0,0,2,1,1,2,3,1,0,0,0,0,0,0,6,4,10
UYUNI,atencion odontologica,exodoncia,2016-03-01,1,1,10,15,7,8,16,32,10,3,0,0,0,0,44,59,103
VACAS,atencion odontologica,exodoncia,2016-03-01,1,0,2,5,3,1,3,17,17,8,0,0,0,0,26,31,57
VALLEGRANDE,atencion odontologica,exodoncia,2016-03-01,0,0,4,5,0,1,1,17,31,3,0,0,0,0,36,26,62
VIACHA,atencion odontologica,exodoncia,2016-03-01,6,5,20,16,6,13,12,63,45,34,0,0,0,0,89,131,220
VILA VILA,atencion odontologica,exodoncia,2016-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA CHARCAS,atencion odontologica,exodoncia,2016-03-01,0,1,3,4,1,0,3,5,5,3,0,0,0,0,12,13,25
VILLA MONTES,atencion odontologica,exodoncia,2016-03-01,0,6,32,56,10,17,23,61,5,2,0,0,0,0,70,142,212
VILLA NUEVA (LOMA ALTA),atencion odontologica,exodoncia,2016-03-01,0,0,6,5,1,1,2,9,2,0,0,0,0,0,11,15,26
VILLA RIVERO,atencion odontologica,exodoncia,2016-03-01,1,0,2,2,4,4,0,10,6,10,0,0,0,0,13,26,39
VILLA SERRANO,atencion odontologica,exodoncia,2016-03-01,0,0,2,1,0,0,5,28,8,1,0,0,0,0,15,30,45
VILLA TUNARI,atencion odontologica,exodoncia,2016-03-01,4,1,18,21,4,9,12,43,19,3,0,0,0,0,57,77,134
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,exodoncia,2016-03-01,0,2,8,9,1,1,4,15,3,3,0,0,0,0,16,30,46
VILLAZON,atencion odontologica,exodoncia,2016-03-01,1,0,8,14,5,19,13,40,23,24,0,0,0,0,50,97,147
VINTO,atencion odontologica,exodoncia,2016-03-01,8,5,2,4,0,0,1,41,25,46,0,0,0,0,36,96,132
VITICHI,atencion odontologica,exodoncia,2016-03-01,0,0,8,7,2,5,5,14,7,9,0,0,0,0,22,35,57
WALDO BALLIVIAN,atencion odontologica,exodoncia,2016-03-01,0,0,8,13,5,15,5,8,5,2,0,0,0,0,23,38,61
WARNES,atencion odontologica,exodoncia,2016-03-01,5,2,10,14,1,4,1,20,15,7,0,0,0,0,32,47,79
YACO,atencion odontologica,exodoncia,2016-03-01,0,0,5,3,2,10,10,10,9,8,0,0,0,0,26,31,57
YACUIBA,atencion odontologica,exodoncia,2016-03-01,4,0,31,30,6,14,42,98,26,10,0,0,0,0,109,152,261
YAMPARAEZ,atencion odontologica,exodoncia,2016-03-01,0,0,0,2,1,0,2,9,4,3,0,0,0,0,7,14,21
YANACACHI,atencion odontologica,exodoncia,2016-03-01,0,0,3,14,0,0,3,8,2,0,0,0,0,0,8,22,30
YAPACANI,atencion odontologica,exodoncia,2016-03-01,2,5,10,4,3,6,2,25,29,8,0,0,0,0,46,48,94
YOCALLA,atencion odontologica,exodoncia,2016-03-01,0,0,4,0,2,4,1,8,5,6,0,0,0,0,12,18,30
YOTALA,atencion odontologica,exodoncia,2016-03-01,0,1,1,2,2,3,2,15,3,2,0,0,0,0,8,23,31
YUNCHARA,atencion odontologica,exodoncia,2016-03-01,0,1,12,20,1,5,4,32,2,1,0,0,0,0,19,59,78
ZUDAÑEZ,atencion odontologica,exodoncia,2016-03-01,0,0,0,5,1,3,6,23,3,3,0,0,0,0,10,34,44
ACACIO,atencion odontologica,exodoncia,2016-04-01,0,0,2,1,0,0,1,3,1,1,0,0,0,0,4,5,9
ACHACACHI,atencion odontologica,exodoncia,2016-04-01,3,5,15,17,6,9,24,44,28,22,0,0,0,0,76,97,173
ACHOCALLA,atencion odontologica,exodoncia,2016-04-01,0,2,9,10,1,10,2,18,0,0,0,0,0,0,12,40,52
AIQUILE,atencion odontologica,exodoncia,2016-04-01,2,0,5,6,0,2,0,6,5,4,0,0,0,0,12,18,30
ALALAY,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ALCALA,atencion odontologica,exodoncia,2016-04-01,0,0,1,10,0,0,4,9,0,1,0,0,0,0,5,20,25
ALTO BENI,atencion odontologica,exodoncia,2016-04-01,2,0,4,0,0,2,5,7,10,4,0,0,0,0,21,13,34
ANCORAIMES,atencion odontologica,exodoncia,2016-04-01,1,0,2,4,2,4,8,10,15,14,0,0,0,0,28,32,60
ANDAMARCA,atencion odontologica,exodoncia,2016-04-01,0,0,5,2,0,0,5,1,3,2,0,0,0,0,13,5,18
ANTEQUERA,atencion odontologica,exodoncia,2016-04-01,0,0,1,0,0,0,4,6,0,3,0,0,0,0,5,9,14
ANZALDO,atencion odontologica,exodoncia,2016-04-01,0,0,3,11,1,2,1,1,5,8,0,0,0,0,10,22,32
APOLO,atencion odontologica,exodoncia,2016-04-01,1,2,8,8,0,1,1,12,5,5,0,0,0,0,15,28,43
ARAMPAMPA,atencion odontologica,exodoncia,2016-04-01,2,2,9,1,3,4,1,4,0,0,0,0,0,0,15,11,26
ARANI,atencion odontologica,exodoncia,2016-04-01,0,0,4,4,0,0,0,2,1,0,0,0,0,0,5,6,11
ARBIETO,atencion odontologica,exodoncia,2016-04-01,0,2,4,8,0,1,2,8,1,4,0,0,0,0,7,23,30
ARQUE,atencion odontologica,exodoncia,2016-04-01,0,2,1,1,1,4,0,6,4,2,0,0,0,0,6,15,21
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2016-04-01,0,4,5,2,1,1,1,10,8,8,0,0,0,0,15,25,40
ATOCHA,atencion odontologica,exodoncia,2016-04-01,0,0,13,23,14,19,22,22,1,4,0,0,0,0,50,68,118
AUCAPATA,atencion odontologica,exodoncia,2016-04-01,0,1,8,3,5,5,9,27,2,1,0,0,0,0,24,37,61
AYATA,atencion odontologica,exodoncia,2016-04-01,0,0,7,6,6,7,19,41,16,11,0,0,0,0,48,65,113
AYO AYO,atencion odontologica,exodoncia,2016-04-01,0,0,1,0,0,2,3,13,1,4,0,0,0,0,5,19,24
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2016-04-01,1,1,6,13,4,5,16,30,9,14,0,0,0,0,36,63,99
AZURDUY,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,1,30,0,2,0,0,0,0,1,32,33
BATALLAS,atencion odontologica,exodoncia,2016-04-01,1,1,7,9,2,4,6,20,3,8,0,0,0,0,19,42,61
BAURES,atencion odontologica,exodoncia,2016-04-01,0,2,3,3,2,1,8,7,5,0,0,0,0,0,18,13,31
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2016-04-01,0,0,1,5,0,0,3,2,2,0,0,0,0,0,6,7,13
BELEN DE URMIRI,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,2,3,2,0,1,0,0,0,0,3,5,8
BELLA FLOR,atencion odontologica,exodoncia,2016-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
BERMEJO,atencion odontologica,exodoncia,2016-04-01,0,0,28,17,22,25,63,92,33,35,0,0,0,0,146,169,315
BETANZOS,atencion odontologica,exodoncia,2016-04-01,0,0,10,1,5,9,17,50,22,19,0,0,0,0,54,79,133
BOLIVAR,atencion odontologica,exodoncia,2016-04-01,0,0,2,4,3,1,0,7,3,2,0,0,0,0,8,14,22
BOYUIBE,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,1,1,5,2,0,0,0,0,0,3,6,9
BUENA VISTA,atencion odontologica,exodoncia,2016-04-01,0,0,4,2,0,2,3,9,8,9,0,0,0,0,15,22,37
CABEZAS,atencion odontologica,exodoncia,2016-04-01,0,0,4,4,5,3,12,18,6,16,0,0,0,0,27,41,68
CAIROMA,atencion odontologica,exodoncia,2016-04-01,0,1,4,9,4,5,9,17,3,5,0,0,0,0,20,37,57
"CAIZA ""D""",atencion odontologica,exodoncia,2016-04-01,0,0,6,9,3,7,5,11,19,6,0,0,0,0,33,33,66
CAJUATA,atencion odontologica,exodoncia,2016-04-01,0,0,5,5,1,3,9,16,3,3,0,0,0,0,18,27,45
CALACOTO,atencion odontologica,exodoncia,2016-04-01,0,0,6,2,0,0,2,7,7,2,0,0,0,0,15,11,26
CALAMARCA,atencion odontologica,exodoncia,2016-04-01,0,2,5,17,8,18,17,26,5,12,0,0,0,0,35,75,110
CAMARGO,atencion odontologica,exodoncia,2016-04-01,0,3,0,1,0,2,2,14,5,8,0,0,0,0,7,28,35
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,2,7,5,1,0,0,0,0,7,8,15
CAMIRI,atencion odontologica,exodoncia,2016-04-01,1,5,4,9,0,6,8,36,9,9,0,0,0,0,22,65,87
CAPINOTA,atencion odontologica,exodoncia,2016-04-01,0,0,8,11,2,0,2,13,5,5,0,0,0,0,17,29,46
CAQUIAVIRI,atencion odontologica,exodoncia,2016-04-01,0,0,8,11,7,5,2,23,16,6,0,0,0,0,33,45,78
CARACOLLO,atencion odontologica,exodoncia,2016-04-01,0,0,17,17,4,6,12,34,7,3,0,0,0,0,40,60,100
CARANAVI,atencion odontologica,exodoncia,2016-04-01,1,1,5,10,2,7,7,18,12,6,0,0,0,0,27,42,69
CARAPARI,atencion odontologica,exodoncia,2016-04-01,0,0,17,15,7,9,19,20,3,1,0,0,0,0,46,45,91
CARIPUYO,atencion odontologica,exodoncia,2016-04-01,0,0,17,18,5,6,3,11,12,8,0,0,0,0,37,43,80
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,1,5,0,2,0,0,0,0,1,7,8
CATACORA,atencion odontologica,exodoncia,2016-04-01,0,0,0,1,1,0,10,10,0,0,0,0,0,0,11,11,22
CHALLAPATA,atencion odontologica,exodoncia,2016-04-01,0,0,25,27,5,6,1,29,13,10,0,0,0,0,44,72,116
CHAQUI,atencion odontologica,exodoncia,2016-04-01,0,0,2,7,3,3,2,4,11,6,0,0,0,0,18,20,38
CHARAGUA,atencion odontologica,exodoncia,2016-04-01,0,1,4,15,24,24,25,49,5,4,0,0,0,0,58,93,151
CHARAÑA,atencion odontologica,exodoncia,2016-04-01,0,0,0,2,2,0,0,3,7,2,0,0,0,0,9,7,16
CHAYANTA,atencion odontologica,exodoncia,2016-04-01,0,0,4,9,8,2,15,18,5,9,0,0,0,0,32,38,70
CHIMORE,atencion odontologica,exodoncia,2016-04-01,2,3,4,7,0,4,3,11,0,3,0,0,0,0,9,28,37
CHIPAYA,atencion odontologica,exodoncia,2016-04-01,0,0,1,1,1,0,2,0,7,2,0,0,0,0,11,3,14
CHOQUE COTA,atencion odontologica,exodoncia,2016-04-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,3
CHUA COCANI,atencion odontologica,exodoncia,2016-04-01,0,0,2,0,1,4,2,2,9,0,0,0,0,0,14,6,20
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2016-04-01,0,2,18,28,3,1,3,13,10,2,0,0,0,0,34,46,80
CHUMA,atencion odontologica,exodoncia,2016-04-01,2,0,8,8,6,16,32,45,55,20,0,0,0,0,103,89,192
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,4
CKOCHAS,atencion odontologica,exodoncia,2016-04-01,0,1,7,1,1,3,10,13,4,14,0,0,0,0,22,32,54
CLIZA,atencion odontologica,exodoncia,2016-04-01,0,0,7,1,2,0,2,4,5,13,0,0,0,0,16,18,34
COBIJA,atencion odontologica,exodoncia,2016-04-01,0,0,11,24,9,9,54,38,8,2,0,0,0,0,82,73,155
COCAPATA,atencion odontologica,exodoncia,2016-04-01,3,2,0,0,0,8,0,28,28,22,0,0,0,0,31,60,91
COCHABAMBA,atencion odontologica,exodoncia,2016-04-01,11,15,174,177,48,66,120,176,88,82,0,0,0,0,441,516,957
COIPASA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,3,1,1,2,3,0,0,0,0,0,7,3,10
COLCAPIRHUA,atencion odontologica,exodoncia,2016-04-01,19,8,6,3,1,0,1,20,12,20,0,0,0,0,39,51,90
"COLCHA ""K""",atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,1,3,8,6,0,0,0,0,9,9,18
COLLANA,atencion odontologica,exodoncia,2016-04-01,0,0,2,0,1,1,4,4,9,0,0,0,0,0,16,5,21
COLOMI,atencion odontologica,exodoncia,2016-04-01,4,1,0,0,0,0,0,3,0,2,0,0,0,0,4,6,10
COLPA BELGICA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5,5
COLQUECHACA,atencion odontologica,exodoncia,2016-04-01,2,2,14,13,6,13,24,47,24,33,0,0,0,0,70,108,178
COLQUENCHA,atencion odontologica,exodoncia,2016-04-01,0,1,11,16,4,7,10,11,1,2,0,0,0,0,26,37,63
COLQUIRI,atencion odontologica,exodoncia,2016-04-01,1,0,14,5,4,3,5,22,5,6,0,0,0,0,29,36,65
COMANCHE,atencion odontologica,exodoncia,2016-04-01,0,0,1,0,1,4,3,7,0,4,0,0,0,0,5,15,20
COMARAPA,atencion odontologica,exodoncia,2016-04-01,3,2,10,7,1,7,8,37,3,12,0,0,0,0,25,65,90
COPACABANA,atencion odontologica,exodoncia,2016-04-01,0,0,0,1,3,1,2,3,5,2,0,0,0,0,10,7,17
CORIPATA,atencion odontologica,exodoncia,2016-04-01,4,0,20,18,1,4,9,15,6,3,0,0,0,0,40,40,80
CORO CORO,atencion odontologica,exodoncia,2016-04-01,0,0,1,2,4,4,1,3,1,2,0,0,0,0,7,11,18
COROICO,atencion odontologica,exodoncia,2016-04-01,0,3,13,2,7,5,17,28,11,8,0,0,0,0,48,46,94
CORQUE,atencion odontologica,exodoncia,2016-04-01,0,0,4,1,2,0,4,12,10,13,0,0,0,0,20,26,46
COTAGAITA,atencion odontologica,exodoncia,2016-04-01,0,0,11,10,6,5,18,34,13,23,0,0,0,0,48,72,120
COTOCA,atencion odontologica,exodoncia,2016-04-01,0,0,4,1,0,0,1,4,2,1,0,0,0,0,7,6,13
CUATRO CAÑADAS,atencion odontologica,exodoncia,2016-04-01,1,0,4,6,0,0,2,4,14,1,0,0,0,0,21,11,32
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CUEVO,atencion odontologica,exodoncia,2016-04-01,3,0,1,3,0,2,7,8,2,0,0,0,0,0,13,13,26
CULPINA,atencion odontologica,exodoncia,2016-04-01,0,0,6,5,1,6,12,34,15,11,0,0,0,0,34,56,90
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2016-04-01,0,0,2,1,0,0,3,4,1,3,0,0,0,0,6,8,14
CURVA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,1,0,4,5,0,0,0,0,0,0,5,5,10
DESAGUADERO,atencion odontologica,exodoncia,2016-04-01,0,0,2,2,0,3,2,5,2,2,0,0,0,0,6,12,18
EL ALTO,atencion odontologica,exodoncia,2016-04-01,29,26,379,371,78,125,107,229,100,72,0,0,0,0,693,823,1516
EL CHORO,atencion odontologica,exodoncia,2016-04-01,0,0,0,2,0,3,0,1,1,0,0,0,0,0,1,6,7
EL PUENTE(STC),atencion odontologica,exodoncia,2016-04-01,1,0,7,2,0,0,3,11,9,1,0,0,0,0,20,14,34
EL PUENTE(TJA),atencion odontologica,exodoncia,2016-04-01,0,0,16,10,2,8,8,34,4,7,0,0,0,0,30,59,89
EL TORNO,atencion odontologica,exodoncia,2016-04-01,2,4,14,15,18,19,19,28,26,13,0,0,0,0,79,79,158
EL VILLAR,atencion odontologica,exodoncia,2016-04-01,0,0,0,2,1,0,3,19,4,3,0,0,0,0,8,24,32
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2016-04-01,0,1,40,25,6,19,9,74,10,6,0,0,0,0,65,125,190
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2016-04-01,0,0,1,1,0,1,2,2,0,1,0,0,0,0,3,5,8
ESCARA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ESCOMA,atencion odontologica,exodoncia,2016-04-01,1,1,10,7,2,3,6,13,6,13,0,0,0,0,25,37,62
ESMERALDA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,0,6,2,0,0,0,0,6,2,8
EUCALIPTUS,atencion odontologica,exodoncia,2016-04-01,0,0,7,4,1,1,5,6,1,1,0,0,0,0,14,12,26
EUREKA (SANTOS MERCADO),atencion odontologica,exodoncia,2016-04-01,0,0,2,3,0,1,6,5,1,0,0,0,0,0,9,9,18
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2016-04-01,1,0,12,15,1,1,3,2,2,1,0,0,0,0,19,19,38
FILADELFIA,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2016-04-01,2,1,17,16,1,3,4,10,10,7,0,0,0,0,34,37,71
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2016-04-01,4,1,6,3,2,1,16,18,0,8,0,0,0,0,28,31,59
GUANAY,atencion odontologica,exodoncia,2016-04-01,6,2,0,0,3,4,7,9,3,5,0,0,0,0,19,20,39
GUAQUI,atencion odontologica,exodoncia,2016-04-01,1,0,3,5,2,9,14,33,29,23,0,0,0,0,49,70,119
GUAYARAMERIN,atencion odontologica,exodoncia,2016-04-01,0,3,16,15,5,12,11,33,12,3,0,0,0,0,44,66,110
GUTIERREZ,atencion odontologica,exodoncia,2016-04-01,0,0,1,0,5,7,11,12,3,3,0,0,0,0,20,22,42
HUACARETA,atencion odontologica,exodoncia,2016-04-01,0,0,1,2,3,4,4,8,6,1,0,0,0,0,14,15,29
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2016-04-01,0,0,5,4,0,0,2,3,0,0,0,0,0,0,7,7,14
HUACHACALLA,atencion odontologica,exodoncia,2016-04-01,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,3,4
HUANUNI,atencion odontologica,exodoncia,2016-04-01,3,2,28,43,4,5,20,18,10,7,0,0,0,0,65,75,140
HUARACAJE,atencion odontologica,exodoncia,2016-04-01,0,0,0,0,0,1,1,5,1,0,0,0,0,0,2,6,8
HUARINA,atencion odontologica,exodoncia,2016-04-01,0,0,6,1,1,2,4,14,39,14,0,0,0,0,50,31,81
HUATAJATA,atencion odontologica,exodoncia,2016-04-01,1,0,4,0,2,0,2,4,1,5,0,0,0,0,10,9,19
HUAYLLAMARCA,atencion odontologica,exodoncia,2016-04-01,0,1,3,7,2,2,3,1,0,5,0,0,0,0,8,16,24
HUMANATA,atencion odontologica,exodoncia,2016-04-01,0,0,1,0,0,0,2,2,18,11,0,0,0,0,21,13,34
ICHOCA,atencion odontologica,exodoncia,2016-04-01,0,0,2,4,0,2,2,7,3,1,0,0,0,0,7,14,21
ICLA,atencion odontologica,exodoncia,2016-04-01,0,0,3,11,3,3,3,21,3,12,0,0,0,0,12,47,59
