,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
RAVELO,atencion odontologica,consulta repetida,2016-03-01,1,1,0,0,0,0,9,5,0,0,0,5,0,0,10,11,21
REYES,atencion odontologica,consulta repetida,2016-03-01,0,0,2,21,10,20,8,41,0,4,0,0,0,0,20,86,106
RIBERALTA,atencion odontologica,consulta repetida,2016-03-01,33,39,47,57,85,114,155,158,29,31,0,14,0,5,349,418,767
ROBORE,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,4,0,6,2,0,0,0,0,0,0,10,2,12
RURRENABAQUE,atencion odontologica,consulta repetida,2016-03-01,0,4,1,1,0,2,2,1,3,1,0,4,0,0,6,13,19
SABAYA,atencion odontologica,consulta repetida,2016-03-01,0,0,1,0,0,2,2,7,2,2,0,0,0,0,5,11,16
SACABA,atencion odontologica,consulta repetida,2016-03-01,36,31,39,59,8,30,48,86,21,6,0,8,0,5,152,225,377
SACABAMBA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,1,1,0,2,1,0,1,0,0,0,0,3,3,6
SACACA,atencion odontologica,consulta repetida,2016-03-01,2,1,6,0,2,2,1,7,1,0,0,3,0,3,12,16,28
SAIPINA,atencion odontologica,consulta repetida,2016-03-01,10,1,8,1,0,0,1,9,2,2,0,0,0,1,21,14,35
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2016-03-01,1,6,4,5,0,0,9,4,4,3,0,1,0,0,18,19,37
SAMAIPATA,atencion odontologica,consulta repetida,2016-03-01,2,4,6,4,0,9,1,18,0,0,0,1,0,3,9,39,48
SAN AGUSTIN,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN ANDRES,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2016-03-01,0,0,2,0,3,6,3,3,3,0,0,0,0,0,11,9,20
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2016-03-01,44,25,0,0,0,0,0,0,0,0,0,0,0,0,44,25,69
SAN BENITO,atencion odontologica,consulta repetida,2016-03-01,29,12,0,4,0,26,2,23,10,1,0,3,0,43,41,112,153
SAN BORJA,atencion odontologica,consulta repetida,2016-03-01,3,11,14,12,3,14,18,48,3,3,0,4,0,11,41,103,144
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
SAN CARLOS,atencion odontologica,consulta repetida,2016-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN IGNACIO,atencion odontologica,consulta repetida,2016-03-01,7,1,7,9,2,3,6,20,0,1,0,0,0,0,22,34,56
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2016-03-01,0,0,15,13,16,4,12,48,7,1,0,0,0,0,50,66,116
SAN JAVIER(BNI),atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,3
SAN JAVIER(STC),atencion odontologica,consulta repetida,2016-03-01,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,5
SAN JOAQUIN,atencion odontologica,consulta repetida,2016-03-01,2,1,0,0,0,0,0,2,1,0,0,1,0,2,3,6,9
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2016-03-01,0,1,1,4,2,2,6,9,0,1,0,0,0,0,9,17,26
SAN JUAN DE YAPACANI,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
SAN JULIAN,atencion odontologica,consulta repetida,2016-03-01,0,1,0,0,0,6,4,19,0,1,0,4,0,20,4,51,55
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2016-03-01,19,6,39,23,15,43,71,167,5,6,0,0,0,6,149,251,400
SAN LUCAS,atencion odontologica,consulta repetida,2016-03-01,2,5,9,4,2,9,7,26,1,0,0,4,0,1,21,49,70
SAN MATIAS,atencion odontologica,consulta repetida,2016-03-01,23,20,1,0,4,12,1,2,15,4,0,0,0,0,44,38,82
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2016-03-01,0,2,8,0,1,16,15,27,5,5,0,5,0,0,29,55,84
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
SAN PEDRO,atencion odontologica,consulta repetida,2016-03-01,0,0,1,3,1,11,1,3,3,1,0,0,0,0,6,18,24
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2016-03-01,1,3,1,2,1,5,12,22,2,1,0,8,0,13,17,54,71
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,1,0,1,2,1,2,1,0,0,0,0,4,4,8
SAN PEDRO DE QUEMES,atencion odontologica,consulta repetida,2016-03-01,0,1,2,0,0,0,1,4,3,0,0,0,0,0,6,5,11
SAN RAFAEL,atencion odontologica,consulta repetida,2016-03-01,9,8,0,2,0,0,1,18,0,0,0,2,0,0,10,30,40
SAN RAMON BENI,atencion odontologica,consulta repetida,2016-03-01,0,0,2,3,0,0,0,3,0,0,0,0,0,0,2,6,8
SAN RAMON SCZ,atencion odontologica,consulta repetida,2016-03-01,50,85,5,2,2,2,4,8,0,0,0,6,0,5,61,108,169
SANTA ANA,atencion odontologica,consulta repetida,2016-03-01,0,1,7,4,9,7,8,6,0,0,0,0,0,0,24,18,42
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2016-03-01,515,642,470,489,165,407,590,1154,324,305,0,182,0,107,2064,3286,5350
SANTA ROSA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,2,4
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2016-03-01,2,0,1,2,1,4,3,10,4,1,0,4,0,3,11,24,35
SANTIAGO DE CALLAPA,atencion odontologica,consulta repetida,2016-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2016-03-01,3,1,10,6,0,0,19,30,17,17,0,4,0,4,49,62,111
SANTIAGO DE HUATA,atencion odontologica,consulta repetida,2016-03-01,0,0,2,0,2,4,2,12,0,4,0,0,0,0,6,20,26
SANTIVAÑES,atencion odontologica,consulta repetida,2016-03-01,1,3,4,10,3,6,8,16,3,1,0,0,0,8,19,44,63
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2016-03-01,8,0,0,0,0,0,0,0,20,4,0,4,0,0,28,8,36
SAPAHAQUI,atencion odontologica,consulta repetida,2016-03-01,0,1,0,0,0,0,1,1,1,0,0,1,0,0,2,3,5
SHINAOTA,atencion odontologica,consulta repetida,2016-03-01,1,5,0,0,0,1,0,0,1,0,0,0,0,1,2,7,9
SICAYA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,2,0,4,0,4,0,0,0,1,0,11,11
SIPE SIPE,atencion odontologica,consulta repetida,2016-03-01,8,4,3,12,0,5,0,21,6,3,0,3,0,13,17,61,78
SOPACHUY,atencion odontologica,consulta repetida,2016-03-01,1,1,4,5,4,1,23,20,2,5,0,5,0,11,34,48,82
SORACACHI,atencion odontologica,consulta repetida,2016-03-01,5,7,0,0,6,3,1,10,3,0,0,1,0,5,15,26,41
SORATA,atencion odontologica,consulta repetida,2016-03-01,7,2,0,0,0,3,3,5,1,2,0,1,0,5,11,18,29
SUCRE,atencion odontologica,consulta repetida,2016-03-01,358,271,282,360,165,384,812,1181,126,55,0,122,0,110,1743,2483,4226
TACACOMA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
TACOBAMBA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TACOPAYA,atencion odontologica,consulta repetida,2016-03-01,4,12,0,2,0,5,11,30,4,8,0,5,0,6,19,68,87
TAPACARI,atencion odontologica,consulta repetida,2016-03-01,1,4,1,4,3,8,7,14,4,1,0,4,0,2,16,37,53
TARABUCO,atencion odontologica,consulta repetida,2016-03-01,2,1,3,1,4,2,1,4,0,0,0,0,0,0,10,8,18
TARATA,atencion odontologica,consulta repetida,2016-03-01,1,0,2,3,0,6,13,15,4,7,0,7,0,2,20,40,60
TARIJA,atencion odontologica,consulta repetida,2016-03-01,81,85,257,296,157,289,551,1094,118,59,0,10,0,2,1164,1835,2999
TARVITA,atencion odontologica,consulta repetida,2016-03-01,2,2,2,0,8,9,1,18,0,0,0,6,0,0,13,35,48
TIAWANACU,atencion odontologica,consulta repetida,2016-03-01,0,0,0,3,1,9,10,28,0,2,0,5,0,5,11,52,63
TINGUIPAYA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,4,0,4,2,2,0,2,0,2,2,14,16
TIPUANI,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
TIQUIPAYA,atencion odontologica,consulta repetida,2016-03-01,68,31,8,26,3,6,26,20,1,0,0,4,0,11,106,98,204
TIRAQUE (CBBA),atencion odontologica,consulta repetida,2016-03-01,14,5,0,6,2,9,1,13,3,1,0,0,0,8,20,42,62
TOCO,atencion odontologica,consulta repetida,2016-03-01,1,0,0,0,0,1,1,2,5,1,0,1,0,0,7,5,12
TOLATA,atencion odontologica,consulta repetida,2016-03-01,0,5,0,7,0,0,0,5,0,2,0,5,0,0,0,24,24
TOLEDO,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,5,1,7,0,1,0,0,0,0,1,13,14
TOMAVE,atencion odontologica,consulta repetida,2016-03-01,1,1,0,0,3,1,2,4,2,0,0,1,0,2,8,9,17
TOMINA,atencion odontologica,consulta repetida,2016-03-01,4,3,15,7,1,5,7,5,1,0,0,1,0,1,28,22,50
TORO TORO,atencion odontologica,consulta repetida,2016-03-01,2,0,0,0,0,2,1,2,1,0,0,12,0,4,4,20,24
TOTORA(CBBA),atencion odontologica,consulta repetida,2016-03-01,2,7,4,15,1,10,5,11,0,1,0,0,0,3,12,47,59
TRIGAL,atencion odontologica,consulta repetida,2016-03-01,2,0,2,4,0,9,8,10,0,2,0,2,0,1,12,28,40
TRINIDAD,atencion odontologica,consulta repetida,2016-03-01,22,21,34,39,23,38,83,122,35,15,0,5,0,1,197,241,438
TUPIZA,atencion odontologica,consulta repetida,2016-03-01,19,36,35,15,13,23,78,88,31,29,0,7,0,6,176,204,380
TURCO,atencion odontologica,consulta repetida,2016-03-01,2,15,2,1,3,0,4,22,1,1,0,2,0,2,12,43,55
UMALA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
UNCIA,atencion odontologica,consulta repetida,2016-03-01,18,19,19,17,9,35,9,54,13,18,0,4,0,7,68,154,222
URIONDO (A. CONCEPCION),atencion odontologica,consulta repetida,2016-03-01,3,2,15,15,21,44,48,97,9,2,0,1,0,1,96,162,258
URUBICHA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
UYUNI,atencion odontologica,consulta repetida,2016-03-01,0,3,1,6,0,4,0,4,0,1,0,1,0,3,1,22,23
VACAS,atencion odontologica,consulta repetida,2016-03-01,0,4,0,2,2,1,0,5,11,0,0,0,0,1,13,13,26
VALLEGRANDE,atencion odontologica,consulta repetida,2016-03-01,0,0,3,4,3,9,10,29,1,6,0,0,0,6,17,54,71
VIACHA,atencion odontologica,consulta repetida,2016-03-01,136,119,20,9,22,10,18,81,5,4,0,17,0,42,201,282,483
VILA VILA,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,1,0,0,6,2,0,0,0,0,0,3,6,9
VILLA CHARCAS,atencion odontologica,consulta repetida,2016-03-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
VILLA MONTES,atencion odontologica,consulta repetida,2016-03-01,2,1,8,19,9,20,29,57,1,0,0,0,0,0,49,97,146
VILLA NUEVA (LOMA ALTA),atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA RIVERO,atencion odontologica,consulta repetida,2016-03-01,3,11,2,0,0,5,2,12,0,0,0,1,0,1,7,30,37
VILLA SERRANO,atencion odontologica,consulta repetida,2016-03-01,8,7,0,0,1,0,0,0,0,0,0,1,0,2,9,10,19
VILLA TUNARI,atencion odontologica,consulta repetida,2016-03-01,4,11,0,5,1,7,11,48,4,3,0,4,0,19,20,97,117
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consulta repetida,2016-03-01,11,9,1,5,0,0,4,2,2,0,0,2,0,0,18,18,36
VILLAZON,atencion odontologica,consulta repetida,2016-03-01,47,36,56,38,22,40,29,96,24,20,0,22,0,16,178,268,446
VINTO,atencion odontologica,consulta repetida,2016-03-01,0,2,1,2,1,0,2,2,0,0,0,0,0,0,4,6,10
VITICHI,atencion odontologica,consulta repetida,2016-03-01,4,1,2,9,1,5,3,19,4,23,0,4,0,2,14,63,77
WALDO BALLIVIAN,atencion odontologica,consulta repetida,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
WARNES,atencion odontologica,consulta repetida,2016-03-01,27,24,3,1,0,5,0,38,3,0,0,6,0,10,33,84,117
YACUIBA,atencion odontologica,consulta repetida,2016-03-01,2,18,62,51,23,45,56,169,14,8,0,3,0,1,157,295,452
YAMPARAEZ,atencion odontologica,consulta repetida,2016-03-01,32,20,3,5,2,21,11,35,3,2,0,7,0,22,51,112,163
YANACACHI,atencion odontologica,consulta repetida,2016-03-01,2,0,1,0,0,0,2,4,0,0,0,0,0,1,5,5,10
YAPACANI,atencion odontologica,consulta repetida,2016-03-01,18,22,0,2,11,19,17,18,9,2,0,9,0,20,55,92,147
YOCALLA,atencion odontologica,consulta repetida,2016-03-01,3,1,0,0,1,2,6,4,2,0,0,0,0,2,12,9,21
YOTALA,atencion odontologica,consulta repetida,2016-03-01,0,5,4,3,2,16,5,27,3,3,0,6,0,3,14,63,77
YUNCHARA,atencion odontologica,consulta repetida,2016-03-01,2,0,1,7,1,1,0,9,0,0,0,0,0,0,4,17,21
ZUDAÑEZ,atencion odontologica,consulta repetida,2016-03-01,3,0,1,0,2,4,1,10,0,0,0,6,0,0,7,20,27
ACACIO,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,3
ACHACACHI,atencion odontologica,consulta repetida,2016-04-01,47,31,9,7,1,6,15,39,19,7,0,12,0,2,91,104,195
ACHOCALLA,atencion odontologica,consulta repetida,2016-04-01,4,2,0,0,0,0,1,7,0,0,0,0,0,6,5,15,20
AIQUILE,atencion odontologica,consulta repetida,2016-04-01,32,26,21,33,0,4,12,63,14,23,0,6,0,16,79,171,250
ALALAY,atencion odontologica,consulta repetida,2016-04-01,2,2,1,0,3,0,0,1,1,0,0,0,0,0,7,3,10
ALCALA,atencion odontologica,consulta repetida,2016-04-01,0,1,11,23,1,15,39,43,0,5,0,5,0,11,51,103,154
ANCORAIMES,atencion odontologica,consulta repetida,2016-04-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
ANDAMARCA,atencion odontologica,consulta repetida,2016-04-01,10,0,6,9,1,1,10,6,5,1,0,0,0,0,32,17,49
ANTEQUERA,atencion odontologica,consulta repetida,2016-04-01,3,0,1,0,0,1,7,10,0,0,0,0,0,1,11,12,23
ANZALDO,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
APOLO,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,3,1,0,0,1,0,2,0,1,1,7,8
ARAMPAMPA,atencion odontologica,consulta repetida,2016-04-01,6,0,2,5,6,2,7,9,2,0,0,0,0,0,23,16,39
ARANI,atencion odontologica,consulta repetida,2016-04-01,10,10,0,5,0,3,1,10,0,2,0,2,0,7,11,39,50
ARBIETO,atencion odontologica,consulta repetida,2016-04-01,4,5,1,2,0,2,1,2,2,0,0,0,0,2,8,13,21
ARQUE,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,7,7
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2016-04-01,0,6,0,0,0,2,5,5,1,0,0,6,0,4,6,23,29
ATOCHA,atencion odontologica,consulta repetida,2016-04-01,15,19,72,72,40,82,172,213,14,22,0,0,0,0,313,408,721
AUCAPATA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,0,2,4,0,0,0,0,0,4,2,8,10
AYATA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,1,2,2,0,0,0,0,0,3,2,6,8
AYO AYO,atencion odontologica,consulta repetida,2016-04-01,0,1,0,0,0,0,3,13,0,0,0,2,0,1,3,17,20
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2016-04-01,9,9,11,23,5,11,26,33,4,0,0,0,0,4,55,80,135
AZURDUY,atencion odontologica,consulta repetida,2016-04-01,15,29,7,1,2,17,7,33,0,2,0,22,0,13,31,117,148
BAURES,atencion odontologica,consulta repetida,2016-04-01,0,0,0,3,0,0,4,7,4,7,0,0,0,2,8,19,27
BERMEJO,atencion odontologica,consulta repetida,2016-04-01,5,17,49,45,22,80,111,171,13,32,0,17,0,16,200,378,578
BETANZOS,atencion odontologica,consulta repetida,2016-04-01,6,4,9,3,5,10,7,23,3,1,0,0,0,1,30,42,72
BOLIVAR,atencion odontologica,consulta repetida,2016-04-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
BUENA VISTA,atencion odontologica,consulta repetida,2016-04-01,17,31,2,0,0,0,2,5,5,1,0,1,0,1,26,39,65
CABEZAS,atencion odontologica,consulta repetida,2016-04-01,3,0,2,1,3,14,2,8,1,0,0,4,0,2,11,29,40
CAIROMA,atencion odontologica,consulta repetida,2016-04-01,1,0,2,2,2,1,9,5,15,1,0,0,0,0,29,9,38
"CAIZA ""D""",atencion odontologica,consulta repetida,2016-04-01,3,0,1,2,1,11,2,9,0,0,0,0,0,2,7,24,31
CAJUATA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,3,0,19,6,0,0,5,0,0,0,0,6,27,33
CALAMARCA,atencion odontologica,consulta repetida,2016-04-01,0,1,0,1,0,3,3,18,2,0,0,1,0,1,5,25,30
CAMARGO,atencion odontologica,consulta repetida,2016-04-01,19,12,1,5,0,7,5,14,10,3,0,2,0,1,35,44,79
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2016-04-01,1,0,1,1,0,1,2,0,2,1,0,1,0,0,6,4,10
CAMIRI,atencion odontologica,consulta repetida,2016-04-01,14,21,5,5,5,7,65,104,7,7,0,7,0,4,96,155,251
CAPINOTA,atencion odontologica,consulta repetida,2016-04-01,4,16,6,7,0,2,14,13,4,2,0,0,0,6,28,46,74
CAQUIAVIRI,atencion odontologica,consulta repetida,2016-04-01,6,0,0,1,6,2,3,5,0,1,0,0,0,0,15,9,24
CARACOLLO,atencion odontologica,consulta repetida,2016-04-01,36,23,22,16,8,12,8,54,1,5,0,9,0,9,75,128,203
CARANAVI,atencion odontologica,consulta repetida,2016-04-01,18,16,10,15,19,15,16,15,7,3,0,2,0,2,70,68,138
CARAPARI,atencion odontologica,consulta repetida,2016-04-01,2,0,7,11,9,24,14,48,0,0,0,0,0,0,32,83,115
CARIPUYO,atencion odontologica,consulta repetida,2016-04-01,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,6,6
CHALLAPATA,atencion odontologica,consulta repetida,2016-04-01,11,39,22,22,0,9,21,51,9,8,0,2,0,23,63,154,217
CHAQUI,atencion odontologica,consulta repetida,2016-04-01,1,1,3,2,9,2,3,13,1,5,0,1,0,6,17,30,47
CHARAGUA,atencion odontologica,consulta repetida,2016-04-01,1,0,2,1,5,3,3,2,1,0,0,2,0,3,12,11,23
CHAYANTA,atencion odontologica,consulta repetida,2016-04-01,34,23,4,22,6,21,28,45,23,5,0,3,0,0,95,119,214
CHIMORE,atencion odontologica,consulta repetida,2016-04-01,16,10,1,1,0,15,3,20,0,0,0,2,0,9,20,57,77
CHIPAYA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,2,0,1,1,0,2,0,0,0,0,0,3,3,6
CHOQUE COTA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,2,1,0,3,7,8,2,0,0,0,0,12,11,23
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2016-04-01,0,4,0,3,0,4,3,18,1,1,0,4,0,2,4,36,40
CHUMA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,1,10,6,11,0,0,0,2,0,0,7,23,30
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2016-04-01,15,8,5,0,0,1,0,32,0,0,0,2,0,15,20,58,78
CKOCHAS,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CLIZA,atencion odontologica,consulta repetida,2016-04-01,30,15,17,15,8,8,7,46,4,11,0,0,0,0,66,95,161
COBIJA,atencion odontologica,consulta repetida,2016-04-01,71,62,17,18,25,30,58,61,8,2,0,11,0,0,179,184,363
COCHABAMBA,atencion odontologica,consulta repetida,2016-04-01,477,438,485,508,205,334,885,1561,315,273,0,38,0,69,2367,3221,5588
COIPASA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,1,1,0,2,1,0,0,0,0,0,0,3,2,5
COLCAPIRHUA,atencion odontologica,consulta repetida,2016-04-01,8,18,0,0,0,0,0,11,3,10,0,8,0,3,11,50,61
COLLANA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
COLOMI,atencion odontologica,consulta repetida,2016-04-01,37,26,0,0,0,0,0,0,0,0,0,0,0,0,37,26,63
COLQUECHACA,atencion odontologica,consulta repetida,2016-04-01,20,11,20,20,6,22,43,74,5,9,0,13,0,2,94,151,245
COLQUENCHA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
COLQUIRI,atencion odontologica,consulta repetida,2016-04-01,7,2,9,5,19,15,31,39,9,2,0,0,0,0,75,63,138
COMANCHE,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,3
COMARAPA,atencion odontologica,consulta repetida,2016-04-01,19,16,7,1,8,13,15,41,10,3,0,0,0,13,59,87,146
COPACABANA,atencion odontologica,consulta repetida,2016-04-01,0,2,1,0,2,1,1,0,0,1,0,0,0,0,4,4,8
CORIPATA,atencion odontologica,consulta repetida,2016-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CORO CORO,atencion odontologica,consulta repetida,2016-04-01,4,2,0,1,3,0,3,2,1,0,0,1,0,0,11,6,17
COROICO,atencion odontologica,consulta repetida,2016-04-01,0,0,0,5,1,1,0,17,0,0,0,5,0,11,1,39,40
CORQUE,atencion odontologica,consulta repetida,2016-04-01,0,0,0,1,1,2,1,3,1,0,0,0,0,0,3,6,9
COTAGAITA,atencion odontologica,consulta repetida,2016-04-01,41,28,57,88,13,49,123,196,24,9,0,6,0,8,258,384,642
COTOCA,atencion odontologica,consulta repetida,2016-04-01,37,30,0,0,0,0,0,11,0,0,0,1,0,0,37,42,79
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2016-04-01,16,12,9,6,3,3,1,20,2,4,0,5,0,16,31,66,97
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2016-04-01,0,0,3,0,2,0,0,3,0,0,0,0,0,0,5,3,8
CUEVO,atencion odontologica,consulta repetida,2016-04-01,0,0,1,2,5,4,5,16,3,0,0,0,0,0,14,22,36
CULPINA,atencion odontologica,consulta repetida,2016-04-01,8,3,0,3,2,5,17,17,4,6,0,3,0,6,31,43,74
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2016-04-01,2,0,0,0,0,0,1,3,0,2,0,1,0,2,3,8,11
CURVA,atencion odontologica,consulta repetida,2016-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,atencion odontologica,consulta repetida,2016-04-01,358,323,338,363,220,299,331,631,120,146,0,55,0,58,1367,1875,3242
EL CHORO,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,8,9
EL PUENTE(STC),atencion odontologica,consulta repetida,2016-04-01,10,13,0,0,0,0,0,0,0,0,0,6,0,4,10,23,33
EL PUENTE(TJA),atencion odontologica,consulta repetida,2016-04-01,1,0,1,1,0,1,10,19,1,0,0,0,0,0,13,21,34
EL TORNO,atencion odontologica,consulta repetida,2016-04-01,13,7,7,7,14,13,15,38,10,5,0,7,0,0,59,77,136
EL VILLAR,atencion odontologica,consulta repetida,2016-04-01,4,1,0,0,1,2,9,18,0,3,0,1,0,1,14,26,40
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2016-04-01,2,1,3,9,4,14,4,33,2,0,0,4,0,0,15,61,76
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2016-04-01,14,16,8,4,0,0,1,15,2,0,0,0,0,14,25,49,74
ESCARA,atencion odontologica,consulta repetida,2016-04-01,2,0,0,0,0,0,0,5,0,0,0,0,0,5,2,10,12
ESMERALDA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EUCALIPTUS,atencion odontologica,consulta repetida,2016-04-01,2,3,2,0,0,6,3,19,6,0,0,2,0,6,13,36,49
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2016-04-01,0,1,0,0,0,1,3,3,0,2,0,2,0,0,3,9,12
GUANAY,atencion odontologica,consulta repetida,2016-04-01,3,3,2,3,1,0,3,4,1,2,0,0,0,0,10,12,22
GUAQUI,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,1,0,1,2,0,0,0,1,0,0,2,3,5
GUAYARAMERIN,atencion odontologica,consulta repetida,2016-04-01,2,3,2,1,1,15,2,11,4,0,0,5,0,1,11,36,47
GUTIERREZ,atencion odontologica,consulta repetida,2016-04-01,1,1,2,2,2,2,5,8,3,1,0,3,0,1,13,18,31
HUACARETA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,0,4,2,0,2,0,0,1,0,0,4,5,9
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2016-04-01,0,0,3,0,2,0,0,3,0,0,0,0,0,0,5,3,8
HUACHACALLA,atencion odontologica,consulta repetida,2016-04-01,0,0,0,0,1,0,0,16,3,0,0,0,0,0,4,16,20
HUANUNI,atencion odontologica,consulta repetida,2016-04-01,13,25,17,27,6,11,54,75,4,7,0,2,0,4,94,151,245
HUARINA,atencion odontologica,consulta repetida,2016-04-01,1,2,1,0,0,0,2,1,3,4,0,0,0,0,7,7,14
