,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
CAMIRI,atencion odontologica,medidas preventivas,2016-03-01,91,88,137,133,37,56,6,10,0,3,0,0,0,0,271,290,561
CAPINOTA,atencion odontologica,medidas preventivas,2016-03-01,118,173,57,84,18,31,67,176,11,16,0,0,0,0,271,480,751
CAQUIAVIRI,atencion odontologica,medidas preventivas,2016-03-01,49,30,20,42,0,16,0,1,2,2,0,0,0,0,71,91,162
CARACOLLO,atencion odontologica,medidas preventivas,2016-03-01,51,30,25,13,11,11,5,23,2,7,0,0,0,0,94,84,178
CARANAVI,atencion odontologica,medidas preventivas,2016-03-01,45,54,53,47,22,17,10,11,0,0,0,0,0,0,130,129,259
CARAPARI,atencion odontologica,medidas preventivas,2016-03-01,1,11,9,23,3,2,6,5,0,0,0,0,0,0,19,41,60
CARIPUYO,atencion odontologica,medidas preventivas,2016-03-01,15,23,33,34,0,4,1,2,0,0,0,0,0,0,49,63,112
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2016-03-01,19,37,0,0,0,0,0,0,0,0,0,0,0,0,19,37,56
CATACORA,atencion odontologica,medidas preventivas,2016-03-01,0,1,0,0,0,0,2,3,0,0,0,0,0,0,2,4,6
CHALLAPATA,atencion odontologica,medidas preventivas,2016-03-01,84,122,163,181,4,11,15,34,9,2,0,0,0,0,275,350,625
CHAQUI,atencion odontologica,medidas preventivas,2016-03-01,4,1,0,0,0,1,0,0,2,2,0,0,0,0,6,4,10
CHARAGUA,atencion odontologica,medidas preventivas,2016-03-01,29,33,2,1,1,6,0,0,0,0,0,0,0,0,32,40,72
CHARAÑA,atencion odontologica,medidas preventivas,2016-03-01,7,15,0,2,0,0,0,1,0,0,0,0,0,0,7,18,25
CHAYANTA,atencion odontologica,medidas preventivas,2016-03-01,2,13,0,0,0,0,3,1,0,0,0,0,0,0,5,14,19
CHIMORE,atencion odontologica,medidas preventivas,2016-03-01,91,54,15,16,0,14,1,24,0,0,0,0,0,0,107,108,215
CHIPAYA,atencion odontologica,medidas preventivas,2016-03-01,22,6,0,1,0,0,0,3,0,0,0,0,0,0,22,10,32
CHOQUE COTA,atencion odontologica,medidas preventivas,2016-03-01,18,8,35,11,0,0,0,0,1,2,0,0,0,0,54,21,75
CHUA COCANI,atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2016-03-01,32,40,36,13,0,16,0,14,0,0,0,0,0,0,68,83,151
CHUMA,atencion odontologica,medidas preventivas,2016-03-01,9,23,1,9,1,0,2,11,5,7,0,0,0,0,18,50,68
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2016-03-01,0,3,0,0,0,3,0,8,0,2,0,0,0,0,0,16,16
CKOCHAS,atencion odontologica,medidas preventivas,2016-03-01,1,0,0,0,0,0,0,3,3,5,0,0,0,0,4,8,12
CLIZA,atencion odontologica,medidas preventivas,2016-03-01,20,24,13,7,0,5,0,9,3,0,0,0,0,0,36,45,81
COBIJA,atencion odontologica,medidas preventivas,2016-03-01,165,181,142,127,7,42,173,57,1,0,0,0,0,0,488,407,895
COCAPATA,atencion odontologica,medidas preventivas,2016-03-01,96,77,0,0,0,4,0,10,4,1,0,0,0,0,100,92,192
COCHABAMBA,atencion odontologica,medidas preventivas,2016-03-01,1907,1883,1650,1732,553,919,1399,2845,662,536,0,0,0,0,6171,7915,14086
COIPASA,atencion odontologica,medidas preventivas,2016-03-01,1,1,2,11,0,0,0,0,0,0,0,0,0,0,3,12,15
COLCAPIRHUA,atencion odontologica,medidas preventivas,2016-03-01,77,83,4,11,2,7,1,34,8,7,0,0,0,0,92,142,234
"COLCHA ""K""",atencion odontologica,medidas preventivas,2016-03-01,18,21,0,1,0,2,3,3,0,1,0,0,0,0,21,28,49
COLLANA,atencion odontologica,medidas preventivas,2016-03-01,4,4,1,1,0,0,0,0,0,0,0,0,0,0,5,5,10
COLOMI,atencion odontologica,medidas preventivas,2016-03-01,51,43,0,0,0,0,0,4,1,2,0,0,0,0,52,49,101
COLPA BELGICA,atencion odontologica,medidas preventivas,2016-03-01,83,87,222,166,5,4,0,0,0,0,0,0,0,0,310,257,567
COLQUECHACA,atencion odontologica,medidas preventivas,2016-03-01,39,18,3,6,1,4,1,7,7,7,0,0,0,0,51,42,93
COLQUENCHA,atencion odontologica,medidas preventivas,2016-03-01,1,4,2,10,0,6,0,0,0,0,0,0,0,0,3,20,23
COLQUIRI,atencion odontologica,medidas preventivas,2016-03-01,60,46,2,3,0,12,1,11,1,2,0,0,0,0,64,74,138
COMANCHE,atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
COMARAPA,atencion odontologica,medidas preventivas,2016-03-01,26,14,0,0,0,3,2,8,0,0,0,0,0,0,28,25,53
CONCEPCION,atencion odontologica,medidas preventivas,2016-03-01,13,16,0,0,0,0,1,4,0,0,0,0,0,0,14,20,34
COPACABANA,atencion odontologica,medidas preventivas,2016-03-01,77,31,0,2,0,0,1,0,0,0,0,0,0,0,78,33,111
CORIPATA,atencion odontologica,medidas preventivas,2016-03-01,19,18,0,1,0,0,0,0,0,0,0,0,0,0,19,19,38
CORO CORO,atencion odontologica,medidas preventivas,2016-03-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
CORQUE,atencion odontologica,medidas preventivas,2016-03-01,38,47,59,46,0,0,0,1,0,0,0,0,0,0,97,94,191
COTAGAITA,atencion odontologica,medidas preventivas,2016-03-01,26,15,1,1,0,1,0,3,7,3,0,0,0,0,34,23,57
COTOCA,atencion odontologica,medidas preventivas,2016-03-01,187,196,0,0,2,0,0,6,0,0,0,0,0,0,189,202,391
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2016-03-01,137,133,9,12,0,2,1,11,0,0,0,0,0,0,147,158,305
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2016-03-01,6,2,7,6,0,0,1,0,0,0,0,0,0,0,14,8,22
CUEVO,atencion odontologica,medidas preventivas,2016-03-01,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,6
CULPINA,atencion odontologica,medidas preventivas,2016-03-01,44,37,0,0,1,0,0,2,0,0,0,0,0,0,45,39,84
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2016-03-01,10,11,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
CURVA,atencion odontologica,medidas preventivas,2016-03-01,19,19,0,0,0,3,0,1,3,5,0,0,0,0,22,28,50
EL ALTO,atencion odontologica,medidas preventivas,2016-03-01,1469,1448,921,1090,240,406,264,683,84,46,0,0,0,0,2978,3673,6651
EL CHORO,atencion odontologica,medidas preventivas,2016-03-01,40,29,17,13,0,10,0,2,4,6,0,0,0,0,61,60,121
EL PUENTE(STC),atencion odontologica,medidas preventivas,2016-03-01,6,3,54,40,0,0,0,4,0,0,0,0,0,0,60,47,107
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2016-03-01,6,4,8,17,9,15,1,5,2,1,0,0,0,0,26,42,68
EL TORNO,atencion odontologica,medidas preventivas,2016-03-01,311,329,209,184,24,44,113,52,3,1,0,0,0,0,660,610,1270
EL VILLAR,atencion odontologica,medidas preventivas,2016-03-01,19,7,0,0,0,1,0,0,0,0,0,0,0,0,19,8,27
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2016-03-01,28,47,78,90,6,19,7,25,5,10,0,0,0,0,124,191,315
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2016-03-01,23,37,6,4,0,22,0,2,0,0,0,0,0,0,29,65,94
ESCARA,atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ESCOMA,atencion odontologica,medidas preventivas,2016-03-01,2,3,17,9,4,2,0,0,0,0,0,0,0,0,23,14,37
EUCALIPTUS,atencion odontologica,medidas preventivas,2016-03-01,4,6,0,4,0,0,0,2,0,0,0,0,0,0,4,12,16
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2016-03-01,14,26,4,1,1,2,1,1,3,1,0,0,0,0,23,31,54
FILADELFIA,atencion odontologica,medidas preventivas,2016-03-01,6,4,3,9,0,0,1,1,0,0,0,0,0,0,10,14,24
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2016-03-01,19,16,1,2,1,6,0,5,1,2,0,0,0,0,22,31,53
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2016-03-01,31,4,1,4,0,1,2,6,2,2,0,0,0,0,36,17,53
GUANAY,atencion odontologica,medidas preventivas,2016-03-01,32,23,0,0,0,0,0,0,0,0,0,0,0,0,32,23,55
GUAQUI,atencion odontologica,medidas preventivas,2016-03-01,15,32,5,3,3,8,22,24,19,22,0,0,0,0,64,89,153
GUAYARAMERIN,atencion odontologica,medidas preventivas,2016-03-01,14,29,13,13,3,17,15,38,0,0,0,0,0,0,45,97,142
GUTIERREZ,atencion odontologica,medidas preventivas,2016-03-01,13,23,43,27,1,6,2,11,0,0,0,0,0,0,59,67,126
HUACARETA,atencion odontologica,medidas preventivas,2016-03-01,3,6,0,0,1,0,1,0,0,0,0,0,0,0,5,6,11
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2016-03-01,4,6,20,19,0,3,1,3,0,0,0,0,0,0,25,31,56
HUACHACALLA,atencion odontologica,medidas preventivas,2016-03-01,1,8,31,23,0,1,0,1,2,0,0,0,0,0,34,33,67
HUANUNI,atencion odontologica,medidas preventivas,2016-03-01,75,52,61,68,34,23,54,64,5,11,0,0,0,0,229,218,447
HUARACAJE,atencion odontologica,medidas preventivas,2016-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUARINA,atencion odontologica,medidas preventivas,2016-03-01,15,16,0,1,0,0,0,0,0,0,0,0,0,0,15,17,32
HUATAJATA,atencion odontologica,medidas preventivas,2016-03-01,40,30,1,3,0,0,0,16,33,9,0,0,0,0,74,58,132
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2016-03-01,0,7,7,35,16,15,0,0,0,0,0,0,0,0,23,57,80
HUMANATA,atencion odontologica,medidas preventivas,2016-03-01,28,36,0,0,0,0,0,0,0,0,0,0,0,0,28,36,64
ICHOCA,atencion odontologica,medidas preventivas,2016-03-01,6,12,0,0,0,0,0,1,0,0,0,0,0,0,6,13,19
ICLA,atencion odontologica,medidas preventivas,2016-03-01,147,131,2,4,0,11,0,18,0,1,0,0,0,0,149,165,314
INCAHUASI,atencion odontologica,medidas preventivas,2016-03-01,35,31,0,0,0,2,1,6,0,1,0,0,0,0,36,40,76
INQUISIVI,atencion odontologica,medidas preventivas,2016-03-01,9,4,4,8,0,8,0,2,0,0,0,0,0,0,13,22,35
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2016-03-01,82,67,1,5,0,0,1,6,8,4,0,0,0,0,92,82,174
IXIAMAS,atencion odontologica,medidas preventivas,2016-03-01,20,10,2,0,1,2,2,6,0,1,0,0,0,0,25,19,44
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2016-03-01,10,22,8,2,1,0,0,1,0,0,0,0,0,0,19,25,44
LA ASUNTA,atencion odontologica,medidas preventivas,2016-03-01,33,42,2,0,2,16,7,36,0,1,0,0,0,0,44,95,139
LA GUARDIA,atencion odontologica,medidas preventivas,2016-03-01,203,167,6,3,0,2,5,14,7,0,0,0,0,0,221,186,407
LA PAZ,atencion odontologica,medidas preventivas,2016-03-01,2016,1859,1458,1122,269,301,542,824,174,165,0,0,0,0,4459,4271,8730
LAGUNILLAS,atencion odontologica,medidas preventivas,2016-03-01,10,12,68,65,0,0,0,0,0,0,0,0,0,0,78,77,155
LAJA,atencion odontologica,medidas preventivas,2016-03-01,23,20,0,0,0,5,0,12,1,0,0,0,0,0,24,37,61
LAS CARRERAS,atencion odontologica,medidas preventivas,2016-03-01,5,15,1,4,0,1,1,2,0,0,0,0,0,0,7,22,29
LICOMA PAMPA,atencion odontologica,medidas preventivas,2016-03-01,13,9,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
LLALLAGUA,atencion odontologica,medidas preventivas,2016-03-01,72,90,24,51,32,34,25,84,14,14,0,0,0,0,167,273,440
LLICA,atencion odontologica,medidas preventivas,2016-03-01,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
LURIBAY,atencion odontologica,medidas preventivas,2016-03-01,15,7,1,1,0,0,0,5,0,0,0,0,0,0,16,13,29
MACHACAMARCA,atencion odontologica,medidas preventivas,2016-03-01,26,55,5,3,1,3,2,17,10,13,0,0,0,0,44,91,135
MACHARETI,atencion odontologica,medidas preventivas,2016-03-01,33,37,0,0,0,6,0,12,1,0,0,0,0,0,34,55,89
MAGDALENA,atencion odontologica,medidas preventivas,2016-03-01,1,3,3,7,6,7,2,1,0,0,0,0,0,0,12,18,30
MAIRANA,atencion odontologica,medidas preventivas,2016-03-01,14,9,12,6,0,7,3,16,1,3,0,0,0,0,30,41,71
MALLA,atencion odontologica,medidas preventivas,2016-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,atencion odontologica,medidas preventivas,2016-03-01,32,26,69,56,0,2,0,4,0,0,0,0,0,0,101,88,189
MECAPACA,atencion odontologica,medidas preventivas,2016-03-01,23,13,4,6,0,1,0,8,1,0,0,0,0,0,28,28,56
MINEROS,atencion odontologica,medidas preventivas,2016-03-01,32,47,3,2,0,5,1,17,1,0,0,0,0,0,37,71,108
MIZQUE,atencion odontologica,medidas preventivas,2016-03-01,110,110,0,0,0,0,0,0,0,0,0,0,0,0,110,110,220
MOCOMOCO,atencion odontologica,medidas preventivas,2016-03-01,3,7,3,7,0,0,2,5,0,0,0,0,0,0,8,19,27
MOJOCOYA,atencion odontologica,medidas preventivas,2016-03-01,21,14,8,15,1,3,0,6,0,0,0,0,0,0,30,38,68
MONTEAGUDO,atencion odontologica,medidas preventivas,2016-03-01,65,75,2,6,0,1,1,9,0,0,0,0,0,0,68,91,159
MONTERO,atencion odontologica,medidas preventivas,2016-03-01,298,257,264,312,12,75,20,99,11,8,0,0,0,0,605,751,1356
MORO MORO,atencion odontologica,medidas preventivas,2016-03-01,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7
MOROCHATA,atencion odontologica,medidas preventivas,2016-03-01,64,63,2,0,0,7,0,20,16,16,0,0,0,0,82,106,188
NAZACARA DE PACAJES,atencion odontologica,medidas preventivas,2016-03-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,medidas preventivas,2016-03-01,13,8,0,0,0,0,0,1,0,0,0,0,0,0,13,9,22
OCURI,atencion odontologica,medidas preventivas,2016-03-01,44,35,6,22,1,1,0,6,1,0,0,0,0,0,52,64,116
OKINAWA,atencion odontologica,medidas preventivas,2016-03-01,6,6,0,1,1,1,0,4,0,0,0,0,0,0,7,12,19
OMEREQUE,atencion odontologica,medidas preventivas,2016-03-01,14,6,0,2,0,0,0,0,0,0,0,0,0,0,14,8,22
ORURO,atencion odontologica,medidas preventivas,2016-03-01,344,367,295,296,115,150,486,661,148,84,0,0,0,0,1388,1558,2946
PADCAYA,atencion odontologica,medidas preventivas,2016-03-01,5,11,15,7,1,2,1,5,0,0,0,0,0,0,22,25,47
PADILLA,atencion odontologica,medidas preventivas,2016-03-01,13,14,4,2,0,3,0,3,0,0,0,0,0,0,17,22,39
PAILON,atencion odontologica,medidas preventivas,2016-03-01,4,6,8,5,2,0,8,12,1,0,0,0,0,0,23,23,46
PALCA,atencion odontologica,medidas preventivas,2016-03-01,51,48,0,1,0,4,0,3,0,0,0,0,0,0,51,56,107
PALOS BLANCOS,atencion odontologica,medidas preventivas,2016-03-01,64,66,18,20,0,16,12,48,11,6,0,0,0,0,105,156,261
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2016-03-01,12,3,152,110,79,110,0,4,0,0,0,0,0,0,243,227,470
PAMPA GRANDE,atencion odontologica,medidas preventivas,2016-03-01,33,20,0,0,0,3,0,13,0,0,0,0,0,0,33,36,69
PAPEL PAMPA,atencion odontologica,medidas preventivas,2016-03-01,6,5,0,0,0,0,0,4,0,0,0,0,0,0,6,9,15
PASORAPA,atencion odontologica,medidas preventivas,2016-03-01,59,41,160,178,10,17,10,32,11,9,0,0,0,0,250,277,527
PATACAMAYA,atencion odontologica,medidas preventivas,2016-03-01,9,13,13,5,1,4,0,5,0,0,0,0,0,0,23,27,50
PAZÑA,atencion odontologica,medidas preventivas,2016-03-01,2,8,2,0,0,1,1,5,2,0,0,0,0,0,7,14,21
PELECHUCO,atencion odontologica,medidas preventivas,2016-03-01,14,17,0,0,0,0,0,0,0,0,0,0,0,0,14,17,31
POCOATA,atencion odontologica,medidas preventivas,2016-03-01,51,68,4,1,0,1,0,5,0,0,0,0,0,0,55,75,130
POCONA,atencion odontologica,medidas preventivas,2016-03-01,25,34,2,9,0,0,0,0,0,0,0,0,0,0,27,43,70
POJO (CBBA),atencion odontologica,medidas preventivas,2016-03-01,5,4,0,1,0,0,0,0,0,0,0,0,0,0,5,5,10
POOPO,atencion odontologica,medidas preventivas,2016-03-01,17,24,16,16,2,6,18,18,5,3,0,0,0,0,58,67,125
PORCO,atencion odontologica,medidas preventivas,2016-03-01,19,22,3,0,0,2,2,19,0,0,0,0,0,0,24,43,67
POROMA,atencion odontologica,medidas preventivas,2016-03-01,34,27,56,49,9,2,1,2,0,0,0,0,0,0,100,80,180
PORONGO,atencion odontologica,medidas preventivas,2016-03-01,36,35,25,16,1,5,9,4,12,9,0,0,0,0,83,69,152
PORTACHUELO,atencion odontologica,medidas preventivas,2016-03-01,3,4,0,2,0,1,0,4,0,0,0,0,0,0,3,11,14
PORVENIR,atencion odontologica,medidas preventivas,2016-03-01,14,39,3,5,4,5,1,4,0,0,0,0,0,0,22,53,75
POSTRER VALLE,atencion odontologica,medidas preventivas,2016-03-01,12,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15
POTOSI,atencion odontologica,medidas preventivas,2016-03-01,310,370,32,29,41,68,57,195,54,57,0,0,0,0,494,719,1213
PRESTO,atencion odontologica,medidas preventivas,2016-03-01,99,81,24,14,0,3,0,19,0,0,0,0,0,0,123,117,240
PUCARA,atencion odontologica,medidas preventivas,2016-03-01,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
PUCARANI,atencion odontologica,medidas preventivas,2016-03-01,27,33,17,19,1,5,2,11,1,1,0,0,0,0,48,69,117
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2016-03-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2016-03-01,0,0,1,0,2,1,5,4,0,0,0,0,0,0,8,5,13
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2016-03-01,25,14,6,19,8,8,3,2,0,1,0,0,0,0,42,44,86
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2016-03-01,64,55,0,0,0,0,0,0,0,0,0,0,0,0,64,55,119
PUERTO RICO,atencion odontologica,medidas preventivas,2016-03-01,10,10,2,0,0,0,0,0,0,0,0,0,0,0,12,10,22
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2016-03-01,6,8,46,15,0,0,0,0,0,0,0,0,0,0,52,23,75
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2016-03-01,24,47,5,7,0,12,2,10,4,1,0,0,0,0,35,77,112
PUNA,atencion odontologica,medidas preventivas,2016-03-01,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
PUNATA,atencion odontologica,medidas preventivas,2016-03-01,51,49,68,52,29,37,45,124,13,3,0,0,0,0,206,265,471
QUIABAYA,atencion odontologica,medidas preventivas,2016-03-01,12,10,0,0,0,0,0,0,1,0,0,0,0,0,13,10,23
QUILLACOLLO,atencion odontologica,medidas preventivas,2016-03-01,571,534,361,304,160,227,283,584,55,48,0,0,0,0,1430,1697,3127
QUIME,atencion odontologica,medidas preventivas,2016-03-01,67,54,4,8,0,0,0,5,4,3,0,0,0,0,75,70,145
RAVELO,atencion odontologica,medidas preventivas,2016-03-01,31,30,0,0,0,2,0,2,3,2,0,0,0,0,34,36,70
REYES,atencion odontologica,medidas preventivas,2016-03-01,9,4,34,51,19,13,1,4,0,1,0,0,0,0,63,73,136
RIBERALTA,atencion odontologica,medidas preventivas,2016-03-01,139,123,16,17,5,78,21,146,1,1,0,0,0,0,182,365,547
RURRENABAQUE,atencion odontologica,medidas preventivas,2016-03-01,13,11,17,22,21,21,22,16,3,5,0,0,0,0,76,75,151
SABAYA,atencion odontologica,medidas preventivas,2016-03-01,6,13,34,28,5,6,0,2,3,2,0,0,0,0,48,51,99
SACABA,atencion odontologica,medidas preventivas,2016-03-01,179,268,243,272,70,98,136,331,80,46,0,0,0,0,708,1015,1723
SACABAMBA,atencion odontologica,medidas preventivas,2016-03-01,0,0,0,1,1,7,0,1,0,1,0,0,0,0,1,10,11
SACACA,atencion odontologica,medidas preventivas,2016-03-01,5,3,0,0,0,2,0,11,0,0,0,0,0,0,5,16,21
SAIPINA,atencion odontologica,medidas preventivas,2016-03-01,15,8,0,0,0,0,0,0,0,0,0,0,0,0,15,8,23
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2016-03-01,75,75,68,82,18,15,2,9,7,13,0,0,0,0,170,194,364
SAMAIPATA,atencion odontologica,medidas preventivas,2016-03-01,42,36,15,11,0,2,0,4,0,0,0,0,0,0,57,53,110
SAN AGUSTIN,atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN ANDRES,atencion odontologica,medidas preventivas,2016-03-01,12,10,9,14,0,6,1,10,2,0,0,0,0,0,24,40,64
SAN ANDRES DE MACHACA,atencion odontologica,medidas preventivas,2016-03-01,2,1,11,5,0,0,0,1,1,3,0,0,0,0,14,10,24
SAN ANTONIO DE ESMORUCO,atencion odontologica,medidas preventivas,2016-03-01,66,37,0,0,0,0,0,1,0,0,0,0,0,0,66,38,104
SAN ANTONIO DE LOMERIO,atencion odontologica,medidas preventivas,2016-03-01,11,14,0,0,0,1,0,1,0,0,0,0,0,0,11,16,27
SAN BENITO,atencion odontologica,medidas preventivas,2016-03-01,43,51,4,14,0,10,1,25,10,19,0,0,0,0,58,119,177
SAN BORJA,atencion odontologica,medidas preventivas,2016-03-01,208,182,9,17,1,7,4,17,3,5,0,0,0,0,225,228,453
SAN BUENA VENTURA,atencion odontologica,medidas preventivas,2016-03-01,9,7,2,4,0,1,0,7,0,0,0,0,0,0,11,19,30
SAN CARLOS,atencion odontologica,medidas preventivas,2016-03-01,12,12,0,0,0,2,1,6,0,0,0,0,0,0,13,20,33
SAN IGNACIO,atencion odontologica,medidas preventivas,2016-03-01,37,58,30,44,18,21,6,32,16,3,0,0,0,0,107,158,265
SAN IGNACIO DE VELASCO,atencion odontologica,medidas preventivas,2016-03-01,4,11,17,16,19,9,13,53,6,1,0,0,0,0,59,90,149
SAN JAVIER(BNI),atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,13,16,0,0,0,0,0,0,0,0,13,16,29
SAN JOSE DE CHIQUITOS,atencion odontologica,medidas preventivas,2016-03-01,2,2,1,4,0,0,0,0,0,0,0,0,0,0,3,6,9
SAN JUAN DE YAPACANI,atencion odontologica,medidas preventivas,2016-03-01,9,4,0,0,0,0,0,1,0,0,0,0,0,0,9,5,14
SAN JULIAN,atencion odontologica,medidas preventivas,2016-03-01,173,159,8,7,0,4,1,15,7,9,0,0,0,0,189,194,383
SAN LORENZO(PND),atencion odontologica,medidas preventivas,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),atencion odontologica,medidas preventivas,2016-03-01,22,14,54,56,5,26,5,22,3,2,0,0,0,0,89,120,209
SAN LUCAS,atencion odontologica,medidas preventivas,2016-03-01,166,170,2,0,0,20,0,41,0,1,0,0,0,0,168,232,400
SAN MATIAS,atencion odontologica,medidas preventivas,2016-03-01,18,16,0,0,5,11,1,5,8,2,0,0,0,0,32,34,66
SAN MIGUEL DE VELASCO,atencion odontologica,medidas preventivas,2016-03-01,7,2,0,2,0,0,0,0,0,0,0,0,0,0,7,4,11
SAN PABLO DE LIPEZ,atencion odontologica,medidas preventivas,2016-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN PEDRO,atencion odontologica,medidas preventivas,2016-03-01,29,37,35,18,2,3,1,13,2,1,0,0,0,0,69,72,141
SAN PEDRO DE BUENA VISTA,atencion odontologica,medidas preventivas,2016-03-01,16,20,5,4,0,0,1,11,14,8,0,0,0,0,36,43,79
SAN PEDRO DE CURAHUARA,atencion odontologica,medidas preventivas,2016-03-01,3,2,1,0,0,0,0,1,0,0,0,0,0,0,4,3,7
SAN PEDRO DE TIQUINA,atencion odontologica,medidas preventivas,2016-03-01,17,11,0,0,0,0,0,0,2,3,0,0,0,0,19,14,33
SAN RAFAEL,atencion odontologica,medidas preventivas,2016-03-01,66,48,3,8,0,3,5,23,4,1,0,0,0,0,78,83,161
SAN RAMON SCZ,atencion odontologica,medidas preventivas,2016-03-01,88,97,0,0,0,0,0,0,0,0,0,0,0,0,88,97,185
SANTA ANA,atencion odontologica,medidas preventivas,2016-03-01,11,18,31,27,3,17,3,12,0,1,0,0,0,0,48,75,123
SANTA CRUZ DE LA SIERRA,atencion odontologica,medidas preventivas,2016-03-01,3223,3134,163,159,107,489,524,1747,164,157,0,0,0,0,4181,5686,9867
SANTA ROSA,atencion odontologica,medidas preventivas,2016-03-01,1,4,1,0,0,0,0,2,0,0,0,0,0,0,2,6,8
SANTA ROSA DEL SARA,atencion odontologica,medidas preventivas,2016-03-01,10,5,2,2,0,2,0,8,4,1,0,0,0,0,16,18,34
SANTIAGO DE CALLAPA,atencion odontologica,medidas preventivas,2016-03-01,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6
SANTIAGO DE HUARI,atencion odontologica,medidas preventivas,2016-03-01,61,44,109,46,6,10,31,74,12,11,0,0,0,0,219,185,404
SANTIAGO DE HUATA,atencion odontologica,medidas preventivas,2016-03-01,22,19,33,41,0,0,0,5,0,1,0,0,0,0,55,66,121
SANTIVAÑES,atencion odontologica,medidas preventivas,2016-03-01,37,6,64,55,0,1,0,5,0,0,0,0,0,0,101,67,168
SANTUARIO DE QUILLACAS,atencion odontologica,medidas preventivas,2016-03-01,2,1,0,0,0,0,0,4,1,0,0,0,0,0,3,5,8
SAPAHAQUI,atencion odontologica,medidas preventivas,2016-03-01,17,25,2,1,0,3,2,5,5,3,0,0,0,0,26,37,63
SENA,atencion odontologica,medidas preventivas,2016-03-01,10,15,0,0,0,0,0,3,0,0,0,0,0,0,10,18,28
