,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
HUARINA,atencion odontologica,restauraciones,2016-03-01,2,15,3,4,0,2,2,8,4,3,0,0,0,0,11,32,43
HUATAJATA,atencion odontologica,restauraciones,2016-03-01,2,7,2,1,0,0,2,16,20,2,0,0,0,0,26,26,52
HUAYLLAMARCA,atencion odontologica,restauraciones,2016-03-01,1,2,4,13,0,5,7,12,2,3,0,0,0,0,14,35,49
HUMANATA,atencion odontologica,restauraciones,2016-03-01,7,8,0,0,0,0,0,0,12,6,0,0,0,0,19,14,33
ICHOCA,atencion odontologica,restauraciones,2016-03-01,3,6,0,1,0,0,0,2,0,0,0,0,0,0,3,9,12
ICLA,atencion odontologica,restauraciones,2016-03-01,16,14,14,10,9,7,9,35,2,1,0,0,0,0,50,67,117
INCAHUASI,atencion odontologica,restauraciones,2016-03-01,9,6,0,0,0,1,8,22,0,1,0,0,0,0,17,30,47
INQUISIVI,atencion odontologica,restauraciones,2016-03-01,8,2,3,2,5,8,3,17,1,0,0,0,0,0,20,29,49
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2016-03-01,45,56,4,12,9,14,10,35,8,5,0,0,0,0,76,122,198
IXIAMAS,atencion odontologica,restauraciones,2016-03-01,13,7,4,8,3,6,9,29,0,1,0,0,0,0,29,51,80
JESUS DE MACHACA,atencion odontologica,restauraciones,2016-03-01,12,22,6,13,15,16,14,18,8,11,0,0,0,0,55,80,135
LA ASUNTA,atencion odontologica,restauraciones,2016-03-01,26,23,26,24,17,28,19,52,1,0,0,0,0,0,89,127,216
LA GUARDIA,atencion odontologica,restauraciones,2016-03-01,69,76,1,0,0,19,8,68,17,1,0,0,0,0,95,164,259
LA PAZ,atencion odontologica,restauraciones,2016-03-01,1971,1829,907,951,330,535,1525,3575,395,364,0,0,0,0,5128,7254,12382
LAGUNILLAS,atencion odontologica,restauraciones,2016-03-01,0,0,3,2,2,5,10,43,0,0,0,0,0,0,15,50,65
LAJA,atencion odontologica,restauraciones,2016-03-01,17,9,2,1,0,22,3,23,1,0,0,0,0,0,23,55,78
LAS CARRERAS,atencion odontologica,restauraciones,2016-03-01,1,3,1,5,2,7,15,37,2,1,0,0,0,0,21,53,74
LICOMA PAMPA,atencion odontologica,restauraciones,2016-03-01,17,4,0,0,0,0,0,12,0,0,0,0,0,0,17,16,33
LLALLAGUA,atencion odontologica,restauraciones,2016-03-01,124,72,9,22,4,18,15,136,6,8,0,0,0,0,158,256,414
LLICA,atencion odontologica,restauraciones,2016-03-01,0,3,1,0,0,1,3,4,0,1,0,0,0,0,4,9,13
LURIBAY,atencion odontologica,restauraciones,2016-03-01,4,8,4,4,5,12,6,32,2,0,0,0,0,0,21,56,77
MACHACAMARCA,atencion odontologica,restauraciones,2016-03-01,1,11,17,6,11,8,7,56,14,11,0,0,0,0,50,92,142
MACHARETI,atencion odontologica,restauraciones,2016-03-01,6,14,1,4,5,14,6,7,1,0,0,0,0,0,19,39,58
MAGDALENA,atencion odontologica,restauraciones,2016-03-01,2,1,2,4,3,12,4,29,8,3,0,0,0,0,19,49,68
MAIRANA,atencion odontologica,restauraciones,2016-03-01,35,27,7,2,2,11,3,25,4,4,0,0,0,0,51,69,120
MAPIRI,atencion odontologica,restauraciones,2016-03-01,13,13,7,3,2,5,3,15,4,11,0,0,0,0,29,47,76
MECAPACA,atencion odontologica,restauraciones,2016-03-01,18,22,3,2,1,5,2,20,0,0,0,0,0,0,24,49,73
MINEROS,atencion odontologica,restauraciones,2016-03-01,13,26,0,2,0,5,0,31,1,0,0,0,0,0,14,64,78
MIZQUE,atencion odontologica,restauraciones,2016-03-01,57,45,1,11,0,5,0,20,0,2,0,0,0,0,58,83,141
MOCOMOCO,atencion odontologica,restauraciones,2016-03-01,0,2,4,1,3,11,9,6,3,0,0,0,0,0,19,20,39
MOJOCOYA,atencion odontologica,restauraciones,2016-03-01,6,14,26,23,27,37,13,44,1,1,0,0,0,0,73,119,192
MONTEAGUDO,atencion odontologica,restauraciones,2016-03-01,87,68,8,15,7,32,35,177,6,1,0,0,0,0,143,293,436
MONTERO,atencion odontologica,restauraciones,2016-03-01,81,89,123,131,27,99,97,390,19,10,0,0,0,0,347,719,1066
MORO MORO,atencion odontologica,restauraciones,2016-03-01,3,3,1,0,0,6,3,2,0,1,0,0,0,0,7,12,19
MOROCHATA,atencion odontologica,restauraciones,2016-03-01,15,7,0,3,2,16,10,32,9,4,0,0,0,0,36,62,98
NAZACARA DE PACAJES,atencion odontologica,restauraciones,2016-03-01,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,restauraciones,2016-03-01,24,5,0,0,0,0,0,1,0,0,0,0,0,0,24,6,30
OCURI,atencion odontologica,restauraciones,2016-03-01,7,6,3,1,3,6,4,34,3,0,0,0,0,0,20,47,67
OKINAWA,atencion odontologica,restauraciones,2016-03-01,0,1,1,3,0,1,0,7,0,0,0,0,0,0,1,12,13
OMEREQUE,atencion odontologica,restauraciones,2016-03-01,12,6,0,0,0,3,1,20,0,0,0,0,0,0,13,29,42
ORURO,atencion odontologica,restauraciones,2016-03-01,664,669,302,329,141,274,873,1484,184,167,0,0,0,0,2164,2923,5087
PADCAYA,atencion odontologica,restauraciones,2016-03-01,1,1,12,14,10,31,12,50,0,1,0,0,0,0,35,97,132
PADILLA,atencion odontologica,restauraciones,2016-03-01,23,17,15,9,5,22,26,65,4,5,0,0,0,0,73,118,191
PAILON,atencion odontologica,restauraciones,2016-03-01,25,19,56,67,15,49,63,149,2,3,0,0,0,0,161,287,448
PALCA,atencion odontologica,restauraciones,2016-03-01,14,18,1,1,0,2,1,13,0,0,0,0,0,0,16,34,50
PALOS BLANCOS,atencion odontologica,restauraciones,2016-03-01,45,43,16,10,6,38,15,76,18,2,0,0,0,0,100,169,269
PAMPA AULLAGAS,atencion odontologica,restauraciones,2016-03-01,13,1,1,0,0,12,0,19,1,0,0,0,0,0,15,32,47
PAMPA GRANDE,atencion odontologica,restauraciones,2016-03-01,6,0,0,0,0,4,0,4,0,1,0,0,0,0,6,9,15
PAPEL PAMPA,atencion odontologica,restauraciones,2016-03-01,1,2,2,3,0,2,3,2,16,2,0,0,0,0,22,11,33
PASORAPA,atencion odontologica,restauraciones,2016-03-01,24,7,6,20,4,12,4,22,7,1,0,0,0,0,45,62,107
PATACAMAYA,atencion odontologica,restauraciones,2016-03-01,29,53,8,6,0,1,2,38,0,0,0,0,0,0,39,98,137
PAZÑA,atencion odontologica,restauraciones,2016-03-01,6,28,0,1,0,1,41,50,17,10,0,0,0,0,64,90,154
PELECHUCO,atencion odontologica,restauraciones,2016-03-01,31,32,0,0,0,0,0,5,0,0,0,0,0,0,31,37,68
POCOATA,atencion odontologica,restauraciones,2016-03-01,18,13,2,1,0,5,11,13,2,9,0,0,0,0,33,41,74
POCONA,atencion odontologica,restauraciones,2016-03-01,44,53,15,16,3,11,11,30,0,1,0,0,0,0,73,111,184
POJO (CBBA),atencion odontologica,restauraciones,2016-03-01,9,16,10,22,1,20,12,21,1,2,0,0,0,0,33,81,114
POOPO,atencion odontologica,restauraciones,2016-03-01,48,38,33,58,5,15,44,51,1,13,0,0,0,0,131,175,306
PORCO,atencion odontologica,restauraciones,2016-03-01,5,11,1,0,0,2,1,35,0,3,0,0,0,0,7,51,58
POROMA,atencion odontologica,restauraciones,2016-03-01,10,6,9,11,13,22,3,20,3,2,0,0,0,0,38,61,99
PORTACHUELO,atencion odontologica,restauraciones,2016-03-01,4,11,1,9,1,5,5,35,2,1,0,0,0,0,13,61,74
PORVENIR,atencion odontologica,restauraciones,2016-03-01,8,17,4,11,5,19,13,9,1,0,0,0,0,0,31,56,87
POSTRER VALLE,atencion odontologica,restauraciones,2016-03-01,1,1,0,0,0,2,9,12,2,3,0,0,0,0,12,18,30
POTOSI,atencion odontologica,restauraciones,2016-03-01,314,302,168,208,134,160,318,699,30,39,0,0,0,0,964,1408,2372
PRESTO,atencion odontologica,restauraciones,2016-03-01,12,17,7,14,21,23,8,24,2,3,0,0,0,0,50,81,131
PUCARANI,atencion odontologica,restauraciones,2016-03-01,31,26,7,12,4,13,17,40,17,6,0,0,0,0,76,97,173
PUERTO ACOSTA,atencion odontologica,restauraciones,2016-03-01,10,7,3,0,3,10,3,10,9,9,0,0,0,0,28,36,64
PUERTO CARABUCO,atencion odontologica,restauraciones,2016-03-01,34,11,8,3,11,2,13,17,7,2,0,0,0,0,73,35,108
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2016-03-01,29,18,13,11,1,14,4,13,0,0,0,0,0,0,47,56,103
PUERTO QUIJARRO,atencion odontologica,restauraciones,2016-03-01,7,11,0,0,0,2,10,17,2,3,0,0,0,0,19,33,52
PUERTO RICO,atencion odontologica,restauraciones,2016-03-01,3,5,0,3,0,5,3,6,0,0,0,0,0,0,6,19,25
PUERTO SUAREZ,atencion odontologica,restauraciones,2016-03-01,11,17,1,3,0,2,0,24,8,3,0,0,0,0,20,49,69
PUERTO VILLARROEL,atencion odontologica,restauraciones,2016-03-01,75,63,16,10,0,60,21,110,12,6,0,0,0,0,124,249,373
PUNA,atencion odontologica,restauraciones,2016-03-01,3,1,4,2,2,4,3,24,2,0,0,0,0,0,14,31,45
PUNATA,atencion odontologica,restauraciones,2016-03-01,29,60,39,35,24,26,44,100,27,18,0,0,0,0,163,239,402
QUIABAYA,atencion odontologica,restauraciones,2016-03-01,4,0,0,4,1,2,5,1,0,0,0,0,0,0,10,7,17
QUILLACOLLO,atencion odontologica,restauraciones,2016-03-01,661,539,211,226,114,254,356,972,182,90,0,0,0,0,1524,2081,3605
QUIME,atencion odontologica,restauraciones,2016-03-01,59,59,7,7,5,5,15,43,26,19,0,0,0,0,112,133,245
QUIRUSILLAS,atencion odontologica,restauraciones,2016-03-01,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3
RAVELO,atencion odontologica,restauraciones,2016-03-01,18,23,0,5,2,11,6,51,1,0,0,0,0,0,27,90,117
REYES,atencion odontologica,restauraciones,2016-03-01,0,0,0,10,6,16,8,35,0,2,0,0,0,0,14,63,77
RIBERALTA,atencion odontologica,restauraciones,2016-03-01,37,38,19,13,18,53,31,112,0,3,0,0,0,0,105,219,324
ROBORE,atencion odontologica,restauraciones,2016-03-01,2,0,1,3,2,19,0,1,0,0,0,0,0,0,5,23,28
RURRENABAQUE,atencion odontologica,restauraciones,2016-03-01,20,17,20,14,23,25,39,38,10,5,0,0,0,0,112,99,211
SABAYA,atencion odontologica,restauraciones,2016-03-01,3,1,14,28,9,12,7,27,10,12,0,0,0,0,43,80,123
SACABA,atencion odontologica,restauraciones,2016-03-01,233,226,135,166,31,69,97,351,50,64,0,0,0,0,546,876,1422
SACABAMBA,atencion odontologica,restauraciones,2016-03-01,0,0,0,0,5,4,4,7,0,3,0,0,0,0,9,14,23
SACACA,atencion odontologica,restauraciones,2016-03-01,2,4,0,2,1,2,6,15,2,1,0,0,0,0,11,24,35
SAIPINA,atencion odontologica,restauraciones,2016-03-01,0,8,11,9,0,4,5,28,4,4,0,0,0,0,20,53,73
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2016-03-01,44,34,84,84,7,9,10,27,19,16,0,0,0,0,164,170,334
SAMAIPATA,atencion odontologica,restauraciones,2016-03-01,14,11,10,10,0,10,5,28,3,11,0,0,0,0,32,70,102
SAN AGUSTIN,atencion odontologica,restauraciones,2016-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN ANDRES,atencion odontologica,restauraciones,2016-03-01,12,12,2,7,3,16,6,30,2,0,0,0,0,0,25,65,90
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2016-03-01,5,15,6,13,7,2,8,17,10,1,0,0,0,0,36,48,84
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2016-03-01,1,0,0,1,0,1,0,8,0,0,0,0,0,0,1,10,11
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2016-03-01,4,5,3,1,0,6,2,10,0,3,0,0,0,0,9,25,34
SAN BENITO,atencion odontologica,restauraciones,2016-03-01,24,18,0,2,0,8,0,10,8,2,0,0,0,0,32,40,72
SAN BORJA,atencion odontologica,restauraciones,2016-03-01,17,12,18,25,6,25,20,74,4,7,0,0,0,0,65,143,208
SAN BUENA VENTURA,atencion odontologica,restauraciones,2016-03-01,2,5,1,0,0,5,4,17,5,1,0,0,0,0,12,28,40
SAN CARLOS,atencion odontologica,restauraciones,2016-03-01,17,10,1,2,6,10,10,26,6,4,0,0,0,0,40,52,92
SAN IGNACIO,atencion odontologica,restauraciones,2016-03-01,52,58,42,78,14,62,52,212,6,4,0,0,0,0,166,414,580
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2016-03-01,18,22,3,6,8,12,11,57,7,2,0,0,0,0,47,99,146
SAN JAVIER(BNI),atencion odontologica,restauraciones,2016-03-01,1,1,3,10,1,2,1,0,0,0,0,0,0,0,6,13,19
SAN JAVIER(STC),atencion odontologica,restauraciones,2016-03-01,11,16,1,1,3,15,4,21,8,2,0,0,0,0,27,55,82
SAN JOAQUIN,atencion odontologica,restauraciones,2016-03-01,10,6,0,1,0,3,0,9,0,2,0,0,0,0,10,21,31
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2016-03-01,14,12,0,4,4,7,12,42,1,3,0,0,0,0,31,68,99
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2016-03-01,9,12,2,4,0,2,0,17,1,0,0,0,0,0,12,35,47
SAN JULIAN,atencion odontologica,restauraciones,2016-03-01,43,41,5,3,0,9,11,81,20,4,0,0,0,0,79,138,217
SAN LORENZO(PND),atencion odontologica,restauraciones,2016-03-01,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,4
SAN LORENZO(TJA),atencion odontologica,restauraciones,2016-03-01,29,25,33,79,28,53,64,212,1,7,0,0,0,0,155,376,531
SAN LUCAS,atencion odontologica,restauraciones,2016-03-01,55,52,9,14,9,16,7,59,6,0,0,0,0,0,86,141,227
SAN MATIAS,atencion odontologica,restauraciones,2016-03-01,0,1,7,0,1,2,0,0,0,0,0,0,0,0,8,3,11
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2016-03-01,0,0,6,8,4,12,20,31,7,5,0,0,0,0,37,56,93
SAN PABLO DE LIPEZ,atencion odontologica,restauraciones,2016-03-01,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5
SAN PEDRO,atencion odontologica,restauraciones,2016-03-01,13,21,43,55,28,34,3,49,15,10,0,0,0,0,102,169,271
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2016-03-01,8,26,5,10,5,19,12,31,1,3,0,0,0,0,31,89,120
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2016-03-01,0,0,0,1,0,4,4,10,3,2,0,0,0,0,7,17,24
SAN PEDRO DE QUEMES,atencion odontologica,restauraciones,2016-03-01,0,0,0,5,0,0,2,1,1,0,0,0,0,0,3,6,9
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2016-03-01,3,0,0,0,0,1,0,3,0,0,0,0,0,0,3,4,7
SAN RAFAEL,atencion odontologica,restauraciones,2016-03-01,17,14,1,9,0,3,4,24,1,0,0,0,0,0,23,50,73
SAN RAMON BENI,atencion odontologica,restauraciones,2016-03-01,0,0,4,6,1,4,2,9,0,0,0,0,0,0,7,19,26
SAN RAMON SCZ,atencion odontologica,restauraciones,2016-03-01,20,69,8,10,5,3,10,15,1,2,0,0,0,0,44,99,143
SANTA ANA,atencion odontologica,restauraciones,2016-03-01,1,0,7,11,14,15,24,25,3,0,0,0,0,0,49,51,100
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2016-03-01,1263,1322,235,204,133,729,733,3547,396,289,0,0,0,0,2760,6091,8851
SANTA ROSA,atencion odontologica,restauraciones,2016-03-01,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,4,5
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2016-03-01,12,15,0,11,4,30,8,58,9,7,0,0,0,0,33,121,154
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2016-03-01,3,2,9,8,2,4,0,0,0,0,0,0,0,0,14,14,28
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2016-03-01,57,25,44,29,6,15,23,109,26,26,0,0,0,0,156,204,360
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2016-03-01,22,3,61,89,1,1,7,18,5,22,0,0,0,0,96,133,229
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2016-03-01,8,2,0,4,5,0,3,4,1,1,0,0,0,0,17,11,28
SANTIVAÑES,atencion odontologica,restauraciones,2016-03-01,19,19,8,15,4,16,9,21,0,3,0,0,0,0,40,74,114
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2016-03-01,4,6,0,0,1,0,0,5,17,21,0,0,0,0,22,32,54
SAPAHAQUI,atencion odontologica,restauraciones,2016-03-01,16,31,0,1,0,6,1,9,15,6,0,0,0,0,32,53,85
SENA,atencion odontologica,restauraciones,2016-03-01,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,9,9
SHINAOTA,atencion odontologica,restauraciones,2016-03-01,51,85,17,28,7,22,12,65,1,2,0,0,0,0,88,202,290
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2016-03-01,7,25,1,0,1,4,1,29,8,10,0,0,0,0,18,68,86
SICAYA,atencion odontologica,restauraciones,2016-03-01,0,4,0,0,0,7,0,12,0,0,0,0,0,0,0,23,23
SIPE SIPE,atencion odontologica,restauraciones,2016-03-01,83,90,21,21,7,38,27,153,13,18,0,0,0,0,151,320,471
SOPACHUY,atencion odontologica,restauraciones,2016-03-01,12,10,19,23,12,14,10,72,5,3,0,0,0,0,58,122,180
SORACACHI,atencion odontologica,restauraciones,2016-03-01,15,22,23,28,24,16,1,29,12,2,0,0,0,0,75,97,172
SORATA,atencion odontologica,restauraciones,2016-03-01,42,59,0,0,0,8,4,24,9,2,0,0,0,0,55,93,148
SUCRE,atencion odontologica,restauraciones,2016-03-01,891,792,818,750,384,691,1382,2364,231,98,0,0,0,0,3706,4695,8401
TACACHI,atencion odontologica,restauraciones,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TACACOMA,atencion odontologica,restauraciones,2016-03-01,6,2,6,18,6,11,21,32,1,0,0,0,0,0,40,63,103
TACOBAMBA,atencion odontologica,restauraciones,2016-03-01,2,1,5,3,0,0,0,3,0,0,0,0,0,0,7,7,14
TACOPAYA,atencion odontologica,restauraciones,2016-03-01,2,12,0,1,1,11,9,17,10,11,0,0,0,0,22,52,74
TAHUA,atencion odontologica,restauraciones,2016-03-01,1,3,0,2,0,0,0,2,0,0,0,0,0,0,1,7,8
TAPACARI,atencion odontologica,restauraciones,2016-03-01,43,37,5,8,1,15,7,98,28,25,0,0,0,0,84,183,267
TARABUCO,atencion odontologica,restauraciones,2016-03-01,21,11,0,0,2,3,2,24,0,0,0,0,0,0,25,38,63
TARACO,atencion odontologica,restauraciones,2016-03-01,9,6,6,7,2,0,0,7,35,30,0,0,0,0,52,50,102
TARATA,atencion odontologica,restauraciones,2016-03-01,9,15,0,5,4,9,15,34,0,8,0,0,0,0,28,71,99
TARIJA,atencion odontologica,restauraciones,2016-03-01,192,147,436,529,229,431,743,1862,117,93,0,0,0,0,1717,3062,4779
TARVITA,atencion odontologica,restauraciones,2016-03-01,13,11,2,1,7,10,2,30,0,1,0,0,0,0,24,53,77
TEOPONTE,atencion odontologica,restauraciones,2016-03-01,4,3,0,2,2,4,3,16,4,4,0,0,0,0,13,29,42
TIAWANACU,atencion odontologica,restauraciones,2016-03-01,6,1,1,6,1,4,1,4,0,0,0,0,0,0,9,15,24
TINGUIPAYA,atencion odontologica,restauraciones,2016-03-01,7,4,0,0,0,6,1,25,1,4,0,0,0,0,9,39,48
TIPUANI,atencion odontologica,restauraciones,2016-03-01,4,18,0,4,6,9,8,15,0,0,0,0,0,0,18,46,64
TIQUIPAYA,atencion odontologica,restauraciones,2016-03-01,306,335,67,82,6,78,11,299,27,44,0,0,0,0,417,838,1255
TIRAQUE (CBBA),atencion odontologica,restauraciones,2016-03-01,10,11,1,17,6,10,4,26,4,2,0,0,0,0,25,66,91
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2016-03-01,3,0,1,1,1,0,1,3,1,0,0,0,0,0,7,4,11
TOCO,atencion odontologica,restauraciones,2016-03-01,26,32,1,4,2,18,15,58,9,8,0,0,0,0,53,120,173
TODOS SANTOS,atencion odontologica,restauraciones,2016-03-01,0,0,1,1,2,0,6,0,0,0,0,0,0,0,9,1,10
TOLATA,atencion odontologica,restauraciones,2016-03-01,20,36,2,15,0,5,1,17,0,3,0,0,0,0,23,76,99
TOLEDO,atencion odontologica,restauraciones,2016-03-01,0,2,9,10,2,9,5,12,5,3,0,0,0,0,21,36,57
TOMAVE,atencion odontologica,restauraciones,2016-03-01,7,25,2,2,1,3,8,15,3,3,0,0,0,0,21,48,69
TOMINA,atencion odontologica,restauraciones,2016-03-01,18,24,10,6,3,7,4,25,1,0,0,0,0,0,36,62,98
TORO TORO,atencion odontologica,restauraciones,2016-03-01,20,6,0,4,2,23,9,44,1,1,0,0,0,0,32,78,110
TOTORA(CBBA),atencion odontologica,restauraciones,2016-03-01,24,11,7,17,6,30,22,17,0,5,0,0,0,0,59,80,139
TOTORA(ORR),atencion odontologica,restauraciones,2016-03-01,22,14,1,2,1,1,2,6,4,2,0,0,0,0,30,25,55
TRIGAL,atencion odontologica,restauraciones,2016-03-01,2,5,2,0,1,3,5,10,1,3,0,0,0,0,11,21,32
TRINIDAD,atencion odontologica,restauraciones,2016-03-01,16,30,113,94,56,67,237,334,57,28,0,0,0,0,479,553,1032
TUPIZA,atencion odontologica,restauraciones,2016-03-01,12,15,17,14,11,17,37,93,20,45,0,0,0,0,97,184,281
TURCO,atencion odontologica,restauraciones,2016-03-01,10,18,0,4,1,1,1,23,1,2,0,0,0,0,13,48,61
UMALA,atencion odontologica,restauraciones,2016-03-01,5,8,5,0,0,0,1,5,3,2,0,0,0,0,14,15,29
UNCIA,atencion odontologica,restauraciones,2016-03-01,17,28,10,7,6,15,6,34,4,7,0,0,0,0,43,91,134
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2016-03-01,1,9,23,30,19,72,81,111,7,1,0,0,0,0,131,223,354
URUBICHA,atencion odontologica,restauraciones,2016-03-01,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,4,5
UYUNI,atencion odontologica,restauraciones,2016-03-01,6,15,8,4,3,8,7,38,13,2,0,0,0,0,37,67,104
VACAS,atencion odontologica,restauraciones,2016-03-01,42,29,2,7,5,5,24,59,2,1,0,0,0,0,75,101,176
VALLEGRANDE,atencion odontologica,restauraciones,2016-03-01,9,15,16,16,7,26,31,73,7,5,0,0,0,0,70,135,205
VIACHA,atencion odontologica,restauraciones,2016-03-01,219,219,36,19,18,28,22,126,5,1,0,0,0,0,300,393,693
VILA VILA,atencion odontologica,restauraciones,2016-03-01,6,0,7,4,0,0,0,6,1,0,0,0,0,0,14,10,24
VILLA CHARCAS,atencion odontologica,restauraciones,2016-03-01,4,1,0,0,0,3,7,12,5,0,0,0,0,0,16,16,32
VILLA MONTES,atencion odontologica,restauraciones,2016-03-01,10,10,71,79,71,65,87,157,7,0,0,0,0,0,246,311,557
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2016-03-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
VILLA RIVERO,atencion odontologica,restauraciones,2016-03-01,13,18,5,5,1,3,11,28,4,5,0,0,0,0,34,59,93
VILLA SERRANO,atencion odontologica,restauraciones,2016-03-01,48,59,5,13,1,8,6,43,0,0,0,0,0,0,60,123,183
VILLA TUNARI,atencion odontologica,restauraciones,2016-03-01,194,134,18,32,6,71,50,325,26,10,0,0,0,0,294,572,866
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2016-03-01,59,39,13,77,7,18,21,25,1,0,0,0,0,0,101,159,260
VILLAZON,atencion odontologica,restauraciones,2016-03-01,44,41,17,33,9,46,19,123,15,14,0,0,0,0,104,257,361
VINTO,atencion odontologica,restauraciones,2016-03-01,85,96,1,9,1,5,13,125,11,24,0,0,0,0,111,259,370
VITICHI,atencion odontologica,restauraciones,2016-03-01,12,7,3,7,2,7,5,24,2,15,0,0,0,0,24,60,84
WALDO BALLIVIAN,atencion odontologica,restauraciones,2016-03-01,3,4,0,0,4,5,0,3,0,0,0,0,0,0,7,12,19
WARNES,atencion odontologica,restauraciones,2016-03-01,54,43,20,20,2,20,2,151,34,10,0,0,0,0,112,244,356
YACO,atencion odontologica,restauraciones,2016-03-01,3,7,0,4,0,7,0,11,1,1,0,0,0,0,4,30,34
YACUIBA,atencion odontologica,restauraciones,2016-03-01,9,41,98,95,60,154,182,396,20,15,0,0,0,0,369,701,1070
YAMPARAEZ,atencion odontologica,restauraciones,2016-03-01,35,19,1,5,1,24,4,26,0,0,0,0,0,0,41,74,115
YANACACHI,atencion odontologica,restauraciones,2016-03-01,13,27,17,6,0,1,4,15,1,0,0,0,0,0,35,49,84
YAPACANI,atencion odontologica,restauraciones,2016-03-01,139,121,13,7,16,61,36,134,39,18,0,0,0,0,243,341,584
YOCALLA,atencion odontologica,restauraciones,2016-03-01,8,1,0,1,0,3,9,8,2,0,0,0,0,0,19,13,32
YOTALA,atencion odontologica,restauraciones,2016-03-01,10,25,6,2,4,26,9,34,1,4,0,0,0,0,30,91,121
YUNCHARA,atencion odontologica,restauraciones,2016-03-01,4,2,17,26,3,17,7,64,3,0,0,0,0,0,34,109,143
ZUDAÑEZ,atencion odontologica,restauraciones,2016-03-01,13,11,0,3,1,7,2,33,0,0,0,0,0,0,16,54,70
ACACIO,atencion odontologica,restauraciones,2016-04-01,11,12,0,1,0,0,0,3,3,1,0,0,0,0,14,17,31
ACHACACHI,atencion odontologica,restauraciones,2016-04-01,96,84,14,15,4,17,14,55,17,6,0,0,0,0,145,177,322
ACHOCALLA,atencion odontologica,restauraciones,2016-04-01,22,19,2,1,0,7,1,21,0,0,0,0,0,0,25,48,73
AIQUILE,atencion odontologica,restauraciones,2016-04-01,65,94,23,25,1,16,17,87,14,24,0,0,0,0,120,246,366
ALALAY,atencion odontologica,restauraciones,2016-04-01,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,4,5
ALCALA,atencion odontologica,restauraciones,2016-04-01,7,10,10,17,1,21,6,14,0,2,0,0,0,0,24,64,88
ALTO BENI,atencion odontologica,restauraciones,2016-04-01,11,4,1,3,3,10,7,9,1,1,0,0,0,0,23,27,50
ANCORAIMES,atencion odontologica,restauraciones,2016-04-01,2,0,1,1,0,0,3,2,1,3,0,0,0,0,7,6,13
ANDAMARCA,atencion odontologica,restauraciones,2016-04-01,9,8,39,46,2,0,5,28,5,4,0,0,0,0,60,86,146
ANTEQUERA,atencion odontologica,restauraciones,2016-04-01,5,1,1,0,0,1,12,3,2,0,0,0,0,0,20,5,25
