,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,1,1,0,0,0,4,1,0,0,0,0,0,0,6,2,8
TAHUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,5,6
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,5,2,0,4,0,1,2,9,0,1,0,0,0,0,7,17,24
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
TOMAVE,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TOMINA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,9,9
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,2,2,0,0,1,4,0,0,0,0,0,0,3,6,9
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,4,0,1,0,26,13,1,0,0,0,0,0,0,14,32,46
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,1,0,0,0,0,0,1,1,3,5,0,0,0,0,5,6,11
VINTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,3,5,0,0,0,0,0,1,1,0,0,0,0,0,4,6,10
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,2,2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,5
YOTALA,atencion odontologica,cirugia bucomaxilofacial menor,2016-05-01,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0,23
ACHOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,2,0,3,6,0,5,1,8,3,1,0,0,0,0,9,20,29
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,2,0,3,0,3,3,2,0,0,0,0,0,0,3,10,13
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,1,2,1,0,1,2,3,0,0,0,0,0,6,4,10
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,2,6
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,1,4,14,4,1,1,1,5,3,2,0,0,0,0,20,16,36
CHAQUI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
CLIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,2,0,0,3,1,2,2,0,0,0,0,5,5,10
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,10,11,0,0,0,10,0,3,1,4,0,0,0,0,11,28,39
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,3,3,3,6,0,2,0,8,1,3,0,0,0,0,7,22,29
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,1,1,4,1,0,0,2,5,0,0,0,0,0,0,7,7,14
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,1,0,0,2,2,8,0,0,0,0,0,0,3,10,13
EUREKA (SANTOS MERCADO),atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,2,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,6
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,2,1,0,0,0,0,1,2,1,2,0,0,0,0,4,5,9
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,1,0,0,0,0,2,4,1,0,0,0,0,0,3,5,8
MACHARETI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,1,2,0,0,0,2,1,0,0,0,0,0,2,4,6
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,21,9,0,1,0,0,0,1,0,0,0,0,0,0,21,11,32
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,1,2,2,0,4,1,0,0,0,0,0,3,7,10
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
PUNA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,1,0,1,1,4,2,2,4,3,6,0,0,0,0,11,13,24
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,2,0,2,4,1,7,2,22,11,11,0,0,0,0,18,44,62
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,3,5
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,6,1,1,5,5,8,1,1,0,0,0,0,13,15,28
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,6,3,2,0,2,0,2,0,0,0,0,0,12,3,15
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,3,1,1,0,2,4,13,23,15,5,0,0,0,0,34,33,67
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,4,0,0,3,2,2,3,8,0,0,0,0,9,13,22
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,21,20,3,6,4,3,5,50,6,5,0,0,0,0,39,84,123
TACOBAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,7,5,3,6,1,11,3,5,0,0,0,0,14,27,41
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,10,4,10,13,4,4,7,10,2,0,0,0,0,0,33,31,64
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
TEOPONTE,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,3,2,1,1,6,6,9,0,0,0,0,9,19,28
TORO TORO,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,2,1,7,4,0,0,0,0,9,5,14
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,5,1,1,1,4,23,1,1,0,0,0,0,11,26,37
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,3,0,3,0,0,1,4,13,2,1,0,0,0,0,12,15,27
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,1,1,0,2,1,6,1,1,0,0,0,0,3,10,13
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-06-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,4
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
CAPINOTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,7,8,19,13,1,6,7,16,2,3,0,0,0,0,36,46,82
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,4,0,1,2,4,5,3,3,0,0,0,0,12,10,22
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,18,20,0,0,0,0,0,0,0,0,0,0,0,0,18,20,38
COPACABANA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,3,0,9,10,2,8,3,10,2,0,0,0,0,0,19,28,47
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,5,3,3,2,0,1,0,10,3,3,0,0,0,0,11,19,30
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,1,0,0,0,4,5,7,0,0,0,0,5,12,17
EL CHORO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,2,1,4,0,3,0,0,0,0,0,0,1,9,10
GUANAY,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,3,4,3,5,2,4,9,5,4,6,0,0,0,0,21,24,45
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,3,0,1,0,2,9,11,27,0,0,0,0,0,0,17,36,53
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,2,5,0,0,1,17,0,0,0,0,0,0,3,22,25
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PADCAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,2,1,0,1,0,0,0,0,0,0,0,0,3,2,5
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,0,0,2,1,1,0,0,0,0,0,0,0,4,1,5
PORVENIR,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,3,5
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,2,0,1,0,0,3,0,0,0,0,0,0,3,3,6
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,3
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,4,5
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,7,3,1,2,2,1,3,2,0,0,0,0,13,8,21
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,3,4,17,10,1,10,6,46,11,16,0,0,0,0,38,86,124
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,2,1,0,3,2,0,0,0,0,0,0,4,4,8
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,3,7,2,4,1,9,1,4,2,4,0,0,0,0,9,28,37
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,2,3,1,0,2,3,3,0,1,0,0,0,0,7,9,16
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,4,6,0,7,5,14,1,2,0,0,0,0,10,29,39
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,8,5,4,26,3,8,6,26,2,0,0,0,0,0,23,65,88
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,1,1,1,0,0,1,4,0,0,0,0,0,0,2,6,8
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,1,0,3,4,1,3,3,12,4,2,0,0,0,0,12,21,33
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-07-01,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6,6
AIQUILE,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,3,4,0,0,2,3,4,2,0,0,0,0,9,9,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
BOLIVAR,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,2,1,2,0,3,0,9,0,0,0,0,1,16,17
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,10,10
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,2,4
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,11,5,8,15,0,6,3,8,202,168,0,0,0,0,224,202,426
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,1,1,4,3,0,0,0,0,0,4,5,9
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,3,7,0,1,0,0,0,0,3,8,11
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,1,4,7,12,1,9,21,1,5,0,0,0,0,0,35,26,61
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,1,0,28,5,2,2,0,5,14,3,0,0,0,0,45,15,60
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,2,2,0,1,1,1,0,0,0,0,0,0,3,4,7
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,7,7
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,7,8,0,0,0,1,0,9,11,11,0,0,0,0,18,29,47
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,1,0,2,1,8,13,27,21,1,2,0,0,0,0,39,37,76
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
PADCAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,3,5,2,0,0,2,0,3,0,0,0,0,0,0,5,10,15
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,3,6,2,2,0,0,0,0,5,8,13
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,2,4
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,1,6,0,2,2,1,3,0,0,0,0,0,6,9,15
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7
SAN AGUSTIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,4,2,2,0,0,1,0,0,0,0,0,0,6,3,9
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,0,7,2,0,0,0,0,7,2,9
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,1,1,9,12,0,2,8,18,14,11,0,0,0,0,32,44,76
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,1,0,4,1,1,0,0,0,0,1,6,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,8,4,0,0,1,4,12,13,7,2,0,0,0,0,28,23,51
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
TIRAQUE (CBBA),atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
WARNES,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,2,2,7,2,3,0,18,5,1,0,0,0,0,9,31,40
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-08-01,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,8,9
CAMARGO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,2,0,13,15,0,2,0,0,6,3,0,0,0,0,21,20,41
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,5,6
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,11,15,3,3,4,5,4,0,0,0,0,0,0,23,22,45
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,6,4,7,17,2,5,8,8,48,45,0,0,0,0,71,79,150
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,4,6,0,2,4,4,2,0,0,0,0,0,10,12,22
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,4,2,5,5,6,5,16,24,11,7,0,0,0,0,42,43,85
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,7,6,2,0,0,0,20,4,4,0,0,0,0,10,33,43
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,1,0,4,1,0,1,1,5,6,7,0,0,0,0,12,14,26
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,6,2,3,3,3,0,0,0,0,0,0,5,12,17
HUACARETA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,1,0,0,2,5,2,0,0,0,0,0,4,6,10
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,1,9,3,0,0,5,7,1,0,0,0,0,0,15,11,26
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,1,1,0,1,8,5,18,38,3,0,0,0,0,0,30,45,75
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PADILLA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,2,1,0,0,0,1,1,4,1,0,0,0,0,0,4,6,10
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,6,5,2,2,0,1,2,7,0,0,0,0,0,0,10,15,25
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,7,0,1,0,0,0,0,0,8,0,8
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,6,0,0,1,0,0,0,2,1,0,0,0,0,0,7,3,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,10,9,5,8,29,34,14,11,0,0,0,0,58,62,120
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
