municipality,group,variable,month,l 3.13 Nº de actividades de educación en Salud Oral,TOTAL
INCAHUASI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
INQUISIVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
IRUPANA (VILLA DE LANZA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
IXIAMAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
JESUS DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
LA ASUNTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
LA GUARDIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,12,12
LA PAZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,239,239
LAGUNILLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,16,16
LAJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
LAS CARRERAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
LICOMA PAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
LLALLAGUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,21,21
LURIBAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,9,9
MACHARETI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
MAGDALENA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,12,12
MAIRANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
MAPIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
MECAPACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,11,11
MIZQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,17,17
MOCOMOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
MOJOCOYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,95,95
MONTEAGUDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,23,23
MONTERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,61,61
MORO MORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,25,25
MOROCHATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,44,44
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
OCURI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
ORURO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,31,31
PADCAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,21,21
PADILLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,19,19
PAILON,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
PALCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
PALOS BLANCOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
PAMPA AULLAGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,11,11
PAMPA GRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
PATACAMAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
PAZÑA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
PELECHUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
POCOATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,23,23
POCONA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,23,23
POJO (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,16,16
POOPO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
PORCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
POROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,25,25
PORVENIR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
POTOSI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,33,33
PRESTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
PUCARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,15,15
PUCARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
PUERTO ACOSTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
PUERTO CARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
PUERTO QUIJARRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
PUERTO RICO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,19,19
PUERTO SUAREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
PUERTO VILLARROEL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,66,66
PUNA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
PUNATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,19,19
QUIABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
QUILLACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
QUIME,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,17,17
QUIRUSILLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
RAVELO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
REYES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,47,47
RIBERALTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
ROBORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,43,43
RURRENABAQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
SABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,7,7
SACABA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,31,31
SACACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,27,27
SAMAIPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
SAN ANDRES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SAN ANDRES DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SAN ANTONIO DE ESMORUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
SAN ANTONIO DE LOMERIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
SAN BENITO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,140,140
SAN BUENA VENTURA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
SAN CARLOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,37,37
SAN IGNACIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SAN IGNACIO DE VELASCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,100,100
SAN JAVIER(STC),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
SAN JOSE DE CHIQUITOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,41,41
SAN JULIAN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,17,17
SAN LORENZO(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,43,43
SAN LUCAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,20,20
SAN PEDRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
SAN PEDRO DE CURAHUARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
SAN RAFAEL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SAN RAMON SCZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,17,17
SANTA ANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,466,466
SANTA ROSA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
SANTA ROSA DEL SARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
SANTIAGO DE CALLAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
SANTIAGO DE HUARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
SANTIAGO DE HUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,7,7
SANTIAGO DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,11,11
SANTIVAÑES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
SAPAHAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
SHINAOTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
SICAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
SIPE SIPE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,9,9
SOPACHUY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,13,13
SORACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,13,13
SORATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
SUCRE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,847,847
TACACOMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
TACOPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
TAHUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
TAPACARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,34,34
TARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,26,26
TARACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
TARATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
TARIJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,95,95
TARVITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,22,22
TEOPONTE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
TIAWANACU,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,15,15
TINGUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
TIPUANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,8,8
TIQUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,102,102
TIRAQUE (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,82,82
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
TOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
TOLATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
TOLEDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
TOMAVE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,15,15
TOMINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
TORO TORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,9,9
TOTORA(CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,19,19
TRIGAL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,45,45
TRINIDAD,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,69,69
TUPIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,28,28
TURCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,3,3
UMALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
UNCIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,37,37
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,25,25
UYUNI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,73,73
VACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,7,7
VALLEGRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,284,284
VIACHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,15,15
VILA VILA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,5,5
VILLA CHARCAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,6,6
VILLA MONTES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,12,12
VILLA RIVERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
VILLA SERRANO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,22,22
VILLA TUNARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,33,33
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,2,2
VILLAZON,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,10,10
VINTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
WARNES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,37,37
YACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,1,1
YACUIBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,11,11
YAMPARAEZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,85,85
YANACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,12,12
YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,7,7
YOCALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,4,4
YOTALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,14,14
YUNCHARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,46,46
ZUDAÑEZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-04-01,11,11
ACACIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
ACHACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,48,48
ACHOCALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
AIQUILE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,24,24
ALALAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
ALCALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,11,11
ALTO BENI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
ANCORAIMES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
ANDAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,19,19
ANTEQUERA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,8,8
ANZALDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
APOLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,15,15
ARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
ARBIETO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,18,18
ARQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,16,16
ATOCHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,4,4
AYATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,9,9
AYO AYO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
AZURDUY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,15,15
BATALLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
BERMEJO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,33,33
BETANZOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,9,9
BOLIVAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,20,20
BOYUIBE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
BUENA VISTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
CABEZAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
CAIROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
"CAIZA ""D""",atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,6,6
CAJUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,12,12
CALACOTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CALAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CAMARGO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,23,23
CAMIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,81,81
CAPINOTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CAQUIAVIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
CARACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,17,17
CARANAVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,21,21
CARAPARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,21,21
CARIPUYO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,6,6
CATACORA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,1,1
CHALLAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,18,18
CHAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
CHARAÑA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
CHAYANTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,1,1
CHIMORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
CHIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,4,4
CHOQUE COTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,9,9
CHUMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CKOCHAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
CLIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,25,25
COBIJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
COCAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,13,13
COCHABAMBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,87,87
COLCAPIRHUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,60,60
"COLCHA ""K""",atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,8,8
COLLANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,18,18
COLOMI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,8,8
COLQUECHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,16,16
COLQUENCHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
COLQUIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,9,9
COMANCHE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,6,6
COMARAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,13,13
CONCEPCION,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,14,14
COPACABANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CORIPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,28,28
CORO CORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,1,1
COROICO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
CORQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,6,6
COTAGAITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,16,16
CUATRO CAÑADAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,19,19
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,2,2
CUEVO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,8,8
CULPINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,10,10
CURAHUARA DE CARANGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,4,4
CURVA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
DESAGUADERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,12,12
EL ALTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,167,167
EL PUENTE(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,100,100
EL TORNO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
EL VILLAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
ENTRE RIOS TRJ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,41,41
ENTRE RIOS CBBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
EUCALIPTUS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,3,3
FERNANDEZ ALONSO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,4,4
FILADELFIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,1,1
GENERAL SAAVEDRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,90,90
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,7,7
GUANAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,30,30
GUAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,4,4
GUAYARAMERIN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,17,17
GUTIERREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,30,30
HUACARETA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-05-01,5,5
