,group,variable,month,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,TOTALES,TOTALES,TOTALES
PADCAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
PADILLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,0,0,0,5,2,1,1,1,0,1,4,3,25,1,4,3,14,11,22,27,72,99
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,3,0,4,1,3,2,1,4,1,1,2,2,0,8,1,4,3,3,11,3,29,28,57
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,6,0,1,0,41,41
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,1,4,8,8,5,5,1,7,1,15,10,60,4,27,4,25,32,49,66,201,267
PUCARANI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,0,0,13,14,27
PUNA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,4,8,5,15,20
PUNATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,3,0,0,0,0,0,7,3,82,42,26,18,25,21,34,84,177,261
QUIME,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,1,1,3,0,0,0,0,0,0,0,13,0,7,1,2,0,0,0,0,2,26,28
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,2,1,2,3,3,0,0,1,0,0,0,1,2,0,0,0,0,1,1,8,10,18
SAMAIPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,4,6,10
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,2,0,0,1,3,2,1,7,1,1,0,1,1,6,1,2,1,0,1,1,11,21,32
SAN JAVIER(BNI),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JULIAN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,2,12,1,15,9,8,9,4,21,40,61
SAN RAFAEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,1,1,0,2,0,3,0,4,0,12,0,2,1,4,0,6,2,34,36
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,0,0,0,0,0,2,1,3,1,3,3,9,8,3,9,2,3,4,6,27,31,58
SIPE SIPE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,1,2,2,11,13
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,3,1,1,3,4,6,4,6,5,8,21,6,38,30,68
TARABUCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,9,4,16,0,9,4,5,5,10,13,49,62
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,4,2,0,0,6,6,3,3,3,6,14,11,30,28,58
TARVITA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,3,0,9,0,3,3,0,2,0,6,15,21
TUPIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,1,0,1,2,5,1,0,1,2,2,12,3,12,1,17,1,19,11,69,80
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,1,1,0,0,1,2,1,0,0,0,9,1,4,29,3,3,4,7,20,25,43,68,111
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,9,17,0,0,13,26,39
VILLAZON,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,2,1,0,0,1,3,1,0,0,1,0,2,1,16,0,4,6,3,2,10,13,40,53
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,0,0,2,1,0,0,0,2,3,14,1,6,0,2,8,7,14,32,46
WARNES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,1,0,1,0,0,2,0,4,1,22,2,82,0,30,4,24,10,25,19,189,208
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-03-01,0,0,0,0,2,3,13,10,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
ACHOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,1,5,4,9
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,2,5,2,0,16,17,12,11,1,1,1,0,1,8,8,10,6,6,13,7,62,65,127
ARAMPAMPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,2,1,0,0,4,8,0,1,1,1,0,1,0,6,0,1,0,2,0,5,7,26,33
AYATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,3,0,4,4,8
AZURDUY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,6,3,3,8,28,32,0,0,0,0,0,0,1,0,0,1,2,0,0,0,40,44,84
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,1,0,5,3,8
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,1,1,13,5,0,2,0,0,0,0,0,8,2,2,1,1,10,4,27,23,50
CARACOLLO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,3,2,8,8,4,6,3,2,1,13,1,31,0,3,2,6,11,15,33,86,119
CARANAVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,5,6,7,5,19,20,30,32,36,49,2,13,1,20,5,1,3,2,9,5,117,153,270
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,2,3,2,1,13,8,33,20,13,10,0,8,2,24,2,4,10,4,13,21,90,103,193
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,5,3,4,8,29,21,33,26,8,16,1,3,6,29,6,5,4,10,17,11,113,132,245
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,2,0,3,2,1,3,5,10,2,5,2,4,5,4,20,28,48
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,4,1,0,2,4,3,5,9,4,4,1,7,11,20,30,46,76
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,1,2,3,8,7,8,9,20,5,3,0,0,0,2,0,0,3,3,0,0,28,46,74
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,11,9,12,17,9,20,15,15,2,10,2,1,0,2,1,3,1,1,14,13,67,91,158
CULPINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,2,1,3,0,0,0,0,0,1,4,0,10,0,0,0,0,0,0,6,15,21
ESCARA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,1,5
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,2,3,3,3,17,7,19,3,42,25,5,12,0,27,1,1,1,2,1,1,91,84,175
GUAYARAMERIN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,7,0,7
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,2,2,1,29,18,5,5,0,4,0,1,1,12,1,3,2,7,4,7,44,60,104
INQUISIVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,1,1,1,4,4,0,0,0,0,0,1,0,0,2,3,0,0,2,3,9,13,22
LA ASUNTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,3,1,0,1,6,6,3,4,1,3,1,1,3,14,0,6,3,3,2,3,22,42,64
LA GUARDIA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,2,4,0,2,0,0,0,0,1,3,6,4,5,2,7,9,21,24,45
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,4,4,4,1,28,27,16,11,12,15,3,6,12,63,5,23,19,34,42,31,145,215,360
LAGUNILLAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LLALLAGUA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,1,3,0,6,0,6,1,16,0,2,0,0,3,0,5,33,38
MIZQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,1,0,0,1,2,1,1,1,1,0,2,0,7,0,0,0,0,0,1,3,15,18
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,1,2,2,10,12
MONTEAGUDO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,1,0,0,7,2,9
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,1,1,2,0,1,0,3,0,4,8,19,6,7,10,14,23,24,48,75,123
PADCAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PADILLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,25,56,102,126,0,1,4,0,5,6,4,2,2,2,2,2,5,18,149,213,362
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,1,0,3,1,13,5,36,30,19,21,1,2,1,2,1,1,0,1,3,2,78,65,143
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,12,0,9,0,18,0,77,77
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,1,0,3,4,2,0,8,14,122,13,61,8,59,48,89,87,345,432
PUERTO SUAREZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,1,1,1,1,3,0,2,0,0,0,0,1,2,8,3,4,0,1,0,1,12,17,29
PUNA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,10,2,4,6,17,23
PUNATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,1,0,3,0,37,10,21,57,11,15,5,21,39,52,118,155,273
QUIME,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,4,6,0,0,0,0,0,0,0,13,0,13,1,1,0,0,0,0,5,33,38
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,3,2,3,1,5,3,0,0,0,1,1,3,3,8,0,5,1,3,9,9,25,35,60
SAMAIPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,2,4,1,1,1,1,3,12,0,6,0,5,2,0,10,29,39
SAN JULIAN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,5,7,1,1,0,3,0,0,0,3,0,8,1,1,4,10,11,33,44
SAN LUCAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,10,7,29,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,64
SAN RAFAEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,4,2,1,2,0,0,2,21,0,3,1,5,6,1,15,34,49
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,0,1,2,1,1,3,4,12,3,7,5,7,7,7,23,38,61
SIPE SIPE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,3,2,7,9
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,6,1,2,1,1,1,0,2,3,5,1,9,5,36,1,24,5,8,26,30,50,117,167
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,4,1,0,1,0,1,0,4,7,2,2,1,4,13,8,23,25,48
TARVITA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,4,0,15,0,3,0,0,0,0,2,23,25
TRINIDAD,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,3,4,3,0,18,9,4,11,5,14,15,11,48,49,97
TUPIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,1,0,0,0,1,0,0,0,1,11,1,4,1,1,2,2,7,18,25
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,2,0,0,2,1,2,10,0,5,2,11,6,8,12,37,49
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,7,5,10,20,33,54,67,30,21,18,10,3,3,2,9,3,0,3,2,138,162,300
VILA VILA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3,4,0,2,5,0,10,10,20
VILLA MONTES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5,1,2,0,4,5,12,17
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,5,3,2,1,4,2,3,7,14,14,28,42
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,1,0,2,1,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,9,21
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,0,0,1,0,2,0,2,1,7,10,2,10,2,4,4,0,20,25,45
WARNES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,0,0,0,11,0,12,0,0,0,0,0,37,38,25,13,15,15,10,7,110,73,183
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-04-01,0,1,0,1,9,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,28
ACACIO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,2,4,4,8
ACHOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,2,7,1,0,0,0,0,1,0,9,3,12
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,0,0,0,4,12,3,5,0,0,0,2,0,0,0,6,1,1,0,1,9,27,36
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,5,0,1,0,1,3,10,13
ATOCHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,1,0,0,0,0,1,1,0,0,0,3,1,0,0,1,0,2,0,2,3,10,13
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,2,2,3,4,3,2,4,2,3,10,15,20,30,50
CAMARGO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,1,2,2,4,8,1,0,0,0,0,0,4,3,5,4,1,3,2,21,19,40
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,4,1,0,0,0,0,0,0,3,11,1,4,1,1,3,5,12,22,34
CARACOLLO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,0,0,1,12,8,24,14,12,9,1,6,3,28,1,1,2,7,17,21,73,95,168
CARANAVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,7,5,9,3,20,8,23,10,21,22,1,5,1,30,3,3,1,2,7,2,93,90,183
CARAPARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,0,0,1,1,0,1,0,0,0,0,2,2,6,0,2,0,1,7,3,12,15,27
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,3,0,3,3,2,5,51,56,38,23,2,3,1,25,1,7,1,0,4,12,106,134,240
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,2,4,5,4,9,11,37,33,24,24,1,3,2,17,1,9,6,9,18,24,105,138,243
CLIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,1,0,0,0,0,1,1,1,9,9,23,3,11,3,8,9,34,26,87,113
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,5,4,4,8,6,19,20,39
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,2,0,8,2,4,3,2,11,15,3,4,2,7,11,25,32,67,99
COLOMI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,2,1,6,5,10,9,12,17,4,4,0,0,1,1,0,0,2,4,0,0,37,41,78
COMARAPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,1,27,0,11,3,5,4,3,9,46,55
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,6,6,3,1,5,3,26,26,16,18,0,0,0,1,0,1,4,1,5,0,65,57,122
CULPINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,1,1,5,4,9
EL ALTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,1,7,4,28,33,15,15,2,4,7,8,4,2,2,4,2,3,67,74,141
EL CHORO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL TORNO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,1,2,1,1,1,2,0,4,4,4,8,2,7,9,14,18,36,42,78
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,9,1,43,2,6,0,5,9,7,12,70,82
GUAYARAMERIN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,3,0,1,0,8,2,10
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,5,3,0,1,0,10,10,37,2,4,4,9,13,14,34,78,112
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,4,0,48,20,1,0,0,4,0,0,4,0,2,0,59,24,83
INQUISIVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,2,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,11,17
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,7,10,5,12,9,19,7,5,2,4,5,10,9,65,6,16,5,6,24,19,79,166,245
LLALLAGUA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,1,0,4,2,1,3,0,1,1,5,0,3,0,1,1,0,8,15,23
MECAPACA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,1,0,0,3,0,2,4,3,0,1,0,0,4,0,1,0,1,6,5,15,16,31
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MONTEAGUDO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,8,14,0,0,3,2,2,9,5,11,2,4,0,11,13,16,33,67,100
OCURI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,2,0,1,0,0,1,1,0,1,3,1,0,0,4,2,2,8,10,18
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,2,1,0,5,1,0,3,3,5,17,4,14,5,6,28,20,48,66,114
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,2,0,1,0,6,2,18,7,5,5,0,2,2,8,4,1,1,7,4,9,43,41,84
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,5,41,4,42,11,99,110
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,1,5,8,2,3,2,7,8,17,6,127,5,47,8,45,42,61,78,316,394
PUERTO GONZALO MORENO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,2,1,0,0,0,0,0,0,0,0,2,0,2,1,1,3,1,5,2,10,10,20
PUERTO SUAREZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,3,1,2,2,1,0,1,1,2,18,0,4,1,3,9,5,19,34,53
PUERTO VILLARROEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,7,7
PUNA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,4,0,7,6,12,7,27,34
PUNATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,3,7,36,3,9,4,5,6,8,22,61,83
QUIME,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,4,3,0,0,12,10,0,0,6,0,13,2,4,0,0,0,0,0,39,15,54
RIBERALTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,1,0,3,2,5,7,3,2,1,5,9,6,22,22,44
SAMAIPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,4,3,1,6,9,15
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
SAN IGNACIO DE VELASCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN LUCAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,5,5
SAN RAFAEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,1,1,1,0,4,1,4,0,12,1,1,1,2,3,4,7,29,36
SIPE SIPE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,1,0,0,1,1,1,4,2,7,3,8,24,43,10,17,9,11,38,35,88,127,215
TARABUCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,2,0,1,11,10,0,0,0,0,1,10,3,5,1,8,2,3,2,5,21,44,65
