,group,variable,month,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,2,6,7,7,15,22
CURVA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,1,1,1,2,2,5,9,14
EL CHORO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
EL VILLAR,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,8
HUACARETA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,4,2,6
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,7,7
LA ASUNTA,telesalud,teledispositivos ecografo,2024-05-01,0,0,1,0,2,2,1,2,3,6,1,24,8,228,4,23,7,10,17,13,44,308,352
MACHARETI,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
PATACAMAYA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
PORCO,telesalud,teledispositivos ecografo,2024-05-01,0,1,0,0,2,0,1,0,0,0,0,1,1,4,0,0,0,0,0,0,4,6,10
PUERTO ACOSTA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,3
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,4,5
QUIME,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,5,0,13,2,4,0,0,0,0,2,22,24
SACABAMBA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,2,3,5
SAN BENITO,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,2,10,1,1,0,0,0,0,3,12,15
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,3,1,4,5,9
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,8,7,31,2,4,2,2,5,3,17,49,66
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,4,3,7
SAPAHAQUI,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SUCRE,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,0,0,0,0,0,12,12
UMALA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,5,5
VACAS,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,3,0,2,1,6,9,15
VILA VILA,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,4,5
WARNES,telesalud,teledispositivos ecografo,2024-05-01,0,0,0,0,0,0,1,0,0,0,1,0,3,5,2,3,1,1,5,2,13,11,24
ANZALDO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,1,0,0,1,3,7,10
APOLO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,7,0,32,0,6,0,0,0,0,0,45,45
ARQUE,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,4,0,7,0,1,0,1,0,1,0,15,15
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
CARIPUYO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHIPAYA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,7,7
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,3,0,0,1,1,3,28,31
CKOCHAS,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,4,4
COLLANA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,5,5
COLQUENCHA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,5,6
COLQUIRI,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORO CORO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,4
CURVA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,1,1,7,8
ESCARA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,13,13
FERNANDEZ ALONSO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,2,4,6
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,4,2,10,2,5,14,34,48
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,2,5,7
LA ASUNTA,telesalud,teledispositivos ecografo,2024-06-01,1,1,0,0,0,0,0,2,4,4,1,23,9,198,7,24,9,15,17,18,48,285,333
LA RIVERA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,4,5
MACHARETI,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,3,5
MOCOMOCO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PORCO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,1,3,6,1,3,0,0,0,1,0,11,0,1,0,0,0,0,4,23,27
PUERTO ACOSTA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,2,4,6
PUERTO CARABUCO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
PUERTO PEREZ,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,8,9
SACABAMBA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,1,2,6,8
SAN BENITO,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,0,0,0,0,3,7,10
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,2,1,0,1,10,11
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,3,4
SANTIAGO DE MACHACA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,1,0,23,23
SANTUARIO DE QUILLACAS,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,3,4
SAPAHAQUI,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,2,2,1,4,10,14
TODOS SANTOS,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,4,3,7
URUBICHA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,4,4,9,9,18
VACAS,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,6,1,1,1,14,15
VILA VILA,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,2,0,0,0,0,0,15,15
VILLAZON,telesalud,teledispositivos ecografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,3,2,3,8,11
ANZALDO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,2,3,4,2,5,7,22,29
APOLO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,1,0,1,1,0,0,0,4,1,9,1,2,0,0,0,0,4,16,20
ARQUE,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,2,0,3,0,4,0,19,19
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4
CHIMORE,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,1,2,1,0,2,4,8,2,7,3,3,5,5,16,27,43
CHIPAYA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,2,0,3,9,12
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,15,15
CKOCHAS,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,1,0,3,6,7,13
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
COLLANA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
COLQUENCHA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,4
CURVA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,3,1,6,0,2,1,0,2,1,5,12,17
EL CHORO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,3
EL VILLAR,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,2,11,13
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,3,2,6,1,1,0,1,2,0,5,11,16
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
LA ASUNTA,telesalud,teledispositivos ecografo,2024-07-01,1,1,0,0,0,0,2,1,0,4,3,28,15,179,5,26,5,9,13,7,44,255,299
MACHARETI,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,5,6
MOCOMOCO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ORURO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
PORCO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,1,0,1,2,2,4,0,1,0,0,0,0,0,7,4,11
SAN BENITO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,1,1,0,2,0,9,0,1,0,0,1,3,2,16,18
SUCRE,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,4,5
TURCO,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,4,4,2,4,14,18
VACAS,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,0,2,1,1,5,5,11,16
VILA VILA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
YUNCHARA,telesalud,teledispositivos ecografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,0,1,3,5,8
ANCORAIMES,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,5,6
ANZALDO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,7,7
ARQUE,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,2,0,0,0,1,0,21,21
ASCENCION DE GUARAYOS,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,1,1,11,12
CAQUIAVIRI,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CATACORA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,5,5
CHIPAYA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,12
CKOCHAS,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
COLLANA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,3,0,2,2,9,11
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,4
CURVA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,5,6
EL CHORO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EL PUENTE(STC),telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,3,3,6
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,1,1,0,2,2,2,3,1,0,0,1,2,0,8,7,15
HUARINA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUMANATA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
ICLA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,4,0,4,2,5,5,21,26
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,2,8,10
LA ASUNTA,telesalud,teledispositivos ecografo,2024-08-01,1,0,0,0,1,1,1,1,0,4,2,25,12,220,9,33,6,17,16,7,48,308,356
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MACHARETI,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,5
NAZACARA DE PACAJES,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
PORCO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,1,1,1,2,0,0,0,1,0,8,0,4,0,0,1,0,3,16,19
QUIABAYA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
QUIME,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,5,0,13,2,4,0,0,0,0,2,22,24
SACABAMBA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BENITO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2,2,2,2,0,8,10,18
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,2,3,5,8
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,4,4,0,0,0,5,11,16
SUCRE,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,1,1,1,0,0,1,2,32,3,6,0,8,2,4,9,52,61
TARACO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,2,1,4,2,12,17,29
TIAHUANACU,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,6
TURCO,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,2,2,1,5,9,14
VACAS,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,1,1,0,1,2,6,0,1,1,0,0,4,4,13,17
VILA VILA,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,1,6,7
WARNES,telesalud,teledispositivos ecografo,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,2,8,2,1,2,1,1,6,6,17,13,30
ANCORAIMES,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,3,5
ANZALDO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,2,6,3,11,14
APOLO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,1,6,7
ARQUE,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,2,0,1,1,2,3,14,17
AYO AYO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CHIMORE,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,3,5,5,10
CHIPAYA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,2,7,9
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,2,0,9,9
COLQUECHACA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CRUZ DE MACHACAMARCA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
CURVA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,2,0,9,9
EL CHORO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAQUI,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,5,5
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
HUARINA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUMANATA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3
ICLA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,1,3,2,3,8,1,4,2,6,2,7,11,28,39
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,2,4,4,10,14
MACHARETI,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,1,8,9
POCOATA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
POOPO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PORCO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,3,0,2,0,5,0,4,0,15,2,3,0,2,0,0,2,34,36
PUERTO ACOSTA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
QUIRUSILLAS,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,6
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
SAN BENITO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2,2,2,1,0,7,10,17
SAN IGNACIO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,4,2,8,5,13
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,1,3,0,1,1,0,4,2,3,1,1,0,2,1,3,8,15,23
SAN RAFAEL,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,3,4,7
SANTIAGO DE HUARI,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3,1,4
