,group,variable,month,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 60 A MAS,NRO DE TELECONSULTAS S 60 A MAS,TOTALES,TOTALES,TOTALES
MECAPACA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,2,1,0,4,6,10
MOCOMOCO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,3,4
MOROCHATA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,2,1,5,1,2,0,2,0,3,2,0,1,0,0,0,0,14,5,19
NUEVO MANOA (NUEVA ESPERANZA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OMEREQUE,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAILON,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,2,3,0,0,0,0,1,1,0,0,2,3,2,4,2,2,9,13,22
POOPO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,4,6
POROMA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
RAVELO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAMAIPATA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3
SAN BENITO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,5,4,0,0,0,14,25,39
SAN JAVIER(BNI),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,4
SAN LORENZO(PND),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN RAMON BENI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,9
SANTUARIO DE QUILLACAS,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4
TARATA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,4
TARIJA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,3
TODOS SANTOS,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
TOLATA,telesalud,nro de teleconsultas s,2024-04-01,4,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,5,9
TOTORA(CBBA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,2,2,2,4,2,0,4,0,4,10,0,0,0,0,0,0,14,16,30
VILA VILA,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,2,0,0,11,0,0,11,0,0,5,1,0,0,16,14,30
VILLA SERRANO,telesalud,nro de teleconsultas s,2024-04-01,1,2,5,2,20,10,0,0,1,0,2,0,3,1,0,0,1,0,1,2,34,17,51
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,4,3,4,0,0,0,0,5,4,10,0,0,4,6,8,0,24,24,48
VINTO,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,8,0,8
VITICHI,telesalud,nro de teleconsultas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ANCORAIMES,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,1,1,2,0,0,3,6,0,0,0,0,0,0,0,0,4,9,13
ANDAMARCA,telesalud,nro de teleconsultas s,2024-05-01,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,10,3,13
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,6,0,0,0,0,0,0,0,2,3,0,0,2,0,1,3,11,6,17
BELEN DE URMIRI,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,7,7
BERMEJO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,2,3,4,10,6,3,4,2,6,0,0,18,22,40
BETANZOS,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,5,12,7,19
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,6,2,0,0,4,16,12,19,8,0,6,2,0,0,36,39,75
CARAPARI,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CHACARILLA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLLANA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CORO CORO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CORQUE,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,4,4
EL PUENTE(TJA),telesalud,nro de teleconsultas s,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,5,5
GUAQUI,telesalud,nro de teleconsultas s,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACARETA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,9,9
HUACHACALLA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,4
ICLA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,29,0,29
INCAHUASI,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,27,9,36
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
LA PAZ,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
LAS CARRERAS,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,5,7,12
LLALLAGUA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LORETO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,1,0,2,0,1,0,2,0,0,1,1,0,0,0,0,1,7,8
MACHACAMARCA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,2,0,0,4,1,0,3,0,6,0,2,0,0,1,0,5,14,19
MOCOMOCO,telesalud,nro de teleconsultas s,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTEAGUDO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,2,0,3,3,7,2,0,0,0,0,0,5,12,17
MOROCHATA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,2,2,0,0,0,0,2,4,2,0,2,0,0,0,8,6,14
PELECHUCO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POOPO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,11,11
PUERTO CARABUCO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO GONZALO MORENO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
PUERTO VILLARROEL,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,5,6
RAVELO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,1,0,1,0,10,10
SACABAMBA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,9,3,12
SAN BENITO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,6,15,5,5,5,0,0,0,16,20,36
SAN JAVIER(BNI),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3
SANTIAGO DE CALLAPA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SENA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,1,0,2,6,8
SOPACHUY,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SUCRE,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,3,3,6
TACACHI,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,2,2,3,3,12,15
TARATA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,3
TARIJA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,3,3,0,0,3,19,22
TOCO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,4,5
TOLATA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,2,0,5,8,4,0,2,0,0,0,0,8,13,21
TOTORA(CBBA),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,0,0,0,4,6,8,14
TUPIZA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,2,0,0,3,2,4,12,16
UNCIA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
URUBICHA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,4,4,6,10
VALLEGRANDE,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3,4,7
VILLA SERRANO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6
VINTO,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,8,0,8
VITICHI,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,1,0,2,5,4,9
YOTALA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,3,0,3,0,6,5,11
YUNCHARA,telesalud,nro de teleconsultas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,3
ALALAY,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,6,7
ANDAMARCA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,12,4,16
APOLO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BATALLAS,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,3,4,6,9,15
BELEN DE URMIRI,telesalud,nro de teleconsultas s,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
BETANZOS,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,3,7,5,12
"CAIZA ""D""",telesalud,nro de teleconsultas s,2024-06-01,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,6,0,6,7,13
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,4,0,14,14
CARAPARI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHACARILLA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHAQUI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,21,21
"COLCHA ""K""",telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,5,6
COLLANA,telesalud,nro de teleconsultas s,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLOMI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
COLQUECHACA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,5,3,8
COLQUIRI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,18
CORIPATA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COROICO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,2,4
CULPINA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,72,24,72,96
EL ALTO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,11,3,26,29
HUACARETA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,1,8,9
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,4,0,14,0,0,20,22,42
HUACHACALLA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,1,0,0,0,0,2,0,0,2,5,0,1,0,0,1,1,4,9,13
ICLA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0,0,0,15,3,18
INCAHUASI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,25,0,33,33
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LA PAZ,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,4,5
LA RIVERA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAJA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
LORETO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
MACHACAMARCA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,1,5,3,8
MACHARETI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,1,1,4,6,10
MOCOMOCO,telesalud,nro de teleconsultas s,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OMEREQUE,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAMPA AULLAGAS,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
POCOATA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,29
POROMA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
PUERTO CARABUCO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
PUERTO GONZALO MORENO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
PUERTO RICO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO SUAREZ,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4
PUERTO VILLARROEL,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
QUIABAYA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RAVELO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,15,1,46,0,15,0,6,0,0,1,82,83
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BENITO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,6,15,5,5,5,0,0,0,16,20,36
SAN JAVIER(BNI),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN LORENZO(PND),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,4,2,6
SANTIAGO DE CALLAPA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SOPACHUY,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,6,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,12,5,17
SUCRE,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,4,0,3,10,0,4,0,5,0,0,7,19,26
TACACHI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
TARATA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,3,5
TARVITA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TOCO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,4
TOLATA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,5,9,5,2,2,0,0,0,0,11,12,23
TOMINA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,3,0,3,18,21
TUPIZA,telesalud,nro de teleconsultas s,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,2,4,3,14,17
UNCIA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,3,4
VALLEGRANDE,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,1,8,9
VILLA SERRANO,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,10,5,0,5,0,0,5,0,0,0,0,5,15,15,30
VILLAZON,telesalud,nro de teleconsultas s,2024-06-01,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
VITICHI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,1,0,2,5,5,10
YANACACHI,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
YOCALLA,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,3,1,0,2,8,10
ZUDAÑEZ,telesalud,nro de teleconsultas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,3,3,6
ALALAY,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,0,0,7,1,8
ANCORAIMES,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,6
ANDAMARCA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,4,0,0,0,0,0,0,8,2,5,0,0,0,0,0,2,6,15,21
APOLO,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
BATALLAS,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,3,17,0,0,0,4,0,0,0,0,0,0,0,0,3,21,24
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,4,4,8
BELEN DE URMIRI,telesalud,nro de teleconsultas s,2024-07-01,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,4,0,4,0,0,0,24,24
BETANZOS,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,2,0,0,0,0,0,0,0,1,3,2,0,0,2,0,7,3,12,8,20
CAJUATA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,0,2,0,3,3,9,12
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,4,0,0,0,10,6,16
"COLCHA ""K""",telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,3
COLLANA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLQUECHACA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,1,0,2,0,6,4,10
COLQUENCHA,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
COLQUIRI,telesalud,nro de teleconsultas s,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,8,8
