,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,TOTALES,TOTALES,TOTALES
RAVELO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0,24,0,13,3,8,3,74,77
ROBORE,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,2,2,8,10
SACABA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7,3,9,4,13
SACABAMBA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,10,0,10,13,23
SAMAIPATA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,3,7,4,3,9,18,27
SAN ANDRES,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,6,6
SAN BENITO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,15,16,18,11,0,0,1,1,3,4,5,4,5,5,1,1,48,42,90
SAN BORJA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,4,6
SAN IGNACIO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,2,5,7
SAN JAVIER(BNI),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,4,5
SAN JAVIER(STC),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,4,6,0,1,0,0,0,1,0,5,0,4,1,0,2,2,7,19,26
SAN JUAN DE YAPACANI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,4
SAN JULIAN,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN LORENZO(PND),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,5,4,9
SAN LUCAS,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,6,0,6
SAN MIGUEL DE VELASCO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,2,0,7,3,10
SAN PABLO DE LIPEZ,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,1,4,3,4,7,17,24
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,2,0,2,5,7,15,22
SAN PEDRO(PND),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,2,4
SAN RAFAEL,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,1,0,4,2,1,2,0,0,2,21,0,3,1,5,6,1,15,34,49
SAN RAMON BENI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,1,1,1,0,0,4,1,0,4,0,0,1,1,6,8,14
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,1,3,3,2,1,2,5,3,3,3,7,7,1,3,4,2,7,15,32,40,72
SANTIAGO DE HUARI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,4,1,0,0,0,0,0,0,0,12,1,1,1,0,2,3,8,17,25
SANTIAGO DE MACHACA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,5,5,10,10,0,6,0,0,0,0,0,0,0,0,0,0,15,21,36
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,2,4,4,11,15
SAPAHAQUI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,1,0,5,1,8,5,0,1,0,3,0,3,1,0,0,0,1,0,16,13,29
SENA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,0,1,0,0,1,9,10
SIPE SIPE,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,1,0,0,1,0,0,0,0,0,0,2,1,7,1,2,2,2,1,10,6,24,30
SOPACHUY,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,1,1,12,16,0,0,0,0,0,0,0,0,0,0,1,0,1,3,15,20,35
SORACACHI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,1,2,0,6,1,0,2,0,0,0,0,0,2,0,1,0,2,2,3,10,12,22
SORATA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,2,4,4,5,1,9,0,0,0,0,0,2,0,5,0,1,0,0,0,0,7,26,33
TAHUA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3
TARABUCO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,4,2,6,8,30,38,3,0,0,1,0,10,3,24,0,1,2,1,8,5,56,90,146
TARATA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,3,2,0,0,2,1,6,10,3,2,0,2,5,6,19,23,42
TARIJA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,3,1,4,5,13,8,21
TARVITA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,6,4,4,7,34,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,37,81
TIAHUANACU,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,8,3,8,15,23
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,2,4,5,8,5,0,0,2,3,0,6,0,5,6,5,20,31,51
TOCO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,0,0,0,1,1,0,0,0,0,1,2,2,11,2,3,1,3,15,17,23,37,60
TODOS SANTOS,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
TOLATA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,7,0,1,2,3,8,0,0,0,1,32,0,0,7,0,1,0,0,3,4,46,23,69
TOMINA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,4,2,7,11,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,95
TORO TORO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,2,5,0,2,3,19,22
TOTORA(CBBA),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRINIDAD,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
TUPIZA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,1,0,0,0,1,0,0,0,1,11,0,3,1,1,1,2,5,17,22
TURCO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,1,0,0,0,0,0,0,1,0,0,2,8,0,1,0,1,0,3,3,14,17
UNCIA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
URIONDO (A. CONCEPCION),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,12,12
URUBICHA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6
VACAS,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
VILA VILA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3,4,0,2,5,0,10,10,20
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,3,0,0,0,1,0,1,0,2,2,0,1,0,0,0,2,0,2,0,8,7,15
VILLA MONTES,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,1,2,0,1,2,13,15
VILLA SERRANO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,2,5,2,46,34,0,0,1,0,2,0,3,1,0,0,1,0,5,4,64,43,107
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,8,6,2,0,0,0,0,0,2,5,6,2,0,6,1,4,19,23,42
VINTO,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,4,2,4,0,13,4,17
VITICHI,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,16,18,19,18,37
YAMPARAEZ,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,0,0,0,6,6,2,0,1,0,0,0,1,2,0,0,0,0,0,0,11,8,19
YOTALA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,14,14
YUNCHARA,telesalud,nro de teleinterconsultas generadas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ZUDAÑEZ,telesalud,nro de teleinterconsultas generadas n,2024-04-01,1,4,1,2,9,11,0,0,0,0,1,4,0,3,0,2,0,1,3,3,15,30,45
ACACIO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,2,4,4,8
ACHOCALLA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,3,0,0,0,5,4,0,1,0,0,2,0,2,3,1,1,0,1,0,2,13,12,25
AIQUILE,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,4,2,2,7,9,16
ANCORAIMES,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,3,1,5,0,0,0,2,0,0,2,0,0,5,3,15,6,21
ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,2,1,0,3,3,3,0,1,1,1,1,1,0,2,3,1,10,13,23
ANZALDO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,4,2,12,0,0,0,0,0,2,2,18,20
APOLO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,7,11,0,3,0,7,0,3,0,0,0,0,7,24,31
ARAMPAMPA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,9,9
ARANI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,4
ARQUE,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,1,1,1,1,0,0,0,0,2,2,5,0,4,0,0,0,1,4,14,18
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,4,0,2,1,0,1,0,1,2,4,8,12
ATOCHA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,1,2,0,0,0,0,1,1,0,0,0,3,1,9,0,1,0,2,0,2,3,20,23
AUCAPATA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,1,1,1,0,7,1,0,0,0,0,2,0,0,0,0,0,11,2,13
AYATA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,4,4
AZURDUY,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,1,1,1,0,0,1,1,4,1,1,0,1,0,0,4,9,13
BATALLAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,4,0,8,1,1,0,20,20,0,0,0,1,0,0,0,0,2,4,35,26,61
BAURES,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1,2,3,0,7,6,13
BELEN DE ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,1,8,9
BELEN DE URMIRI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,5,3,6,8,14
BELLA FLOR,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
BERMEJO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
BETANZOS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,5,2,5,7,8,10,25,35
BOLPEBRA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,2,4,1,0,4,6,12,18
BOYUIBE,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,8,6,1,1,4,1,1,9,14,23
CABEZAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,2,1,2,0,1,1,0,0,0,1,0,0,0,2,5,1,10,6,16
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1,1,2,2,5,3,11,10,21
CAJUATA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,1,0,8,13,2,5,0,0,0,0,0,0,0,0,2,2,13,20,33
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,1,0,1,0,1,5,7,3,1,0,3,0,2,8,16,24
CAMIRI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,4,5
CARACOLLO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,3
CARANAVI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
CARAPARI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,3,8,4,11,10,21
CARIPUYO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,2,1,0,0,0,0,1,0,0,0,0,1,2,2,0,0,1,1,3,1,9,6,15
CARMEN RIVERO TORREZ,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0,2,0,0,1,9,10
CHACARILLA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
CHIMORE,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,1,0,0,1,0,3,7,10
CHIPAYA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,1,1,0,1,1,4,7,11
CHOQUE COTA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,2,3,5
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
CHUMA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,2,1,3,15,19,14,13,1,3,1,1,2,0,0,0,0,0,34,41,75
CHUQUIHUTA AYLLU JUCUMANI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,10
CKOCHAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,3,2,3,9,12
CLIZA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COBIJA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,5,3,3,3,0,1,6,7,14,15,29
"COLCHA ""K""",telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,5,4,7,6,13
COLLANA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,1,0,4,0,4,1,6,4,4,6,1,1,1,1,2,0,2,0,0,2,25,15,40
COLOMI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,2,1,3,4,0,1,0,0,0,0,6,6,12
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,1,25,0,15,0,4,1,1,2,47,49
COLQUECHACA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,3,5,2,1,1,2,0,2,1,3,0,1,0,0,1,2,8,16,24
COLQUIRI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,2,1,6,5,10,9,12,17,4,4,0,0,1,1,0,0,1,1,0,0,36,38,74
COMARAPA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,3,5
CONCEPCION,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,2,0,2,9,1,0,0,0,0,0,1,0,0,0,0,0,0,19,6,28,34
CORIPATA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0,0,0,8,2,9,8,17
CORO CORO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,2,0,0,1,0,0,3,0,0,2,0,1,2,5,7,12
CORQUE,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,2,4,1,1,0,0,0,1,0,5,0,0,1,0,1,1,5,12,17
CRUZ DE MACHACAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,6,7,13
CULPINA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,3,3,0,0,0,0,0,1,1,4,0,1,0,2,0,0,4,11,15
CURAHUARA DE CARANGAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0,2,1,8,9
CURVA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,2,2,2,12,14
EL ALTO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,1,0,0,0,2,0,6,4,2,3,0,1,0,2,0,1,0,0,1,0,12,11,23
EL CHORO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,4,1,5,7,12
EL VILLAR,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,7,8,0,8,11,23,34
ESCOMA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,12
EUREKA (SANTOS MERCADO),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
EXALTACION,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,3,5,8
FILADELFIA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,2,0,0,1,0,3,10,13
GAIOC JATUN AYLLU YURA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,1,7,8
GENERAL SAAVEDRA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,1,0,0,0,0,1,0,0,0,2,1,28,2,10,0,12,2,5,6,58,64
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,9,9
GUAQUI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,3,2,6,10,2,7,4,1,1,1,0,2,0,6,0,2,1,1,3,5,20,37,57
GUAYARAMERIN,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,1,1,6,10,16
HUACARETA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,3,4,0,2,2,0,0,0,0,0,0,0,12,0,0,0,0,3,0,9,17,26
HUACHACALLA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,1,6,7
ICHOCA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,4,0,48,20,1,0,0,4,0,0,4,0,2,0,59,24,83
ICLA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,4,0,0,0,0,0,10,1,0,0,6,0,0,0,0,1,20,21
INCAHUASI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,2,0,0,2,4,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,7,8,15
INQUISIVI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,2,2,1,4,1,1,0,0,2,0,0,2,0,3,0,0,0,2,2,2,8,16,24
IRUPANA (VILLA DE LANZA),telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,4
JESUS DE MACHACA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,9,7,5,2,2,0,6,5,4,0,0,1,1,0,27,16,43
LA GUARDIA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,8,11,9,17,26
LA PAZ,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA RIVERA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,1,2,6,8
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,1,0,0,1,1,5,4,9
LAJA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,45,45,0,0,0,0,4,2,0,0,6,2,1,0,56,49,105
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,2,2,0,1,1,0,0,0,1,0,1,1,0,1,0,0,5,5,10
LLALLAGUA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LLICA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,1,0,0,0,0,0,1,1,0,1,0,33,0,7,0,2,0,3,2,47,49
LORETO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,0,3,4,7
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,1,0,0,0,2,0,0,0,2,0,0,0,1,4,2,2,0,0,2,3,10,9,19
MACHARETI,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,4,7,0,0,1,0,0,4,0,0,0,0,0,2,1,2,6,15,21
MAIRANA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,1,3,4,9,13
MECAPACA,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,1,0,0,3,0,2,4,3,0,1,0,0,4,0,1,0,1,5,5,14,16,30
MOCOMOCO,telesalud,nro de teleinterconsultas generadas n,2024-05-01,0,0,0,0,0,3,5,1,13,6,0,1,0,0,1,1,1,1,4,3,24,16,40
