,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,4
QUIME,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,5,4,9,6,15
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,4
RAVELO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ROBORE,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,3,4
SACABA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,1,0,0,1,0,2,0,6,14,1,18,6,7,13,23,29,63,92
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,6,11,12,14,26
SAN ANDRES,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,2,1,2,5,9,14
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,3
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,0,5,5,10
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,3,5,2,10,9,19
SAN IGNACIO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3,0,5,3,8
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,2,1,1,2,9,11
SAN JUAN DE YAPACANI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,3,0,4,5,9
SAN JULIAN,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,3,2,5
SAN RAMON BENI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
SAN RAMON SCZ,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,2,4
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,1,26,1,27
SAPAHAQUI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
SENA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,1,1,0,1,0,0,2,5,1,0,0,0,2,0,6,7,13
TARATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1,2,5,7
TARIJA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,3,2,7,6,13
TARVITA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,7,9,7,18,22,40
TOLATA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,2,1,4,4,12,12,24
TOMINA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,2,0,0,12,7,19
URUBICHA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,2,2,2,6,6,12
UYUNI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,2,2,2,5,10,13,18,31
VILA VILA,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,3
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3,4
VINTO,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,3,2,7,9
VITICHI,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
WARNES,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,4,3,14,1,3,4,5,10,12,19,38,57
YAMPARAEZ,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,5,6
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-02-01,0,0,0,0,0,0,0,0,0,0,12,30,3,8,0,0,0,2,5,6,20,46,66
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,1,15,17,23,22,45
ALALAY,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,3
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,3,6,9
APOLO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,4,4
ARAMPAMPA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,4,2,6
ASCENCION DE GUARAYOS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,3,5
ATOCHA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,6,6
AUCAPATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,5,0,5
BATALLAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
BAURES,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BETANZOS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,8,8
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,2,5,6,10,11,21
CAIROMA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,5,5
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,4
CAJUATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,6,5,11
CARANAVI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,2,0,0,0,1,1,1,1,0,2,0,0,0,5,5,9,9,18
CARAPARI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6,4,7,8,15
CARIPUYO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,3,5
CHAQUI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,4,2,10,0,1,0,3,10,4,13,23,36
CLIZA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,0,7,12,2,8,3,3,13,20,28,43,71
COBIJA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,4,2,6
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,1,6,4,5,5,10,6,37,27,61,43,104
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,3,4,13,7,19,26
"COLCHA ""K""",telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,2,4,6
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,2,1,2,0,2,10,3,2,5,5,7,6,21,24,45
CORO CORO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CORQUE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,5,1,8,3,11
COTOCA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,3,3,2,13,4,27,13,40
CUATRO CAÑADAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,1,0,1,0,3,4,12,1,3,3,4,5,4,13,28,41
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,2,4
CURVA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4,0,4
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,4,5
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,4
EL PUENTE(TJA),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,3,4,5,9
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
FERNANDEZ ALONSO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
GUANAY,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,5,5,10
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,3,1,3,2,3,2,4,3,2,10,15,25
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUARINA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ICHOCA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,2,1,7,3,10
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,4,1,5
LA PAZ,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,2,6,8
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LAS CARRERAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
LLALLAGUA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,2,1,1,5,1,2,4,4,3,6,12,18,30
LORETO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,0,1,2,7,9
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,3,0,13,13
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,0,3,2,4,8,16,24
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,1,3,4,7
MINEROS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,2,0,1,2,7,9
MIZQUE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,3
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,6
MOJINETE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,2,4
MONTEAGUDO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,0,4,2,1,7,10,17
OCURI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
OKINAWA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,0,0,1,3,0,2,1,0,0,2,2,0,5,7,12
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,3
PADCAYA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,2,1,0,1,4,1,0,5,0,6,6,15,12,27
PAILON,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,2,1,0,0,0,2,4,3,5,4,6,8,12,13,29,31,60
PAPEL PAMPA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,6,0,6
PATACAMAYA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,1,2,0,1,4,9,7,16
PELECHUCO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
POOPO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,1,6,7
POROMA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,3,3,2,3,4,9,13,22
PORONGO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,2,0,3,2,9,11
POTOSI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,4,1,5,2,1,2,8,3,2,5,20,13,33
PUERTO ACOSTA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,1,5,4,9
PUERTO RICO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,2,3,1,3,2,12,9,21
PUNA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,1,4,4,8
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,2,0,0,2,1,6,6,12
QUIME,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,3,6,4,11,7,18
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,3,1,3,3,2,7,13,20
RAVELO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,3,0,7,2,2,0,1,0,0,2,14,16
ROBORE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,1,1,0,0,1,4,5,0,1,2,1,1,1,8,10,18
SACABA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,1,0,2,2,4,8,5,11,1,11,22,22,36,54,90
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,3,2,5
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,2,1,3,2,2,5,11,16
SAN ANDRES,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,4,1,10,5,15
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,2,1,0,2,3,2,3,1,6,9,7,15,21,36
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,0,0,1,0,2,2,2,1,4,3,0,0,0,7,9,16
SAN JUAN DE YAPACANI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,6,3,9
SAN JULIAN,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,1,0,3,5,8
SAN LORENZO(PND),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,2,4,5,5,11,15,26
SAN LUCAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,1,3,1,5,8,13
SAN RAFAEL,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,6,6,12
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE HUARI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,5,5,10
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,0,1,0,11,2,13
SANTUARIO DE QUILLACAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2
SAPAHAQUI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
SENA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,1,3,2,1,0,6,9,15
SORATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SUCRE,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,3,5,8
TACACOMA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,0,3,5,8
TAHUA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,3,2,2,2,7,10,17
TARIJA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,1,5,6
TARVITA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,5,2,2,1,9,9,18
TOCO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TODOS SANTOS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
TOLATA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,2,1,0,7,5,11,12,23
TOMINA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,2,8,10
URIONDO (A. CONCEPCION),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,1,5,3,8
URUBICHA,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,4,0,7,3,10
UYUNI,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,4,7,4,1,2,3,3,10,14,22,36
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0,2,2,0,3,12,15
VILLA NUEVA (LOMA ALTA),telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLAZON,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,3,0,0,0,0,0,0,0,1,3,1,1,0,0,2,3,7,7,14
VINTO,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,3,2,1,5,6,3,7,2,5,6,16,18,38,56
WALDO BALLIVIAN,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
YAMPARAEZ,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,3,3,4,3,13,16
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,5,2,3,2,9,10,19
ACACIO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,5,7
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,1,0,1,1,0,1,1,4,3,6,3,9,4,15,13,36,49
ANCORAIMES,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,12,13,1,1,0,0,1,0,0,0,0,1,0,0,14,15,29
ANZALDO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
APOLO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,4,5
ASCENCION DE GUARAYOS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1,6,1,0,2,5,1,1,5,14,19
BELEN DE URMIRI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,3,5,4,5,8,9,9,10,9,11,33,40,73
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
