,group,variable,month,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 60 A MAS,NRO DE TELECONSULTAS N 60 A MAS,TOTALES,TOTALES,TOTALES
POROMA,telesalud,nro de teleconsultas n,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO ACOSTA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,5,2,7
QUIABAYA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,4,5
RAVELO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,4,4
RURRENABAQUE,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,4,0,4,0,5,2,24,26
SACABAMBA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,5
SAMAIPATA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,1,4,4,8
SAN BENITO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAN BORJA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LORENZO(PND),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,4,2,6
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SANTA ROSA DEL SARA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,1,3,2,7,7,5,9,29,7,14,15,7,34,21,75,86,161
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,1,0,1,2,0,0,0,0,3,0,11,1,2,0,0,3,4,6,22,28
SENA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,0,4,3,7
TACACOMA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,4,3,2,1,0,15,11,26
TAHUA,telesalud,nro de teleconsultas n,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
TARIJA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
TIAHUANACU,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
TOCO,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,4,3,7
TOLATA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,1,3,7,10
TOTORA(CBBA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,1,0,0,1,2,0,2,2,5,0,0,3,1,0,0,6,11,17
TUPIZA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,5,1,0,1,4,4,16,20
URUBICHA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,4,0,7,3,10
VILA VILA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,2,2,0,1,3,1,1,4,1,1,0,1,0,2,7,12,19
VILLA NUEVA (LOMA ALTA),telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
WARNES,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
YAMPARAEZ,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
YOTALA,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-03-01,0,0,0,0,0,0,0,0,0,1,4,6,2,6,0,0,2,1,1,5,9,19,28
ALALAY,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,5,4,6,10
ANCORAIMES,telesalud,nro de teleconsultas n,2024-04-01,1,0,0,1,0,2,0,3,0,1,0,1,1,1,0,0,0,0,0,0,2,9,11
ANDAMARCA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,6,2,0,0,0,0,0,1,0,5,0,0,1,1,1,1,8,10,18
APOLO,telesalud,nro de teleconsultas n,2024-04-01,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,4
ASCENCION DE GUARAYOS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,2,1,0,0,0,5,4,9
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,9,5,14
BERMEJO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,2,0,1,1,1,0,0,2,1,2,1,0,1,1,7,6,13
CABEZAS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CAJUATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,4,7
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,0,0,2,0,1,0,1,3,1,0,1,1,0,0,0,5,6,11
CAQUIAVIRI,telesalud,nro de teleconsultas n,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARACOLLO,telesalud,nro de teleconsultas n,2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CARAPARI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CARIPUYO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,5,6
CHAQUI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CHIMORE,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,4,0,0,0,0,0,0,12,4,0,0,4,0,0,0,4,8,20,28
CHUMA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COBIJA,telesalud,nro de teleconsultas n,2024-04-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COIPASA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"COLCHA ""K""",telesalud,nro de teleconsultas n,2024-04-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3
COLLANA,telesalud,nro de teleconsultas n,2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,2,6
COLQUIRI,telesalud,nro de teleconsultas n,2024-04-01,2,4,0,1,3,4,3,4,0,3,0,0,0,2,0,0,0,2,0,0,8,20,28
CORIPATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,3,6
CORO CORO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COROICO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CORQUE,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,2,0,3,5,8
CRUZ DE MACHACAMARCA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,5,7
CUATRO CAÑADAS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CULPINA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,3,6,6,12
CURAHUARA DE CARANGAS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,7,2,10,12
EL CHORO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,4
EL VILLAR,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
ESCARA,telesalud,nro de teleconsultas n,2024-04-01,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
FERNANDEZ ALONSO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,1,0,1,0,1,0,0,12,0,0,0,0,0,2,0,15,3,18
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleconsultas n,2024-04-01,2,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,6,11
GUANAY,telesalud,nro de teleconsultas n,2024-04-01,0,0,1,0,1,0,0,2,1,2,0,1,1,0,1,0,1,0,1,0,7,5,12
GUAQUI,telesalud,nro de teleconsultas n,2024-04-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GUAYARAMERIN,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,2,3,5
GUTIERREZ,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,5
HUACARETA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,4
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
HUARINA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
HUMANATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ICLA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
INQUISIVI,telesalud,nro de teleconsultas n,2024-04-01,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,5
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,3,3,0,7,5,12
JESUS DE MACHACA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,4,7,9,11,8,3,1,0,0,3,0,0,0,0,1,0,23,24,47
LA ASUNTA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,5,6
LA PAZ,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,3,4,221,249,226,257,483
LAJA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,2,4,5,7,12
LAS CARRERAS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
LORETO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,4,5,9
MACHARETI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,1,6,7
MAIRANA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
MECAPACA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,1,0,0,0,2,0,4,4,1,3,0,2,3,0,11,9,20
MOCOMOCO,telesalud,nro de teleconsultas n,2024-04-01,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,3,7
MONTEAGUDO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,1,0,1,0,0,0,4,1,7,0,1,1,0,0,14,2,16
MOROCHATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,1,5,1,3,1,2,1,6,3,1,2,0,0,0,1,19,10,29
OKINAWA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
OMEREQUE,telesalud,nro de teleconsultas n,2024-04-01,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
ORURO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
PAILON,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,4,6,0,0,0,0,4,3,0,0,4,8,6,4,5,4,23,25,48
PAPEL PAMPA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCOATA,telesalud,nro de teleconsultas n,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
POOPO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,8,7,0,0,0,0,2,0,0,4,0,0,2,0,0,0,12,12,24
POROMA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,8,3,11,14
PRESTO,telesalud,nro de teleconsultas n,2024-04-01,1,1,0,2,1,5,0,0,0,0,0,2,1,0,0,1,1,0,0,1,4,12,16
PUERTO CARABUCO,telesalud,nro de teleconsultas n,2024-04-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PUERTO RICO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
PUNATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,5,2,5,5,8,9,25,34
QUIABAYA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAMAIPATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN BENITO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
SAN BORJA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,2,0,0,3,4,7
SAN JAVIER(BNI),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,4
SAN JUAN DE YAPACANI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,5,6
SAN LORENZO(PND),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3
SAN PEDRO DE QUEMES,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAFAEL,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,0,4,2,1,2,0,0,2,21,0,3,1,5,6,1,15,34,49
SAN RAMON BENI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,3,2,0,0,0,5,4,9
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,5,1,0,0,0,0,0,0,0,12,1,1,1,0,2,3,9,17,26
SANTUARIO DE QUILLACAS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,4
SAPAHAQUI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SENA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,2,4
SIPE SIPE,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
SORACACHI,telesalud,nro de teleconsultas n,2024-04-01,1,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
TARATA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TARIJA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,6,0,0,0,7,6,13
TIAHUANACU,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
TOCO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,8,9,11,14,25
TODOS SANTOS,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
TOMINA,telesalud,nro de teleconsultas n,2024-04-01,4,2,7,11,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,95
TOTORA(CBBA),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,1,1,1,2,1,0,2,0,1,5,0,0,0,0,0,0,6,8,14
TUPIZA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,1,4,4,7,11
TURCO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
UNCIA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
VILA VILA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,3,2,5
VILLA SERRANO,telesalud,nro de teleconsultas n,2024-04-01,1,2,5,2,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,48
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,4,3,1,0,0,0,0,1,1,2,0,0,1,1,2,0,9,7,16
VILLAZON,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,4,4,23,1,2,0,5,0,4,7,39,46
VINTO,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
VITICHI,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,2,4,4,8
YACUIBA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
YOTALA,telesalud,nro de teleconsultas n,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,5,5
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-04-01,1,1,0,1,6,7,0,0,0,0,1,4,0,3,0,2,0,1,1,2,9,21,30
ANCORAIMES,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,2,6,8
ANDAMARCA,telesalud,nro de teleconsultas n,2024-05-01,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,3,6,9
APOLO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
AUCAPATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,3,2,5
AZURDUY,telesalud,nro de teleconsultas n,2024-05-01,3,2,4,3,21,27,8,6,1,2,0,0,1,4,0,2,0,0,1,0,39,46,85
BATALLAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,4,5
BELEN DE URMIRI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3
BERMEJO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,2,5,2,1,2,1,3,8,12,16,22,38
BETANZOS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3,5
CABEZAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,3,2,5
"CAIZA ""D""",telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
CAJUATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,1,0,0,2,3,3,3,1,0,1,1,0,0,8,8,16
CARAPARI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,0,1,0,0,1,2,2,1,0,0,2,0,1,5,6,11
CARIPUYO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,2,4,6
CHUQUIHUTA AYLLU JUCUMANI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,6,8,14
COLLANA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4
COLOMI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,3,3,6
COLQUIRI,telesalud,nro de teleconsultas n,2024-05-01,2,4,0,1,3,4,3,4,0,3,0,0,0,2,0,0,0,2,0,0,8,20,28
CORO CORO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,1,1,0,0,2,6,8
CORQUE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,1,6,7
CRUZ DE MACHACAMARCA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9
CULPINA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CURAHUARA DE CARANGAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,2,6,2,15,17
EL ALTO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
EL CHORO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL PUENTE(TJA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,3,2,2,3,11,14
EL VILLAR,telesalud,nro de teleconsultas n,2024-05-01,0,0,5,10,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,0,15,18,33
ESCOMA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
EXALTACION,telesalud,nro de teleconsultas n,2024-05-01,1,0,1,0,0,0,2,1,3,0,0,1,0,2,0,0,0,1,0,0,7,5,12
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
GUAQUI,telesalud,nro de teleconsultas n,2024-05-01,0,0,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
