,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
INCAHUASI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,3
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA ASUNTA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
MECAPACA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,3
MIZQUE,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2,5,7
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,3
MOJINETE,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OKINAWA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0,0,1,1,0,0,3,7,10
OMEREQUE,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PADCAYA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,3,1,3,6,9
PAILON,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,1,1,1,1,2,0,1,1,1,2,1,6,1,4,4,16,12,28
PELECHUCO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
POCOATA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
PUERTO PEREZ,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,1,1,2,1,2,1,2,3,9,6,12,8,10,20,38,58
PUNA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,0,5,3,8
SAN BENITO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,4,6
SAN JUAN DE YAPACANI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,3,5,2,1,1,5,1,2,5,3,4,1,3,0,19,17,36
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,3,5
SAN RAFAEL,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,4,2,1,2,0,0,2,21,0,3,1,5,6,1,15,34,49
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,1,1,3,6,9
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,11,0,11
SANTUARIO DE QUILLACAS,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
SAPAHAQUI,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,4
SUCRE,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,1,0,0,0,0,1,0,1,2,7,3,1,3,6,0,4,9,20,29
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,3
TURCO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,13,17,4,8,0,0,0,0,0,0,0,0,0,0,0,0,17,25,42
UNCIA,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,3,3,1,0,0,0,0,0,1,4,3,2,1,3,3,3,12,15,27
WARNES,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,2,0,0,0,4,4,8
YAMPARAEZ,telesalud,teledispositivos otoscopio,2024-04-01,0,0,0,0,0,3,0,0,1,1,0,1,2,2,0,2,0,2,3,2,6,13,19
APOLO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
AUCAPATA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,4
BETANZOS,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,6
CABEZAS,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,3,4,7
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CAMIRI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CARACOLLO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,4,5
CARIPUYO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,4,5
CHACARILLA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHUMA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,1,4,5,4,4,1,1,0,2,0,0,0,1,0,0,9,14,23
COLLANA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,5,4,9,8,17
COLOMI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
COLQUIRI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,5,7
CORO CORO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,5,8
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,3,0,0,4,3,5,11,16
CURVA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,4,7
EL CHORO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
ESCOMA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,6,8
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HUMANATA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,1,1,1,7,8
INCAHUASI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
INQUISIVI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLICA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5,5
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,3,5
MACHARETI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
MECAPACA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,2,5
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,8
MOJINETE,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PAILON,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,4,2,3,2,4,4,6,2,4,9,21,19,40
PELECHUCO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCOATA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4
POOPO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORCO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
POROMA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,4,5
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,3
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PUERTO GONZALO MORENO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUERTO PEREZ,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,2,0,0,1,0,0,3,10,0,6,0,0,7,2,12,19,31
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,1,1,3,4,7,2,1,3,1,4,6,5,7,4,2,13,14,36,42,78
PUNA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,2,2,6,5,11
SAN AGUSTIN,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,3,6
SAN BENITO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,5
SAN JUAN DE YAPACANI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,2,3,0,0,0,0,2,3,1,0,0,0,0,0,5,6,11
SAN RAFAEL,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,1,1,1,0,4,1,4,0,12,1,1,1,2,3,4,7,29,36
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,2,1,5,3,8
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,3
SANTUARIO DE QUILLACAS,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAPAHAQUI,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,1,2,0,9,3,12
SUCRE,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,1,1,3,0,0,0,2,0,6,0,3,0,4,3,3,4,22,26
TACACOMA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
TOMINA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,4,1,5
UMALA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
UNCIA,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,4,5,3,2,5,1,9,5,22,13,35
VALLEGRANDE,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,0,4,4,5,6,15,21
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
YAMPARAEZ,telesalud,teledispositivos otoscopio,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3
AIQUILE,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ANCORAIMES,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,2,5
APOLO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9
AUCAPATA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,3,4,7
CARACOLLO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,2,4,6
CARIPUYO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,4,2,6
CHAQUI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHUMA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CKOCHAS,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COLLANA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,2,7,9
COLOMI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLQUIRI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,6,6
CORIPATA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,1,2,1,3,7,10
CORO CORO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CORQUE,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,0,3,0,0,1,0,5,1,4,0,1,0,2,2,0,7,13,20
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,3,6,9
CURVA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,6
EL CHORO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3
EL VILLAR,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3
ESCOMA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,4
FERNANDEZ ALONSO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,6,8
HUACARETA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,5,5
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
HUMANATA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,6,8
INQUISIVI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,6,1,0,8,7,15
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
LA PAZ,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,1,5,1,14,5,19
LLICA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
MACHARETI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAIRANA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MECAPACA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,9
MIZQUE,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOJINETE,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,3
MONTEAGUDO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,1,3,6,9
OMEREQUE,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAILON,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,5,4,2,0,0,4,2,4,3,1,2,2,1,5,2,20,17,37
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
PUERTO GONZALO MORENO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
PUERTO PEREZ,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,4
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,1,2,1,3,2,0,2,4,5,2,5,4,3,6,5,21,24,45
PUNA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
QUIABAYA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,1,2,0,5,4,9
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,3,4,7
SAN BENITO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3,4,7
SAN CARLOS,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,2,3,0,0,0,0,1,2,0,0,0,0,0,0,3,5,8
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN RAFAEL,telesalud,teledispositivos otoscopio,2024-06-01,0,0,1,0,1,0,3,1,1,0,0,4,3,11,0,5,2,2,0,0,11,23,34
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,1,4,5,9
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,7,0,19,19
SANTUARIO DE QUILLACAS,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAPAHAQUI,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,4,5
SORATA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,1,1,0,8,2,12,8,20
TACACOMA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,3,3,6
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,4
UMALA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2
VILA VILA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,1,2,0,0,2,4,11,15
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,4
