,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,TOTALES,TOTALES,TOTALES
GUANAY,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,15
HUARINA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HUMANATA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,3,0,3,0,0,0,0,0,4,0,14,0,1,0,0,0,0,0,25,25
IRUPANA (VILLA DE LANZA),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,2,5,7
LA GUARDIA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,4,5
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,3,1,4,5,9
LORETO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,4,3,7
MIZQUE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,2,2,4,6,13,19
MOCOMOCO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MOJOCOYA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,5,6
MONTEAGUDO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,3
ORURO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,6,10,7,14,21
PAMPA AULLAGAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PELECHUCO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,2,3,5
POOPO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,1,3,3,8,11
PORONGO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,4,5
PUERTO ACOSTA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
PUNATA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,4
QUIABAYA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
QUIME,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
RAVELO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
RURRENABAQUE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,1,1,2,6,5,12,10,22
SACABA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN ANDRES,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SAN BENITO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0,5,4,9
SAN IGNACIO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN JAVIER(BNI),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JUAN DE YAPACANI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN PABLO DE LIPEZ,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3
SAPAHAQUI,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
SENA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SIPE SIPE,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,3,5
SORATA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TARIJA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,5,6
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TOCO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TOLATA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,3
TUPIZA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
VIACHA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,6
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,3,3,5,8
VINTO,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,5,0,5
YAMPARAEZ,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
YOTALA,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
ZUDAÑEZ,telesalud,nro de teleinterconsultas generadas s,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,3,3,6
ACHOCALLA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3
AIQUILE,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,2,4,6
ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,2,2,3,7,10
APOLO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ARAMPAMPA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,4,2,6
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,4
AUCAPATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BATALLAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
BELLA FLOR,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BETANZOS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
BOLPEBRA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOYUIBE,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4
CAMARGO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,3,3,4,1,6,8,1,1,1,0,0,3,1,4,0,1,1,0,3,6,20,27,47
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,4
CAMIRI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CARANAVI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CHAQUI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHIPAYA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
COBIJA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
COLCAPIRHUA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,2,5
COLLANA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,4,5
COLQUECHACA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
COLQUIRI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
CONCEPCION,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CORIPATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,3,1,1,2,10,12
EL CHORO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,4
EL PUENTE(STC),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
EL VILLAR,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
GENERAL SAAVEDRA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUANAY,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
GUTIERREZ,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
HUMANATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3
IRUPANA (VILLA DE LANZA),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,4,3,7
LA GUARDIA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
LAJA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,3
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,2,1,1,4,6,10
MACHARETI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
MAIRANA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
MECAPACA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
MINEROS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MOCOMOCO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,3,5
MONTEAGUDO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,36,27,3,1,1,0,5,4,4,13,8,4,4,8,7,10,68,67,135
NACEBE (SANTA ROSA DEL ABUNA),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,6,7
PATACAMAYA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,2,5
PELECHUCO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POCOATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POOPO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,3,8,7,15
POROMA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,8,10
PORONGO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PUERTO SUAREZ,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,4,5
QUIABAYA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
QUIME,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
RAVELO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
SACABA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,3,12,15
SAMAIPATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,5,4,8,8,16
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3
SAN BENITO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,3,3,6
SAN JUAN DE YAPACANI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE QUEMES,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,3,4
SAN PEDRO(PND),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,4,5
SAN RAMON BENI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE MACHACA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,4,6
SAPAHAQUI,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SIPE SIPE,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,4
SOPACHUY,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
SORATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TARIJA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
TOCO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TOLATA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TRINIDAD,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TUPIZA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,3
TURCO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3
VACAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,8,8
VIACHA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,1,4,7,11
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,4,5,9
VILLA MONTES,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,0,1,3,1,10,12,22
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,3
VINTO,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
WALDO BALLIVIAN,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,8,10,6,9,0,0,0,0,1,0,1,0,0,0,16,19,35
WARNES,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
YOTALA,telesalud,nro de teleinterconsultas generadas s,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,7,8
ACHOCALLA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,2,5
AIQUILE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0,1,0,2,6,8
ANZALDO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
APOLO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARAMPAMPA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ATOCHA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
AUCAPATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AZURDUY,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,0,0,0,0,0,7,12,19
BATALLAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,3,4
BELEN DE ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,4,5
BETANZOS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,1,5
