,group,variable,month,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TOTALES,TOTALES,TOTALES
ANDAMARCA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,3,6,9
APOLO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,5,0,28,1,1,1,2,0,2,3,38,41
ASCENCION DE GUARAYOS,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,2,1,2,0,0,4,8,12
AUCAPATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,4,5,9
BOYUIBE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,3,4,4,7,3,1,3,12,14,24,29,53
CAIROMA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,5,5,4,2,5,0,1,1,3,8,18,26
"CAIZA ""D""",telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,5
CAJUATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,6,5,11
CARANAVI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,2,0,0,0,1,1,1,1,0,2,0,0,0,5,5,9,9,18
CARAPARI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6,4,7,8,15
CARIPUYO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,4,0,0,0,0,0,3,0,0,3,0,0,4,4,3,1,3,6,0,2,17,16,33
CHIMORE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,4,2,10,0,1,0,3,10,4,13,23,36
CHIPAYA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,7,15,0,2,1,4,2,4,10,26,36
CHOQUE COTA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,1,0,0,0,9,9
CHUMA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,6,2,8
COLCAPIRHUA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,4,1,3,5,19,11,29,40
"COLCHA ""K""",telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,4,2,8,10
COLQUIRI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,5
CONCEPCION,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,2,2,0,0,3,1,2,0,3,12,3,2,5,6,10,11,28,34,62
CORIPATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,5,4,7,9,16
CORO CORO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,1,2,6,0,0,0,4,4,5,7,17,24
COTOCA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,3,5,5,80,3,31,3,12,13,7,27,135,162
CURVA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,4,1,7,2,9
EL PUENTE(TJA),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,2,3,4,6,9,16,25
EL VILLAR,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,0,1,0,0,10,18,28
ESCOMA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,2,5
EUREKA (SANTOS MERCADO),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,21,0,6,0,7,1,1,0,0,0,35,1,36
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
GUANAY,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,5,5,10
GUAQUI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,4,5
HUACARETA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,3,5
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,0,2,0,2,1,6,1,1,0,1,0,0,3,12,15
HUMANATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,3,4,5,9
ICHOCA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,1,0,1,0,2,2,2,6,0,0,0,0,6,1,12,10,22
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,4,1,5
LA PAZ,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,1,5,1,1,9,12,19,31
LAS CARRERAS,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,2,4,6
LLALLAGUA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,1,0,2,1,1,5,1,2,4,3,3,3,12,14,26
MACHARETI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,5,0,3,2,13,15
MAIRANA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,28,4,15,1,8,3,9,11,60,71
MECAPACA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,2,4,7,1,3,3,1,2,1,11,15,26
MIZQUE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,2,2,5,7
MOJINETE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,3,5
MOJOCOYA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,4,0,13,3,22,0,3,0,0,2,5,5,47,52
MONTEAGUDO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,5,0,4,4,2,9,14,23
OKINAWA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,1,0,2,4,0,7,1,0,1,3,2,0,8,14,22
ORURO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,1,0,0,1,1,1,1,0,0,1,3,2,23,0,8,1,7,7,18,13,62,75
PAILON,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,5,12,9,8,4,6,8,19,8,12,34,57,91
PELECHUCO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,2,0,2,0,7,6,13
PORCO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,5,6
PUERTO ACOSTA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,0,0,3,1,3,10,2,3,3,2,3,2,15,18,33
PUERTO PEREZ,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,2,8,1,0,1,0,1,1,5,11,16
PUERTO RICO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,1,0,0,0,1,1,0,1,2,2,3,2,3,1,3,2,13,9,22
QUIABAYA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,2,0,0,2,1,6,6,12
QUIME,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,2,0,8,5,15,12,27
QUIRUSILLAS,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,1,0,1,0,0,1,5,1,7,5,5,8,6,15,25,40
RAVELO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,17,0,37,2,33,0,20,0,0,2,109,111
ROBORE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,2,0,1,0,1,3,7,10
SACABAMBA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,3,2,5
SAMAIPATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,1,0,0,0,0,2,2,5,5,6,1,7,3,2,1,22,13,35
SAN BENITO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,1,0,1,0,2,6,10,16
SAN IGNACIO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,3,4,2,2,3,9,11,20
SAN JUAN DE YAPACANI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,6,5,4,1,1,4,3,15,2,1,4,3,10,7,30,36,66
SAN LORENZO(PND),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,2,7,5,0,11,13,24
SANTIAGO DE HUARI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,5,9,6,15
SANTIAGO DE MACHACA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,2,2,6,6,12
SIPE SIPE,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,2,2,1,0,0,0,0,0,0,0,2,0,2,3,3,4,5,12,15,21,36
SORATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,1,1,0,2,6,8
TAHUA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TIAHUANACU,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,7,2,7,16,23
TODOS SANTOS,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
TOLATA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,1,2,1,1,0,3,5,18,4,7,2,4,12,14,25,49,74
TOMINA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,2,4,6,7,19,16,14,22,7,6,48,56,104
TURCO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
UYUNI,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,1,1,0,4,7,4,1,2,3,3,10,14,22,36
VILA VILA,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,3,4
VILLA CHARCAS,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0,2,2,0,3,12,15
VILLA NUEVA (LOMA ALTA),telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,0,2,6,8
VILLA SERRANO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
VINTO,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,3,2,1,5,6,3,7,2,5,6,16,18,38,56
WALDO BALLIVIAN,telesalud,teledispositivos monitor de signos vitales,2024-03-01,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,3,3,6
WARNES,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,26,8,0,0,38,14,52
YAMPARAEZ,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,4
ZUDAÑEZ,telesalud,teledispositivos monitor de signos vitales,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,7,5,2,5,4,12,21,33
ANCORAIMES,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,12,13,1,1,0,0,1,0,0,0,0,1,0,0,14,15,29
ANDAMARCA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
APOLO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,1,0,1,0,0,0,0,0,1,1,1,1,2,7,0,2,0,0,0,0,6,11,17
ASCENCION DE GUARAYOS,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,1,2,4,0,1,1,2,0,1,3,10,13
AUCAPATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,1,2,0,3,0,5,3,1,1,0,1,1,0,1,0,0,0,2,0,15,6,21
BETANZOS,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,2,0,5,11,9,16,25
BOLPEBRA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,3,4,7
BOYUIBE,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,6,0,4,2,0,0,4,0,0,6,2,2,0,1,10,3,26,14,40
"CAIZA ""D""",telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,4
CAJUATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,0,2,2,6,8,1,2,0,1,0,0,3,0,12,14,26
CAMIRI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,2,2,1,8,3,11
CAQUIAVIRI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,3
CARANAVI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,1,2,1,1,1,2,3,2,3,1,2,8,9,16,21,37
CARIPUYO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,2,0,0,0,0,0,0,0,0,0,0,1,3,9,0,1,0,1,2,4,7,16,23
CHACARILLA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,2,8,8,4,7,2,8,1,0,0,0,0,0,1,0,0,0,16,25,41
CHIMORE,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,3,1,2,2,3,4,3,6,0,2,5,5,16,20,36
CHIPAYA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4
CHOQUE COTA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,2,2,4,6,10
CHUMA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
COLCAPIRHUA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,1,0,1,1,0,1,3,5,2,7,6,7,11,21,24,42,66
"COLCHA ""K""",telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,4,3,7
COLQUIRI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,4,8,6,0,19,25,22,45,10,10,0,0,0,6,0,0,8,6,0,1,69,101,170
CONCEPCION,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,7,8,5,3,2,2,6,3,21,16,37
CORIPATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,1,0,4,1,4,1,6,3,5,0,0,2,1,6,1,2,1,0,3,5,26,20,46
CORO CORO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,1,1,12,22,0,23,1,4,0,4,0,1,0,2,9,2,23,59,82
COTOCA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,1,1,43,4,18,6,11,7,10,20,83,103
CULPINA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL CHORO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,4,2,6
EL VILLAR,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,2,6,20,33,0,0,0,0,0,0,7,11,7,15,12,13,14,12,62,90,152
ESCOMA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,1,13,0,0,1,0,0,0,0,0,0,1,0,14,3,17
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,6,4,7,11
GUANAY,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,1,0,0,0,2,0,0,3,5,4,4,2,4,4,4,5,20,18,38
GUAQUI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3,4
HUACARETA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,7,2,9,11
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,0,1,6,7
HUMANATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,1,1,10,17,2,16,1,5,1,0,0,2,0,2,1,1,16,44,60
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,2,0,0,3,0,7,7,14
JESUS DE MACHACA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,2,6,5,6,1,1,1,0,9,0,0,0,0,0,1,13,19,32
LA ASUNTA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,3,1,0,1,6,6,3,4,1,3,1,1,3,14,0,6,3,3,2,3,22,42,64
LAJA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,4,0,0,0,3,0,5,0,0,1,0,0,3,0,0,5,2,6,11,12,28,40
LAS CARRERAS,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,2,4
LLALLAGUA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,5,1,7,5,3,17,15,32
LORETO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
MACHARETI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,2,0,0,2,3,5,9,14
MAIRANA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,2,7,28,2,17,1,20,8,2,19,70,89
MECAPACA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,3,1,4,5,1,3,0,0,1,1,0,1,3,1,12,1,24,13,37
MONTEAGUDO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
MOROCHATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,3,2,5
OKINAWA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,1,0,1,0,24,0,0,7,1,0,1,3,2,0,30,10,40
OMEREQUE,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,4,0,0,2,0,0,1,1,0,1,0,3,3,1,7,5,1,4,7,17,23,40
PAILON,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,2,3,1,8,6,1,2,3,4,6,4,6,19,27,46
PATACAMAYA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,3,2,5
PELECHUCO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,4,3,7
PUERTO CARABUCO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,1,0,1,0,0,1,1,1,0,2,1,0,0,1,0,0,4,5,9
PUERTO PEREZ,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,5,0,2,1,1,0,0,0,10,1,1,1,2,4,1,7,22,29
PUERTO RICO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,1,2,0,7,3,10
QUIABAYA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
QUIME,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,3,2,0,11,7,18,22,40
RAVELO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,6,0,5,3,0,9,15,24
ROBORE,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,2,1,2,4,9,13
SACABA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,1,4,3,4,4,12,7,10,6,15,5,13,26,58,84
SACABAMBA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,12,0,0,10,0,10,18,28
SAMAIPATA,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,2,5,4,3,7,12,8,5,23,25,48
SAN BENITO,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,15,16,18,11,0,0,1,2,7,17,9,7,8,9,1,3,59,65,124
SAN JAVIER(BNI),telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,4,5
SAN JUAN DE YAPACANI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,3,5,2,1,1,5,1,2,5,3,4,1,3,0,19,17,36
SAN JULIAN,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,4,3,7
SAN LORENZO(PND),telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,4,0,7,3,10
SAN PABLO DE LIPEZ,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,2,0,0,0,4,6,10
SAN RAFAEL,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,1,0,4,2,1,2,0,0,2,21,0,3,1,5,6,1,15,34,49
SANTIAGO DE HUARI,telesalud,teledispositivos monitor de signos vitales,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,1,1,3,6,9
