,group,variable,month,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS FUERA,17.23 COVID-19 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COCHABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,171,178,170,140,341,318,659
COLCAPIRHUA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,33,27,36,28,64
"COLCHA ""K""",otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,2,0,0,9,2,11
COLLANA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,3,29,19,29,22,51
COLOMI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,9,8,8,11,17,28
COLPA BELGICA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,0,0,2,0,2
COLQUECHACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,6,4,9,9,15,24
COLQUENCHA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,2,4,4,4,8
COLQUIRI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,11,1,2,5,13,6,19
COMANCHE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,5,3,5,8
COMBAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,1,1,2,3,5
CONCEPCION,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,6,1,0,8,6,14
COPACABANA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,0,6,2,8,10
CORIPATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,8,20,2,9,10,29,39
CORO CORO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,7,5,8,5,13
COROICO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,5,2,0,7,5,12
CORQUE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,12,6,0,0,12,6,18
COTAGAITA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,4,4,5,5,9,14
COTOCA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,37,30,5,5,42,35,77
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,3,0,0,1,3,4
CUATRO CAÑADAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,5,3,0,7,5,12
CUEVO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,3,4,4,4,8
CULPINA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,3,6,4,7,7,14
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,3,16,0,25,3,28
CURVA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,4,9,10,10,14,24
DESAGUADERO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,0,0,2,3,2,5
EL ALTO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,262,281,240,186,502,467,969
EL CHORO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,5,3,6,4,10
EL PUENTE(STC),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,0,0,0,1,1
EL PUENTE(TJA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,2,3,3,4,7
EL TORNO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,9,3,0,8,9,17
ENTRE RIOS TRJ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,2,2,0,6,2,8
ENTRE RIOS CBBA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,18,10,26,16,44,26,70
ESCOMA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,9,2,10,11,19,30
EUCALIPTUS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
EXALTACION,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,0,3,0,3
FERNANDEZ ALONSO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,2,0,0,4,2,6
FILADELFIA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,1,10,11,12,12,24
GENERAL SAAVEDRA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,0,0,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,3,20,21,23,24,47
GUANAY,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,5,3,3,3,8,11
GUAQUI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,1,1,2,3,5
GUAYARAMERIN,otras vacunaciones,covid-19 1ra dosis,2023-03-01,11,10,2,1,13,11,24
HUACARETA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,0,0,2,0,2
HUANUNI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,14,15,0,0,14,15,29
HUARINA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,6,0,0,9,6,15
HUATAJATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,9,10,9,10,19
HUMANATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,5,11,5,11,16
ICHOCA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,6,6,6,8,14
INCAHUASI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,8,7,10,9,19
INQUISIVI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,2,1,1,8,3,11
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,3,2,2,4,5,9
IXIAMAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,4,11,6,13,19
JESUS DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,2,5,2,8,4,12
LA ASUNTA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,14,6,34,39,48,45,93
LA GUARDIA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,42,30,0,2,42,32,74
LA PAZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,132,161,221,218,353,379,732
LA RIVERA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
LAJA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,8,9,7,9,15,18,33
LICOMA PAMPA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,0,1,2,1,3
LLALLAGUA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,20,32,43,60,63,92,155
LLICA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
LORETO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,0,0,1,0,1
LURIBAY,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,1,26,19,28,20,48
MACHACAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
MACHARETI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,2,1,0,6,2,8
MAIRANA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,1,1,2,2,4
MALLA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,3,2,3,5
MAPIRI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,0,2,0,2
MECAPACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
MINEROS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,7,0,0,5,7,12
MIZQUE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,10,8,11,8,19
MOCOMOCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,4,32,22,35,26,61
MOJOCOYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,0,6,2,11,2,13
MONTEAGUDO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,0,0,3,1,4
MONTERO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,67,20,66,13,133,33,166
MORO MORO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,4,4,4,5,9
MOROCHATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,6,4,7,4,11
NAZACARA DE PACAJES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,0,1,1,2,3
OCURI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,1,5,2,5,7
OKINAWA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,2,1,3,1,4
OMEREQUE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,5,2,5,7
ORURO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,87,87,9,9,96,96,192
PADCAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,3,2,1,2,4,6
PADILLA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,3,2,1,5,4,9
PAILON,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,0,0,2,0,2
PALCA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,0,2,0,2
PALOS BLANCOS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,8,42,36,49,44,93
PAMPA GRANDE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,1,1,2,2,4
PAPEL PAMPA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,3,2,1,5,4,9
PASORAPA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
PATACAMAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,32,31,102,85,134,116,250
PAZÑA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
PELECHUCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,6,5,7,4,13,9,22
POCOATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,0,1,0,2,2
POCONA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,3,9,6,16,9,25
POJO (CBBA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,4,1,1,3,5,8
POOPO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,7,0,0,2,7,9
POROMA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,11,9,3,4,14,13,27
PORONGO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,6,3,0,0,6,3,9
PORTACHUELO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,2,2,5,3,8
PORVENIR,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,5,2,5,7
POSTRER VALLE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,0,0,3,1,4
POTOSI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,50,54,5,3,55,57,112
PRESTO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,0,2,0,4,4
PUCARANI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,14,6,26,30,40,36,76
PUERTO ACOSTA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,8,8,11,9,20
PUERTO CARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,51,18,51,20,71
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,6,9,7,9,16
PUERTO PEREZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,1,1,1,2,3
PUERTO QUIJARRO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,5,0,0,5,5,10
PUERTO RICO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,4,4,0,4,4,8
PUERTO SILES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,1,2,1,3
PUERTO SUAREZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,12,15,14,24,26,50
PUNA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,1,1,2,2,4
PUNATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,16,12,12,6,28,18,46
QUIABAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,1,2,1,2,3
QUILLACOLLO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,52,52,74,60,126,112,238
QUIME,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,3,3,3,6
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,8,12,27,22,35,34,69
RAVELO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,3,8,10,15,13,28
REYES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,34,19,0,2,34,21,55
ROBORE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,4,2,0,4,4,8
RURRENABAQUE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,2,24,0,28,2,30
SABAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,0,0,2,2,4
SACABA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,55,47,102,94,157,141,298
SACABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,6,10,6,11,17
SACACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,1,1,2,3,5
SAIPINA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,2,3,2,5,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,4,5,5,6,11
SAMAIPATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,2,2,2,4
SAN ANDRES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,0,0,2,2,4
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,6,5,6,6,12
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,0,0,0,1,1
SAN BENITO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,9,0,0,7,9,16
SAN BORJA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,3,2,4,6,7,13
SAN BUENA VENTURA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,15,16,15,17,32
SAN CARLOS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,10,7,5,0,15,7,22
SAN IGNACIO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,20,12,19,0,39,12,51
SAN JAVIER(STC),otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,6,0,0,2,6,8
SAN JOAQUIN,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,3,5,1,5,4,9
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,8,0,0,2,8,10
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,1,0,2,2,3,5
SAN JULIAN,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,3,6,13,13,16,29
SAN LORENZO(PND),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,4,4,4,4,8
SAN LUCAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,6,3,4,7,10,10,20
SAN MATIAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,5,0,1,3,6,9
SAN PEDRO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,42,26,30,32,72,58,130
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,2,0,1,3,3,6
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,8,13,3,5,11,18,29
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,3,8,3,9,6,15
SAN PEDRO(PND),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,8,3,8,3,11
SAN RAMON BENI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,4,0,0,3,4,7
SAN RAMON SCZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,395,369,89,108,484,477,961
SANTA ROSA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,0,0,0,5,0,5
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,1,0,1,2,3
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,0,3,3,7,3,10
SANTIAGO DE HUARI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,6,9,7,9,16
SANTIAGO DE HUATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,9,8,9,8,17
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,2,3,2,5
SANTIVAÑES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,1,0,0,5,1,6
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,11,7,11,7,18
SAPAHAQUI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,2,0,0,4,2,6
SENA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,21,29,9,18,30,47,77
SHINAOTA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,5,41,7,42,12,54
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,10,3,0,8,10,18
SICAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,3,13,11,20,14,34
SOPACHUY,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
SORACACHI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,0,0,0,1,1
SORATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,2,2,6,9,8,17
SUCRE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,56,45,43,55,99,100,199
TACACHI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,10,5,11,5,16
TACACOMA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,5,0,0,5,5,10
TACOBAMBA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,1,1,1,1,2
TACOPAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,16,19,52,39,68,58,126
TAHUA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,2,2,2,2,4
TAPACARI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,16,35,31,44,47,91
TARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,1,0,0,4,1,5
TARACO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,12,3,0,12,12,24
TARATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,5,0,5,1,6
TARIJA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,34,14,0,0,34,14,48
TARVITA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,8,6,8,8,16,24
TEOPONTE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,5,9,8,12,13,25
TIAHUANACU,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,3,0,0,4,3,7
TINGUIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,0,2,4,5,4,9
TIPUANI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,2,2,6,8,8,10,18
TIQUIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,25,38,24,28,49,66,115
TIRAQUE (CBBA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,12,8,8,7,20,15,35
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,1,6,2,8,10
TOCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,10,2,3,9,13,22
TOLATA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,15,3,15,3,18
TOLEDO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,3,1,1,2,4,6
TOMAVE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,7,6,7,6,13
TOMINA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,5,2,4,5,9,14
TORO TORO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,0,0,1,0,1
TOTORA(CBBA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,3,28,32,31,35,66
TOTORA(ORR),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,covid-19 1ra dosis,2023-03-01,26,21,72,28,98,49,147
TUPIZA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,3,0,2,0,5,5
TURCO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,6,1,0,0,6,1,7
UMALA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,4,2,8,8,12,10,22
UNCIA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,11,5,8,3,19,8,27
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,3,0,0,0,3,3
URUBICHA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,0,3,0,3
UYUNI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,9,1,10,2,12
VACAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,5,5,0,10,5,15
VALLEGRANDE,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,1,2,5,5,6,11
VILA VILA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,1,2,0,2,1,3
VILLA CHARCAS,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,0,1,0,1,1
VILLA MONTES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,7,7,27,2,34,9,43
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,21,13,21,13,34
VILLA RIVERO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,4,0,0,5,4,9
VILLA SERRANO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,3,3,3,6
VILLA TUNARI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,9,16,61,37,70,53,123
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,3,2,4,3,7
VILLAZON,otras vacunaciones,covid-19 1ra dosis,2023-03-01,17,18,15,12,32,30,62
VINTO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,26,29,13,18,39,47,86
VITICHI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,covid-19 1ra dosis,2023-03-01,23,18,37,25,60,43,103
YACO,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,5,10,5,11,10,21
YACUIBA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,5,4,46,6,51,10,61
YAMPARAEZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,2,3,0,3,2,5
YANACACHI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,3,2,19,20,22,22,44
YAPACANI,otras vacunaciones,covid-19 1ra dosis,2023-03-01,21,19,1,1,22,20,42
YOCALLA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,6,1,0,0,6,1,7
YOTALA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,2,0,0,1,2,3
YUNCHARA,otras vacunaciones,covid-19 1ra dosis,2023-03-01,0,0,3,0,3,0,3
ZUDAÑEZ,otras vacunaciones,covid-19 1ra dosis,2023-03-01,1,1,4,13,5,14,19
ACACIO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,0,0,0,1,0,1
ACHACACHI,otras vacunaciones,covid-19 1ra dosis,2023-04-01,5,25,29,42,34,67,101
ACHOCALLA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,9,24,29,33,38,57,95
AIQUILE,otras vacunaciones,covid-19 1ra dosis,2023-04-01,3,2,10,17,13,19,32
ALALAY,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,1,0,1,0,2,2
ALTO BENI,otras vacunaciones,covid-19 1ra dosis,2023-04-01,5,7,1,2,6,9,15
ANCORAIMES,otras vacunaciones,covid-19 1ra dosis,2023-04-01,2,3,6,9,8,12,20
ANDAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,2,21,19,22,21,43
ARANI,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,5,2,4,2,9,11
ARBIETO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,1,2,6,3,7,10
ARQUE,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,1,20,22,21,23,44
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,1,0,0,1,1,2
ATOCHA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,5,3,5,3,8
AUCAPATA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,0,2,0,2,2
AYATA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,4,6,2,2,6,8,14
AYO AYO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,4,15,22,15,26,41
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 1ra dosis,2023-04-01,19,10,31,20,50,30,80
AZURDUY,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,0,2,1,3,1,4
BATALLAS,otras vacunaciones,covid-19 1ra dosis,2023-04-01,9,9,4,7,13,16,29
BAURES,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,1,8,1,8,9
BELEN DE URMIRI,otras vacunaciones,covid-19 1ra dosis,2023-04-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,9,13,9,13,22
BERMEJO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,3,0,0,3,3,3,6
BETANZOS,otras vacunaciones,covid-19 1ra dosis,2023-04-01,3,3,3,7,6,10,16
BOLIVAR,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,1,11,13,11,14,25
BOYUIBE,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,3,10,1,10,4,14
BUENA VISTA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,3,1,2,3,5,4,9
CAIROMA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,4,7,15,15,19,22,41
"CAIZA ""D""",otras vacunaciones,covid-19 1ra dosis,2023-04-01,2,1,1,1,3,2,5
CAJUATA,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,1,2,3,2,4,6
CALACOTO,otras vacunaciones,covid-19 1ra dosis,2023-04-01,0,0,4,8,4,8,12
