,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
PAMPA AULLAGAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,1,1,1,3,2,5
PAMPA GRANDE,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,1,3,2,3,5
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,6,7,5,9,11,20
PASORAPA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,27,28,31,36,58,64,122
PAZÑA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,1,0,1,1
PELECHUCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,6,6,9,11,15,17,32
POCOATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
POCONA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,6,10,7,11,18
POJO (CBBA),otras vacunaciones,covid-19 2da dosis,2023-03-01,3,2,8,6,11,8,19
POOPO,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,4,0,0,2,4,6
PORCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
POROMA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,3,3,3,3,6
PORONGO,otras vacunaciones,covid-19 2da dosis,2023-03-01,7,5,0,1,7,6,13
PORTACHUELO,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,2,5,4,7,6,13
PORVENIR,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,1,0,2,0,2
POSTRER VALLE,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,covid-19 2da dosis,2023-03-01,34,52,15,18,49,70,119
PRESTO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,1,0,2,2
PUCARA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,covid-19 2da dosis,2023-03-01,18,11,29,25,47,36,83
PUERTO ACOSTA,otras vacunaciones,covid-19 2da dosis,2023-03-01,3,5,5,1,8,6,14
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,59,11,59,12,71
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 2da dosis,2023-03-01,3,1,1,5,4,6,10
PUERTO PEREZ,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,covid-19 2da dosis,2023-03-01,9,4,0,0,9,4,13
PUERTO RICO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,16,6,16,7,23
PUERTO SILES,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,1,3,1,3,4
PUERTO SUAREZ,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,3,0,0,1,3,4
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis,2023-03-01,10,7,32,19,42,26,68
PUNA,otras vacunaciones,covid-19 2da dosis,2023-03-01,5,3,2,1,7,4,11
PUNATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,8,4,4,10,12,14,26
QUIABAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,10,10,10,10,20
QUILLACOLLO,otras vacunaciones,covid-19 2da dosis,2023-03-01,62,50,86,100,148,150,298
QUIME,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,2,3,2,3,5
QUIRUSILLAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,0,0,1,0,1
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 2da dosis,2023-03-01,7,6,15,20,22,26,48
RAVELO,otras vacunaciones,covid-19 2da dosis,2023-03-01,5,4,4,3,9,7,16
REYES,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,covid-19 2da dosis,2023-03-01,16,21,1,1,17,22,39
ROBORE,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,13,1,1,3,14,17
RURRENABAQUE,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,129,0,130,1,131
SACABA,otras vacunaciones,covid-19 2da dosis,2023-03-01,60,81,95,97,155,178,333
SACABAMBA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,5,11,5,12,17
SACACA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,1,2,1,2,3
SAIPINA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,4,5,5,5,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,1,0,1,1
SAMAIPATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,2,0,2,1,3
SAN ANDRES,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,1,0,0,2,1,3
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,7,3,7,3,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,5,1,5,1,6
SAN BENITO,otras vacunaciones,covid-19 2da dosis,2023-03-01,8,9,0,0,8,9,17
SAN BORJA,otras vacunaciones,covid-19 2da dosis,2023-03-01,7,6,0,0,7,6,13
SAN BUENA VENTURA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,10,9,10,9,19
SAN CARLOS,otras vacunaciones,covid-19 2da dosis,2023-03-01,6,2,2,0,8,2,10
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,2,0,2,1,3
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,15,7,54,0,69,7,76
SAN JAVIER(STC),otras vacunaciones,covid-19 2da dosis,2023-03-01,8,8,0,0,8,8,16
SAN JOAQUIN,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,2,4,1,4,3,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 2da dosis,2023-03-01,3,5,0,0,3,5,8
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,1,0,0,2,1,3
SAN JULIAN,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,9,5,3,6,12,18
SAN LORENZO(PND),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,3,3,3,3,6
SAN LORENZO(TJA),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
SAN LUCAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,1,6,5,8,6,14
SAN MATIAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,2,1,0,1,2,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-03-01,9,3,2,8,11,11,22
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 2da dosis,2023-03-01,3,0,0,0,3,0,3
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,3,20,15,22,18,40
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,3,4,4,6,7,13
SAN PEDRO(PND),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,8,8,8,8,16
SAN RAFAEL,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,14,0,0,1,14,15
SAN RAMON SCZ,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis,2023-03-01,457,475,86,108,543,583,1126
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,0,0,1,0,1
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis,2023-03-01,9,5,1,3,10,8,18
SANTIAGO DE HUARI,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,7,5,8,6,14
SANTIAGO DE HUATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,2,7,6,8,8,16
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,3,2,3,2,5
SANTIVAÑES,otras vacunaciones,covid-19 2da dosis,2023-03-01,4,2,0,0,4,2,6
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,14,4,14,4,18
SAPAHAQUI,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,4,0,4,2,8,10
SENA,otras vacunaciones,covid-19 2da dosis,2023-03-01,15,39,4,16,19,55,74
SHINAOTA,otras vacunaciones,covid-19 2da dosis,2023-03-01,4,4,102,2,106,6,112
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis,2023-03-01,6,6,2,3,8,9,17
SICAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,1,1,1,1,2
SIPE SIPE,otras vacunaciones,covid-19 2da dosis,2023-03-01,5,4,26,14,31,18,49
SORATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,2,5,2,6,4,10
SUCRE,otras vacunaciones,covid-19 2da dosis,2023-03-01,45,42,42,56,87,98,185
TACACHI,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,1,1,2,3
TACACOMA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
TACOBAMBA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,3,0,3,3
TACOPAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,4,2,28,33,32,35,67
TAHUA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,2,0,2,2
TAPACARI,otras vacunaciones,covid-19 2da dosis,2023-03-01,15,14,8,9,23,23,46
TARABUCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,0,0,1,0,1
TARACO,otras vacunaciones,covid-19 2da dosis,2023-03-01,3,0,1,0,4,0,4
TARATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,16,0,16,0,16
TARIJA,otras vacunaciones,covid-19 2da dosis,2023-03-01,24,16,49,1,73,17,90
TARVITA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,4,4,5,4,9,13
TEOPONTE,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,2,8,9,10,11,21
TIAHUANACU,otras vacunaciones,covid-19 2da dosis,2023-03-01,4,2,1,2,5,4,9
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,18,18,1,2,19,20,39
TIPUANI,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,0,7,5,9,5,14
TIQUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-03-01,28,23,24,37,52,60,112
TIRAQUE (CBBA),otras vacunaciones,covid-19 2da dosis,2023-03-01,4,6,11,5,15,11,26
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,3,0,2,0,5,5
TOCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,5,10,1,4,6,14,20
TOLATA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,52,7,53,8,61
TOLEDO,otras vacunaciones,covid-19 2da dosis,2023-03-01,8,11,0,0,8,11,19
TOMAVE,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,0,2,1,2,3
TOMINA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,2,3,0,3,2,5
TORO TORO,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,2,0,0,2,2,4
TOTORA(CBBA),otras vacunaciones,covid-19 2da dosis,2023-03-01,5,7,19,24,24,31,55
TOTORA(ORR),otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,covid-19 2da dosis,2023-03-01,15,21,66,26,81,47,128
TUPIZA,otras vacunaciones,covid-19 2da dosis,2023-03-01,4,2,3,4,7,6,13
TURCO,otras vacunaciones,covid-19 2da dosis,2023-03-01,6,6,0,0,6,6,12
UMALA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,2,10,4,10,6,16
UNCIA,otras vacunaciones,covid-19 2da dosis,2023-03-01,8,3,22,8,30,11,41
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,0,0,0,1,1
URUBICHA,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,10,8,10,8,18
UYUNI,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,0,28,6,30,6,36
VACAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,5,6,1,2,6,8,14
VALLEGRANDE,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,4,1,4,2,6
VILA VILA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,1,1,2,2,4
VILLA CHARCAS,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,1,1,0,1,1,2
VILLA MONTES,otras vacunaciones,covid-19 2da dosis,2023-03-01,15,3,78,1,93,4,97
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,7,8,7,8,15
VILLA RIVERO,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,7,0,0,2,7,9
VILLA SERRANO,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,covid-19 2da dosis,2023-03-01,9,13,107,19,116,32,148
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,5,5,6,5,11
VILLAZON,otras vacunaciones,covid-19 2da dosis,2023-03-01,13,12,10,11,23,23,46
VINTO,otras vacunaciones,covid-19 2da dosis,2023-03-01,36,42,17,18,53,60,113
VITICHI,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,0,2,0,2,2
WALDO BALLIVIAN,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,1,0,0,2,1,3
WARNES,otras vacunaciones,covid-19 2da dosis,2023-03-01,32,24,60,39,92,63,155
YACO,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,3,9,9,11,12,23
YACUIBA,otras vacunaciones,covid-19 2da dosis,2023-03-01,7,5,72,9,79,14,93
YAMPARAEZ,otras vacunaciones,covid-19 2da dosis,2023-03-01,0,0,1,2,1,2,3
YANACACHI,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,1,15,16,16,17,33
YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-03-01,20,16,0,0,20,16,36
YOCALLA,otras vacunaciones,covid-19 2da dosis,2023-03-01,2,2,1,0,3,2,5
YOTALA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,3,2,2,3,5,8
YUNCHARA,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,1,0,2,0,2
ZUDAÑEZ,otras vacunaciones,covid-19 2da dosis,2023-03-01,1,0,6,5,7,5,12
ACACIO,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,1,0,0,1,1,2
ACHACACHI,otras vacunaciones,covid-19 2da dosis,2023-04-01,7,11,21,36,28,47,75
ACHOCALLA,otras vacunaciones,covid-19 2da dosis,2023-04-01,10,10,10,20,20,30,50
AIQUILE,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,19,14,19,15,34
ALALAY,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,2,0,0,4,2,6
ALCALA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,0,0,1,0,1
ANCORAIMES,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,6,7,9,11,15,26
ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,4,16,13,19,17,36
ARANI,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,3,5,6,7,9,16
ARBIETO,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,2,1,2,3,4,7
ARQUE,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,1,23,23,24,24,48
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,1,1,1,2
ATOCHA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,4,5,4,6,10
AUCAPATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,8,8,0,1,8,9,17
AYATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,4,1,6,1,7
AYO AYO,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,3,23,31,23,34,57
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 2da dosis,2023-04-01,12,7,23,22,35,29,64
AZURDUY,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,13,12,13,12,25
BATALLAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,7,6,3,5,10,11,21
BAURES,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,2,4,2,4,4,8
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,0,0,1,0,1
BELEN DE URMIRI,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,16,12,16,12,28
BERMEJO,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,3,0,5,0,5
BETANZOS,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,2,5,10,7,12,19
BOLIVAR,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,8,4,8,5,13
BOLPEBRA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,4,1,4,5
BOYUIBE,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,2,66,2,67,4,71
BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,6,6,6,7,13
CAIROMA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,3,20,21,20,24,44
CAJUATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,2,6,8,7,10,17
CALACOTO,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,0,2,0,2,2
CALAMARCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,4,7,5,9,9,18
CAMARGO,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,3,3,4,3,7
CAMIRI,otras vacunaciones,covid-19 2da dosis,2023-04-01,31,2,6,6,37,8,45
CAPINOTA,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,5,18,16,21,21,42
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis,2023-04-01,5,3,7,9,12,12,24
CARACOLLO,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,6,0,0,2,6,8
CARANAVI,otras vacunaciones,covid-19 2da dosis,2023-04-01,5,6,6,10,11,16,27
CARAPARI,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,1,1,2,1,3
CARIPUYO,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,2,0,2,0,2
CHACARILLA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,1,2,1,3,4
CHALLAPATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,1,0,2,2
CHAQUI,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,2,0,0,3,2,5
CHARAGUA,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,31,7,0,10,31,41
CHARAÑA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,2,0,2,0,2
CHAYANTA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,covid-19 2da dosis,2023-04-01,7,3,30,6,37,9,46
CHIPAYA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,2,1,2,3
CHOQUE COTA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,1,1,1,2
CHUA COCANI,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 2da dosis,2023-04-01,0,4,8,7,8,11,19
CHUMA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,13,12,13,12,25
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,3,0,0,2,3,5
CKOCHAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,3,0,0,4,3,7
CLIZA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,5,3,6,5,11,16
COBIJA,otras vacunaciones,covid-19 2da dosis,2023-04-01,6,12,35,48,41,60,101
COCAPATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,3,4,5,8,8,16
COCHABAMBA,otras vacunaciones,covid-19 2da dosis,2023-04-01,126,158,338,292,464,450,914
COLCAPIRHUA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,3,22,20,23,23,46
"COLCHA ""K""",otras vacunaciones,covid-19 2da dosis,2023-04-01,7,2,2,1,9,3,12
COLLANA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,2,1,2,3
COLOMI,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,6,4,6,4,10
COLQUECHACA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,14,20,15,20,35
COLQUENCHA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,2,3,4,3,7
COLQUIRI,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,9,9,10,9,19
COMANCHE,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,3,0,4,0,4
COMBAYA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,1,2,0,3,1,4
CONCEPCION,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,3,0,0,4,3,7
COPACABANA,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,0,9,12,12,12,24
CORIPATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,3,11,20,13,23,36
CORO CORO,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,36,3,37,3,40
COROICO,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,1,2,3,2,5
CORQUE,otras vacunaciones,covid-19 2da dosis,2023-04-01,10,8,0,1,10,9,19
COTAGAITA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,2,3,2,3,5
COTOCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,16,13,17,30,33,43,76
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,2,0,0,0,2,2
CULPINA,otras vacunaciones,covid-19 2da dosis,2023-04-01,5,3,8,4,13,7,20
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,1,3,0,5,1,6
CURVA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,7,4,8,4,12
DESAGUADERO,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,6,2,6,2,8
EL ALTO,otras vacunaciones,covid-19 2da dosis,2023-04-01,100,131,439,346,539,477,1016
EL PUENTE(STC),otras vacunaciones,covid-19 2da dosis,2023-04-01,3,0,7,18,10,18,28
EL PUENTE(TJA),otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,5,1,6,1,7
EL TORNO,otras vacunaciones,covid-19 2da dosis,2023-04-01,5,2,0,0,5,2,7
ENTRE RIOS TRJ,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,3,0,0,4,3,7
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-04-01,10,5,30,7,40,12,52
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-04-01,5,6,1,2,6,8,14
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,4,1,4,5
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,1,1,1,3,2,5
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,1,11,10,13,11,24
GENERAL SAAVEDRA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,5,1,7,1,8
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-04-01,0,3,12,14,12,17,29
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,0,5,2,7,2,9
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,3,1,2,5,5,10
GUTIERREZ,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,1,1,2,1,3
HUACARAJE,otras vacunaciones,covid-19 2da dosis,2023-04-01,20,17,0,0,20,17,37
HUACARETA,otras vacunaciones,covid-19 2da dosis,2023-04-01,4,0,0,0,4,0,4
HUACHACALLA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,0,1,0,1
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-04-01,29,30,0,0,29,30,59
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,1,0,2,0,2
HUATAJATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,10,3,10,3,13
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,1,3,1,3,4
HUMANATA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,4,3,4,3,7
ICHOCA,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,2,0,1,1,3,4
ICLA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,3,1,1,3,4,7
INCAHUASI,otras vacunaciones,covid-19 2da dosis,2023-04-01,1,2,13,6,14,8,22
INGAVI (HUMAITA),otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,4,8,4,8,12
INQUISIVI,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,2,4,1,4,3,7
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 2da dosis,2023-04-01,1,0,14,5,15,5,20
IXIAMAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,0,4,7,4,7,11
JESUS DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-04-01,3,1,11,10,14,11,25
LA ASUNTA,otras vacunaciones,covid-19 2da dosis,2023-04-01,2,4,15,9,17,13,30
LA GUARDIA,otras vacunaciones,covid-19 2da dosis,2023-04-01,23,16,8,15,31,31,62
LA PAZ,otras vacunaciones,covid-19 2da dosis,2023-04-01,89,115,512,589,601,704,1305
LAJA,otras vacunaciones,covid-19 2da dosis,2023-04-01,7,9,4,5,11,14,25
LAS CARRERAS,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,1,0,1,0,2,2
LICOMA PAMPA,otras vacunaciones,covid-19 2da dosis,2023-04-01,0,3,1,5,1,8,9
