,group,variable,month,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO FUERA,17.28 COVID-19 DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
ZUDAÑEZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-02-01,0,1,3,8,3,9,12
ACHACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,1,1,2,3,5
AIQUILE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,19,11,5,8,24,19,43
ALALAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,11,8,0,0,11,8,19
ALCALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,4,2,4,6
ALTO BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,2,0,0,0,2,2
ANCORAIMES,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
ANDAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
ARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,5,3,3,4,8,12
ARBIETO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,3,3,7,6,10,16
ARQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,2,1,5,4,7,11
ATOCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,8,35,52,38,60,98
AYO AYO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,8,16,14,20,22,36,58
AZURDUY,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,5,1,3,6,8,7,15
BELLA FLOR,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,1,2,1,3
BERMEJO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,2,4,2,5,7
BETANZOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,1,0,1,1
BOLIVAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,4,2,4,5,8,13
BOLPEBRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,3,6,3,6,9
BOYUIBE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,1,0,2,2
BUENA VISTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,2,3,4,6,6,12
"CAIZA ""D""",otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,2,0,2,2
CAJUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,3,2,1,3,4,7
CALAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,9,14,5,17,14,31
CAMIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,0,1,1,3,4
CAPINOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,1,2,2,5,3,8
CAQUIAVIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,3,3,3,3,6
CARACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,5,0,0,3,5,8
CARANAVI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,1,0,1,1
CHACARILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,2,0,2,2
CHALLAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,1,0,0,2,1,3
CHIMORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,1,2,1,3,4
CHIPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
CLIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,5,5,9,8,14,22
COBIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,9,21,26,25,35,60
COCAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,5,0,0,2,5,7
COCHABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,711,822,532,472,1243,1294,2537
COLCAPIRHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,5,72,67,76,72,148
"COLCHA ""K""",otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,180,51,1,0,181,51,232
COLOMI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,1,4,0,6,1,7
COLQUECHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,2,0,2,2
COLQUIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,8,2,4,2,12,14
CONCEPCION,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,4,1,0,3,4,7
COROICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
CORQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,0,0,0,3,0,3
COTAGAITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,1,4,1,5,6
COTOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,12,7,0,4,12,11,23
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,4,1,0,5,4,9
CUEVO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
CULPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,39,43,25,40,64,83,147
EL PUENTE(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,6,8,8,10,18
EL TORNO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,3,0,0,3,3,6
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,7,10,8,10,18
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,3,1,3,1,4
FILADELFIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,2,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,3,1,3,1,4
GUANAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,1,0,3,2,4,6
GUAYARAMERIN,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,4,0,0,2,4,6
HUARINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,1,1,1,2
HUATAJATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,2,1,2,3
ICLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,7,6,1,1,8,7,15
INCAHUASI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,3,1,0,3,3,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,1,1,3,3,6
LA ASUNTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,1,5,3,7,10
LA PAZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,390,531,969,770,1359,1301,2660
LA RIVERA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,3,2,3,5
LAGUNILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,7,16,7,16,23
LAJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,3,0,1,0,4,4
LLALLAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,5,13,27,16,32,48
MACHARETI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,3,1,0,3,3,6
MAIRANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
MIZQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,6,4,8,6,14
MOCOMOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,2,1,3,1,4
MOJOCOYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,10,14,12,14,26
MONTEAGUDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,6,3,1,4,7,7,14
MONTERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,21,1,0,10,21,31
MORO MORO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,1,2,1,3
OCURI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,1,2,2,2,4
OMEREQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,23,15,25,15,40
ORURO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,77,54,2,11,79,65,144
PADCAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
PADILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,6,5,9,7,15,22
PAILON,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,2,0,0,0,2,2
PALOS BLANCOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,5,2,1,1,6,3,9
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,1,0,2,1,3
PAMPA GRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,8,9,10,12,18,21,39
PASORAPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,7,16,26,25,33,58
PATACAMAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,1,0,1,1
PAZÑA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
PELECHUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
POCONA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,7,3,7,6,14,20
POROMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,0,1,0,1
PORONGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,3,2,1,5,4,9
PORTACHUELO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
PORVENIR,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,3,2,3,3,6
POTOSI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,39,52,18,49,57,101,158
PRESTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,4,0,0,0,4,4
PUCARA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,3,0,0,1,3,4
PUCARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,3,0,0,1,3,4
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,2,2,3,2,5
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,1,0,1,1
PUERTO RICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,5,12,5,13,18
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,12,16,13,18,31
PUNA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,4,0,0,1,4,5
PUNATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,9,22,27,31,36,67
QUILLACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,86,103,106,149,192,252,444
QUIME,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,1,1,3,1,4
QUIRUSILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,1,0,0,3,1,4
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,7,17,6,6,13,23,36
RIBERALTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,2,0,0,4,2,6
ROBORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,7,0,1,3,8,11
RURRENABAQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,4,0,4,0,4
SACABA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,47,55,59,70,106,125,231
SACABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
SAIPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,6,2,0,6,6,12
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,6,1,1,5,7,12
SAMAIPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,3,2,11,2,14,16
SAN BENITO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,11,0,0,4,11,15
SAN BORJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,0,0,2,0,2
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,9,16,0,25,9,34
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,0,0,1,2,3
SAN JULIAN,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,5,1,6,3,9
SAN LUCAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,17,4,6,7,23,30
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,6,1,4,3,10,13
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,12,12,12,12,24
SAN RAMON BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,5,10,0,0,5,10,15
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,191,218,92,103,283,321,604
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,2,0,0,0,2,2
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,4,8,4,9,13
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,1,0,2,2,4
SANTIVAÑES,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,1,0,0,3,1,4
SAPAHAQUI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,0,0,2,2,4
SHINAOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,6,3,7,5,12
SICAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,4,13,13,16,17,33
SORATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,5,0,0,4,5,9
SUCRE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,94,135,43,127,137,262,399
TACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,1,0,1,1,2
TACACOMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
TACOPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,13,10,13,6,26,16,42
TAHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,0,2,0,2
TAPACARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,10,14,13,24,23,38,61
TARATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,6,4,6,4,10
TARIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,32,19,0,0,32,19,51
TARVITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,1,0,2,0,2
TIAHUANACU,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,1,0,1,1,2
TIPUANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,17,21,47,59,64,80,144
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,7,1,8,2,10
TOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,2,0,1,2,3,5
TOLATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,2,0,11,1,13,1,14
TOLEDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
TOMAVE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,0,1,0,1
TOMINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,10,0,7,9,17,26
TOTORA(CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,5,10,7,14,12,26
TRINIDAD,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,8,10,3,19,11,30
TUPIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,17,18,1,0,18,18,36
UNCIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,2,5,1,6,3,9
UYUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,9,8,10,9,19
VACAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,7,12,5,16,12,28,40
VILA VILA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,21,22,22,23,45
VILLA MONTES,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,14,7,6,0,20,7,27
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,2,0,2,0,2
VILLA RIVERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,1,0,0,4,1,5
VILLA SERRANO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,6,8,29,31,35,39,74
VILLA TUNARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,9,12,46,5,55,17,72
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,2,10,5,14,7,21
VILLAZON,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,21,25,12,16,33,41,74
VINTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,12,16,7,10,19,26,45
YACUIBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,4,3,25,36,29,39,68
YANACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,0,0,3,1,3,4
YOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,0,0,1,1,1,1,2
YOTALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,1,1,0,0,1,1,2
ZUDAÑEZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-03-01,3,5,4,11,7,16,23
ACACIO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,5,0,2,1,7,8
ACHOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,3,2,1,4,4,8
AIQUILE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,6,14,12,13,18,27,45
ALALAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,7,0,0,5,7,12
ALCALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,4,3,6,4,10,14
ALTO BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,0,1,2,2,4
ANCORAIMES,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,1,1,1,2,3
ARBIETO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,7,13,3,3,10,16,26
ARQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,10,4,11,4,15
ATOCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,24,28,24,29,53
AUCAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,5,3,5,3,8
AYATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,2,0,2,2
AYO AYO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,3,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,12,12,47,70,59,82,141
AZURDUY,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,8,16,3,2,11,18,29
BATALLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,0,0,0,2,2
BAURES,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,4,4,4,6,10
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,7,4,7,4,11
BERMEJO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,16,9,17,9,26
BETANZOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,3,6,3,6,9
BOLIVAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,2,9,6,14,8,22
BOLPEBRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,3,2,3,3,6
BOYUIBE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,1,1,2,1,3
"CAIZA ""D""",otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,0,1,0,2,2
CAJUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,2,1,2,3
CALAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
CAMARGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,3,16,29,18,32,50
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,3,7,3,7,10
CAPINOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,16,23,47,60,63,83,146
CARACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,0,3,2,5,7
CARANAVI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,5,0,5,1,6
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,0,0,1,2,3
CHALLAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,1,0,3,2,5
CHAQUI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,3,1,1,4,4,8
CHIMORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,41,3,42,5,47
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,1,0,1,1,2
CHUMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,4,0,4,1,5
CLIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,4,5,3,10,7,17
COBIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,9,16,44,43,53,59,112
COCAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,1,0,1,1,2
COCHABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,525,660,509,534,1034,1194,2228
COLCAPIRHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,2,52,69,55,71,126
"COLCHA ""K""",otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,13,3,1,4,14,7,21
COLLANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,1,1,2,1,3
COLOMI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,3,1,3,3,6
COLQUECHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,1,1,1,2,3
COLQUENCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,4,2,4,6
COLQUIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,6,8,8,9,17
CONCEPCION,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,12,12,12,13,25
CORIPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,3,2,3,5
CORO CORO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
COROICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,4,2,4,6
CORQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,7,0,0,4,7,11
COTAGAITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,3,2,0,2,3,5
COTOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,9,17,18,22,27,49
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,0,0,2,0,2
CULPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,4,1,8,5,12,17
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,4,0,0,3,4,7
CURVA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,4,2,4,6
EL ALTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,54,65,76,78,130,143,273
EL PUENTE(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,3,32,45,33,48,81
