,group,variable,month,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA FUERA,17.25 COVID-19 DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
YACUIBA,otras vacunaciones,covid-19 dosis unica,2023-07-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-07-01,6.0,2.0,0.0,0.0,6.0,2.0,8.0
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CAJUATA,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,0.0,1.0,1.0,2.0,1.0,3.0
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-08-01,2.0,2.0,1.0,0.0,3.0,2.0,5.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-08-01,17.0,16.0,53.0,21.0,70.0,37.0,107.0
EL PUENTE(STC),otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EXALTACION,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-08-01,32.0,45.0,52.0,60.0,84.0,105.0,189.0
ICHOCA,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-08-01,17.0,40.0,9.0,4.0,26.0,44.0,70.0
MAPIRI,otras vacunaciones,covid-19 dosis unica,2023-08-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
MINEROS,otras vacunaciones,covid-19 dosis unica,2023-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
MONTERO,otras vacunaciones,covid-19 dosis unica,2023-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
PALOS BLANCOS,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,1.0,2.0,1.0,2.0,3.0
POOPO,otras vacunaciones,covid-19 dosis unica,2023-08-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
ROBORE,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,3.0,1.0,2.0,1.0,5.0,6.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-08-01,9.0,12.0,23.0,26.0,32.0,38.0,70.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-08-01,19.0,24.0,11.0,3.0,30.0,27.0,57.0
SENA,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SORACACHI,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,1.0,1.0,0.0,1.0,1.0,2.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,0.0,11.0,10.0,11.0,10.0,21.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-08-01,2.0,2.0,1.0,9.0,3.0,11.0,14.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,7.0,20.0,11.0,21.0,18.0,39.0
VIACHA,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,3.0,1.0,1.0,1.0,4.0,5.0
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2023-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLAZON,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,2.0,2.0,1.0,2.0,3.0,5.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-08-01,5.0,5.0,0.0,0.0,5.0,5.0,10.0
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAJUATA,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2023-09-01,11.0,7.0,0.0,0.0,11.0,7.0,18.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-09-01,9.0,8.0,5.0,12.0,14.0,20.0,34.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-09-01,4.0,11.0,12.0,18.0,16.0,29.0,45.0
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,1.0,1.0,2.0,1.0,3.0,4.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-09-01,33.0,43.0,61.0,10.0,94.0,53.0,147.0
MAGDALENA,otras vacunaciones,covid-19 dosis unica,2023-09-01,7.0,24.0,0.0,0.0,7.0,24.0,31.0
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2023-09-01,5.0,8.0,0.0,0.0,5.0,8.0,13.0
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,1.0,3.0,1.0,4.0,2.0,6.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-09-01,10.0,9.0,22.0,29.0,32.0,38.0,70.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-09-01,9.0,2.0,1.0,1.0,10.0,3.0,13.0
SORACACHI,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TIPUANI,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,0.0,1.0,3.0,1.0,3.0,4.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-09-01,4.0,8.0,0.0,0.0,4.0,8.0,12.0
TUPIZA,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,0.0,2.0,6.0,3.0,6.0,9.0
VIACHA,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2023-09-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ACHOCALLA,otras vacunaciones,covid-19 dosis unica,2023-10-01,2.0,11.0,4.0,9.0,6.0,20.0,26.0
APOLO,otras vacunaciones,covid-19 dosis unica,2023-10-01,2.0,1.0,2.0,1.0,4.0,2.0,6.0
AYO AYO,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAJUATA,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,1.0,1.0,1.0,1.0,2.0,3.0
CALAMARCA,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CARANAVI,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CHOQUE COTA,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-10-01,24.0,37.0,27.0,47.0,51.0,84.0,135.0
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis unica,2023-10-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,6.0,17.0,27.0,17.0,33.0,50.0
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,1.0,1.0,2.0,1.0,3.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-10-01,9.0,29.0,20.0,44.0,29.0,73.0,102.0
MAGDALENA,otras vacunaciones,covid-19 dosis unica,2023-10-01,54.0,58.0,0.0,0.0,54.0,58.0,112.0
ORURO,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PORONGO,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,0.0,1.0,2.0,1.0,2.0,3.0
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2023-10-01,6.0,6.0,0.0,0.0,6.0,6.0,12.0
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,0.0,3.0,7.0,3.0,7.0,10.0
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2023-10-01,8.0,7.0,24.0,36.0,32.0,43.0,75.0
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 dosis unica,2023-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
UYUNI,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
YACUIBA,otras vacunaciones,covid-19 dosis unica,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COMBAYA,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-12-01,9.0,26.0,19.0,23.0,28.0,49.0,77.0
LA GUARDIA,otras vacunaciones,covid-19 dosis unica,2023-12-01,15.0,26.0,0.0,0.0,15.0,26.0,41.0
LA PAZ,otras vacunaciones,covid-19 dosis unica,2023-12-01,120.0,115.0,6.0,9.0,126.0,124.0,250.0
LAJA,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
MOCOMOCO,otras vacunaciones,covid-19 dosis unica,2023-12-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
OKINAWA,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ORURO,otras vacunaciones,covid-19 dosis unica,2023-12-01,2.0,5.0,0.0,0.0,2.0,5.0,7.0
POTOSI,otras vacunaciones,covid-19 dosis unica,2023-12-01,39.0,48.0,0.0,0.0,39.0,48.0,87.0
PRESTO,otras vacunaciones,covid-19 dosis unica,2023-12-01,0.0,0.0,1.0,2.0,1.0,2.0,3.0
RURRENABAQUE,otras vacunaciones,covid-19 dosis unica,2023-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis unica,2023-12-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2023-12-01,147.0,152.0,28.0,15.0,175.0,167.0,342.0
SUCRE,otras vacunaciones,covid-19 dosis unica,2023-12-01,6.0,5.0,0.0,0.0,6.0,5.0,11.0
TARIJA,otras vacunaciones,covid-19 dosis unica,2023-12-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
WARNES,otras vacunaciones,covid-19 dosis unica,2023-12-01,79.0,50.0,0.0,0.0,79.0,50.0,129.0
YACUIBA,otras vacunaciones,covid-19 dosis unica,2023-12-01,11.0,1.0,0.0,0.0,11.0,1.0,12.0
YAPACANI,otras vacunaciones,covid-19 dosis unica,2023-12-01,11.0,3.0,0.0,0.0,11.0,3.0,14.0
