,group,variable,month,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS FUERA,17.26 COVID-19 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
ORURO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,301,207,51,112,352,319,671
PADCAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,1,0,0,5,1,6
PADILLA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,11,9,9,14,20,34
PAILON,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,2,0,0,0,2,2
PALCA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,1,2,1,3,4
PALOS BLANCOS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,8,11,17,27,25,38,63
PAMPA AULLAGAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,4,4,7,8,11,19
PAPEL PAMPA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,4,4,4,9,8,17
PASORAPA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,1,4,4,8,5,13
PATACAMAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,128,35,32,19,160,54,214
PAZÑA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,4,3,5,3,8
PELECHUCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,17,11,57,35,74,46,120
POCOATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,20,23,0,0,20,23,43
POCONA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,15,13,13,36,28,49,77
POJO (CBBA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,6,16,13,20,19,39
POOPO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,2,0,0,3,2,5
POROMA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,4,3,5,5,9,14
PORONGO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,8,4,4,8,12,20
PORTACHUELO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,2,10,4,14,6,20
PORVENIR,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,4,4,4,5,9
POSTRER VALLE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,87,144,25,34,112,178,290
PRESTO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,4,1,5,2,9,11
PUCARANI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,13,12,45,45,58,57,115
PUERTO ACOSTA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,3,4,4,10,7,17
PUERTO CARABUCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,2,104,26,107,28,135
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,0,2,6,5,6,11
PUERTO PEREZ,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,1,3,2,4,6
PUERTO RICO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,2,8,17,9,19,28
PUERTO SILES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,15,3,15,3,18
PUERTO SUAREZ,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,1,0,0,2,1,3
PUERTO VILLARROEL,otras vacunaciones,covid-19 3ra dosis,2023-03-01,10,22,28,27,38,49,87
PUNA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,0,0,1,0,1
PUNATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,11,18,35,44,46,62,108
QUIABAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,1,1,1,1,2
QUILLACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,128,142,213,230,341,372,713
QUIME,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,1,4,1,5,6
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,11,18,45,26,56,44,100
RAVELO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,3,12,6,17,9,26
RIBERALTA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,14,22,3,4,17,26,43
ROBORE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,16,0,2,2,18,20
RURRENABAQUE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,4,91,0,93,4,97
SABAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,2,0,0,1,2,3
SACABA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,122,196,216,229,338,425,763
SACABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,19,21,20,21,41
SACACA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,0,1,0,2,2
SAIPINA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,34,38,35,39,74
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,6,3,7,9,13,22
SAMAIPATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,3,5,4,5,9
SAN ANDRES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,7,11,7,11,18
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,2,5,2,6,8
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,1,0,1,0,1
SAN BENITO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,30,36,0,0,30,36,66
SAN BORJA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,4,8,4,13,8,21
SAN BUENA VENTURA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,3,10,3,10,13
SAN CARLOS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,7,2,4,0,11,2,13
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,30,15,57,1,87,16,103
SAN JAVIER(STC),otras vacunaciones,covid-19 3ra dosis,2023-03-01,33,32,0,0,33,32,65
SAN JOAQUIN,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,2,8,12,9,14,23
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,21,0,0,4,21,25
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,3,1,0,6,3,9
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis,2023-03-01,10,15,8,20,18,35,53
SAN LORENZO(PND),otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,8,2,8,2,10
SAN LORENZO(TJA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,5,1,3,5,8,13
SAN LUCAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,7,11,10,17,17,34
SAN MATIAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,0,0,0,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,6,2,3,5,9,14
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,0,0,1,0,1
SAN PEDRO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,3,0,0,2,3,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,10,3,6,9,16,25
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,3,0,1,5,4,9
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,7,9,20,26,27,35,62
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,1,2,1,2,3
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,14,7,7,12,21,33
SAN PEDRO(PND),otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,13,13,13,13,26
SAN RAFAEL,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,3,0,0,4,3,7
SAN RAMON BENI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,10,21,0,0,10,21,31
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1115,1269,297,389,1412,1658,3070
SANTA ROSA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,2,0,0,2,2,4
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,2,2,4,8,6,14
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,9,2,2,3,11,5,16
SANTIAGO DE HUARI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,6,18,28,19,34,53
SANTIAGO DE HUATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,5,4,2,7,7,14
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,3,5,3,5,8
SANTIVAÑES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,5,0,0,5,5,10
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,26,25,27,25,52
SAPAHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,2,1,0,2,2,4
SENA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,7,5,13,10,20,30
SHINAOTA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,4,147,4,150,8,158
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,9,7,1,3,10,10,20
SICAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,3,9,3,9,12
SIPE SIPE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,13,7,66,54,79,61,140
SORACACHI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,3,0,0,3,3,6
SORATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,3,1,4,2,6
SUCRE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,105,167,117,178,222,345,567
TACACHI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,1,2,1,2,3
TACACOMA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,2,7,2,8,10
TACOBAMBA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,0,3,1,3,4
TACOPAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,13,13,36,41,49,54,103
TAHUA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,1,2,1,2,3
TAPACARI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,29,33,25,34,54,67,121
TARACO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,2,0,2,6,4,10
TARATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,2,31,0,32,2,34
TARIJA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,50,43,57,4,107,47,154
TARVITA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,9,10,22,14,31,45
TEOPONTE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,2,23,7,26,9,35
TIAHUANACU,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,6,2,0,6,6,12
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,7,5,8,6,14
TIPUANI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,10,17,10,17,27
TIQUIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,69,85,96,101,165,186,351
TIRAQUE (CBBA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,10,26,14,30,24,54
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,6,1,2,6,8,14
TOCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,8,5,12,11,20,31
TOLATA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,87,22,88,22,110
TOLEDO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,12,13,2,2,14,15,29
TOMAVE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,0,2,1,2,3
TOMINA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,11,10,5,13,16,23,39
TOTORA(CBBA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,12,11,39,35,51,46,97
TOTORA(ORR),otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,2,6,6,8,8,16
TRINIDAD,otras vacunaciones,covid-19 3ra dosis,2023-03-01,25,31,85,20,110,51,161
TUPIZA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,15,20,4,6,19,26,45
TURCO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,6,0,0,3,6,9
UMALA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,3,11,10,13,13,26
UNCIA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,3,38,4,42,7,49
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,0,2,0,3,3
URUBICHA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,22,36,22,36,58
UYUNI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,20,6,19,11,39,17,56
VACAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,5,4,3,2,8,6,14
VALLEGRANDE,otras vacunaciones,covid-19 3ra dosis,2023-03-01,6,5,10,7,16,12,28
VILA VILA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,19,16,20,17,37
VILLA CHARCAS,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,12,12,12,12,24
VILLA MONTES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,46,15,104,2,150,17,167
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,17,14,17,14,31
VILLA RIVERO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,10,12,1,1,11,13,24
VILLA SERRANO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,0,11,5,12,5,17
VILLA TUNARI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,27,12,137,58,164,70,234
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 3ra dosis,2023-03-01,4,1,4,0,8,1,9
VILLAZON,otras vacunaciones,covid-19 3ra dosis,2023-03-01,22,39,36,35,58,74,132
VINTO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,45,88,29,45,74,133,207
VITICHI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,0,0,5,0,5,5
WARNES,otras vacunaciones,covid-19 3ra dosis,2023-03-01,50,60,137,117,187,177,364
YACO,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,4,5,5,8,9,17
YACUIBA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,11,4,91,28,102,32,134
YAMPARAEZ,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,5,7,17,9,22,31
YANACACHI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,4,39,44,41,48,89
YAPACANI,otras vacunaciones,covid-19 3ra dosis,2023-03-01,10,14,1,1,11,15,26
YOCALLA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,3,7,0,0,3,7,10
YOTALA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,2,3,4,1,6,4,10
YUNCHARA,otras vacunaciones,covid-19 3ra dosis,2023-03-01,1,1,1,0,2,1,3
ZUDAÑEZ,otras vacunaciones,covid-19 3ra dosis,2023-03-01,0,1,21,32,21,33,54
ACACIO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,10,21,34,54,44,75,119
ACHOCALLA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,20,25,23,29,43,54,97
AIQUILE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,12,18,43,67,55,85,140
ALALAY,otras vacunaciones,covid-19 3ra dosis,2023-04-01,6,1,0,3,6,4,10
ALCALA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,1,2,1,2,3
ALTO BENI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,14,17,7,6,21,23,44
ANCORAIMES,otras vacunaciones,covid-19 3ra dosis,2023-04-01,11,12,55,46,66,58,124
ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,8,4,1,1,9,5,14
ANTEQUERA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,1,0,2,0,2
ANZALDO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,4,2,4,3,7
APOLO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,4,24,21,26,25,51
ARANI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,3,9,13,11,16,27
ARBIETO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,21,16,4,8,25,24,49
ARQUE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,2,50,49,50,51,101
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,2,0,0,1,2,3
ATOCHA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,16,17,18,19,37
AUCAPATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,4,4,9,4,13,17
AYATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,4,6,9,9,13,15,28
AYO AYO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,91,111,92,112,204
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 3ra dosis,2023-04-01,14,24,56,46,70,70,140
AZURDUY,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,2,9,12,10,14,24
BATALLAS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,11,14,2,2,13,16,29
BAURES,otras vacunaciones,covid-19 3ra dosis,2023-04-01,8,6,24,23,32,29,61
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,3,0,0,2,3,5
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,22,28,23,28,51
BERMEJO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,6,2,7,6,13,8,21
BETANZOS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,4,8,19,9,23,32
BOLIVAR,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,5,9,14,10,19,29
BOLPEBRA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,2,3,2,4,6
BOYUIBE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,70,2,70,3,73
BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,11,15,14,18,25,43
CAIROMA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,2,18,26,21,28,49
"CAIZA ""D""",otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,1,2,1,4,2,6
CAJUATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,3,4,13,7,16,23
CALACOTO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,10,13,11,14,25
CALAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,5,2,6,3,11,14
CAMARGO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,24,40,24,41,65
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,42,8,21,16,63,24,87
CAPINOTA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,15,19,106,129,121,148,269
CAQUIAVIRI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,2,6,2,9,4,13
CARACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,10,10,5,7,15,17,32
CARANAVI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,7,9,19,12,26,21,47
CARAPARI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,1,6,3,8,4,12
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,1,0,1,1,2
CATACORA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,1,1,1,1,2
CHACARILLA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,2,0,2,0,2
CHALLAPATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,5,2,6,7,11,9,20
CHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,8,39,4,2,12,41,53
CHARAÑA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,5,3,5,3,8
CHAYANTA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,1,0,2,1,3
CHIMORE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,4,50,12,53,16,69
CHIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,1,1,1,1,2
CHOQUE COTA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,0,2,0,2,2
CHUA COCANI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,0,2,1,3,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 3ra dosis,2023-04-01,9,9,19,21,28,30,58
CHUMA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,8,27,9,28,37
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,1,0,0,3,1,4
CKOCHAS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,2,0,0,0,2,2
CLIZA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,10,6,28,35,38,41,79
COBIJA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,14,17,77,91,91,108,199
COCAPATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,16,24,12,22,28,46,74
COCHABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,374,471,1147,1226,1521,1697,3218
COLCAPIRHUA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,2,82,92,82,94,176
"COLCHA ""K""",otras vacunaciones,covid-19 3ra dosis,2023-04-01,12,6,1,0,13,6,19
COLLANA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,2,1,3,1,5,6
COLOMI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,15,7,17,9,26
COLPA BELGICA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,5,0,0,1,5,6
COLQUECHACA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,4,0,15,35,19,35,54
COLQUENCHA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,0,17,11,20,11,31
COLQUIRI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,0,20,27,22,27,49
COMANCHE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,6,0,7,0,7
COMARAPA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,3,1,3,1,4
COMBAYA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,2,2,4,4,8
CONCEPCION,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,5,0,0,2,5,7
COPACABANA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,5,30,41,33,46,79
CORIPATA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,7,32,36,35,43,78
CORO CORO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,2,63,10,64,12,76
COROICO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,7,7,3,19,10,26,36
CORQUE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,6,12,1,5,7,17,24
COTAGAITA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,4,3,5,4,9
COTOCA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,23,18,65,108,88,126,214
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,5,0,0,1,5,6
CUATRO CAÑADAS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,5,0,0,0,5,5
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,1,2,1,3,4
CUEVO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,2,2,3,2,5
CULPINA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,5,6,21,14,26,20,46
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,5,2,5,10,10,12,22
CURVA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,18,18,18,18,36
DESAGUADERO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,24,8,24,8,32
EL ALTO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,164,262,837,936,1001,1198,2199
EL CHORO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,0,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,5,62,79,64,84,148
EL PUENTE(TJA),otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,0,10,6,12,6,18
EL TORNO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,16,13,1,1,17,14,31
ENTRE RIOS TRJ,otras vacunaciones,covid-19 3ra dosis,2023-04-01,4,5,4,2,8,7,15
ENTRE RIOS CBBA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,26,5,35,8,61,13,74
ESCARA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,0,0,2,2,4
ESCOMA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,2,5,3,6,5,11
ESMERALDA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,3,0,1,2,4,6
EUCALIPTUS,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,2,3,4,5,9
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,2,1,3,1,5,6
FERNANDEZ ALONSO,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,0,0,0,3,0,3
FILADELFIA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,4,15,22,17,26,43
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,2,0,2,2,4,6
GENERAL SAAVEDRA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,7,6,8,15,15,21,36
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 3ra dosis,2023-04-01,4,2,12,11,16,13,29
GUANAY,otras vacunaciones,covid-19 3ra dosis,2023-04-01,4,4,11,10,15,14,29
GUAQUI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,2,3,1,3,3,6,9
GUAYARAMERIN,otras vacunaciones,covid-19 3ra dosis,2023-04-01,3,5,1,4,4,9,13
GUTIERREZ,otras vacunaciones,covid-19 3ra dosis,2023-04-01,0,1,5,6,5,7,12
HUACARAJE,otras vacunaciones,covid-19 3ra dosis,2023-04-01,39,48,0,0,39,48,87
HUACARETA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,1,0,2,1,3,4
HUACHACALLA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,5,2,6,2,8
HUANUNI,otras vacunaciones,covid-19 3ra dosis,2023-04-01,72,73,1,2,73,75,148
HUARINA,otras vacunaciones,covid-19 3ra dosis,2023-04-01,1,0,3,9,4,9,13
