,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
CARAPARI,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2023-03-01,0,1,6,3,6,4,10
CATACORA,otras vacunaciones,sr,2023-03-01,0,0,7,3,7,3,10
CHARAÑA,otras vacunaciones,sr,2023-03-01,1,0,0,1,1,1,2
CHIMORE,otras vacunaciones,sr,2023-03-01,1,1,8,4,9,5,14
CHIPAYA,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,sr,2023-03-01,0,0,5,7,5,7,12
CLIZA,otras vacunaciones,sr,2023-03-01,1,4,6,0,7,4,11
COBIJA,otras vacunaciones,sr,2023-03-01,3,6,70,43,73,49,122
COCHABAMBA,otras vacunaciones,sr,2023-03-01,175,152,178,224,353,376,729
COLCAPIRHUA,otras vacunaciones,sr,2023-03-01,0,4,5,4,5,8,13
"COLCHA ""K""",otras vacunaciones,sr,2023-03-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,sr,2023-03-01,3,0,6,6,9,6,15
COLPA BELGICA,otras vacunaciones,sr,2023-03-01,3,1,3,4,6,5,11
COMANCHE,otras vacunaciones,sr,2023-03-01,0,0,1,0,1,0,1
COMARAPA,otras vacunaciones,sr,2023-03-01,2,2,1,3,3,5,8
COMBAYA,otras vacunaciones,sr,2023-03-01,1,1,0,0,1,1,2
CONCEPCION,otras vacunaciones,sr,2023-03-01,1,1,2,3,3,4,7
CORO CORO,otras vacunaciones,sr,2023-03-01,0,1,8,3,8,4,12
CORQUE,otras vacunaciones,sr,2023-03-01,1,1,1,0,2,1,3
COTOCA,otras vacunaciones,sr,2023-03-01,2,8,11,12,13,20,33
CRUZ DE MACHACAMARCA,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,sr,2023-03-01,3,2,0,0,3,2,5
CUEVO,otras vacunaciones,sr,2023-03-01,0,0,2,1,2,1,3
CULPINA,otras vacunaciones,sr,2023-03-01,0,0,1,2,1,2,3
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,sr,2023-03-01,55,74,112,123,167,197,364
EL TORNO,otras vacunaciones,sr,2023-03-01,0,3,5,1,5,4,9
ENTRE RIOS TRJ,otras vacunaciones,sr,2023-03-01,3,0,0,2,3,2,5
EUCALIPTUS,otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
EXALTACION,otras vacunaciones,sr,2023-03-01,0,0,10,16,10,16,26
FILADELFIA,otras vacunaciones,sr,2023-03-01,1,0,5,12,6,12,18
GENERAL SAAVEDRA,otras vacunaciones,sr,2023-03-01,4,13,0,1,4,14,18
GUAYARAMERIN,otras vacunaciones,sr,2023-03-01,3,0,4,9,7,9,16
GUTIERREZ,otras vacunaciones,sr,2023-03-01,5,5,1,0,6,5,11
HUACARAJE,otras vacunaciones,sr,2023-03-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,sr,2023-03-01,10,14,0,1,10,15,25
HUAYLLAMARCA,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
HUMANATA,otras vacunaciones,sr,2023-03-01,0,0,9,10,9,10,19
INGAVI (HUMAITA),otras vacunaciones,sr,2023-03-01,0,0,7,1,7,1,8
IXIAMAS,otras vacunaciones,sr,2023-03-01,3,3,1,2,4,5,9
LA ASUNTA,otras vacunaciones,sr,2023-03-01,6,9,22,40,28,49,77
LA GUARDIA,otras vacunaciones,sr,2023-03-01,0,4,14,19,14,23,37
LA PAZ,otras vacunaciones,sr,2023-03-01,88,119,85,100,173,219,392
LA RIVERA,otras vacunaciones,sr,2023-03-01,0,1,1,1,1,2,3
LAGUNILLAS,otras vacunaciones,sr,2023-03-01,0,0,2,2,2,2,4
LAS CARRERAS,otras vacunaciones,sr,2023-03-01,0,0,5,3,5,3,8
LLALLAGUA,otras vacunaciones,sr,2023-03-01,2,8,8,11,10,19,29
MACHACAMARCA,otras vacunaciones,sr,2023-03-01,0,0,1,1,1,1,2
MAPIRI,otras vacunaciones,sr,2023-03-01,1,1,3,0,4,1,5
MIZQUE,otras vacunaciones,sr,2023-03-01,1,0,1,2,2,2,4
MONTEAGUDO,otras vacunaciones,sr,2023-03-01,4,3,6,3,10,6,16
MONTERO,otras vacunaciones,sr,2023-03-01,7,13,7,6,14,19,33
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,sr,2023-03-01,2,5,0,0,2,5,7
NAZACARA DE PACAJES,otras vacunaciones,sr,2023-03-01,0,3,0,0,0,3,3
OKINAWA,otras vacunaciones,sr,2023-03-01,1,0,5,8,6,8,14
OMEREQUE,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
ORURO,otras vacunaciones,sr,2023-03-01,15,21,3,11,18,32,50
PADILLA,otras vacunaciones,sr,2023-03-01,2,8,0,0,2,8,10
PAILON,otras vacunaciones,sr,2023-03-01,0,0,5,15,5,15,20
PALCA,otras vacunaciones,sr,2023-03-01,3,0,0,0,3,0,3
PALOS BLANCOS,otras vacunaciones,sr,2023-03-01,4,3,12,20,16,23,39
PAMPA AULLAGAS,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,sr,2023-03-01,0,0,1,2,1,2,3
PELECHUCO,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
POCONA,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
POOPO,otras vacunaciones,sr,2023-03-01,0,1,2,0,2,1,3
PORONGO,otras vacunaciones,sr,2023-03-01,1,2,4,4,5,6,11
PORTACHUELO,otras vacunaciones,sr,2023-03-01,1,2,0,0,1,2,3
PORVENIR,otras vacunaciones,sr,2023-03-01,0,0,4,0,4,0,4
POSTRER VALLE,otras vacunaciones,sr,2023-03-01,3,0,0,0,3,0,3
POTOSI,otras vacunaciones,sr,2023-03-01,100,164,6,5,106,169,275
PRESTO,otras vacunaciones,sr,2023-03-01,0,1,2,1,2,2,4
PUCARANI,otras vacunaciones,sr,2023-03-01,14,23,1,8,15,31,46
PUERTO CARABUCO,otras vacunaciones,sr,2023-03-01,0,0,6,14,6,14,20
PUERTO PEREZ,otras vacunaciones,sr,2023-03-01,2,2,0,0,2,2,4
PUERTO RICO,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,sr,2023-03-01,0,0,18,6,18,6,24
PUNATA,otras vacunaciones,sr,2023-03-01,0,9,1,0,1,9,10
QUILLACOLLO,otras vacunaciones,sr,2023-03-01,24,19,3,13,27,32,59
QUIME,otras vacunaciones,sr,2023-03-01,0,0,1,1,1,1,2
RAQAYPAMPA(ETA),otras vacunaciones,sr,2023-03-01,1,0,3,1,4,1,5
REYES,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
RIBERALTA,otras vacunaciones,sr,2023-03-01,0,0,100,48,100,48,148
ROBORE,otras vacunaciones,sr,2023-03-01,2,0,1,0,3,0,3
RURRENABAQUE,otras vacunaciones,sr,2023-03-01,2,9,2,4,4,13,17
SABAYA,otras vacunaciones,sr,2023-03-01,1,2,0,0,1,2,3
SACABA,otras vacunaciones,sr,2023-03-01,7,7,2,2,9,9,18
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2023-03-01,2,1,2,6,4,7,11
SAN ANDRES,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
SAN BENITO,otras vacunaciones,sr,2023-03-01,1,3,0,0,1,3,4
SAN BORJA,otras vacunaciones,sr,2023-03-01,1,6,0,0,1,6,7
SAN BUENA VENTURA,otras vacunaciones,sr,2023-03-01,0,1,23,21,23,22,45
SAN IGNACIO,otras vacunaciones,sr,2023-03-01,2,8,2,0,4,8,12
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2023-03-01,11,3,0,0,11,3,14
SAN JAVIER(STC),otras vacunaciones,sr,2023-03-01,1,2,0,0,1,2,3
SAN JUAN DE YAPACANI,otras vacunaciones,sr,2023-03-01,0,0,20,30,20,30,50
SAN JULIAN,otras vacunaciones,sr,2023-03-01,2,14,1,1,3,15,18
SAN LORENZO(PND),otras vacunaciones,sr,2023-03-01,3,4,0,0,3,4,7
SAN LORENZO(TJA),otras vacunaciones,sr,2023-03-01,2,2,21,10,23,12,35
SAN LUCAS,otras vacunaciones,sr,2023-03-01,10,6,3,9,13,15,28
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2023-03-01,6,2,3,1,9,3,12
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2023-03-01,3,2,0,3,3,5,8
SAN PEDRO(PND),otras vacunaciones,sr,2023-03-01,0,0,24,24,24,24,48
SAN RAMON BENI,otras vacunaciones,sr,2023-03-01,19,30,0,0,19,30,49
SAN RAMON SCZ,otras vacunaciones,sr,2023-03-01,1,4,17,20,18,24,42
SANTA ANA,otras vacunaciones,sr,2023-03-01,3,5,2,14,5,19,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2023-03-01,158,269,246,299,404,568,972
SANTA ROSA,otras vacunaciones,sr,2023-03-01,1,0,0,2,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,sr,2023-03-01,2,1,1,1,3,2,5
SANTIAGO DE HUARI,otras vacunaciones,sr,2023-03-01,0,5,1,2,1,7,8
SANTIAGO DE HUATA,otras vacunaciones,sr,2023-03-01,1,2,9,11,10,13,23
SANTIAGO DE MACHACA,otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,sr,2023-03-01,0,0,1,0,1,0,1
SAPAHAQUI,otras vacunaciones,sr,2023-03-01,0,3,0,0,0,3,3
SENA,otras vacunaciones,sr,2023-03-01,1,1,23,19,24,20,44
SHINAOTA,otras vacunaciones,sr,2023-03-01,2,1,0,0,2,1,3
SIPE SIPE,otras vacunaciones,sr,2023-03-01,2,3,3,1,5,4,9
SORACACHI,otras vacunaciones,sr,2023-03-01,1,0,1,0,2,0,2
SORATA,otras vacunaciones,sr,2023-03-01,0,0,2,5,2,5,7
SUCRE,otras vacunaciones,sr,2023-03-01,24,24,311,43,335,67,402
TACOPAYA,otras vacunaciones,sr,2023-03-01,0,0,3,0,3,0,3
TAPACARI,otras vacunaciones,sr,2023-03-01,3,1,3,4,6,5,11
TARABUCO,otras vacunaciones,sr,2023-03-01,2,3,0,0,2,3,5
TARATA,otras vacunaciones,sr,2023-03-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,sr,2023-03-01,16,24,69,57,85,81,166
TARVITA,otras vacunaciones,sr,2023-03-01,1,3,21,18,22,21,43
TEOPONTE,otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
TIPUANI,otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
TIRAQUE (CBBA),otras vacunaciones,sr,2023-03-01,0,0,3,7,3,7,10
TOCO,otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,sr,2023-03-01,0,0,11,8,11,8,19
TOTORA(CBBA),otras vacunaciones,sr,2023-03-01,0,0,10,6,10,6,16
TOTORA(ORR),otras vacunaciones,sr,2023-03-01,1,1,4,1,5,2,7
TRIGAL,otras vacunaciones,sr,2023-03-01,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,sr,2023-03-01,20,21,157,119,177,140,317
TUPIZA,otras vacunaciones,sr,2023-03-01,1,3,0,0,1,3,4
TURCO,otras vacunaciones,sr,2023-03-01,0,0,2,1,2,1,3
UNCIA,otras vacunaciones,sr,2023-03-01,0,0,2,2,2,2,4
URIONDO (A. CONCEPCION),otras vacunaciones,sr,2023-03-01,0,0,2,0,2,0,2
UYUNI,otras vacunaciones,sr,2023-03-01,4,0,1,1,5,1,6
VACAS,otras vacunaciones,sr,2023-03-01,2,1,0,0,2,1,3
VALLEGRANDE,otras vacunaciones,sr,2023-03-01,2,2,5,3,7,5,12
VIACHA,otras vacunaciones,sr,2023-03-01,1,1,32,28,33,29,62
VILLA MONTES,otras vacunaciones,sr,2023-03-01,9,6,4,7,13,13,26
VILLA NUEVA (LOMA ALTA),otras vacunaciones,sr,2023-03-01,0,0,1,2,1,2,3
VILLA RIVERO,otras vacunaciones,sr,2023-03-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,sr,2023-03-01,2,7,34,26,36,33,69
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,sr,2023-03-01,0,0,0,1,0,1,1
VILLAZON,otras vacunaciones,sr,2023-03-01,9,17,7,14,16,31,47
WALDO BALLIVIAN,otras vacunaciones,sr,2023-03-01,0,0,1,0,1,0,1
WARNES,otras vacunaciones,sr,2023-03-01,20,11,31,41,51,52,103
YACUIBA,otras vacunaciones,sr,2023-03-01,14,15,45,21,59,36,95
YAPACANI,otras vacunaciones,sr,2023-03-01,2,3,25,19,27,22,49
YOCALLA,otras vacunaciones,sr,2023-03-01,6,11,0,2,6,13,19
YUNCHARA,otras vacunaciones,sr,2023-03-01,1,1,1,0,2,1,3
ACACIO,otras vacunaciones,sr,2023-04-01,0,1,1,1,1,2,3
ACHACACHI,otras vacunaciones,sr,2023-04-01,5,8,17,10,22,18,40
ACHOCALLA,otras vacunaciones,sr,2023-04-01,14,47,23,16,37,63,100
AIQUILE,otras vacunaciones,sr,2023-04-01,0,0,2,3,2,3,5
ALCALA,otras vacunaciones,sr,2023-04-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,sr,2023-04-01,2,1,15,16,17,17,34
ANCORAIMES,otras vacunaciones,sr,2023-04-01,1,2,10,11,11,13,24
ANDAMARCA,otras vacunaciones,sr,2023-04-01,1,1,13,12,14,13,27
ANTEQUERA,otras vacunaciones,sr,2023-04-01,3,0,6,5,9,5,14
ANZALDO,otras vacunaciones,sr,2023-04-01,1,0,1,0,2,0,2
APOLO,otras vacunaciones,sr,2023-04-01,0,0,19,16,19,16,35
ARANI,otras vacunaciones,sr,2023-04-01,0,0,1,0,1,0,1
ARQUE,otras vacunaciones,sr,2023-04-01,0,1,13,6,13,7,20
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2023-04-01,2,9,39,33,41,42,83
ATOCHA,otras vacunaciones,sr,2023-04-01,3,3,32,36,35,39,74
AYATA,otras vacunaciones,sr,2023-04-01,0,0,8,11,8,11,19
AYO AYO,otras vacunaciones,sr,2023-04-01,0,0,73,103,73,103,176
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2023-04-01,0,2,5,7,5,9,14
AZURDUY,otras vacunaciones,sr,2023-04-01,0,0,0,1,0,1,1
BATALLAS,otras vacunaciones,sr,2023-04-01,2,3,101,85,103,88,191
BAURES,otras vacunaciones,sr,2023-04-01,5,3,7,19,12,22,34
BELLA FLOR,otras vacunaciones,sr,2023-04-01,0,0,9,9,9,9,18
BERMEJO,otras vacunaciones,sr,2023-04-01,1,8,18,26,19,34,53
BOLIVAR,otras vacunaciones,sr,2023-04-01,0,0,9,16,9,16,25
BOLPEBRA,otras vacunaciones,sr,2023-04-01,2,0,2,6,4,6,10
BOYUIBE,otras vacunaciones,sr,2023-04-01,1,0,3,2,4,2,6
BUENA VISTA,otras vacunaciones,sr,2023-04-01,6,1,11,16,17,17,34
CABEZAS,otras vacunaciones,sr,2023-04-01,1,0,2,3,3,3,6
CAIROMA,otras vacunaciones,sr,2023-04-01,9,11,18,4,27,15,42
"CAIZA ""D""",otras vacunaciones,sr,2023-04-01,7,12,1,2,8,14,22
CAJUATA,otras vacunaciones,sr,2023-04-01,0,0,13,33,13,33,46
CALAMARCA,otras vacunaciones,sr,2023-04-01,3,5,19,27,22,32,54
CAMARGO,otras vacunaciones,sr,2023-04-01,2,1,10,6,12,7,19
CAMIRI,otras vacunaciones,sr,2023-04-01,3,8,18,19,21,27,48
CAPINOTA,otras vacunaciones,sr,2023-04-01,0,2,2,0,2,2,4
CAQUIAVIRI,otras vacunaciones,sr,2023-04-01,0,0,2,0,2,0,2
CARACOLLO,otras vacunaciones,sr,2023-04-01,3,2,13,13,16,15,31
CARANAVI,otras vacunaciones,sr,2023-04-01,14,16,60,54,74,70,144
CARAPARI,otras vacunaciones,sr,2023-04-01,3,11,4,3,7,14,21
CARIPUYO,otras vacunaciones,sr,2023-04-01,1,1,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2023-04-01,0,1,0,1,0,2,2
CATACORA,otras vacunaciones,sr,2023-04-01,0,0,2,3,2,3,5
CHACARILLA,otras vacunaciones,sr,2023-04-01,0,2,2,2,2,4,6
CHALLAPATA,otras vacunaciones,sr,2023-04-01,3,7,46,30,49,37,86
CHAQUI,otras vacunaciones,sr,2023-04-01,0,0,4,3,4,3,7
CHARAGUA,otras vacunaciones,sr,2023-04-01,1,2,1,4,2,6,8
CHARAÑA,otras vacunaciones,sr,2023-04-01,5,2,2,0,7,2,9
CHIMORE,otras vacunaciones,sr,2023-04-01,0,0,5,3,5,3,8
CHIPAYA,otras vacunaciones,sr,2023-04-01,0,0,6,5,6,5,11
CHOQUE COTA,otras vacunaciones,sr,2023-04-01,0,0,10,9,10,9,19
CHUA COCANI,otras vacunaciones,sr,2023-04-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,sr,2023-04-01,3,5,42,53,45,58,103
CHUMA,otras vacunaciones,sr,2023-04-01,0,0,13,4,13,4,17
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,sr,2023-04-01,0,1,20,20,20,21,41
CLIZA,otras vacunaciones,sr,2023-04-01,1,1,8,11,9,12,21
COBIJA,otras vacunaciones,sr,2023-04-01,6,3,419,403,425,406,831
COCAPATA,otras vacunaciones,sr,2023-04-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,sr,2023-04-01,92,87,583,678,675,765,1440
COIPASA,otras vacunaciones,sr,2023-04-01,0,0,2,0,2,0,2
COLCAPIRHUA,otras vacunaciones,sr,2023-04-01,2,3,12,22,14,25,39
"COLCHA ""K""",otras vacunaciones,sr,2023-04-01,14,31,24,18,38,49,87
COLLANA,otras vacunaciones,sr,2023-04-01,1,2,18,32,19,34,53
COLOMI,otras vacunaciones,sr,2023-04-01,0,1,2,2,2,3,5
COLPA BELGICA,otras vacunaciones,sr,2023-04-01,2,0,3,4,5,4,9
COLQUENCHA,otras vacunaciones,sr,2023-04-01,4,5,48,49,52,54,106
COLQUIRI,otras vacunaciones,sr,2023-04-01,1,0,36,31,37,31,68
COMANCHE,otras vacunaciones,sr,2023-04-01,0,0,4,5,4,5,9
COMARAPA,otras vacunaciones,sr,2023-04-01,2,3,22,14,24,17,41
COMBAYA,otras vacunaciones,sr,2023-04-01,0,2,3,1,3,3,6
CONCEPCION,otras vacunaciones,sr,2023-04-01,13,6,22,22,35,28,63
COPACABANA,otras vacunaciones,sr,2023-04-01,1,2,33,45,34,47,81
CORIPATA,otras vacunaciones,sr,2023-04-01,3,4,24,31,27,35,62
CORO CORO,otras vacunaciones,sr,2023-04-01,0,1,6,5,6,6,12
COROICO,otras vacunaciones,sr,2023-04-01,19,13,18,10,37,23,60
CORQUE,otras vacunaciones,sr,2023-04-01,3,6,0,1,3,7,10
COTAGAITA,otras vacunaciones,sr,2023-04-01,1,3,11,3,12,6,18
COTOCA,otras vacunaciones,sr,2023-04-01,2,3,58,51,60,54,114
CRUZ DE MACHACAMARCA,otras vacunaciones,sr,2023-04-01,0,3,0,1,0,4,4
CUATRO CAÑADAS,otras vacunaciones,sr,2023-04-01,1,1,35,35,36,36,72
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,sr,2023-04-01,0,1,0,0,0,1,1
CUEVO,otras vacunaciones,sr,2023-04-01,1,1,4,2,5,3,8
CULPINA,otras vacunaciones,sr,2023-04-01,8,8,9,14,17,22,39
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2023-04-01,1,2,24,16,25,18,43
DESAGUADERO,otras vacunaciones,sr,2023-04-01,1,0,19,11,20,11,31
EL ALTO,otras vacunaciones,sr,2023-04-01,277,286,1748,1489,2025,1775,3800
EL CHORO,otras vacunaciones,sr,2023-04-01,11,4,20,17,31,21,52
EL PUENTE(STC),otras vacunaciones,sr,2023-04-01,2,1,6,9,8,10,18
EL TORNO,otras vacunaciones,sr,2023-04-01,1,6,2,0,3,6,9
EL VILLAR,otras vacunaciones,sr,2023-04-01,3,1,0,1,3,2,5
ENTRE RIOS TRJ,otras vacunaciones,sr,2023-04-01,3,3,6,3,9,6,15
ESCOMA,otras vacunaciones,sr,2023-04-01,0,0,12,28,12,28,40
EUCALIPTUS,otras vacunaciones,sr,2023-04-01,3,1,2,3,5,4,9
EUREKA (SANTOS MERCADO),otras vacunaciones,sr,2023-04-01,0,1,10,8,10,9,19
EXALTACION,otras vacunaciones,sr,2023-04-01,0,0,23,25,23,25,48
FILADELFIA,otras vacunaciones,sr,2023-04-01,1,0,12,17,13,17,30
GENERAL SAAVEDRA,otras vacunaciones,sr,2023-04-01,3,15,9,8,12,23,35
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,sr,2023-04-01,1,0,15,22,16,22,38
GUANAY,otras vacunaciones,sr,2023-04-01,0,1,8,15,8,16,24
GUAQUI,otras vacunaciones,sr,2023-04-01,4,5,8,3,12,8,20
GUAYARAMERIN,otras vacunaciones,sr,2023-04-01,1,3,26,29,27,32,59
GUTIERREZ,otras vacunaciones,sr,2023-04-01,3,0,12,12,15,12,27
HUACARAJE,otras vacunaciones,sr,2023-04-01,1,1,26,34,27,35,62
HUACARETA,otras vacunaciones,sr,2023-04-01,2,0,11,16,13,16,29
HUACHACALLA,otras vacunaciones,sr,2023-04-01,0,0,3,0,3,0,3
HUANUNI,otras vacunaciones,sr,2023-04-01,4,5,32,43,36,48,84
HUARINA,otras vacunaciones,sr,2023-04-01,3,2,2,1,5,3,8
HUATAJATA,otras vacunaciones,sr,2023-04-01,0,0,1,3,1,3,4
HUAYLLAMARCA,otras vacunaciones,sr,2023-04-01,7,8,16,13,23,21,44
HUMANATA,otras vacunaciones,sr,2023-04-01,0,1,13,14,13,15,28
ICHOCA,otras vacunaciones,sr,2023-04-01,0,0,9,12,9,12,21
INCAHUASI,otras vacunaciones,sr,2023-04-01,2,3,7,6,9,9,18
INGAVI (HUMAITA),otras vacunaciones,sr,2023-04-01,0,0,8,5,8,5,13
INQUISIVI,otras vacunaciones,sr,2023-04-01,2,0,5,5,7,5,12
IRUPANA (VILLA DE LANZA),otras vacunaciones,sr,2023-04-01,10,18,53,59,63,77,140
IXIAMAS,otras vacunaciones,sr,2023-04-01,17,7,32,26,49,33,82
JESUS DE MACHACA,otras vacunaciones,sr,2023-04-01,3,8,9,4,12,12,24
LA ASUNTA,otras vacunaciones,sr,2023-04-01,14,16,110,112,124,128,252
LA GUARDIA,otras vacunaciones,sr,2023-04-01,5,21,58,79,63,100,163
LA PAZ,otras vacunaciones,sr,2023-04-01,228,269,1284,1169,1512,1438,2950
LAGUNILLAS,otras vacunaciones,sr,2023-04-01,0,0,2,4,2,4,6
LAJA,otras vacunaciones,sr,2023-04-01,0,0,25,27,25,27,52
LAS CARRERAS,otras vacunaciones,sr,2023-04-01,1,2,4,5,5,7,12
LICOMA PAMPA,otras vacunaciones,sr,2023-04-01,0,0,4,6,4,6,10
LLALLAGUA,otras vacunaciones,sr,2023-04-01,0,0,19,44,19,44,63
LORETO,otras vacunaciones,sr,2023-04-01,1,1,13,12,14,13,27
LURIBAY,otras vacunaciones,sr,2023-04-01,2,7,17,19,19,26,45
MACHACAMARCA,otras vacunaciones,sr,2023-04-01,0,2,2,3,2,5,7
MACHARETI,otras vacunaciones,sr,2023-04-01,1,0,7,5,8,5,13
MAGDALENA,otras vacunaciones,sr,2023-04-01,0,0,0,1,0,1,1
MAIRANA,otras vacunaciones,sr,2023-04-01,0,0,3,3,3,3,6
MALLA,otras vacunaciones,sr,2023-04-01,1,0,3,7,4,7,11
MAPIRI,otras vacunaciones,sr,2023-04-01,0,2,21,12,21,14,35
MINEROS,otras vacunaciones,sr,2023-04-01,0,2,0,0,0,2,2
MIZQUE,otras vacunaciones,sr,2023-04-01,10,10,1,7,11,17,28
MOCOMOCO,otras vacunaciones,sr,2023-04-01,3,0,13,14,16,14,30
MONTEAGUDO,otras vacunaciones,sr,2023-04-01,0,3,3,4,3,7,10
MONTERO,otras vacunaciones,sr,2023-04-01,6,17,17,21,23,38,61
MORO MORO,otras vacunaciones,sr,2023-04-01,1,0,1,0,2,0,2
MOROCHATA,otras vacunaciones,sr,2023-04-01,0,0,3,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,sr,2023-04-01,0,0,9,11,9,11,20
NAZACARA DE PACAJES,otras vacunaciones,sr,2023-04-01,1,13,4,2,5,15,20
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,sr,2023-04-01,0,0,4,10,4,10,14
OCURI,otras vacunaciones,sr,2023-04-01,0,0,2,1,2,1,3
OKINAWA,otras vacunaciones,sr,2023-04-01,0,0,3,5,3,5,8
OMEREQUE,otras vacunaciones,sr,2023-04-01,1,0,4,3,5,3,8
ORURO,otras vacunaciones,sr,2023-04-01,23,37,459,531,482,568,1050
PADCAYA,otras vacunaciones,sr,2023-04-01,14,10,40,43,54,53,107
PADILLA,otras vacunaciones,sr,2023-04-01,0,0,1,0,1,0,1
PAILON,otras vacunaciones,sr,2023-04-01,3,9,82,91,85,100,185
PALCA,otras vacunaciones,sr,2023-04-01,6,6,18,20,24,26,50
PALOS BLANCOS,otras vacunaciones,sr,2023-04-01,0,0,1,0,1,0,1
PAMPA AULLAGAS,otras vacunaciones,sr,2023-04-01,1,1,0,0,1,1,2
PAPEL PAMPA,otras vacunaciones,sr,2023-04-01,1,2,4,6,5,8,13
PATACAMAYA,otras vacunaciones,sr,2023-04-01,2,0,11,21,13,21,34
PAZÑA,otras vacunaciones,sr,2023-04-01,0,3,7,9,7,12,19
PELECHUCO,otras vacunaciones,sr,2023-04-01,0,2,9,9,9,11,20
POCOATA,otras vacunaciones,sr,2023-04-01,2,2,57,44,59,46,105
POCONA,otras vacunaciones,sr,2023-04-01,2,1,39,32,41,33,74
POJO (CBBA),otras vacunaciones,sr,2023-04-01,0,0,1,3,1,3,4
POOPO,otras vacunaciones,sr,2023-04-01,0,0,19,20,19,20,39
PORCO,otras vacunaciones,sr,2023-04-01,0,0,75,95,75,95,170
POROMA,otras vacunaciones,sr,2023-04-01,2,0,1,4,3,4,7
PORONGO,otras vacunaciones,sr,2023-04-01,7,2,6,3,13,5,18
PORTACHUELO,otras vacunaciones,sr,2023-04-01,5,2,39,46,44,48,92
PORVENIR,otras vacunaciones,sr,2023-04-01,0,0,0,7,0,7,7
POSTRER VALLE,otras vacunaciones,sr,2023-04-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,sr,2023-04-01,85,222,618,1104,703,1326,2029
PRESTO,otras vacunaciones,sr,2023-04-01,7,9,47,55,54,64,118
PUCARA,otras vacunaciones,sr,2023-04-01,0,2,2,0,2,2,4
PUCARANI,otras vacunaciones,sr,2023-04-01,17,25,86,81,103,106,209
PUERTO ACOSTA,otras vacunaciones,sr,2023-04-01,0,0,5,3,5,3,8
PUERTO CARABUCO,otras vacunaciones,sr,2023-04-01,0,0,35,23,35,23,58
