,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,4,0,1,2,5,7
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,26,7,0,0,26,7,33
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,22,22,21,30,43,73
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,26,35,2,6,28,41,69
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,3,0,0,0,3,3
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,3,1,0,1,3,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,2,2,3,2,5
CUEVO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,11,3,11,25,22,28,50
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,7,11,0,2,7,13,20
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,1,12,1,20,2,22
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,2,5,2,7,9
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,180,194,169,180,349,374,723
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,1,1,1,2
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,1,0,2,0,2
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,3,13,21,13,24,37
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,12,12,9,5,21,17,38
EL VILLAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,1,1,2,2,4
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,15,0,26,20,41,20,61
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,8,31,16,35,24,59
ESCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,0,1,1,2
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,2,1,2,2,4
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,5,0,0,2,5,7
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,3,0,0,1,3,4
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,3,2,4,3,7
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,8,3,8,11
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,1,1,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,8,0,0,3,8,11
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,4,7,7,10,11,21
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,4,4,3,8,7,15
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,1,1,2,3
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,1,0,2,4,3,7
GUTIERREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,0,0,0,2,2
HUACHACALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,10,2,9,10,19,29
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,14,25,0,0,14,25,39
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,3,0,4,0,4
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,2,12,3,12,15
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,1,0,2,1,3
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,0,2,0,2
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,5,3,5,3,8
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,3,19,13,22,16,38
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,9,3,1,5,10,8,18
INGAVI (HUMAITA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,6,4,6,4,10
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,1,2,1,3,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,5,8,5,14,10,24
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,5,11,11,15,16,31
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,4,9,9,10,13,23
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,3,16,15,20,18,38
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,51,39,1,4,52,43,95
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,330,626,990,1159,1320,1785,3105
LA RIVERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,1,6,2,7,9
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,3,0,0,2,3,5
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,6,7,7,9,13,22
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,1,3,2,3,5
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,3,1,1,1,4,5
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,21,21,47,66,68,87,155
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,3,3,4,4,8
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,3,7,10,9,13,22
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,12,5,4,1,16,6,22
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,4,3,4,3,7
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,12,0,0,5,12,17
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,3,53,47,57,50,107
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,9,4,25,25,34,29,63
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,5,4,2,5,7,12
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,4,3,4,6,8,14
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,46,59,55,6,101,65,166
MORO MORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,9,9,9,10,19
MOROCHATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,1,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,5,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,1,2,1,2,3
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,6,12,6,12,18
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,3,0,1,0,4,4
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,48,39,48,39,87
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,196,205,31,43,227,248,475
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,2,1,0,7,2,9
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,10,27,32,29,42,71
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,15,5,14,9,29,14,43
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,7,10,11,15,18,33
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,0,1,2,2,4
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,3,7,8,10,11,21
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,62,35,11,20,73,55,128
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,5,3,5,5,10
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,11,7,20,16,31,23,54
POCOATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,0,0,0,2,2
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,4,40,31,46,35,81
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,7,1,2,9,9,18
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,5,0,0,3,5,8
POROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,3,10,17,11,20,31
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,7,9,1,0,8,9,17
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,3,1,4,6,7,13
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,2,6,4,7,6,13
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,3,0,0,2,3,5
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,54,94,25,36,79,130,209
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,4,1,2,2,6,8
PUCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,5,17,14,19,19,38
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,2,0,1,1,3,4
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,45,11,45,12,57
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,3,1,4,5,7,12
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,1,0,1,0,1
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,2,9,18,10,20,30
PUERTO SILES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,2,3,2,5
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,9,33,43,35,52,87
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,1,0,1,0,1
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,12,11,26,41,38,52,90
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,103,146,117,234,220,380,600
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,4,2,4,6
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,17,13,19,24,36,37,73
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,3,1,3,6,6,12
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,15,8,1,7,16,15,31
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,19,2,1,5,20,25
RURRENABAQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,0,40,1,42,1,43
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,110,278,128,215,238,493,731
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,10,14,10,14,24
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,0,1,0,1
SAIPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,5,51,54,55,59,114
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,1,4,7,8,8,16
SAMAIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,4,4,5,4,9
SAN ANDRES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,0,0,0,2,0,2
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,0,2,0,2
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,14,41,0,0,14,41,55
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,3,2,2,5,5,10
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,1,5,1,5,6
SAN CARLOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,1,0,3,1,4
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,9,0,0,3,9,12
SAN JOAQUIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,1,7,1,9,10
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,9,0,0,4,9,13
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,3,0,0,3,3,6
SAN JULIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,15,7,4,13,19,32
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,5,8,5,8,13
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,6,2,2,8,8,16
SAN LUCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,13,24,29,35,42,59,101
SAN MATIAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,0,1,1,3,1,4
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,21,1,5,4,26,30
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,0,1,1,2
SAN PEDRO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,0,0,2,1,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,4,12,6,13,19
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,3,1,5,3,8
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,1,0,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,4,1,0,2,4,6
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,26,48,26,48,74
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,18,0,0,8,18,26
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,799,798,243,312,1042,1110,2152
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,2,1,3,2,5
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,3,1,4,5
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,15,20,15,20,30,50
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,5,2,2,5,7,12
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,5,10,5,10,15
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,6,0,0,3,6,9
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,8,10,8,10,18
SAPAHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,0,1,0,2,2
SENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,2,8,5,9,7,16
SHINAOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,10,94,8,97,18,115
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,0,0,2,1,3
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,3,2,3,5
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,6,19,34,25,40,65
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,0,0,2,2,4
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,4,4,3,4,7,11
SUCRE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,84,141,65,179,149,320,469
TACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,0,4,0,5,5
TACACOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,5,4,5,5,10
TACOBAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,4,3,4,7
TACOPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,6,23,34,29,40,69
TAHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,12,9,12,9,21
TAPACARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,25,48,36,34,61,82,143
TARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,0,0,0,1,1
TARACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,4,0,0,6,4,10
TARATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,2,89,17,90,19,109
TARIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,41,57,1,5,42,62,104
TARVITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,8,6,4,11,12,23
TEOPONTE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,2,13,15,18,17,35
TIAHUANACU,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,10,0,4,4,14,18
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,0,0,3,1,3,4
TIPUANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,13,15,13,15,28
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,35,82,47,95,82,177,259
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,6,13,10,19,16,35
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,1,0,0,0,1,1
TOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,11,12,2,5,13,17,30
TOLATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,63,42,63,44,107
TOLEDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,10,2,1,10,11,21
TOMAVE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,0,2,0,2
TOMINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,9,7,15,21,24,28,52
TORO TORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,0,1,1,2
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,9,7,30,32,39,39,78
TOTORA(ORR),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,2,4,4,6,10
TRIGAL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,2,1,2,1,3
TRINIDAD,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,14,25,38,14,52,39,91
TUPIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,13,37,4,8,17,45,62
TURCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,4,0,0,6,4,10
UMALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,2,2,2,2,4,6
UNCIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,4,3,12,4,16,7,23
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,0,1,1,2
URUBICHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,8,3,8,11
UYUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,26,10,18,6,44,16,60
VACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,1,1,2,3
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,11,13,24,21,35,56
VILA VILA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,3,12,15,13,18,31
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,1,0,0,1,1,2
VILLA MONTES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,42,12,73,4,115,16,131
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,9,12,9,12,21
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,13,5,0,0,13,5,18
VILLA SERRANO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,14,18,16,20,36
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,9,13,89,45,98,58,156
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,5,4,6,12,11,23
VILLAZON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,16,64,30,26,46,90,136
VINTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,42,77,14,32,56,109,165
VITICHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,0,0,3,10,3,10,13
WALDO BALLIVIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,0,0,0,3,0,3
WARNES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,27,33,42,52,69,85,154
YACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,5,3,3,2,8,5,13
YACUIBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,8,5,84,44,92,49,141
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,6,6,3,5,9,11,20
YANACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,42,69,44,71,115
YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,21,6,0,0,21,6,27
YOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,2,0,2,2,4,6
YOTALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,3,1,0,4,3,5,8
YUNCHARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,1,3,10,13,11,16,27
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-03-01,2,1,16,25,18,26,44
ACHACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,5,16,20,24,25,49
ACHOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,19,12,33,18,52,70
AIQUILE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,10,19,25,41,35,60,95
ALALAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,7,0,1,8,8,16
ALCALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,2,1,2,3,5
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,4,4,5,9,9,18
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,5,15,19,18,24,42
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,5,0,0,1,5,6
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,0,2,0,2
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,16,16,16,17,33
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,8,9,8,9,17
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,32,31,3,10,35,41,76
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,25,18,25,18,43
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,1,31,35,34,36,70
AUCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,5,5,5,5,10
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,6,5,7,9,16
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,69,80,69,80,149
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,20,56,61,63,81,144
