municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,12,12
COLQUECHACA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,8,8
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,2,2
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,51,51
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
MOCOMOCO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,6,6
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
SAN BORJA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,13,13
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,6,6
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,4,4
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
YOTALA,tuberculosis,n de tb extrapulmonar nuevos,2008-11-01,1,1
AYO AYO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
CHALLAPATA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,13,13
COLQUECHACA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,2,2
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,16,16
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,2,2
JESUS DE MACHACA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,34,34
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,5,5
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,7,7
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,6,6
PUCARANI,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,6,6
SAN CARLOS,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
SAN IGNACIO,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,2,2
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,19,19
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,4,4
TAPACARI,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,4,4
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,2,2
UYUNI,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-12-01,8,8
