municipality,group,variable,month,N° de Sintomáticos Respiratorios,TOTAL
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
CALACOTO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
CALAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,14,14
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,20,20
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,13,13
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,102,102
CARANGAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,20,20
CHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,15,15
CHARAÑA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
CHOQUE COTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2008-04-01,39,39
CHUMA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
CLIZA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
COBIJA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,46,46
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,356,356
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,37,37
"COLCHA ""K""",tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
COLOMI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,13,13
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,13,13
COMANCHE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,17,17
COMBAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,34,34
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
COROICO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,35,35
CORQUE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
COTOCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,33,33
CUEVO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
CULPINA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,14,14
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
CURVA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
EL ALTO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,538,538
EL CHORO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
EL PUENTE(STC),tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
EL PUENTE(TJA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
EL TORNO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,56,56
EL VILLAR,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,49,49
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,26,26
EUCALIPTUS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
EUREKA (SANTOS MERCADO),tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
FERNANDEZ ALONSO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
GUANAY,tuberculosis,n de sintomaticos respiratorios,2008-04-01,17,17
GUAQUI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
GUAYARAMERIN,tuberculosis,n de sintomaticos respiratorios,2008-04-01,36,36
GUTIERREZ,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
HUACARETA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
HUACAYA (VILLA DE HUACAYA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
HUACHACALLA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
HUANUNI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,26,26
HUAYLLAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
ICHOCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
ICLA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
INCAHUASI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,19,19
INQUISIVI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
IRUPANA (VILLA DE LANZA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,15,15
IXIAMAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
JESUS DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
LA ASUNTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,49,49
LA GUARDIA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,88,88
LA PAZ,tuberculosis,n de sintomaticos respiratorios,2008-04-01,618,618
LAGUNILLAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
LAJA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,9,9
LAS CARRERAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
LLALLAGUA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,32,32
LURIBAY,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
MACHACAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
MACHARETI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
MAGDALENA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
MAIRANA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
MAPIRI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,16,16
MECAPACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
MIZQUE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,27,27
MOCOMOCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
MOJOCOYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
MONTEAGUDO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,69,69
MONTERO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,22,22
MOROCHATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
OCURI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,9,9
OKINAWA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,9,9
OMEREQUE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
ORURO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,244,244
PADCAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
PADILLA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,14,14
PALCA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
PALOS BLANCOS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,42,42
PAMPA AULLAGAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
PAMPA GRANDE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
PAPEL PAMPA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
PASORAPA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
PATACAMAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
PAZÑA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
POCOATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,14,14
POCONA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
POJO (CBBA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
POOPO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
PORCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
POROMA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,14,14
PORONGO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,19,19
PORTACHUELO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,21,21
PORVENIR,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
POTOSI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,90,90
PRESTO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
PUCARANI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
PUERTO ACOSTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,17,17
PUERTO CARABUCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
PUERTO GONZALO MORENO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
PUERTO PEREZ,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
PUERTO RICO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
PUERTO SILES,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
PUERTO VILLARROEL,tuberculosis,n de sintomaticos respiratorios,2008-04-01,68,68
PUNA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,19,19
PUNATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,26,26
QUIABAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
QUILLACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,68,68
QUIME,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
QUIRUSILLAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
RAVELO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
REYES,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
RIBERALTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,89,89
ROBORE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,13,13
RURRENABAQUE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
SABAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
SACABA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,106,106
SACABAMBA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
SACACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
SAIPINA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
SALINAS DE GARCI MENDOZA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
SAMAIPATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
SAN AGUSTIN,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
SAN ANDRES DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
SAN ANTONIO DE LOMERIO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
SAN BENITO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
SAN BORJA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,33,33
SAN BUENA VENTURA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
SAN CARLOS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,15,15
SAN IGNACIO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
SAN IGNACIO DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,29,29
SAN JAVIER(STC),tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
SAN JOSE DE CHIQUITOS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
SAN JULIAN,tuberculosis,n de sintomaticos respiratorios,2008-04-01,16,16
SAN LORENZO(TJA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
SAN LUCAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,23,23
SAN MIGUEL DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
SAN PEDRO DE BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,19,19
SAN RAFAEL,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
SAN RAMON,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
SAN RAMON,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
SANTA ANA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
SANTA CRUZ DE LA SIERRA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,513,513
SANTA ROSA DEL SARA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,26,26
SANTIAGO DE HUARI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
SANTIAGO DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
SANTIVAÑES,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
SANTUARIO DE QUILLACAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
SAPAHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
SICA SICA (VILLA AROMA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
SIPE SIPE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
SOPACHUY,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
SORACACHI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
SORATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,21,21
SUCRE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,196,196
TACACOMA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
TACOBAMBA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
TACOPAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
TAPACARI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,17,17
TARABUCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,41,41
TARACO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
TARATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
TARIJA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,172,172
TARVITA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,16,16
TEOPONTE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,9,9
TIAWANACU,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
TINGUIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
TIPUANI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,27,27
TIQUIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,33,33
TIRAQUE (CBBA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,41,41
TITO YUPANQUI (PARQUIPUJIO),tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
TOCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
TOLATA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
TOLEDO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
TOMAVE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,5,5
TOMINA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
TORO TORO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
TOTORA(CBBA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
TRIGAL,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
TRINIDAD,tuberculosis,n de sintomaticos respiratorios,2008-04-01,85,85
TUPIZA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,42,42
TURCO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
UMALA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
UNCIA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,9,9
URIONDO (A. CONCEPCION),tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
UYUNI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,15,15
VACAS,tuberculosis,n de sintomaticos respiratorios,2008-04-01,8,8
VALLEGRANDE,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
VIACHA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,31,31
VILLA MONTES,tuberculosis,n de sintomaticos respiratorios,2008-04-01,43,43
VILLA NUEVA (LOMA ALTA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
VILLA RIVERO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
VILLA SERRANO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,12,12
VILLA TUNARI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,163,163
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de sintomaticos respiratorios,2008-04-01,10,10
VILLAZON,tuberculosis,n de sintomaticos respiratorios,2008-04-01,19,19
VINTO,tuberculosis,n de sintomaticos respiratorios,2008-04-01,23,23
VITICHI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,6,6
WALDO BALLIVIAN,tuberculosis,n de sintomaticos respiratorios,2008-04-01,1,1
WARNES,tuberculosis,n de sintomaticos respiratorios,2008-04-01,75,75
YACUIBA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,156,156
YAMPARAEZ,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
YANACACHI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,4,4
YAPACANI,tuberculosis,n de sintomaticos respiratorios,2008-04-01,98,98
YOCALLA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,2,2
YOTALA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,11,11
YUNCHARA,tuberculosis,n de sintomaticos respiratorios,2008-04-01,3,3
ZUDAÑEZ,tuberculosis,n de sintomaticos respiratorios,2008-04-01,7,7
ACHACACHI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,18,18
ACHOCALLA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,6,6
AIQUILE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,12,12
ALCALA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
ANCORAIMES,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,7,7
ANZALDO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
ARAMPAMPA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
ARBIETO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
ARQUE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,6,6
ATOCHA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,28,28
AUCAPATA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
AYATA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
AYO AYO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de sintomaticos respiratorios,2008-05-01,16,16
AZURDUY,tuberculosis,n de sintomaticos respiratorios,2008-05-01,7,7
BATALLAS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
BELEN DE ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
BERMEJO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,111,111
BETANZOS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,11,11
BOLIVAR,tuberculosis,n de sintomaticos respiratorios,2008-05-01,5,5
BOYUIBE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,21,21
CABEZAS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
CAIROMA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
"CAIZA ""D""",tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
CALAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,27,27
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,15,15
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,105,105
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,6,6
CARMEN RIVERO TORREZ,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
CATACORA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,24,24
CHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,12,12
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,12,12
CHIPAYA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2008-05-01,37,37
CHUMA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
CLIZA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,11,11
COBIJA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,44,44
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,299,299
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,28,28
"COLCHA ""K""",tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
COLLANA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
COLOMI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,10,10
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,15,15
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
COMANCHE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,13,13
COMBAYA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
CONCEPCION,tuberculosis,n de sintomaticos respiratorios,2008-05-01,26,26
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,22,22
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
COROICO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,21,21
CORQUE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
COTOCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,27,27
CUEVO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
CULPINA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,20,20
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
CURVA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,3,3
DESAGUADERO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
EL ALTO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,492,492
EL CHORO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,5,5
EL PUENTE(STC),tuberculosis,n de sintomaticos respiratorios,2008-05-01,8,8
EL PUENTE(TJA),tuberculosis,n de sintomaticos respiratorios,2008-05-01,13,13
EL TORNO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,70,70
EL VILLAR,tuberculosis,n de sintomaticos respiratorios,2008-05-01,9,9
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,24,24
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,29,29
ESCARA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
EUCALIPTUS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
FERNANDEZ ALONSO,tuberculosis,n de sintomaticos respiratorios,2008-05-01,16,16
GENERAL SAAVEDRA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,14,14
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
GUANAY,tuberculosis,n de sintomaticos respiratorios,2008-05-01,14,14
GUAQUI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
GUAYARAMERIN,tuberculosis,n de sintomaticos respiratorios,2008-05-01,28,28
GUTIERREZ,tuberculosis,n de sintomaticos respiratorios,2008-05-01,5,5
HUACARETA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
HUACHACALLA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
HUANUNI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,14,14
HUARACAJE,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
HUAYLLAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,2,2
ICHOCA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
ICLA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,6,6
INCAHUASI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,16,16
INQUISIVI,tuberculosis,n de sintomaticos respiratorios,2008-05-01,5,5
IRUPANA (VILLA DE LANZA),tuberculosis,n de sintomaticos respiratorios,2008-05-01,14,14
JESUS DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,6,6
LA ASUNTA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,59,59
LA GUARDIA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,76,76
LA PAZ,tuberculosis,n de sintomaticos respiratorios,2008-05-01,530,530
LAGUNILLAS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,4,4
LAJA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,13,13
LAS CARRERAS,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
LICOMA PAMPA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,1,1
LLALLAGUA,tuberculosis,n de sintomaticos respiratorios,2008-05-01,18,18
