,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
MOJOCOYA,atencion odontologica,restauraciones,2013-03-01,21,24,21,24,45
MONTEAGUDO,atencion odontologica,restauraciones,2013-03-01,95,244,95,244,339
MONTERO,atencion odontologica,restauraciones,2013-03-01,178,357,178,357,535
MORO MORO,atencion odontologica,restauraciones,2013-03-01,2,8,2,8,10
MOROCHATA,atencion odontologica,restauraciones,2013-03-01,17,80,17,80,97
OCURI,atencion odontologica,restauraciones,2013-03-01,4,26,4,26,30
OKINAWA,atencion odontologica,restauraciones,2013-03-01,4,8,4,8,12
OMEREQUE,atencion odontologica,restauraciones,2013-03-01,3,11,3,11,14
ORURO,atencion odontologica,restauraciones,2013-03-01,821,1433,821,1433,2254
PADCAYA,atencion odontologica,restauraciones,2013-03-01,29,84,29,84,113
PADILLA,atencion odontologica,restauraciones,2013-03-01,29,51,29,51,80
PAILON,atencion odontologica,restauraciones,2013-03-01,66,136,66,136,202
PALCA,atencion odontologica,restauraciones,2013-03-01,32,46,32,46,78
PALOS BLANCOS,atencion odontologica,restauraciones,2013-03-01,32,61,32,61,93
PAMPA AULLAGAS,atencion odontologica,restauraciones,2013-03-01,5,18,5,18,23
PAMPA GRANDE,atencion odontologica,restauraciones,2013-03-01,6,20,6,20,26
PAPEL PAMPA,atencion odontologica,restauraciones,2013-03-01,30,51,30,51,81
PASORAPA,atencion odontologica,restauraciones,2013-03-01,6,14,6,14,20
PATACAMAYA,atencion odontologica,restauraciones,2013-03-01,25,86,25,86,111
PAZÑA,atencion odontologica,restauraciones,2013-03-01,22,25,22,25,47
PELECHUCO,atencion odontologica,restauraciones,2013-03-01,25,49,25,49,74
POCOATA,atencion odontologica,restauraciones,2013-03-01,5,11,5,11,16
POCONA,atencion odontologica,restauraciones,2013-03-01,33,98,33,98,131
POJO (CBBA),atencion odontologica,restauraciones,2013-03-01,131,160,131,160,291
POOPO,atencion odontologica,restauraciones,2013-03-01,25,48,25,48,73
PORCO,atencion odontologica,restauraciones,2013-03-01,11,17,11,17,28
POROMA,atencion odontologica,restauraciones,2013-03-01,16,28,16,28,44
PORONGO,atencion odontologica,restauraciones,2013-03-01,1,8,1,8,9
PORTACHUELO,atencion odontologica,restauraciones,2013-03-01,28,94,28,94,122
PORVENIR,atencion odontologica,restauraciones,2013-03-01,18,29,18,29,47
POSTRER VALLE,atencion odontologica,restauraciones,2013-03-01,14,14,14,14,28
POTOSI,atencion odontologica,restauraciones,2013-03-01,885,1513,885,1513,2398
PRESTO,atencion odontologica,restauraciones,2013-03-01,14,25,14,25,39
PUCARA,atencion odontologica,restauraciones,2013-03-01,8,6,8,6,14
PUCARANI,atencion odontologica,restauraciones,2013-03-01,22,72,22,72,94
PUERTO ACOSTA,atencion odontologica,restauraciones,2013-03-01,7,7,7,7,14
PUERTO CARABUCO,atencion odontologica,restauraciones,2013-03-01,45,61,45,61,106
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2013-03-01,54,81,54,81,135
PUERTO QUIJARRO,atencion odontologica,restauraciones,2013-03-01,18,59,18,59,77
PUERTO RICO,atencion odontologica,restauraciones,2013-03-01,7,7,7,7,14
PUERTO SILES,atencion odontologica,restauraciones,2013-03-01,23,35,23,35,58
PUERTO SUAREZ,atencion odontologica,restauraciones,2013-03-01,28,48,28,48,76
PUERTO VILLARROEL,atencion odontologica,restauraciones,2013-03-01,94,219,94,219,313
PUNA,atencion odontologica,restauraciones,2013-03-01,15,65,15,65,80
PUNATA,atencion odontologica,restauraciones,2013-03-01,163,283,163,283,446
QUIABAYA,atencion odontologica,restauraciones,2013-03-01,7,51,7,51,58
QUILLACOLLO,atencion odontologica,restauraciones,2013-03-01,610,903,610,903,1513
QUIME,atencion odontologica,restauraciones,2013-03-01,57,63,57,63,120
QUIRUSILLAS,atencion odontologica,restauraciones,2013-03-01,23,9,23,9,32
RAVELO,atencion odontologica,restauraciones,2013-03-01,3,20,3,20,23
REYES,atencion odontologica,restauraciones,2013-03-01,7,11,7,11,18
RIBERALTA,atencion odontologica,restauraciones,2013-03-01,54,196,54,196,250
ROBORE,atencion odontologica,restauraciones,2013-03-01,11,11,11,11,22
RURRENABAQUE,atencion odontologica,restauraciones,2013-03-01,63,74,63,74,137
SABAYA,atencion odontologica,restauraciones,2013-03-01,12,13,12,13,25
SACABA,atencion odontologica,restauraciones,2013-03-01,276,420,276,420,696
SACABAMBA,atencion odontologica,restauraciones,2013-03-01,6,14,6,14,20
SACACA,atencion odontologica,restauraciones,2013-03-01,10,26,10,26,36
SAIPINA,atencion odontologica,restauraciones,2013-03-01,20,27,20,27,47
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2013-03-01,101,164,101,164,265
SAMAIPATA,atencion odontologica,restauraciones,2013-03-01,10,50,10,50,60
SAN AGUSTIN,atencion odontologica,restauraciones,2013-03-01,1,0,1,0,1
SAN ANDRES,atencion odontologica,restauraciones,2013-03-01,4,10,4,10,14
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2013-03-01,67,98,67,98,165
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2013-03-01,3,21,3,21,24
SAN BENITO,atencion odontologica,restauraciones,2013-03-01,29,107,29,107,136
SAN BORJA,atencion odontologica,restauraciones,2013-03-01,86,164,86,164,250
SAN BUENA VENTURA,atencion odontologica,restauraciones,2013-03-01,18,38,18,38,56
SAN CARLOS,atencion odontologica,restauraciones,2013-03-01,35,88,35,88,123
SAN IGNACIO,atencion odontologica,restauraciones,2013-03-01,49,125,49,125,174
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2013-03-01,125,140,125,140,265
SAN JAVIER(STC),atencion odontologica,restauraciones,2013-03-01,14,20,14,20,34
SAN JOAQUIN,atencion odontologica,restauraciones,2013-03-01,26,23,26,23,49
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2013-03-01,42,58,42,58,100
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2013-03-01,8,13,8,13,21
SAN JULIAN,atencion odontologica,restauraciones,2013-03-01,35,60,35,60,95
SAN LORENZO(PND),atencion odontologica,restauraciones,2013-03-01,1,2,1,2,3
SAN LORENZO(TJA),atencion odontologica,restauraciones,2013-03-01,61,144,61,144,205
SAN LUCAS,atencion odontologica,restauraciones,2013-03-01,182,254,182,254,436
SAN MATIAS,atencion odontologica,restauraciones,2013-03-01,13,33,13,33,46
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2013-03-01,12,21,12,21,33
SAN PEDRO,atencion odontologica,restauraciones,2013-03-01,40,51,40,51,91
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2013-03-01,32,78,32,78,110
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2013-03-01,35,51,35,51,86
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2013-03-01,35,59,35,59,94
SAN RAFAEL,atencion odontologica,restauraciones,2013-03-01,18,19,18,19,37
SAN RAMON BENI,atencion odontologica,restauraciones,2013-03-01,22,48,22,48,70
SAN RAMON SCZ,atencion odontologica,restauraciones,2013-03-01,33,42,33,42,75
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2013-03-01,1786,3214,1786,3214,5000
SANTA ROSA,atencion odontologica,restauraciones,2013-03-01,8,13,8,13,21
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2013-03-01,25,56,25,56,81
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2013-03-01,2,0,2,0,2
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2013-03-01,172,155,172,155,327
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2013-03-01,12,79,12,79,91
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2013-03-01,13,29,13,29,42
SANTIVAÑES,atencion odontologica,restauraciones,2013-03-01,25,42,25,42,67
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2013-03-01,12,7,12,7,19
SAPAHAQUI,atencion odontologica,restauraciones,2013-03-01,41,19,41,19,60
SENA,atencion odontologica,restauraciones,2013-03-01,88,96,88,96,184
SHINAOTA,atencion odontologica,restauraciones,2013-03-01,38,112,38,112,150
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2013-03-01,23,33,23,33,56
SICAYA,atencion odontologica,restauraciones,2013-03-01,0,13,0,13,13
SIPE SIPE,atencion odontologica,restauraciones,2013-03-01,95,199,95,199,294
SOPACHUY,atencion odontologica,restauraciones,2013-03-01,22,73,22,73,95
SORACACHI,atencion odontologica,restauraciones,2013-03-01,13,22,13,22,35
SORATA,atencion odontologica,restauraciones,2013-03-01,43,58,43,58,101
SUCRE,atencion odontologica,restauraciones,2013-03-01,2221,3601,2221,3601,5822
TACACOMA,atencion odontologica,restauraciones,2013-03-01,34,37,34,37,71
TACOPAYA,atencion odontologica,restauraciones,2013-03-01,3,27,3,27,30
TAHUA,atencion odontologica,restauraciones,2013-03-01,2,3,2,3,5
TAPACARI,atencion odontologica,restauraciones,2013-03-01,69,110,69,110,179
TARABUCO,atencion odontologica,restauraciones,2013-03-01,32,72,32,72,104
TARACO,atencion odontologica,restauraciones,2013-03-01,68,57,68,57,125
TARATA,atencion odontologica,restauraciones,2013-03-01,33,86,33,86,119
TARIJA,atencion odontologica,restauraciones,2013-03-01,1231,2388,1231,2388,3619
TARVITA,atencion odontologica,restauraciones,2013-03-01,36,56,36,56,92
TEOPONTE,atencion odontologica,restauraciones,2013-03-01,21,87,21,87,108
TIAWANACU,atencion odontologica,restauraciones,2013-03-01,13,33,13,33,46
TINGUIPAYA,atencion odontologica,restauraciones,2013-03-01,15,10,15,10,25
TIQUIPAYA,atencion odontologica,restauraciones,2013-03-01,447,905,447,905,1352
TIRAQUE (CBBA),atencion odontologica,restauraciones,2013-03-01,7,63,7,63,70
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2013-03-01,4,0,4,0,4
TOCO,atencion odontologica,restauraciones,2013-03-01,28,51,28,51,79
TOLATA,atencion odontologica,restauraciones,2013-03-01,16,20,16,20,36
TOLEDO,atencion odontologica,restauraciones,2013-03-01,20,22,20,22,42
TOMAVE,atencion odontologica,restauraciones,2013-03-01,37,26,37,26,63
TOMINA,atencion odontologica,restauraciones,2013-03-01,37,74,37,74,111
TORO TORO,atencion odontologica,restauraciones,2013-03-01,14,10,14,10,24
TOTORA(CBBA),atencion odontologica,restauraciones,2013-03-01,25,49,25,49,74
TOTORA(ORR),atencion odontologica,restauraciones,2013-03-01,4,8,4,8,12
TRIGAL,atencion odontologica,restauraciones,2013-03-01,8,5,8,5,13
TRINIDAD,atencion odontologica,restauraciones,2013-03-01,204,398,204,398,602
TUPIZA,atencion odontologica,restauraciones,2013-03-01,131,229,131,229,360
TURCO,atencion odontologica,restauraciones,2013-03-01,0,13,0,13,13
UMALA,atencion odontologica,restauraciones,2013-03-01,12,18,12,18,30
UNCIA,atencion odontologica,restauraciones,2013-03-01,89,22,89,22,111
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2013-03-01,123,299,123,299,422
URUBICHA,atencion odontologica,restauraciones,2013-03-01,1,5,1,5,6
UYUNI,atencion odontologica,restauraciones,2013-03-01,33,33,33,33,66
VACAS,atencion odontologica,restauraciones,2013-03-01,14,35,14,35,49
VALLEGRANDE,atencion odontologica,restauraciones,2013-03-01,77,163,77,163,240
VIACHA,atencion odontologica,restauraciones,2013-03-01,138,137,138,137,275
VILA VILA,atencion odontologica,restauraciones,2013-03-01,27,32,27,32,59
VILLA CHARCAS,atencion odontologica,restauraciones,2013-03-01,3,12,3,12,15
VILLA MONTES,atencion odontologica,restauraciones,2013-03-01,220,369,220,369,589
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2013-03-01,2,7,2,7,9
VILLA RIVERO,atencion odontologica,restauraciones,2013-03-01,6,28,6,28,34
VILLA SERRANO,atencion odontologica,restauraciones,2013-03-01,67,106,67,106,173
VILLA TUNARI,atencion odontologica,restauraciones,2013-03-01,144,380,144,380,524
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2013-03-01,78,99,78,99,177
VILLAZON,atencion odontologica,restauraciones,2013-03-01,71,156,71,156,227
VINTO,atencion odontologica,restauraciones,2013-03-01,61,163,61,163,224
VITICHI,atencion odontologica,restauraciones,2013-03-01,26,48,26,48,74
WALDO BALLIVIAN,atencion odontologica,restauraciones,2013-03-01,3,0,3,0,3
WARNES,atencion odontologica,restauraciones,2013-03-01,56,78,56,78,134
YACO,atencion odontologica,restauraciones,2013-03-01,0,6,0,6,6
YACUIBA,atencion odontologica,restauraciones,2013-03-01,308,569,308,569,877
YAMPARAEZ,atencion odontologica,restauraciones,2013-03-01,8,12,8,12,20
YANACACHI,atencion odontologica,restauraciones,2013-03-01,6,11,6,11,17
YAPACANI,atencion odontologica,restauraciones,2013-03-01,95,351,95,351,446
YOCALLA,atencion odontologica,restauraciones,2013-03-01,5,14,5,14,19
YOTALA,atencion odontologica,restauraciones,2013-03-01,13,36,13,36,49
YUNCHARA,atencion odontologica,restauraciones,2013-03-01,45,63,45,63,108
ZUDAÑEZ,atencion odontologica,restauraciones,2013-03-01,14,9,14,9,23
ACACIO,atencion odontologica,restauraciones,2013-04-01,9,16,9,16,25
ACHACACHI,atencion odontologica,restauraciones,2013-04-01,103,142,103,142,245
ACHOCALLA,atencion odontologica,restauraciones,2013-04-01,67,62,67,62,129
AIQUILE,atencion odontologica,restauraciones,2013-04-01,85,190,85,190,275
ALCALA,atencion odontologica,restauraciones,2013-04-01,18,54,18,54,72
ALTO BENI,atencion odontologica,restauraciones,2013-04-01,7,22,7,22,29
ANCORAIMES,atencion odontologica,restauraciones,2013-04-01,5,14,5,14,19
ANDAMARCA,atencion odontologica,restauraciones,2013-04-01,21,31,21,31,52
ANTEQUERA,atencion odontologica,restauraciones,2013-04-01,29,34,29,34,63
ANZALDO,atencion odontologica,restauraciones,2013-04-01,4,30,4,30,34
APOLO,atencion odontologica,restauraciones,2013-04-01,14,44,14,44,58
ARAMPAMPA,atencion odontologica,restauraciones,2013-04-01,6,7,6,7,13
ARANI,atencion odontologica,restauraciones,2013-04-01,25,60,25,60,85
ARBIETO,atencion odontologica,restauraciones,2013-04-01,40,90,40,90,130
ARQUE,atencion odontologica,restauraciones,2013-04-01,21,45,21,45,66
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2013-04-01,14,60,14,60,74
ATOCHA,atencion odontologica,restauraciones,2013-04-01,189,211,189,211,400
AUCAPATA,atencion odontologica,restauraciones,2013-04-01,0,2,0,2,2
AYATA,atencion odontologica,restauraciones,2013-04-01,5,13,5,13,18
AYO AYO,atencion odontologica,restauraciones,2013-04-01,16,8,16,8,24
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2013-04-01,134,172,134,172,306
AZURDUY,atencion odontologica,restauraciones,2013-04-01,10,61,10,61,71
BATALLAS,atencion odontologica,restauraciones,2013-04-01,28,65,28,65,93
BAURES,atencion odontologica,restauraciones,2013-04-01,18,20,18,20,38
BELEN DE URMIRI,atencion odontologica,restauraciones,2013-04-01,4,8,4,8,12
BELLA FLOR,atencion odontologica,restauraciones,2013-04-01,55,53,55,53,108
BERMEJO,atencion odontologica,restauraciones,2013-04-01,194,290,194,290,484
BETANZOS,atencion odontologica,restauraciones,2013-04-01,67,169,67,169,236
BOLIVAR,atencion odontologica,restauraciones,2013-04-01,5,19,5,19,24
BOLPEBRA,atencion odontologica,restauraciones,2013-04-01,3,4,3,4,7
BOYUIBE,atencion odontologica,restauraciones,2013-04-01,15,23,15,23,38
BUENA VISTA,atencion odontologica,restauraciones,2013-04-01,5,9,5,9,14
CABEZAS,atencion odontologica,restauraciones,2013-04-01,31,42,31,42,73
CAIROMA,atencion odontologica,restauraciones,2013-04-01,2,31,2,31,33
"CAIZA ""D""",atencion odontologica,restauraciones,2013-04-01,24,28,24,28,52
CAJUATA,atencion odontologica,restauraciones,2013-04-01,3,26,3,26,29
CALACOTO,atencion odontologica,restauraciones,2013-04-01,42,64,42,64,106
CALAMARCA,atencion odontologica,restauraciones,2013-04-01,33,82,33,82,115
CAMARGO,atencion odontologica,restauraciones,2013-04-01,45,69,45,69,114
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2013-04-01,15,31,15,31,46
CAMIRI,atencion odontologica,restauraciones,2013-04-01,115,304,115,304,419
CAPINOTA,atencion odontologica,restauraciones,2013-04-01,178,232,178,232,410
CAQUIAVIRI,atencion odontologica,restauraciones,2013-04-01,4,12,4,12,16
CARACOLLO,atencion odontologica,restauraciones,2013-04-01,30,80,30,80,110
CARANAVI,atencion odontologica,restauraciones,2013-04-01,70,69,70,69,139
CARAPARI,atencion odontologica,restauraciones,2013-04-01,83,171,83,171,254
CARIPUYO,atencion odontologica,restauraciones,2013-04-01,23,28,23,28,51
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2013-04-01,10,5,10,5,15
CATACORA,atencion odontologica,restauraciones,2013-04-01,66,45,66,45,111
CHALLAPATA,atencion odontologica,restauraciones,2013-04-01,116,190,116,190,306
CHAQUI,atencion odontologica,restauraciones,2013-04-01,1,7,1,7,8
CHARAGUA,atencion odontologica,restauraciones,2013-04-01,25,65,25,65,90
CHARAÑA,atencion odontologica,restauraciones,2013-04-01,3,0,3,0,3
CHAYANTA,atencion odontologica,restauraciones,2013-04-01,30,46,30,46,76
CHIMORE,atencion odontologica,restauraciones,2013-04-01,47,60,47,60,107
CHIPAYA,atencion odontologica,restauraciones,2013-04-01,6,11,6,11,17
CHOQUE COTA,atencion odontologica,restauraciones,2013-04-01,7,8,7,8,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2013-04-01,18,33,18,33,51
CHUMA,atencion odontologica,restauraciones,2013-04-01,56,55,56,55,111
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2013-04-01,41,37,41,37,78
CKOCHAS,atencion odontologica,restauraciones,2013-04-01,22,28,22,28,50
CLIZA,atencion odontologica,restauraciones,2013-04-01,58,112,58,112,170
COBIJA,atencion odontologica,restauraciones,2013-04-01,177,193,177,193,370
COCAPATA,atencion odontologica,restauraciones,2013-04-01,38,84,38,84,122
COCHABAMBA,atencion odontologica,restauraciones,2013-04-01,4393,6105,4393,6105,10498
COIPASA,atencion odontologica,restauraciones,2013-04-01,13,28,13,28,41
COLCAPIRHUA,atencion odontologica,restauraciones,2013-04-01,139,223,139,223,362
"COLCHA ""K""",atencion odontologica,restauraciones,2013-04-01,13,13,13,13,26
COLLANA,atencion odontologica,restauraciones,2013-04-01,0,4,0,4,4
COLOMI,atencion odontologica,restauraciones,2013-04-01,8,38,8,38,46
COLPA BELGICA,atencion odontologica,restauraciones,2013-04-01,14,45,14,45,59
COLQUECHACA,atencion odontologica,restauraciones,2013-04-01,61,93,61,93,154
COLQUENCHA,atencion odontologica,restauraciones,2013-04-01,26,57,26,57,83
COLQUIRI,atencion odontologica,restauraciones,2013-04-01,35,84,35,84,119
COMANCHE,atencion odontologica,restauraciones,2013-04-01,76,70,76,70,146
COMARAPA,atencion odontologica,restauraciones,2013-04-01,39,70,39,70,109
COMBAYA,atencion odontologica,restauraciones,2013-04-01,12,12,12,12,24
CONCEPCION,atencion odontologica,restauraciones,2013-04-01,33,23,33,23,56
COPACABANA,atencion odontologica,restauraciones,2013-04-01,21,45,21,45,66
CORIPATA,atencion odontologica,restauraciones,2013-04-01,8,9,8,9,17
CORO CORO,atencion odontologica,restauraciones,2013-04-01,9,7,9,7,16
COROICO,atencion odontologica,restauraciones,2013-04-01,92,84,92,84,176
CORQUE,atencion odontologica,restauraciones,2013-04-01,13,9,13,9,22
COTAGAITA,atencion odontologica,restauraciones,2013-04-01,132,190,132,190,322
COTOCA,atencion odontologica,restauraciones,2013-04-01,13,66,13,66,79
CUATRO CAÑADAS,atencion odontologica,restauraciones,2013-04-01,28,82,28,82,110
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2013-04-01,3,16,3,16,19
CUEVO,atencion odontologica,restauraciones,2013-04-01,2,6,2,6,8
CULPINA,atencion odontologica,restauraciones,2013-04-01,6,27,6,27,33
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2013-04-01,6,19,6,19,25
CURVA,atencion odontologica,restauraciones,2013-04-01,11,16,11,16,27
DESAGUADERO,atencion odontologica,restauraciones,2013-04-01,43,25,43,25,68
EL ALTO,atencion odontologica,restauraciones,2013-04-01,3552,5396,3552,5396,8948
EL PUENTE(STC),atencion odontologica,restauraciones,2013-04-01,9,31,9,31,40
EL PUENTE(TJA),atencion odontologica,restauraciones,2013-04-01,38,89,38,89,127
EL TORNO,atencion odontologica,restauraciones,2013-04-01,104,200,104,200,304
EL VILLAR,atencion odontologica,restauraciones,2013-04-01,0,7,0,7,7
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2013-04-01,52,133,52,133,185
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2013-04-01,34,56,34,56,90
ESCOMA,atencion odontologica,restauraciones,2013-04-01,13,20,13,20,33
EUCALIPTUS,atencion odontologica,restauraciones,2013-04-01,45,66,45,66,111
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2013-04-01,34,58,34,58,92
FILADELFIA,atencion odontologica,restauraciones,2013-04-01,38,40,38,40,78
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2013-04-01,15,32,15,32,47
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2013-04-01,15,34,15,34,49
GUANAY,atencion odontologica,restauraciones,2013-04-01,61,18,61,18,79
GUAQUI,atencion odontologica,restauraciones,2013-04-01,12,12,12,12,24
GUAYARAMERIN,atencion odontologica,restauraciones,2013-04-01,279,485,279,485,764
GUTIERREZ,atencion odontologica,restauraciones,2013-04-01,1,14,1,14,15
HUACARETA,atencion odontologica,restauraciones,2013-04-01,29,49,29,49,78
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2013-04-01,9,13,9,13,22
HUACHACALLA,atencion odontologica,restauraciones,2013-04-01,3,6,3,6,9
HUANUNI,atencion odontologica,restauraciones,2013-04-01,63,107,63,107,170
HUARACAJE,atencion odontologica,restauraciones,2013-04-01,19,34,19,34,53
HUATAJATA,atencion odontologica,restauraciones,2013-04-01,6,11,6,11,17
HUAYLLAMARCA,atencion odontologica,restauraciones,2013-04-01,44,49,44,49,93
HUMANATA,atencion odontologica,restauraciones,2013-04-01,1,3,1,3,4
ICHOCA,atencion odontologica,restauraciones,2013-04-01,2,2,2,2,4
ICLA,atencion odontologica,restauraciones,2013-04-01,31,50,31,50,81
INCAHUASI,atencion odontologica,restauraciones,2013-04-01,26,20,26,20,46
INQUISIVI,atencion odontologica,restauraciones,2013-04-01,6,10,6,10,16
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2013-04-01,32,59,32,59,91
IXIAMAS,atencion odontologica,restauraciones,2013-04-01,39,52,39,52,91
JESUS DE MACHACA,atencion odontologica,restauraciones,2013-04-01,16,16,16,16,32
LA ASUNTA,atencion odontologica,restauraciones,2013-04-01,26,68,26,68,94
LA GUARDIA,atencion odontologica,restauraciones,2013-04-01,148,226,148,226,374
LA PAZ,atencion odontologica,restauraciones,2013-04-01,5513,8249,5513,8249,13762
LAGUNILLAS,atencion odontologica,restauraciones,2013-04-01,3,4,3,4,7
LAJA,atencion odontologica,restauraciones,2013-04-01,28,38,28,38,66
LAS CARRERAS,atencion odontologica,restauraciones,2013-04-01,7,9,7,9,16
LICOMA PAMPA,atencion odontologica,restauraciones,2013-04-01,10,13,10,13,23
LLALLAGUA,atencion odontologica,restauraciones,2013-04-01,93,190,93,190,283
LLICA,atencion odontologica,restauraciones,2013-04-01,6,12,6,12,18
LURIBAY,atencion odontologica,restauraciones,2013-04-01,6,11,6,11,17
MACHACAMARCA,atencion odontologica,restauraciones,2013-04-01,5,9,5,9,14
MACHARETI,atencion odontologica,restauraciones,2013-04-01,12,14,12,14,26
MAGDALENA,atencion odontologica,restauraciones,2013-04-01,54,83,54,83,137
MAIRANA,atencion odontologica,restauraciones,2013-04-01,9,45,9,45,54
MALLA,atencion odontologica,restauraciones,2013-04-01,4,9,4,9,13
MAPIRI,atencion odontologica,restauraciones,2013-04-01,47,61,47,61,108
MECAPACA,atencion odontologica,restauraciones,2013-04-01,32,35,32,35,67
MINEROS,atencion odontologica,restauraciones,2013-04-01,30,141,30,141,171
MIZQUE,atencion odontologica,restauraciones,2013-04-01,13,37,13,37,50
MOCOMOCO,atencion odontologica,restauraciones,2013-04-01,12,15,12,15,27
MOJOCOYA,atencion odontologica,restauraciones,2013-04-01,6,21,6,21,27
MONTEAGUDO,atencion odontologica,restauraciones,2013-04-01,58,287,58,287,345
MONTERO,atencion odontologica,restauraciones,2013-04-01,156,246,156,246,402
MORO MORO,atencion odontologica,restauraciones,2013-04-01,6,6,6,6,12
MOROCHATA,atencion odontologica,restauraciones,2013-04-01,35,59,35,59,94
OCURI,atencion odontologica,restauraciones,2013-04-01,4,20,4,20,24
OKINAWA,atencion odontologica,restauraciones,2013-04-01,4,9,4,9,13
OMEREQUE,atencion odontologica,restauraciones,2013-04-01,5,8,5,8,13
ORURO,atencion odontologica,restauraciones,2013-04-01,1253,1915,1253,1915,3168
PADCAYA,atencion odontologica,restauraciones,2013-04-01,59,139,59,139,198
PADILLA,atencion odontologica,restauraciones,2013-04-01,33,48,33,48,81
PAILON,atencion odontologica,restauraciones,2013-04-01,28,151,28,151,179
PALCA,atencion odontologica,restauraciones,2013-04-01,16,22,16,22,38
PALOS BLANCOS,atencion odontologica,restauraciones,2013-04-01,48,76,48,76,124
PAMPA AULLAGAS,atencion odontologica,restauraciones,2013-04-01,20,33,20,33,53
PAMPA GRANDE,atencion odontologica,restauraciones,2013-04-01,14,59,14,59,73
PAPEL PAMPA,atencion odontologica,restauraciones,2013-04-01,31,25,31,25,56
PASORAPA,atencion odontologica,restauraciones,2013-04-01,8,11,8,11,19
PATACAMAYA,atencion odontologica,restauraciones,2013-04-01,32,102,32,102,134
PAZÑA,atencion odontologica,restauraciones,2013-04-01,44,47,44,47,91
PELECHUCO,atencion odontologica,restauraciones,2013-04-01,18,47,18,47,65
POCOATA,atencion odontologica,restauraciones,2013-04-01,6,36,6,36,42
POCONA,atencion odontologica,restauraciones,2013-04-01,47,79,47,79,126
POJO (CBBA),atencion odontologica,restauraciones,2013-04-01,38,144,38,144,182
POOPO,atencion odontologica,restauraciones,2013-04-01,9,54,9,54,63
PORCO,atencion odontologica,restauraciones,2013-04-01,6,7,6,7,13
POROMA,atencion odontologica,restauraciones,2013-04-01,12,50,12,50,62
PORONGO,atencion odontologica,restauraciones,2013-04-01,0,6,0,6,6
PORTACHUELO,atencion odontologica,restauraciones,2013-04-01,48,84,48,84,132
PORVENIR,atencion odontologica,restauraciones,2013-04-01,52,74,52,74,126
POSTRER VALLE,atencion odontologica,restauraciones,2013-04-01,7,23,7,23,30
POTOSI,atencion odontologica,restauraciones,2013-04-01,841,1532,841,1532,2373
PRESTO,atencion odontologica,restauraciones,2013-04-01,4,28,4,28,32
PUCARA,atencion odontologica,restauraciones,2013-04-01,3,5,3,5,8
PUCARANI,atencion odontologica,restauraciones,2013-04-01,17,41,17,41,58
PUERTO ACOSTA,atencion odontologica,restauraciones,2013-04-01,7,8,7,8,15
PUERTO CARABUCO,atencion odontologica,restauraciones,2013-04-01,25,40,25,40,65
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2013-04-01,94,91,94,91,185
PUERTO PEREZ,atencion odontologica,restauraciones,2013-04-01,2,2,2,2,4
