,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,9,14,9,14,23
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,26,14,26,14,40
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,5,5,5,5,10
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,4,3,4,3,7
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,6,8,6,8,14
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,8,7,8,7,15
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,33,34,33,34,67
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,15,9,15,9,24
INQUISIVI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,15,10,15,10,25
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,5,0,5,5
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,5,12,5,12,17
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,117,123,117,123,240
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,375,362,375,362,737
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,77,85,77,85,162
LAJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,10,0,10,10
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,37,50,37,50,87
LORETO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,4,0,4,0,4
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,19,0,19,0,19
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,773,738,773,738,1511
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,17,12,17,12,29
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,58,50,58,50,108
MINEROS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,160,0,160,160
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,50,65,50,65,115
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,7,6,7,6,13
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,20,14,20,14,34
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,331,428,331,428,759
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,13,7,13,7,20
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,41,41,41,41,82
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,5,7,5,7,12
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,61,69,61,69,130
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,4,6,4,6,10
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,29,31,29,31,60
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,106,86,106,86,192
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,57,87,57,87,144
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2,5,2,5,7
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,60,38,60,38,98
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2,3,2,3,5
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,144,121,144,121,265
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,73,104,73,104,177
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,15,16,15,16,31
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,40,30,40,30,70
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,88,90,88,90,178
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,5,8,5,8,13
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,91,74,91,74,165
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,16,16,16,16,32
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,28,20,28,20,48
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,22,21,22,21,43
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,78,88,78,88,166
PUERTO SUAREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2,0,2,0,2
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,157,166,157,166,323
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,6,5,6,5,11
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1,3,1,3,4
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,34,36,34,36,70
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,204,219,204,219,423
QUIRUSILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,42,30,42,30,72
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,2,0,2,2
REYES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,151,182,151,182,333
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1154,542,1154,542,1696
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,257,208,257,208,465
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,32,34,32,34,66
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,15,2,15,2,17
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,9,21,9,21,30
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,52,45,52,45,97
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2,3,2,3,5
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,35,26,35,26,61
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,339,505,339,505,844
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,12,0,12,12
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,123,174,123,174,297
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1116,990,1116,990,2106
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,250,278,250,278,528
SAN JAVIER(BNI),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,64,45,64,45,109
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,185,224,185,224,409
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,16,21,16,21,37
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,30,31,30,31,61
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,19,13,19,13,32
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,15,39,15,39,54
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,58,114,58,114,172
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,10,4,10,4,14
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,76,61,76,61,137
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2485,3110,2485,3110,5595
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,199,191,199,191,390
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,582,500,582,500,1082
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,37,19,37,19,56
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,10,7,10,7,17
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,16,32,16,32,48
SANTIVAÑES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,13,21,13,21,34
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,48,59,48,59,107
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,1,0,1,1
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,24,32,24,32,56
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,28,35,28,35,63
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,263,279,263,279,542
SOPACHUY,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,11,11,11,11,22
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,111,164,111,164,275
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,12,15,12,15,27
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,151,157,151,157,308
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1,0,1,0,1
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,81,91,81,91,172
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,13,15,13,15,28
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,1,5,1,5,6
TARATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,51,61,51,61,112
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,104,138,104,138,242
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,24,29,24,29,53
TIPUANI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,25,23,25,23,48
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,179,229,179,229,408
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,1,0,1,1
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,55,35,55,35,90
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,61,70,61,70,131
TOLEDO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,6,2,6,2,8
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,11,16,11,16,27
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,87,107,87,107,194
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,17,16,17,16,33
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,9,6,9,6,15
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,89,112,89,112,201
UMALA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,8,12,8,12,20
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,2,0,2,0,2
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,3,6,3,6,9
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,3,2,3,2,5
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,88,92,88,92,180
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,132,135,132,135,267
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,5,10,5,10,15
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,30,29,30,29,59
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,23,20,23,20,43
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,12,9,12,9,21
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,20,17,20,17,37
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,130,128,130,128,258
VILLAZON,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,25,28,25,28,53
VINTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,52,57,52,57,109
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,30,44,30,44,74
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,88,95,88,95,183
YACO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,6,0,6,6
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,32,6,32,6,38
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,100,93,100,93,193
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,68,40,68,40,108
YOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,0,3,0,3,3
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-04-01,25,22,25,22,47
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,41,30,41,30,71
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,22,68,22,68,90
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,116,194,116,194,310
ALALAY,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,26,21,26,21,47
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,57,49,57,49,106
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,13,19,13,19,32
ANZALDO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,178,160,178,160,338
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,0,2,0,2
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,186,152,186,152,338
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,212,159,212,159,371
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,15,15,15,15,30
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,16,13,16,13,29
AYO AYO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,84,98,84,98,182
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,32,39,32,39,71
BAURES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,11,8,11,8,19
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,37,39,37,39,76
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,62,60,62,60,122
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,35,18,35,18,53
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,11,20,11,20,31
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,21,21,21,21,42
BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,98,103,98,103,201
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,97,95,97,95,192
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,17,34,17,34,51
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,3,0,3,0,3
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,281,316,281,316,597
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,18,17,18,17,35
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,14,12,14,12,26
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,119,107,119,107,226
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,56,53,56,53,109
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,12,2,12,14
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,47,61,47,61,108
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,12,28,12,28,40
CHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,201,207,201,207,408
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,2,2,2,4
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,1,0,1,0,1
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,42,39,42,39,81
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,16,19,16,19,35
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,11,9,11,9,20
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,3,2,3,5
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,3,0,3,3
CLIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,40,50,40,50,90
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,33,38,33,38,71
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,54,51,54,51,105
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,30,76,30,76,106
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,4,9,4,9,13
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,19,19,19,19,38
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,10,8,10,8,18
COMANCHE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,23,29,23,29,52
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,299,512,299,512,811
COMBAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,19,17,19,17,36
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,5,10,5,10,15
COROICO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,0,2,0,2
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,51,64,51,64,115
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,72,310,72,310,382
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,15,25,15,25,40
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,25,24,25,24,49
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,3,8,3,8,11
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,11,24,11,24,35
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,17,13,17,13,30
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,3696,3435,3696,3435,7131
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,112,110,112,110,222
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,13,12,13,12,25
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,176,251,176,251,427
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,13,32,13,32,45
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,42,75,42,75,117
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,5,13,5,13,18
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,70,0,70,70
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,24,22,24,22,46
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,14,19,14,19,33
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,3,3,3,3,6
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,5,4,5,4,9
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,4,0,4,4
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,4,0,4,4
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,24,26,24,26,50
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,37,39,37,39,76
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,14,22,14,22,36
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,82,118,82,118,200
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,182,209,182,209,391
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,725,827,725,827,1552
LAGUNILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,44,24,44,24,68
LAJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,16,25,16,25,41
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,1,0,1,1
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,44,66,44,66,110
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,11,2,11,2,13
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,62,68,62,68,130
MAIRANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,113,123,113,123,236
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,49,63,49,63,112
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,40,81,40,81,121
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,37,29,37,29,66
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,21,31,21,31,52
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,0,33,0,33,33
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,1767,2535,1767,2535,4302
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,6,14,6,14,20
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,36,49,36,49,85
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,36,0,36,0,36
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,20,36,20,36,56
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,131,150,131,150,281
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,20,21,20,21,41
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,13,14,13,14,27
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,28,2,28,30
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,34,33,34,33,67
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,3,3,3,3,6
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,30,32,30,32,62
PATACAMAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,35,35,35,35,70
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,41,61,41,61,102
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,22,13,22,13,35
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,95,138,95,138,233
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,18,16,18,16,34
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,8,2,8,10
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,98,90,98,90,188
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,16,7,16,7,23
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,17,154,17,154,171
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,32,33,32,33,65
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,45,49,45,49,94
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,1,1,1,1,2
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,107,87,107,87,194
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,2,1,2,1,3
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,70,69,70,69,139
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,318,345,318,345,663
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,12,14,12,14,26
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,114,199,114,199,313
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,56,29,56,29,85
QUIRUSILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,10,10,10,10,20
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,19,31,19,31,50
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,14,31,14,31,45
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,335,230,335,230,565
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,1,1,1,1,2
SACABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,24,21,24,21,45
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,8,6,8,6,14
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,79,49,79,49,128
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,27,33,27,33,60
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,152,121,152,121,273
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,34,14,34,14,48
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,10,36,10,36,46
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-05-01,419,521,419,521,940
