,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2013-04-01,23,46,23,46,69
AZURDUY,atencion odontologica,endodoncias,2013-04-01,1,13,1,13,14
BATALLAS,atencion odontologica,endodoncias,2013-04-01,0,5,0,5,5
BAURES,atencion odontologica,endodoncias,2013-04-01,2,2,2,2,4
BELEN DE URMIRI,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
BERMEJO,atencion odontologica,endodoncias,2013-04-01,49,102,49,102,151
BETANZOS,atencion odontologica,endodoncias,2013-04-01,5,12,5,12,17
BOLIVAR,atencion odontologica,endodoncias,2013-04-01,0,5,0,5,5
BOYUIBE,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
BUENA VISTA,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
CABEZAS,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
CAIROMA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
"CAIZA ""D""",atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
CAJUATA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
CALACOTO,atencion odontologica,endodoncias,2013-04-01,3,0,3,0,3
CALAMARCA,atencion odontologica,endodoncias,2013-04-01,11,19,11,19,30
CAMARGO,atencion odontologica,endodoncias,2013-04-01,16,22,16,22,38
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2013-04-01,1,5,1,5,6
CAMIRI,atencion odontologica,endodoncias,2013-04-01,28,78,28,78,106
CAPINOTA,atencion odontologica,endodoncias,2013-04-01,17,23,17,23,40
CAQUIAVIRI,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
CARACOLLO,atencion odontologica,endodoncias,2013-04-01,16,29,16,29,45
CARANAVI,atencion odontologica,endodoncias,2013-04-01,38,23,38,23,61
CARAPARI,atencion odontologica,endodoncias,2013-04-01,17,38,17,38,55
CARIPUYO,atencion odontologica,endodoncias,2013-04-01,0,6,0,6,6
CHALLAPATA,atencion odontologica,endodoncias,2013-04-01,4,31,4,31,35
CHAQUI,atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
CHARAGUA,atencion odontologica,endodoncias,2013-04-01,4,7,4,7,11
CHAYANTA,atencion odontologica,endodoncias,2013-04-01,8,16,8,16,24
CHIMORE,atencion odontologica,endodoncias,2013-04-01,11,10,11,10,21
CHIPAYA,atencion odontologica,endodoncias,2013-04-01,5,1,5,1,6
CHOQUE COTA,atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2013-04-01,9,18,9,18,27
CHUMA,atencion odontologica,endodoncias,2013-04-01,5,9,5,9,14
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2013-04-01,9,9,9,9,18
CKOCHAS,atencion odontologica,endodoncias,2013-04-01,4,6,4,6,10
CLIZA,atencion odontologica,endodoncias,2013-04-01,9,13,9,13,22
COBIJA,atencion odontologica,endodoncias,2013-04-01,10,9,10,9,19
COCAPATA,atencion odontologica,endodoncias,2013-04-01,4,4,4,4,8
COCHABAMBA,atencion odontologica,endodoncias,2013-04-01,1051,1142,1051,1142,2193
COIPASA,atencion odontologica,endodoncias,2013-04-01,2,3,2,3,5
COLCAPIRHUA,atencion odontologica,endodoncias,2013-04-01,14,18,14,18,32
"COLCHA ""K""",atencion odontologica,endodoncias,2013-04-01,0,3,0,3,3
COLLANA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
COLOMI,atencion odontologica,endodoncias,2013-04-01,4,5,4,5,9
COLPA BELGICA,atencion odontologica,endodoncias,2013-04-01,0,4,0,4,4
COLQUECHACA,atencion odontologica,endodoncias,2013-04-01,10,18,10,18,28
COLQUENCHA,atencion odontologica,endodoncias,2013-04-01,6,5,6,5,11
COLQUIRI,atencion odontologica,endodoncias,2013-04-01,9,10,9,10,19
COMANCHE,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
COMARAPA,atencion odontologica,endodoncias,2013-04-01,13,20,13,20,33
CONCEPCION,atencion odontologica,endodoncias,2013-04-01,1,5,1,5,6
COPACABANA,atencion odontologica,endodoncias,2013-04-01,2,5,2,5,7
CORO CORO,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
COROICO,atencion odontologica,endodoncias,2013-04-01,11,21,11,21,32
CORQUE,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
COTAGAITA,atencion odontologica,endodoncias,2013-04-01,35,84,35,84,119
COTOCA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
CUATRO CAÑADAS,atencion odontologica,endodoncias,2013-04-01,4,3,4,3,7
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
CUEVO,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
CULPINA,atencion odontologica,endodoncias,2013-04-01,2,7,2,7,9
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
CURVA,atencion odontologica,endodoncias,2013-04-01,0,3,0,3,3
DESAGUADERO,atencion odontologica,endodoncias,2013-04-01,8,2,8,2,10
EL ALTO,atencion odontologica,endodoncias,2013-04-01,431,686,431,686,1117
EL PUENTE(STC),atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
EL PUENTE(TJA),atencion odontologica,endodoncias,2013-04-01,7,17,7,17,24
EL TORNO,atencion odontologica,endodoncias,2013-04-01,32,27,32,27,59
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2013-04-01,12,23,12,23,35
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2013-04-01,2,6,2,6,8
ESCOMA,atencion odontologica,endodoncias,2013-04-01,4,1,4,1,5
EUCALIPTUS,atencion odontologica,endodoncias,2013-04-01,6,6,6,6,12
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2013-04-01,4,9,4,9,13
FILADELFIA,atencion odontologica,endodoncias,2013-04-01,3,4,3,4,7
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2013-04-01,1,6,1,6,7
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
GUANAY,atencion odontologica,endodoncias,2013-04-01,14,27,14,27,41
GUAQUI,atencion odontologica,endodoncias,2013-04-01,3,3,3,3,6
GUAYARAMERIN,atencion odontologica,endodoncias,2013-04-01,2,15,2,15,17
HUACARETA,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
HUACHACALLA,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
HUANUNI,atencion odontologica,endodoncias,2013-04-01,6,12,6,12,18
HUARACAJE,atencion odontologica,endodoncias,2013-04-01,5,0,5,0,5
HUATAJATA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
HUAYLLAMARCA,atencion odontologica,endodoncias,2013-04-01,6,5,6,5,11
ICHOCA,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
ICLA,atencion odontologica,endodoncias,2013-04-01,1,7,1,7,8
INCAHUASI,atencion odontologica,endodoncias,2013-04-01,8,5,8,5,13
INQUISIVI,atencion odontologica,endodoncias,2013-04-01,11,14,11,14,25
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2013-04-01,9,3,9,3,12
IXIAMAS,atencion odontologica,endodoncias,2013-04-01,3,3,3,3,6
JESUS DE MACHACA,atencion odontologica,endodoncias,2013-04-01,2,2,2,2,4
LA ASUNTA,atencion odontologica,endodoncias,2013-04-01,4,5,4,5,9
LA GUARDIA,atencion odontologica,endodoncias,2013-04-01,34,24,34,24,58
LA PAZ,atencion odontologica,endodoncias,2013-04-01,1027,1530,1027,1530,2557
LAGUNILLAS,atencion odontologica,endodoncias,2013-04-01,2,2,2,2,4
LAS CARRERAS,atencion odontologica,endodoncias,2013-04-01,0,6,0,6,6
LICOMA PAMPA,atencion odontologica,endodoncias,2013-04-01,3,0,3,0,3
LLALLAGUA,atencion odontologica,endodoncias,2013-04-01,17,31,17,31,48
LLICA,atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
LURIBAY,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
MACHACAMARCA,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
MACHARETI,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
MAGDALENA,atencion odontologica,endodoncias,2013-04-01,10,13,10,13,23
MAIRANA,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
MALLA,atencion odontologica,endodoncias,2013-04-01,2,4,2,4,6
MAPIRI,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
MECAPACA,atencion odontologica,endodoncias,2013-04-01,5,7,5,7,12
MINEROS,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
MIZQUE,atencion odontologica,endodoncias,2013-04-01,1,8,1,8,9
MOJOCOYA,atencion odontologica,endodoncias,2013-04-01,2,8,2,8,10
MONTEAGUDO,atencion odontologica,endodoncias,2013-04-01,12,26,12,26,38
MONTERO,atencion odontologica,endodoncias,2013-04-01,36,36,36,36,72
MOROCHATA,atencion odontologica,endodoncias,2013-04-01,5,8,5,8,13
OKINAWA,atencion odontologica,endodoncias,2013-04-01,3,4,3,4,7
OMEREQUE,atencion odontologica,endodoncias,2013-04-01,5,6,5,6,11
ORURO,atencion odontologica,endodoncias,2013-04-01,373,479,373,479,852
PADCAYA,atencion odontologica,endodoncias,2013-04-01,11,19,11,19,30
PADILLA,atencion odontologica,endodoncias,2013-04-01,2,3,2,3,5
PAILON,atencion odontologica,endodoncias,2013-04-01,2,6,2,6,8
PALCA,atencion odontologica,endodoncias,2013-04-01,25,19,25,19,44
PALOS BLANCOS,atencion odontologica,endodoncias,2013-04-01,3,11,3,11,14
PAMPA AULLAGAS,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
PAMPA GRANDE,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
PAPEL PAMPA,atencion odontologica,endodoncias,2013-04-01,4,6,4,6,10
PASORAPA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,endodoncias,2013-04-01,4,12,4,12,16
PAZÑA,atencion odontologica,endodoncias,2013-04-01,5,9,5,9,14
PELECHUCO,atencion odontologica,endodoncias,2013-04-01,2,5,2,5,7
POCOATA,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
POCONA,atencion odontologica,endodoncias,2013-04-01,1,5,1,5,6
POJO (CBBA),atencion odontologica,endodoncias,2013-04-01,5,15,5,15,20
POOPO,atencion odontologica,endodoncias,2013-04-01,10,15,10,15,25
PORCO,atencion odontologica,endodoncias,2013-04-01,5,4,5,4,9
POROMA,atencion odontologica,endodoncias,2013-04-01,2,11,2,11,13
PORTACHUELO,atencion odontologica,endodoncias,2013-04-01,5,9,5,9,14
PORVENIR,atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
POTOSI,atencion odontologica,endodoncias,2013-04-01,258,487,258,487,745
PRESTO,atencion odontologica,endodoncias,2013-04-01,3,12,3,12,15
PUCARA,atencion odontologica,endodoncias,2013-04-01,2,2,2,2,4
PUERTO ACOSTA,atencion odontologica,endodoncias,2013-04-01,3,1,3,1,4
PUERTO CARABUCO,atencion odontologica,endodoncias,2013-04-01,7,6,7,6,13
PUERTO GONZALO MORENO,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
PUERTO RICO,atencion odontologica,endodoncias,2013-04-01,3,5,3,5,8
PUERTO SUAREZ,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
PUERTO VILLARROEL,atencion odontologica,endodoncias,2013-04-01,53,94,53,94,147
PUNA,atencion odontologica,endodoncias,2013-04-01,2,3,2,3,5
PUNATA,atencion odontologica,endodoncias,2013-04-01,26,41,26,41,67
QUIABAYA,atencion odontologica,endodoncias,2013-04-01,3,4,3,4,7
QUILLACOLLO,atencion odontologica,endodoncias,2013-04-01,110,102,110,102,212
QUIME,atencion odontologica,endodoncias,2013-04-01,6,3,6,3,9
RAVELO,atencion odontologica,endodoncias,2013-04-01,0,6,0,6,6
RIBERALTA,atencion odontologica,endodoncias,2013-04-01,7,18,7,18,25
RURRENABAQUE,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
SABAYA,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
SACABA,atencion odontologica,endodoncias,2013-04-01,38,61,38,61,99
SACABAMBA,atencion odontologica,endodoncias,2013-04-01,0,3,0,3,3
SACACA,atencion odontologica,endodoncias,2013-04-01,4,3,4,3,7
SAIPINA,atencion odontologica,endodoncias,2013-04-01,2,12,2,12,14
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2013-04-01,5,5,5,5,10
SAMAIPATA,atencion odontologica,endodoncias,2013-04-01,1,4,1,4,5
SAN ANDRES DE MACHACA,atencion odontologica,endodoncias,2013-04-01,4,7,4,7,11
SAN BENITO,atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
SAN BORJA,atencion odontologica,endodoncias,2013-04-01,27,76,27,76,103
SAN BUENA VENTURA,atencion odontologica,endodoncias,2013-04-01,18,5,18,5,23
SAN CARLOS,atencion odontologica,endodoncias,2013-04-01,9,28,9,28,37
SAN IGNACIO,atencion odontologica,endodoncias,2013-04-01,12,17,12,17,29
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncias,2013-04-01,9,9,9,9,18
SAN JAVIER(STC),atencion odontologica,endodoncias,2013-04-01,3,1,3,1,4
SAN JOAQUIN,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
SAN JULIAN,atencion odontologica,endodoncias,2013-04-01,6,16,6,16,22
SAN LORENZO(TJA),atencion odontologica,endodoncias,2013-04-01,43,92,43,92,135
SAN LUCAS,atencion odontologica,endodoncias,2013-04-01,9,25,9,25,34
SAN MATIAS,atencion odontologica,endodoncias,2013-04-01,6,18,6,18,24
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2013-04-01,0,7,0,7,7
SAN PABLO DE LIPEZ,atencion odontologica,endodoncias,2013-04-01,16,16,16,16,32
SAN PEDRO,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncias,2013-04-01,2,7,2,7,9
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncias,2013-04-01,10,17,10,17,27
SAN RAFAEL,atencion odontologica,endodoncias,2013-04-01,1,6,1,6,7
SAN RAMON BENI,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
SAN RAMON SCZ,atencion odontologica,endodoncias,2013-04-01,7,8,7,8,15
SANTA ANA,atencion odontologica,endodoncias,2013-04-01,1,11,1,11,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2013-04-01,628,752,628,752,1380
SANTA ROSA,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2013-04-01,2,3,2,3,5
SANTIAGO DE CALLAPA,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2013-04-01,12,8,12,8,20
SANTIAGO DE HUATA,atencion odontologica,endodoncias,2013-04-01,14,17,14,17,31
SANTIAGO DE MACHACA,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica,endodoncias,2013-04-01,3,7,3,7,10
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
SAPAHAQUI,atencion odontologica,endodoncias,2013-04-01,2,7,2,7,9
SENA,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
SHINAOTA,atencion odontologica,endodoncias,2013-04-01,5,15,5,15,20
SICA SICA (VILLA AROMA),atencion odontologica,endodoncias,2013-04-01,1,2,1,2,3
SICAYA,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
SIPE SIPE,atencion odontologica,endodoncias,2013-04-01,31,65,31,65,96
SOPACHUY,atencion odontologica,endodoncias,2013-04-01,15,17,15,17,32
SORACACHI,atencion odontologica,endodoncias,2013-04-01,6,5,6,5,11
SORATA,atencion odontologica,endodoncias,2013-04-01,8,2,8,2,10
SUCRE,atencion odontologica,endodoncias,2013-04-01,672,862,672,862,1534
TACACHI,atencion odontologica,endodoncias,2013-04-01,1,0,1,0,1
TACACOMA,atencion odontologica,endodoncias,2013-04-01,8,9,8,9,17
TACOPAYA,atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
TAPACARI,atencion odontologica,endodoncias,2013-04-01,8,10,8,10,18
TARABUCO,atencion odontologica,endodoncias,2013-04-01,5,4,5,4,9
TARATA,atencion odontologica,endodoncias,2013-04-01,7,9,7,9,16
TARIJA,atencion odontologica,endodoncias,2013-04-01,425,592,425,592,1017
TARVITA,atencion odontologica,endodoncias,2013-04-01,10,7,10,7,17
TEOPONTE,atencion odontologica,endodoncias,2013-04-01,2,1,2,1,3
TIAWANACU,atencion odontologica,endodoncias,2013-04-01,2,7,2,7,9
TINGUIPAYA,atencion odontologica,endodoncias,2013-04-01,2,2,2,2,4
TIPUANI,atencion odontologica,endodoncias,2013-04-01,3,2,3,2,5
TIQUIPAYA,atencion odontologica,endodoncias,2013-04-01,32,64,32,64,96
TIRAQUE (CBBA),atencion odontologica,endodoncias,2013-04-01,10,7,10,7,17
TOCO,atencion odontologica,endodoncias,2013-04-01,1,3,1,3,4
TOLATA,atencion odontologica,endodoncias,2013-04-01,1,4,1,4,5
TOLEDO,atencion odontologica,endodoncias,2013-04-01,3,3,3,3,6
TOMAVE,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
TOMINA,atencion odontologica,endodoncias,2013-04-01,7,13,7,13,20
TORO TORO,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
TOTORA(CBBA),atencion odontologica,endodoncias,2013-04-01,7,9,7,9,16
TOTORA(ORR),atencion odontologica,endodoncias,2013-04-01,1,1,1,1,2
TRINIDAD,atencion odontologica,endodoncias,2013-04-01,78,131,78,131,209
TUPIZA,atencion odontologica,endodoncias,2013-04-01,143,168,143,168,311
UNCIA,atencion odontologica,endodoncias,2013-04-01,19,12,19,12,31
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2013-04-01,15,42,15,42,57
UYUNI,atencion odontologica,endodoncias,2013-04-01,11,15,11,15,26
VACAS,atencion odontologica,endodoncias,2013-04-01,6,9,6,9,15
VALLEGRANDE,atencion odontologica,endodoncias,2013-04-01,22,43,22,43,65
VIACHA,atencion odontologica,endodoncias,2013-04-01,20,16,20,16,36
VILLA CHARCAS,atencion odontologica,endodoncias,2013-04-01,0,1,0,1,1
VILLA MONTES,atencion odontologica,endodoncias,2013-04-01,27,101,27,101,128
VILLA RIVERO,atencion odontologica,endodoncias,2013-04-01,6,2,6,2,8
VILLA SERRANO,atencion odontologica,endodoncias,2013-04-01,6,10,6,10,16
VILLA TUNARI,atencion odontologica,endodoncias,2013-04-01,48,126,48,126,174
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2013-04-01,2,14,2,14,16
VILLAZON,atencion odontologica,endodoncias,2013-04-01,44,62,44,62,106
VINTO,atencion odontologica,endodoncias,2013-04-01,12,22,12,22,34
VITICHI,atencion odontologica,endodoncias,2013-04-01,9,10,9,10,19
WARNES,atencion odontologica,endodoncias,2013-04-01,5,2,5,2,7
YACUIBA,atencion odontologica,endodoncias,2013-04-01,61,102,61,102,163
YAMPARAEZ,atencion odontologica,endodoncias,2013-04-01,9,9,9,9,18
YANACACHI,atencion odontologica,endodoncias,2013-04-01,0,2,0,2,2
YAPACANI,atencion odontologica,endodoncias,2013-04-01,7,42,7,42,49
YOCALLA,atencion odontologica,endodoncias,2013-04-01,3,3,3,3,6
YOTALA,atencion odontologica,endodoncias,2013-04-01,4,10,4,10,14
YUNCHARA,atencion odontologica,endodoncias,2013-04-01,15,16,15,16,31
ACHACACHI,atencion odontologica,endodoncias,2013-05-01,12,33,12,33,45
ACHOCALLA,atencion odontologica,endodoncias,2013-05-01,12,33,12,33,45
AIQUILE,atencion odontologica,endodoncias,2013-05-01,12,19,12,19,31
ALCALA,atencion odontologica,endodoncias,2013-05-01,4,3,4,3,7
ALTO BENI,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
ANCORAIMES,atencion odontologica,endodoncias,2013-05-01,2,0,2,0,2
ANDAMARCA,atencion odontologica,endodoncias,2013-05-01,1,3,1,3,4
ANTEQUERA,atencion odontologica,endodoncias,2013-05-01,2,1,2,1,3
ANZALDO,atencion odontologica,endodoncias,2013-05-01,3,3,3,3,6
APOLO,atencion odontologica,endodoncias,2013-05-01,1,6,1,6,7
ARANI,atencion odontologica,endodoncias,2013-05-01,12,11,12,11,23
ARBIETO,atencion odontologica,endodoncias,2013-05-01,3,7,3,7,10
ARQUE,atencion odontologica,endodoncias,2013-05-01,2,3,2,3,5
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2013-05-01,0,7,0,7,7
ATOCHA,atencion odontologica,endodoncias,2013-05-01,89,120,89,120,209
AYATA,atencion odontologica,endodoncias,2013-05-01,0,4,0,4,4
AYO AYO,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2013-05-01,35,42,35,42,77
AZURDUY,atencion odontologica,endodoncias,2013-05-01,1,6,1,6,7
BATALLAS,atencion odontologica,endodoncias,2013-05-01,2,0,2,0,2
BAURES,atencion odontologica,endodoncias,2013-05-01,3,8,3,8,11
BELEN DE ANDAMARCA,atencion odontologica,endodoncias,2013-05-01,3,0,3,0,3
BELEN DE URMIRI,atencion odontologica,endodoncias,2013-05-01,2,0,2,0,2
BELLA FLOR,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
BERMEJO,atencion odontologica,endodoncias,2013-05-01,61,103,61,103,164
BETANZOS,atencion odontologica,endodoncias,2013-05-01,8,6,8,6,14
BOLIVAR,atencion odontologica,endodoncias,2013-05-01,6,4,6,4,10
BOYUIBE,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
BUENA VISTA,atencion odontologica,endodoncias,2013-05-01,2,2,2,2,4
CABEZAS,atencion odontologica,endodoncias,2013-05-01,1,10,1,10,11
CAIROMA,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
"CAIZA ""D""",atencion odontologica,endodoncias,2013-05-01,0,7,0,7,7
CALACOTO,atencion odontologica,endodoncias,2013-05-01,0,2,0,2,2
CALAMARCA,atencion odontologica,endodoncias,2013-05-01,10,15,10,15,25
CAMARGO,atencion odontologica,endodoncias,2013-05-01,33,32,33,32,65
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2013-05-01,0,9,0,9,9
CAMIRI,atencion odontologica,endodoncias,2013-05-01,24,27,24,27,51
CAPINOTA,atencion odontologica,endodoncias,2013-05-01,32,20,32,20,52
CARACOLLO,atencion odontologica,endodoncias,2013-05-01,10,23,10,23,33
CARANAVI,atencion odontologica,endodoncias,2013-05-01,40,25,40,25,65
CARAPARI,atencion odontologica,endodoncias,2013-05-01,26,23,26,23,49
CARIPUYO,atencion odontologica,endodoncias,2013-05-01,4,1,4,1,5
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,endodoncias,2013-05-01,5,13,5,13,18
CHAQUI,atencion odontologica,endodoncias,2013-05-01,0,2,0,2,2
CHARAGUA,atencion odontologica,endodoncias,2013-05-01,4,6,4,6,10
CHAYANTA,atencion odontologica,endodoncias,2013-05-01,2,3,2,3,5
CHIMORE,atencion odontologica,endodoncias,2013-05-01,16,14,16,14,30
CHIPAYA,atencion odontologica,endodoncias,2013-05-01,2,1,2,1,3
CHOQUE COTA,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2013-05-01,16,18,16,18,34
CHUMA,atencion odontologica,endodoncias,2013-05-01,8,8,8,8,16
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2013-05-01,8,19,8,19,27
CKOCHAS,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
CLIZA,atencion odontologica,endodoncias,2013-05-01,8,6,8,6,14
COBIJA,atencion odontologica,endodoncias,2013-05-01,8,15,8,15,23
COCAPATA,atencion odontologica,endodoncias,2013-05-01,2,6,2,6,8
COCHABAMBA,atencion odontologica,endodoncias,2013-05-01,851,975,851,975,1826
COIPASA,atencion odontologica,endodoncias,2013-05-01,1,3,1,3,4
COLCAPIRHUA,atencion odontologica,endodoncias,2013-05-01,34,33,34,33,67
"COLCHA ""K""",atencion odontologica,endodoncias,2013-05-01,4,6,4,6,10
COLLANA,atencion odontologica,endodoncias,2013-05-01,0,2,0,2,2
COLOMI,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
COLPA BELGICA,atencion odontologica,endodoncias,2013-05-01,0,5,0,5,5
COLQUECHACA,atencion odontologica,endodoncias,2013-05-01,7,22,7,22,29
COLQUENCHA,atencion odontologica,endodoncias,2013-05-01,3,1,3,1,4
COLQUIRI,atencion odontologica,endodoncias,2013-05-01,6,3,6,3,9
COMARAPA,atencion odontologica,endodoncias,2013-05-01,6,28,6,28,34
CONCEPCION,atencion odontologica,endodoncias,2013-05-01,1,3,1,3,4
COPACABANA,atencion odontologica,endodoncias,2013-05-01,5,6,5,6,11
CORO CORO,atencion odontologica,endodoncias,2013-05-01,2,7,2,7,9
COROICO,atencion odontologica,endodoncias,2013-05-01,11,24,11,24,35
CORQUE,atencion odontologica,endodoncias,2013-05-01,1,2,1,2,3
COTAGAITA,atencion odontologica,endodoncias,2013-05-01,31,46,31,46,77
COTOCA,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
CUATRO CAÑADAS,atencion odontologica,endodoncias,2013-05-01,2,5,2,5,7
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2013-05-01,0,2,0,2,2
CUEVO,atencion odontologica,endodoncias,2013-05-01,0,4,0,4,4
CULPINA,atencion odontologica,endodoncias,2013-05-01,4,15,4,15,19
CURVA,atencion odontologica,endodoncias,2013-05-01,0,3,0,3,3
DESAGUADERO,atencion odontologica,endodoncias,2013-05-01,5,8,5,8,13
EL ALTO,atencion odontologica,endodoncias,2013-05-01,401,563,401,563,964
EL PUENTE(TJA),atencion odontologica,endodoncias,2013-05-01,3,19,3,19,22
EL TORNO,atencion odontologica,endodoncias,2013-05-01,32,50,32,50,82
EL VILLAR,atencion odontologica,endodoncias,2013-05-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2013-05-01,8,11,8,11,19
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2013-05-01,2,12,2,12,14
EUCALIPTUS,atencion odontologica,endodoncias,2013-05-01,5,7,5,7,12
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2013-05-01,7,4,7,4,11
FILADELFIA,atencion odontologica,endodoncias,2013-05-01,4,1,4,1,5
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2013-05-01,0,4,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2013-05-01,3,1,3,1,4
GUANAY,atencion odontologica,endodoncias,2013-05-01,18,16,18,16,34
GUAQUI,atencion odontologica,endodoncias,2013-05-01,2,7,2,7,9
GUAYARAMERIN,atencion odontologica,endodoncias,2013-05-01,2,7,2,7,9
GUTIERREZ,atencion odontologica,endodoncias,2013-05-01,9,20,9,20,29
