,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TOTORA(ORR),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,8,14,8,14,22
TRIGAL,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,16,11,16,11,27
TRINIDAD,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,391,789,391,789,1180
TUPIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,232,493,232,493,725
TURCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,4,8,4,8,12
UMALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,19,21,19,21,40
UNCIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,69,117,69,117,186
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,251,504,251,504,755
URUBICHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,5,26,5,26,31
UYUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,121,305,121,305,426
VACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,59,90,59,90,149
VALLEGRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,114,121,114,121,235
VIACHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,218,321,218,321,539
VILA VILA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,1,19,1,19,20
VILLA CHARCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,135,208,135,208,343
VILLA MONTES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,593,835,593,835,1428
VILLA RIVERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,12,53,12,53,65
VILLA SERRANO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,21,12,21,12,33
VILLA TUNARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,519,678,519,678,1197
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,76,246,76,246,322
VILLAZON,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,139,333,139,333,472
VINTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,25,51,25,51,76
VITICHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,114,201,114,201,315
WALDO BALLIVIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,6,6,6,6,12
WARNES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,70,155,70,155,225
YACO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,13,24,13,24,37
YACUIBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,415,748,415,748,1163
YAMPARAEZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,118,201,118,201,319
YANACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,11,21,11,21,32
YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,53,114,53,114,167
YOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,18,28,18,28,46
YOTALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,111,172,111,172,283
YUNCHARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,161,254,161,254,415
ZUDAÑEZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-03-01,25,50,25,50,75
ACACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,18,35,18,35,53
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,186,383,186,383,569
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,114,71,114,185
AIQUILE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,62,69,62,69,131
ALCALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,31,84,31,84,115
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,7,37,7,37,44
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,24,16,24,16,40
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,91,124,91,124,215
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,51,52,51,52,103
ANZALDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,17,14,17,14,31
APOLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,50,97,50,97,147
ARAMPAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,2,14,2,14,16
ARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,13,105,13,105,118
ARBIETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,22,24,22,24,46
ARQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,196,206,196,206,402
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,143,14,143,157
ATOCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,403,385,403,385,788
AUCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,9,9,9,9,18
AYATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,39,71,39,71,110
AYO AYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,29,43,29,43,72
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,107,183,107,183,290
AZURDUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,120,125,120,125,245
BATALLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,90,37,90,127
BAURES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,56,60,56,60,116
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,9,20,9,20,29
BELLA FLOR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,108,111,108,111,219
BERMEJO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,551,570,551,570,1121
BETANZOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,102,161,102,161,263
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,59,35,59,94
BOLPEBRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,39,39,39,39,78
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,11,22,11,22,33
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,10,23,10,23,33
CABEZAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,93,84,93,84,177
CAIROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,58,78,58,78,136
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,109,126,109,126,235
CAJUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,22,46,22,46,68
CALACOTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,97,111,97,111,208
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,50,134,50,134,184
CAMARGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,78,208,78,208,286
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,24,48,24,48,72
CAMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,763,899,763,899,1662
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,114,201,114,201,315
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,55,54,55,54,109
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,93,146,93,146,239
CARANAVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,94,109,94,109,203
CARAPARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,196,314,196,314,510
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,41,35,41,76
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,67,88,67,88,155
CATACORA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,62,43,62,43,105
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,176,253,176,253,429
CHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,16,35,16,35,51
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,130,185,130,185,315
CHARAÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,7,14,7,14,21
CHAYANTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,54,71,54,71,125
CHIMORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,146,142,146,142,288
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,8,11,8,11,19
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,108,92,108,92,200
CHUA COCANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,49,35,49,84
CHUMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,138,188,138,188,326
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,43,14,43,57
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,24,18,24,18,42
CLIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,132,205,132,205,337
COBIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,568,406,568,406,974
COCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,41,130,41,130,171
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,3831,6142,3831,6142,9973
COIPASA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,11,22,11,22,33
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,65,92,65,92,157
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,28,58,28,58,86
COLLANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,15,57,15,57,72
COLOMI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,26,53,26,53,79
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,74,128,74,128,202
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,124,271,124,271,395
COLQUENCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,56,82,56,82,138
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,103,166,103,166,269
COMANCHE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,144,185,144,185,329
COMARAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,54,96,54,96,150
COMBAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,0,6,0,6,6
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,8,10,8,10,18
COPACABANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,128,232,128,232,360
CORIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,37,37,37,74
CORO CORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,16,29,16,29,45
COROICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,160,164,160,164,324
CORQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,19,21,19,21,40
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,239,322,239,322,561
COTOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,11,128,11,128,139
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,56,94,56,94,150
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,2,3,2,3,5
CUEVO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,18,49,18,49,67
CULPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,65,94,65,94,159
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,9,11,9,11,20
CURVA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,0,25,0,25,25
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,115,64,115,64,179
EL ALTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,5217,6876,5217,6876,12093
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,297,332,297,332,629
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,109,181,109,181,290
EL TORNO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,260,345,260,345,605
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,3,8,3,8,11
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,158,298,158,298,456
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,34,72,34,72,106
ESCOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,33,35,33,68
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,148,195,148,195,343
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,70,37,70,107
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,146,157,146,157,303
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,76,35,76,111
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,122,143,122,143,265
GUANAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,52,68,52,68,120
GUAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,30,50,30,50,80
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,442,704,442,704,1146
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,18,68,18,68,86
HUACARETA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,45,99,45,99,144
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,16,38,16,38,54
HUACHACALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,8,8,8,8,16
HUANUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,88,71,88,159
HUARACAJE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,8,13,8,13,21
HUATAJATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,6,5,6,5,11
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,91,71,91,162
HUMANATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,5,22,5,22,27
ICHOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,29,30,29,30,59
ICLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,52,91,52,91,143
INCAHUASI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,46,172,46,172,218
INQUISIVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,28,66,28,66,94
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,38,99,38,99,137
IXIAMAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,52,135,52,135,187
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,57,37,57,94
LA ASUNTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,75,130,75,130,205
LA GUARDIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,86,259,86,259,345
LA PAZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,3896,7276,3896,7276,11172
LAGUNILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,5,50,5,50,55
LAJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,60,110,60,110,170
LAS CARRERAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,19,33,19,33,52
LICOMA PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,25,23,25,23,48
LLALLAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,94,353,94,353,447
LLICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,50,71,50,71,121
LORETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,27,16,27,16,43
LURIBAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,27,14,27,41
MACHACAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,12,2,12,2,14
MACHARETI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,11,43,11,43,54
MAGDALENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,858,886,858,886,1744
MAIRANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,20,58,20,58,78
MALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,16,28,16,28,44
MAPIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,45,71,45,71,116
MECAPACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,61,67,61,67,128
MINEROS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,182,274,182,274,456
MIZQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,72,121,72,121,193
MOCOMOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,80,116,80,116,196
MOJOCOYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,29,67,29,67,96
MONTEAGUDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,87,399,87,399,486
MONTERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,432,748,432,748,1180
MORO MORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,23,11,23,11,34
MOROCHATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,29,34,29,34,63
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,22,26,22,26,48
OCURI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,81,37,81,118
OKINAWA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,11,37,11,37,48
OMEREQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,36,14,36,50
ORURO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,1431,2518,1431,2518,3949
PADCAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,232,406,232,406,638
PADILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,148,241,148,241,389
PAILON,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,45,14,45,59
PALCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,72,116,72,116,188
PALOS BLANCOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,47,72,47,72,119
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,259,227,259,227,486
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,3,82,3,82,85
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,14,24,14,24,38
PASORAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,15,16,15,16,31
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,41,140,41,140,181
PAZÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,64,56,64,56,120
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,12,42,12,42,54
POCOATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,51,39,51,39,90
POCONA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,219,286,219,286,505
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,107,102,107,102,209
POOPO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,39,79,39,79,118
PORCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,13,31,13,31,44
POROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,105,135,105,135,240
PORONGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,44,33,44,33,77
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,80,158,80,158,238
PORVENIR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,127,132,127,132,259
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,9,8,9,8,17
POTOSI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,938,2188,938,2188,3126
PRESTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,18,84,18,84,102
PUCARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,66,50,66,50,116
PUCARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,111,71,111,182
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,30,44,30,44,74
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,105,103,105,103,208
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,205,178,205,178,383
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,6,43,6,43,49
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,65,15,65,15,80
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,87,64,87,64,151
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,8,124,8,124,132
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,93,366,93,366,459
PUNA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,119,231,119,231,350
PUNATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,158,382,158,382,540
QUIABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,44,74,44,74,118
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,353,472,353,472,825
QUIME,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,56,91,56,91,147
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,21,29,21,29,50
RAVELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,21,68,21,68,89
REYES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,44,55,44,55,99
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,547,857,547,857,1404
ROBORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,114,71,114,185
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,326,282,326,282,608
SABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,48,53,48,53,101
SACABA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,221,553,221,553,774
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,22,34,22,34,56
SACACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,85,102,85,102,187
SAIPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,20,50,20,50,70
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,73,90,73,90,163
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,32,67,32,67,99
SAN AGUSTIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,13,10,13,10,23
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,47,37,47,84
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,174,223,174,223,397
SAN ANTONIO DE ESMORUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,1,6,1,6,7
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,9,8,9,8,17
SAN BENITO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,72,70,72,70,142
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,78,93,78,93,171
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,35,27,35,27,62
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,79,145,79,145,224
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,1199,1160,1199,1160,2359
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,816,813,816,813,1629
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,5,15,5,15,20
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,170,208,170,208,378
SAN JOAQUIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,71,73,71,73,144
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,25,35,25,35,60
SAN JULIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,74,125,74,125,199
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,59,50,59,50,109
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,546,738,546,738,1284
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,87,257,87,257,344
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,55,43,55,43,98
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,37,95,37,95,132
SAN PABLO DE LIPEZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,18,26,18,26,44
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-04-01,53,74,53,74,127
