,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,0,1,0,1
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,2,2,2,4
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,48,53,48,53,101
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,40,101,40,101,141
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,23,48,23,48,71
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,0,2,0,2
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,3,0,3,3
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,7,7,7,7,14
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,31,13,31,13,44
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,16,22,16,22,38
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1961,2268,1961,2268,4229
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,0,3,0,3
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,15,34,15,34,49
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,58,97,58,97,155
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,7,10,7,10,17
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,53,10,53,63
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,80,169,80,169,249
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,0,4,0,4
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,9,1,9,10
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,13,35,13,35,48
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,18,15,18,15,33
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,14,46,14,46,60
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,26,17,26,17,43
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,14,34,14,34,48
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,5,8,5,13
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,145,209,145,209,354
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,5,10,5,15
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,9,9,9,18
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,12,8,12,20
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,8,0,8,8
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,337,314,337,314,651
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,21,8,21,29
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,10,11,10,21
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,32,28,32,28,60
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,0,2,0,2
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,171,243,171,243,414
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,45,65,45,65,110
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,4,2,4,6
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,18,37,18,37,55
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,33,23,33,23,56
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,8,5,8,13
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,21,28,21,28,49
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,317,469,317,469,786
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1962,2039,1962,2039,4001
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,36,20,36,20,56
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,47,27,47,27,74
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,6,1,6,7
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,7,4,7,4,11
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,75,97,75,97,172
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,5,6,5,11
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,15,11,15,26
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,0,3,0,3
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,1,6,1,7
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,15,5,15,20
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,12,23,12,23,35
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,2,1,2,3
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,33,26,33,26,59
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,16,11,16,27
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,41,10,41,51
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,6,9,6,15
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,3,1,3,4
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,85,123,85,123,208
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,200,218,200,218,418
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,16,21,16,21,37
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,16,2,16,18
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,5,1,5,6
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,2,2,2,4
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,16,18,16,18,34
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,446,603,446,603,1049
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,22,31,22,31,53
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,16,40,16,40,56
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,53,54,53,54,107
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,58,64,58,64,122
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,48,67,48,67,115
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,14,4,14,18
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,13,10,13,23
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,4,0,4,4
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,10,8,10,18
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,121,158,121,158,279
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,54,53,54,53,107
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,9,5,9,14
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,20,29,20,29,49
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,64,85,64,85,149
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,38,53,38,53,91
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,13,26,13,26,39
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,54,71,54,71,125
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,15,2,15,17
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,12,15,12,15,27
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,12,17,12,17,29
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,8,2,8,10
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,304,474,304,474,778
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,60,44,60,44,104
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,44,0,44,44
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,14,29,14,29,43
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,4,3,4,7
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,13,10,13,23
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,15,31,15,31,46
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,2,2,2,4
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,64,43,64,43,107
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,5,8,5,13
PUERTO SILES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,8,11,8,19
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,17,6,17,23
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,79,82,79,82,161
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,0,3,0,3
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,183,356,183,356,539
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,0,1,0,1
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,854,1038,854,1038,1892
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,65,65,65,65,130
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,7,3,7,10
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,10,3,10,13
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,6,3,6,9
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,121,324,121,324,445
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,22,36,22,36,58
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,64,83,64,83,147
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,5,0,5,5
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,715,918,715,918,1633
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,43,33,43,33,76
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,15,5,15,20
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,4,2,4,6
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,80,88,80,88,168
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,29,38,29,38,67
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,2,0,2,2
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,20,9,20,29
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,14,5,14,19
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,2,0,2,2
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,36,34,36,34,70
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,19,15,19,15,34
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,4,0,4,4
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,13,40,13,40,53
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,19,66,19,66,85
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,103,181,103,181,284
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,3,2,3,5
SAN JOAQUIN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,3,6,3,9
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,3,5,3,5,8
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,21,30,21,30,51
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,5,4,5,9
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,88,100,88,100,188
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,23,21,23,21,44
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,2,1,2,3
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,0,2,0,2
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,15,18,15,18,33
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,13,21,13,21,34
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,3,2,3,5
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,182,192,182,192,374
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,18,20,18,20,38
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,1,1,1,2
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,13,8,13,21
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,196,160,196,160,356
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1810,2224,1810,2224,4034
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,8,9,8,17
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,78,122,78,122,200
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,32,20,32,20,52
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,436,598,436,598,1034
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,14,9,14,23
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,6,2,6,8
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,21,6,21,27
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,13,11,13,24
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,5,15,5,15,20
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,68,122,68,122,190
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,228,240,228,240,468
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,9,8,9,17
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,202,260,202,260,462
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,44,35,44,35,79
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,8,4,8,4,12
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,9,20,9,20,29
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1119,1359,1119,1359,2478
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,24,7,24,7,31
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,22,0,22,22
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,4,2,4,6
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,68,121,68,121,189
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,184,245,184,245,429
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,19,37,19,37,56
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,48,77,48,77,125
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,460,712,460,712,1172
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,94,91,94,91,185
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,47,104,47,104,151
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,74,67,74,67,141
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,8,4,8,12
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,429,551,429,551,980
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,24,10,24,34
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,0,1,0,1
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,49,10,49,59
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,77,60,77,60,137
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,90,113,90,113,203
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,6,5,6,5,11
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,2,4,2,6
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,17,31,17,31,48
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,11,19,11,19,30
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,0,1,0,1,1
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,21,10,21,31
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,164,328,164,328,492
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,102,135,102,135,237
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,1,2,1,2,3
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,15,4,15,4,19
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,16,10,16,26
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,32,61,32,61,93
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,23,10,23,10,33
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,33,37,33,37,70
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,10,25,10,25,35
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,83,82,83,82,165
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,154,75,154,75,229
VILA VILA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,21,8,21,8,29
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,2,0,2,0,2
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,143,135,143,135,278
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,12,15,12,15,27
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,22,8,22,8,30
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,25,18,25,18,43
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,492,508,492,508,1000
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,133,123,133,123,256
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,84,114,84,114,198
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,50,46,50,46,96
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,19,7,19,7,26
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,80,83,80,83,163
YACO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,20,46,20,46,66
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,115,184,115,184,299
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,47,36,47,36,83
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,26,53,26,53,79
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,4,8,4,8,12
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,20,14,20,14,34
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,26,32,26,32,58
ZUDAÑEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-03-01,62,65,62,65,127
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,8,18,8,18,26
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,383,336,383,336,719
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,39,50,39,50,89
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,66,58,66,58,124
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,17,15,17,15,32
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,11,10,11,10,21
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,2,2,2,2,4
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,60,77,60,77,137
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,5,1,5,1,6
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,12,16,12,16,28
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,19,8,19,8,27
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,9,11,9,11,20
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,48,66,48,66,114
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,56,79,56,79,135
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,15,24,15,24,39
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,47,68,47,68,115
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,4,9,4,9,13
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,31,14,31,14,45
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,4,2,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,252,228,252,228,480
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,59,106,59,106,165
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,1,4,1,4,5
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,21,11,21,11,32
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,1,8,1,8,9
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,6,6,6,6,12
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,212,317,212,317,529
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,25,43,25,43,68
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,2,2,2,2,4
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,1,2,1,2,3
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,7,2,7,2,9
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,54,79,54,79,133
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,16,10,16,10,26
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,4,3,4,3,7
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,42,34,42,34,76
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,3,5,3,5,8
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,69,82,69,82,151
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,14,22,14,22,36
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,4,17,4,17,21
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,109,111,109,111,220
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,209,270,209,270,479
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,4,2,4,2,6
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,18,27,18,27,45
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,131,126,131,126,257
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,16,17,16,17,33
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,3,11,3,11,14
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,51,58,51,58,109
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,1,2,1,2,3
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,58,82,58,82,140
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,7,13,7,13,20
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-04-01,24,19,24,19,43
