,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2011-03-01,3,11,3,11,14
VILLAZON,atencion odontologica,otras acciones,2011-03-01,92,135,92,135,227
VINTO,atencion odontologica,otras acciones,2011-03-01,3,745,3,745,748
VITICHI,atencion odontologica,otras acciones,2011-03-01,105,167,105,167,272
WARNES,atencion odontologica,otras acciones,2011-03-01,24,27,24,27,51
YACO,atencion odontologica,otras acciones,2011-03-01,5,7,5,7,12
YACUIBA,atencion odontologica,otras acciones,2011-03-01,50,30,50,30,80
YAMPARAEZ,atencion odontologica,otras acciones,2011-03-01,30,54,30,54,84
YANACACHI,atencion odontologica,otras acciones,2011-03-01,13,12,13,12,25
YAPACANI,atencion odontologica,otras acciones,2011-03-01,4,11,4,11,15
YOCALLA,atencion odontologica,otras acciones,2011-03-01,11,47,11,47,58
YOTALA,atencion odontologica,otras acciones,2011-03-01,18,51,18,51,69
YUNCHARA,atencion odontologica,otras acciones,2011-03-01,9,18,9,18,27
ZUDAÑEZ,atencion odontologica,otras acciones,2011-03-01,13,20,13,20,33
ACHACACHI,atencion odontologica,otras acciones,2011-04-01,25,26,25,26,51
ACHOCALLA,atencion odontologica,otras acciones,2011-04-01,4,7,4,7,11
ALCALA,atencion odontologica,otras acciones,2011-04-01,23,46,23,46,69
ANCORAIMES,atencion odontologica,otras acciones,2011-04-01,6,5,6,5,11
ANDAMARCA,atencion odontologica,otras acciones,2011-04-01,21,26,21,26,47
ANTEQUERA,atencion odontologica,otras acciones,2011-04-01,42,47,42,47,89
ANZALDO,atencion odontologica,otras acciones,2011-04-01,9,11,9,11,20
APOLO,atencion odontologica,otras acciones,2011-04-01,28,57,28,57,85
ARAMPAMPA,atencion odontologica,otras acciones,2011-04-01,4,13,4,13,17
ARANI,atencion odontologica,otras acciones,2011-04-01,28,29,28,29,57
ARBIETO,atencion odontologica,otras acciones,2011-04-01,1,1,1,1,2
ARQUE,atencion odontologica,otras acciones,2011-04-01,7,14,7,14,21
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2011-04-01,0,1,0,1,1
ATOCHA,atencion odontologica,otras acciones,2011-04-01,114,101,114,101,215
AYATA,atencion odontologica,otras acciones,2011-04-01,0,2,0,2,2
AYO AYO,atencion odontologica,otras acciones,2011-04-01,17,19,17,19,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2011-04-01,49,72,49,72,121
AZURDUY,atencion odontologica,otras acciones,2011-04-01,30,115,30,115,145
BAURES,atencion odontologica,otras acciones,2011-04-01,3,7,3,7,10
BELEN DE URMIRI,atencion odontologica,otras acciones,2011-04-01,2,5,2,5,7
BELLA FLOR,atencion odontologica,otras acciones,2011-04-01,1,2,1,2,3
BERMEJO,atencion odontologica,otras acciones,2011-04-01,99,129,99,129,228
BETANZOS,atencion odontologica,otras acciones,2011-04-01,2,9,2,9,11
BOLIVAR,atencion odontologica,otras acciones,2011-04-01,41,62,41,62,103
CABEZAS,atencion odontologica,otras acciones,2011-04-01,15,43,15,43,58
CAIROMA,atencion odontologica,otras acciones,2011-04-01,14,27,14,27,41
"CAIZA ""D""",atencion odontologica,otras acciones,2011-04-01,31,43,31,43,74
CAJUATA,atencion odontologica,otras acciones,2011-04-01,2,3,2,3,5
CALAMARCA,atencion odontologica,otras acciones,2011-04-01,33,50,33,50,83
CAMARGO,atencion odontologica,otras acciones,2011-04-01,140,173,140,173,313
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2011-04-01,27,48,27,48,75
CAMIRI,atencion odontologica,otras acciones,2011-04-01,58,91,58,91,149
CAPINOTA,atencion odontologica,otras acciones,2011-04-01,32,53,32,53,85
CAQUIAVIRI,atencion odontologica,otras acciones,2011-04-01,17,14,17,14,31
CARACOLLO,atencion odontologica,otras acciones,2011-04-01,63,128,63,128,191
CARANAVI,atencion odontologica,otras acciones,2011-04-01,17,37,17,37,54
CARAPARI,atencion odontologica,otras acciones,2011-04-01,15,20,15,20,35
CARIPUYO,atencion odontologica,otras acciones,2011-04-01,9,29,9,29,38
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2011-04-01,10,15,10,15,25
CATACORA,atencion odontologica,otras acciones,2011-04-01,2,1,2,1,3
CHALLAPATA,atencion odontologica,otras acciones,2011-04-01,29,40,29,40,69
CHAQUI,atencion odontologica,otras acciones,2011-04-01,3,5,3,5,8
CHARAGUA,atencion odontologica,otras acciones,2011-04-01,5,6,5,6,11
CHARAÑA,atencion odontologica,otras acciones,2011-04-01,0,1,0,1,1
CHAYANTA,atencion odontologica,otras acciones,2011-04-01,16,111,16,111,127
CHIMORE,atencion odontologica,otras acciones,2011-04-01,7,48,7,48,55
CHIPAYA,atencion odontologica,otras acciones,2011-04-01,5,16,5,16,21
CHOQUE COTA,atencion odontologica,otras acciones,2011-04-01,35,31,35,31,66
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2011-04-01,42,122,42,122,164
CHUMA,atencion odontologica,otras acciones,2011-04-01,7,10,7,10,17
CKOCHAS,atencion odontologica,otras acciones,2011-04-01,14,25,14,25,39
CLIZA,atencion odontologica,otras acciones,2011-04-01,28,15,28,15,43
COBIJA,atencion odontologica,otras acciones,2011-04-01,119,121,119,121,240
COCAPATA,atencion odontologica,otras acciones,2011-04-01,9,30,9,30,39
COCHABAMBA,atencion odontologica,otras acciones,2011-04-01,1614,2008,1614,2008,3622
COIPASA,atencion odontologica,otras acciones,2011-04-01,2,2,2,2,4
COLCAPIRHUA,atencion odontologica,otras acciones,2011-04-01,41,105,41,105,146
"COLCHA ""K""",atencion odontologica,otras acciones,2011-04-01,21,21,21,21,42
COLLANA,atencion odontologica,otras acciones,2011-04-01,1,0,1,0,1
COLOMI,atencion odontologica,otras acciones,2011-04-01,12,3,12,3,15
COLPA BELGICA,atencion odontologica,otras acciones,2011-04-01,1,0,1,0,1
COLQUECHACA,atencion odontologica,otras acciones,2011-04-01,35,37,35,37,72
COLQUENCHA,atencion odontologica,otras acciones,2011-04-01,25,67,25,67,92
COLQUIRI,atencion odontologica,otras acciones,2011-04-01,50,71,50,71,121
COMANCHE,atencion odontologica,otras acciones,2011-04-01,7,15,7,15,22
COMARAPA,atencion odontologica,otras acciones,2011-04-01,32,62,32,62,94
COPACABANA,atencion odontologica,otras acciones,2011-04-01,50,61,50,61,111
CORO CORO,atencion odontologica,otras acciones,2011-04-01,2,7,2,7,9
COROICO,atencion odontologica,otras acciones,2011-04-01,6,13,6,13,19
CORQUE,atencion odontologica,otras acciones,2011-04-01,10,12,10,12,22
COTAGAITA,atencion odontologica,otras acciones,2011-04-01,93,136,93,136,229
CUATRO CAÑADAS,atencion odontologica,otras acciones,2011-04-01,21,59,21,59,80
CUEVO,atencion odontologica,otras acciones,2011-04-01,2,6,2,6,8
CULPINA,atencion odontologica,otras acciones,2011-04-01,9,19,9,19,28
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2011-04-01,23,43,23,43,66
CURVA,atencion odontologica,otras acciones,2011-04-01,1,7,1,7,8
DESAGUADERO,atencion odontologica,otras acciones,2011-04-01,7,15,7,15,22
EL ALTO,atencion odontologica,otras acciones,2011-04-01,1101,1557,1101,1557,2658
EL CHORO,atencion odontologica,otras acciones,2011-04-01,2,5,2,5,7
EL PUENTE(STC),atencion odontologica,otras acciones,2011-04-01,17,21,17,21,38
EL PUENTE(TJA),atencion odontologica,otras acciones,2011-04-01,7,31,7,31,38
EL TORNO,atencion odontologica,otras acciones,2011-04-01,2,2,2,2,4
EL VILLAR,atencion odontologica,otras acciones,2011-04-01,1,5,1,5,6
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2011-04-01,24,45,24,45,69
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2011-04-01,3,13,3,13,16
ESCOMA,atencion odontologica,otras acciones,2011-04-01,5,21,5,21,26
EUCALIPTUS,atencion odontologica,otras acciones,2011-04-01,5,16,5,16,21
EXALTACION,atencion odontologica,otras acciones,2011-04-01,11,18,11,18,29
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2011-04-01,2,0,2,0,2
FILADELFIA,atencion odontologica,otras acciones,2011-04-01,1,4,1,4,5
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2011-04-01,3,7,3,7,10
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2011-04-01,17,25,17,25,42
GUAQUI,atencion odontologica,otras acciones,2011-04-01,17,22,17,22,39
GUAYARAMERIN,atencion odontologica,otras acciones,2011-04-01,34,28,34,28,62
GUTIERREZ,atencion odontologica,otras acciones,2011-04-01,82,131,82,131,213
HUACARETA,atencion odontologica,otras acciones,2011-04-01,25,73,25,73,98
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2011-04-01,4,8,4,8,12
HUACHACALLA,atencion odontologica,otras acciones,2011-04-01,19,9,19,9,28
HUANUNI,atencion odontologica,otras acciones,2011-04-01,68,88,68,88,156
HUARACAJE,atencion odontologica,otras acciones,2011-04-01,2,3,2,3,5
HUARINA,atencion odontologica,otras acciones,2011-04-01,15,16,15,16,31
HUAYLLAMARCA,atencion odontologica,otras acciones,2011-04-01,38,37,38,37,75
ICHOCA,atencion odontologica,otras acciones,2011-04-01,4,5,4,5,9
ICLA,atencion odontologica,otras acciones,2011-04-01,9,23,9,23,32
INCAHUASI,atencion odontologica,otras acciones,2011-04-01,11,34,11,34,45
INQUISIVI,atencion odontologica,otras acciones,2011-04-01,9,9,9,9,18
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2011-04-01,33,49,33,49,82
IXIAMAS,atencion odontologica,otras acciones,2011-04-01,8,16,8,16,24
JESUS DE MACHACA,atencion odontologica,otras acciones,2011-04-01,4,15,4,15,19
LA ASUNTA,atencion odontologica,otras acciones,2011-04-01,19,19,19,19,38
LA PAZ,atencion odontologica,otras acciones,2011-04-01,2056,2637,2056,2637,4693
LLALLAGUA,atencion odontologica,otras acciones,2011-04-01,83,183,83,183,266
LLICA,atencion odontologica,otras acciones,2011-04-01,28,91,28,91,119
MACHACAMARCA,atencion odontologica,otras acciones,2011-04-01,13,6,13,6,19
MACHARETI,atencion odontologica,otras acciones,2011-04-01,4,6,4,6,10
MAGDALENA,atencion odontologica,otras acciones,2011-04-01,3,7,3,7,10
MAIRANA,atencion odontologica,otras acciones,2011-04-01,27,22,27,22,49
MAPIRI,atencion odontologica,otras acciones,2011-04-01,25,45,25,45,70
MECAPACA,atencion odontologica,otras acciones,2011-04-01,5,6,5,6,11
MINEROS,atencion odontologica,otras acciones,2011-04-01,70,146,70,146,216
MIZQUE,atencion odontologica,otras acciones,2011-04-01,12,33,12,33,45
MOCOMOCO,atencion odontologica,otras acciones,2011-04-01,7,6,7,6,13
MOJOCOYA,atencion odontologica,otras acciones,2011-04-01,8,21,8,21,29
MONTEAGUDO,atencion odontologica,otras acciones,2011-04-01,42,63,42,63,105
MONTERO,atencion odontologica,otras acciones,2011-04-01,115,130,115,130,245
MOROCHATA,atencion odontologica,otras acciones,2011-04-01,4,1,4,1,5
OCURI,atencion odontologica,otras acciones,2011-04-01,7,13,7,13,20
OMEREQUE,atencion odontologica,otras acciones,2011-04-01,40,106,40,106,146
ORURO,atencion odontologica,otras acciones,2011-04-01,981,1455,981,1455,2436
PADCAYA,atencion odontologica,otras acciones,2011-04-01,22,40,22,40,62
PADILLA,atencion odontologica,otras acciones,2011-04-01,10,29,10,29,39
PAILON,atencion odontologica,otras acciones,2011-04-01,41,157,41,157,198
PALCA,atencion odontologica,otras acciones,2011-04-01,5,5,5,5,10
PALOS BLANCOS,atencion odontologica,otras acciones,2011-04-01,4,8,4,8,12
PAMPA AULLAGAS,atencion odontologica,otras acciones,2011-04-01,11,6,11,6,17
PAMPA GRANDE,atencion odontologica,otras acciones,2011-04-01,1,5,1,5,6
PAPEL PAMPA,atencion odontologica,otras acciones,2011-04-01,10,14,10,14,24
PASORAPA,atencion odontologica,otras acciones,2011-04-01,7,12,7,12,19
PATACAMAYA,atencion odontologica,otras acciones,2011-04-01,13,72,13,72,85
PAZÑA,atencion odontologica,otras acciones,2011-04-01,21,30,21,30,51
PELECHUCO,atencion odontologica,otras acciones,2011-04-01,2,0,2,0,2
POCOATA,atencion odontologica,otras acciones,2011-04-01,19,43,19,43,62
POCONA,atencion odontologica,otras acciones,2011-04-01,32,46,32,46,78
POJO (CBBA),atencion odontologica,otras acciones,2011-04-01,24,53,24,53,77
POOPO,atencion odontologica,otras acciones,2011-04-01,23,29,23,29,52
PORCO,atencion odontologica,otras acciones,2011-04-01,34,58,34,58,92
POROMA,atencion odontologica,otras acciones,2011-04-01,0,1,0,1,1
PORTACHUELO,atencion odontologica,otras acciones,2011-04-01,16,34,16,34,50
PORVENIR,atencion odontologica,otras acciones,2011-04-01,8,26,8,26,34
POSTRER VALLE,atencion odontologica,otras acciones,2011-04-01,1,0,1,0,1
POTOSI,atencion odontologica,otras acciones,2011-04-01,258,665,258,665,923
PRESTO,atencion odontologica,otras acciones,2011-04-01,1,5,1,5,6
PUCARANI,atencion odontologica,otras acciones,2011-04-01,11,23,11,23,34
PUERTO ACOSTA,atencion odontologica,otras acciones,2011-04-01,8,8,8,8,16
PUERTO CARABUCO,atencion odontologica,otras acciones,2011-04-01,9,11,9,11,20
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2011-04-01,43,56,43,56,99
PUERTO PEREZ,atencion odontologica,otras acciones,2011-04-01,1,5,1,5,6
PUERTO QUIJARRO,atencion odontologica,otras acciones,2011-04-01,86,127,86,127,213
PUERTO RICO,atencion odontologica,otras acciones,2011-04-01,13,20,13,20,33
PUERTO SILES,atencion odontologica,otras acciones,2011-04-01,23,15,23,15,38
PUERTO SUAREZ,atencion odontologica,otras acciones,2011-04-01,3,1,3,1,4
PUERTO VILLARROEL,atencion odontologica,otras acciones,2011-04-01,17,31,17,31,48
PUNA,atencion odontologica,otras acciones,2011-04-01,43,78,43,78,121
PUNATA,atencion odontologica,otras acciones,2011-04-01,34,34,34,34,68
QUIABAYA,atencion odontologica,otras acciones,2011-04-01,1,2,1,2,3
QUILLACOLLO,atencion odontologica,otras acciones,2011-04-01,116,149,116,149,265
QUIME,atencion odontologica,otras acciones,2011-04-01,125,41,125,41,166
QUIRUSILLAS,atencion odontologica,otras acciones,2011-04-01,7,6,7,6,13
RAVELO,atencion odontologica,otras acciones,2011-04-01,4,13,4,13,17
RIBERALTA,atencion odontologica,otras acciones,2011-04-01,3,8,3,8,11
ROBORE,atencion odontologica,otras acciones,2011-04-01,4,4,4,4,8
RURRENABAQUE,atencion odontologica,otras acciones,2011-04-01,38,39,38,39,77
SABAYA,atencion odontologica,otras acciones,2011-04-01,23,30,23,30,53
SACABA,atencion odontologica,otras acciones,2011-04-01,550,819,550,819,1369
SACACA,atencion odontologica,otras acciones,2011-04-01,7,4,7,4,11
SAIPINA,atencion odontologica,otras acciones,2011-04-01,5,15,5,15,20
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2011-04-01,20,17,20,17,37
SAMAIPATA,atencion odontologica,otras acciones,2011-04-01,4,12,4,12,16
SAN AGUSTIN,atencion odontologica,otras acciones,2011-04-01,3,3,3,3,6
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2011-04-01,9,7,9,7,16
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2011-04-01,5,21,5,21,26
SAN BENITO,atencion odontologica,otras acciones,2011-04-01,36,46,36,46,82
SAN BORJA,atencion odontologica,otras acciones,2011-04-01,7,20,7,20,27
SAN CARLOS,atencion odontologica,otras acciones,2011-04-01,6,13,6,13,19
SAN IGNACIO,atencion odontologica,otras acciones,2011-04-01,6,4,6,4,10
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2011-04-01,98,205,98,205,303
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2011-04-01,0,1,0,1,1
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2011-04-01,1,8,1,8,9
SAN LORENZO(TJA),atencion odontologica,otras acciones,2011-04-01,24,35,24,35,59
SAN LUCAS,atencion odontologica,otras acciones,2011-04-01,19,102,19,102,121
SAN MATIAS,atencion odontologica,otras acciones,2011-04-01,1,4,1,4,5
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2011-04-01,22,46,22,46,68
SAN PEDRO,atencion odontologica,otras acciones,2011-04-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2011-04-01,4,6,4,6,10
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2011-04-01,10,10,10,10,20
SAN RAFAEL,atencion odontologica,otras acciones,2011-04-01,1,4,1,4,5
SAN RAMON SCZ,atencion odontologica,otras acciones,2011-04-01,9,9,9,9,18
SANTA ANA,atencion odontologica,otras acciones,2011-04-01,11,17,11,17,28
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2011-04-01,712,1165,712,1165,1877
SANTA ROSA,atencion odontologica,otras acciones,2011-04-01,216,229,216,229,445
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2011-04-01,3,16,3,16,19
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2011-04-01,4,7,4,7,11
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2011-04-01,60,86,60,86,146
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2011-04-01,3,0,3,0,3
SANTIVAÑES,atencion odontologica,otras acciones,2011-04-01,18,28,18,28,46
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2011-04-01,2,6,2,6,8
SENA,atencion odontologica,otras acciones,2011-04-01,0,5,0,5,5
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2011-04-01,16,3,16,3,19
SICAYA,atencion odontologica,otras acciones,2011-04-01,2,10,2,10,12
SIPE SIPE,atencion odontologica,otras acciones,2011-04-01,37,27,37,27,64
SOPACHUY,atencion odontologica,otras acciones,2011-04-01,17,114,17,114,131
SORACACHI,atencion odontologica,otras acciones,2011-04-01,42,35,42,35,77
SORATA,atencion odontologica,otras acciones,2011-04-01,12,27,12,27,39
SUCRE,atencion odontologica,otras acciones,2011-04-01,965,884,965,884,1849
TACACOMA,atencion odontologica,otras acciones,2011-04-01,4,3,4,3,7
TAHUA,atencion odontologica,otras acciones,2011-04-01,4,4,4,4,8
TAPACARI,atencion odontologica,otras acciones,2011-04-01,7,14,7,14,21
TARABUCO,atencion odontologica,otras acciones,2011-04-01,61,129,61,129,190
TARACO,atencion odontologica,otras acciones,2011-04-01,16,19,16,19,35
TARATA,atencion odontologica,otras acciones,2011-04-01,27,29,27,29,56
TARIJA,atencion odontologica,otras acciones,2011-04-01,409,549,409,549,958
TARVITA,atencion odontologica,otras acciones,2011-04-01,7,10,7,10,17
TIAWANACU,atencion odontologica,otras acciones,2011-04-01,20,24,20,24,44
TINGUIPAYA,atencion odontologica,otras acciones,2011-04-01,10,22,10,22,32
TIPUANI,atencion odontologica,otras acciones,2011-04-01,3,2,3,2,5
TIQUIPAYA,atencion odontologica,otras acciones,2011-04-01,89,153,89,153,242
TIRAQUE (CBBA),atencion odontologica,otras acciones,2011-04-01,62,91,62,91,153
TOCO,atencion odontologica,otras acciones,2011-04-01,0,13,0,13,13
TOLATA,atencion odontologica,otras acciones,2011-04-01,29,121,29,121,150
TOLEDO,atencion odontologica,otras acciones,2011-04-01,2,9,2,9,11
TOMAVE,atencion odontologica,otras acciones,2011-04-01,12,24,12,24,36
TOMINA,atencion odontologica,otras acciones,2011-04-01,192,444,192,444,636
TORO TORO,atencion odontologica,otras acciones,2011-04-01,29,54,29,54,83
TOTORA(CBBA),atencion odontologica,otras acciones,2011-04-01,75,49,75,49,124
TOTORA(ORR),atencion odontologica,otras acciones,2011-04-01,1,5,1,5,6
TRINIDAD,atencion odontologica,otras acciones,2011-04-01,24,17,24,17,41
TUPIZA,atencion odontologica,otras acciones,2011-04-01,69,93,69,93,162
TURCO,atencion odontologica,otras acciones,2011-04-01,22,31,22,31,53
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2011-04-01,51,55,51,55,106
UYUNI,atencion odontologica,otras acciones,2011-04-01,9,7,9,7,16
VACAS,atencion odontologica,otras acciones,2011-04-01,8,0,8,0,8
VALLEGRANDE,atencion odontologica,otras acciones,2011-04-01,7,11,7,11,18
VIACHA,atencion odontologica,otras acciones,2011-04-01,68,114,68,114,182
VILA VILA,atencion odontologica,otras acciones,2011-04-01,7,10,7,10,17
VILLA CHARCAS,atencion odontologica,otras acciones,2011-04-01,3,14,3,14,17
VILLA MONTES,atencion odontologica,otras acciones,2011-04-01,32,54,32,54,86
VILLA RIVERO,atencion odontologica,otras acciones,2011-04-01,9,3,9,3,12
VILLA SERRANO,atencion odontologica,otras acciones,2011-04-01,35,45,35,45,80
VILLA TUNARI,atencion odontologica,otras acciones,2011-04-01,59,105,59,105,164
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2011-04-01,9,9,9,9,18
VILLAZON,atencion odontologica,otras acciones,2011-04-01,91,148,91,148,239
VINTO,atencion odontologica,otras acciones,2011-04-01,2,8,2,8,10
VITICHI,atencion odontologica,otras acciones,2011-04-01,157,237,157,237,394
WARNES,atencion odontologica,otras acciones,2011-04-01,14,33,14,33,47
YACO,atencion odontologica,otras acciones,2011-04-01,2,6,2,6,8
YACUIBA,atencion odontologica,otras acciones,2011-04-01,34,93,34,93,127
YAMPARAEZ,atencion odontologica,otras acciones,2011-04-01,16,9,16,9,25
YANACACHI,atencion odontologica,otras acciones,2011-04-01,30,26,30,26,56
YAPACANI,atencion odontologica,otras acciones,2011-04-01,3,8,3,8,11
YOCALLA,atencion odontologica,otras acciones,2011-04-01,15,39,15,39,54
YOTALA,atencion odontologica,otras acciones,2011-04-01,13,22,13,22,35
YUNCHARA,atencion odontologica,otras acciones,2011-04-01,5,9,5,9,14
ZUDAÑEZ,atencion odontologica,otras acciones,2011-04-01,4,10,4,10,14
ACHACACHI,atencion odontologica,otras acciones,2011-05-01,29,45,29,45,74
ACHOCALLA,atencion odontologica,otras acciones,2011-05-01,9,13,9,13,22
ALCALA,atencion odontologica,otras acciones,2011-05-01,15,32,15,32,47
ALTO BENI,atencion odontologica,otras acciones,2011-05-01,2,7,2,7,9
ANCORAIMES,atencion odontologica,otras acciones,2011-05-01,8,2,8,2,10
ANDAMARCA,atencion odontologica,otras acciones,2011-05-01,19,32,19,32,51
ANTEQUERA,atencion odontologica,otras acciones,2011-05-01,49,59,49,59,108
ANZALDO,atencion odontologica,otras acciones,2011-05-01,2,4,2,4,6
APOLO,atencion odontologica,otras acciones,2011-05-01,11,24,11,24,35
ARAMPAMPA,atencion odontologica,otras acciones,2011-05-01,3,12,3,12,15
ARANI,atencion odontologica,otras acciones,2011-05-01,32,57,32,57,89
ARBIETO,atencion odontologica,otras acciones,2011-05-01,0,2,0,2,2
ARQUE,atencion odontologica,otras acciones,2011-05-01,7,27,7,27,34
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2011-05-01,0,2,0,2,2
ATOCHA,atencion odontologica,otras acciones,2011-05-01,115,98,115,98,213
AYATA,atencion odontologica,otras acciones,2011-05-01,3,1,3,1,4
AYO AYO,atencion odontologica,otras acciones,2011-05-01,12,14,12,14,26
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2011-05-01,34,52,34,52,86
AZURDUY,atencion odontologica,otras acciones,2011-05-01,3,23,3,23,26
BAURES,atencion odontologica,otras acciones,2011-05-01,3,3,3,3,6
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2011-05-01,0,3,0,3,3
BELEN DE URMIRI,atencion odontologica,otras acciones,2011-05-01,4,17,4,17,21
BELLA FLOR,atencion odontologica,otras acciones,2011-05-01,2,9,2,9,11
BERMEJO,atencion odontologica,otras acciones,2011-05-01,114,208,114,208,322
BETANZOS,atencion odontologica,otras acciones,2011-05-01,13,20,13,20,33
BOLIVAR,atencion odontologica,otras acciones,2011-05-01,24,13,24,13,37
BOLPEBRA,atencion odontologica,otras acciones,2011-05-01,1,0,1,0,1
CABEZAS,atencion odontologica,otras acciones,2011-05-01,25,31,25,31,56
CAIROMA,atencion odontologica,otras acciones,2011-05-01,0,6,0,6,6
"CAIZA ""D""",atencion odontologica,otras acciones,2011-05-01,30,50,30,50,80
CAJUATA,atencion odontologica,otras acciones,2011-05-01,5,1,5,1,6
CALACOTO,atencion odontologica,otras acciones,2011-05-01,13,23,13,23,36
CALAMARCA,atencion odontologica,otras acciones,2011-05-01,10,15,10,15,25
CAMARGO,atencion odontologica,otras acciones,2011-05-01,52,98,52,98,150
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2011-05-01,56,79,56,79,135
CAMIRI,atencion odontologica,otras acciones,2011-05-01,85,84,85,84,169
CAPINOTA,atencion odontologica,otras acciones,2011-05-01,60,92,60,92,152
CAQUIAVIRI,atencion odontologica,otras acciones,2011-05-01,9,23,9,23,32
CARACOLLO,atencion odontologica,otras acciones,2011-05-01,80,122,80,122,202
CARANAVI,atencion odontologica,otras acciones,2011-05-01,63,69,63,69,132
CARAPARI,atencion odontologica,otras acciones,2011-05-01,8,11,8,11,19
CARIPUYO,atencion odontologica,otras acciones,2011-05-01,32,7,32,7,39
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2011-05-01,22,44,22,44,66
CATACORA,atencion odontologica,otras acciones,2011-05-01,5,1,5,1,6
CHALLAPATA,atencion odontologica,otras acciones,2011-05-01,21,44,21,44,65
CHAQUI,atencion odontologica,otras acciones,2011-05-01,3,6,3,6,9
CHARAGUA,atencion odontologica,otras acciones,2011-05-01,10,6,10,6,16
CHAYANTA,atencion odontologica,otras acciones,2011-05-01,26,71,26,71,97
CHIMORE,atencion odontologica,otras acciones,2011-05-01,60,64,60,64,124
CHIPAYA,atencion odontologica,otras acciones,2011-05-01,3,11,3,11,14
CHOQUE COTA,atencion odontologica,otras acciones,2011-05-01,37,30,37,30,67
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2011-05-01,48,56,48,56,104
CHUMA,atencion odontologica,otras acciones,2011-05-01,103,116,103,116,219
CKOCHAS,atencion odontologica,otras acciones,2011-05-01,20,30,20,30,50
CLIZA,atencion odontologica,otras acciones,2011-05-01,33,48,33,48,81
COBIJA,atencion odontologica,otras acciones,2011-05-01,12,19,12,19,31
COCAPATA,atencion odontologica,otras acciones,2011-05-01,15,36,15,36,51
COCHABAMBA,atencion odontologica,otras acciones,2011-05-01,2308,2434,2308,2434,4742
COIPASA,atencion odontologica,otras acciones,2011-05-01,2,4,2,4,6
COLCAPIRHUA,atencion odontologica,otras acciones,2011-05-01,146,149,146,149,295
"COLCHA ""K""",atencion odontologica,otras acciones,2011-05-01,14,18,14,18,32
COLLANA,atencion odontologica,otras acciones,2011-05-01,2,0,2,0,2
COLOMI,atencion odontologica,otras acciones,2011-05-01,12,20,12,20,32
COLPA BELGICA,atencion odontologica,otras acciones,2011-05-01,30,43,30,43,73
COLQUECHACA,atencion odontologica,otras acciones,2011-05-01,38,82,38,82,120
COLQUENCHA,atencion odontologica,otras acciones,2011-05-01,15,35,15,35,50
COLQUIRI,atencion odontologica,otras acciones,2011-05-01,62,65,62,65,127
COMANCHE,atencion odontologica,otras acciones,2011-05-01,5,12,5,12,17
COMARAPA,atencion odontologica,otras acciones,2011-05-01,35,66,35,66,101
COPACABANA,atencion odontologica,otras acciones,2011-05-01,12,29,12,29,41
CORO CORO,atencion odontologica,otras acciones,2011-05-01,10,11,10,11,21
