,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
SORACACHI,atencion odontologica,periodoncias,2011-03-01,5,2,5,2,7
SORATA,atencion odontologica,periodoncias,2011-03-01,1,3,1,3,4
SUCRE,atencion odontologica,periodoncias,2011-03-01,187,304,187,304,491
TACOPAYA,atencion odontologica,periodoncias,2011-03-01,1,1,1,1,2
TAPACARI,atencion odontologica,periodoncias,2011-03-01,0,5,0,5,5
TARABUCO,atencion odontologica,periodoncias,2011-03-01,45,58,45,58,103
TARACO,atencion odontologica,periodoncias,2011-03-01,0,2,0,2,2
TARATA,atencion odontologica,periodoncias,2011-03-01,1,0,1,0,1
TARIJA,atencion odontologica,periodoncias,2011-03-01,163,148,163,148,311
TARVITA,atencion odontologica,periodoncias,2011-03-01,0,20,0,20,20
TIAWANACU,atencion odontologica,periodoncias,2011-03-01,1,5,1,5,6
TIQUIPAYA,atencion odontologica,periodoncias,2011-03-01,45,163,45,163,208
TIRAQUE (CBBA),atencion odontologica,periodoncias,2011-03-01,39,43,39,43,82
TOCO,atencion odontologica,periodoncias,2011-03-01,1,1,1,1,2
TOLATA,atencion odontologica,periodoncias,2011-03-01,5,8,5,8,13
TOLEDO,atencion odontologica,periodoncias,2011-03-01,1,2,1,2,3
TOMAVE,atencion odontologica,periodoncias,2011-03-01,0,1,0,1,1
TOMINA,atencion odontologica,periodoncias,2011-03-01,3,10,3,10,13
TORO TORO,atencion odontologica,periodoncias,2011-03-01,0,1,0,1,1
TOTORA(CBBA),atencion odontologica,periodoncias,2011-03-01,5,1,5,1,6
TRIGAL,atencion odontologica,periodoncias,2011-03-01,1,0,1,0,1
TRINIDAD,atencion odontologica,periodoncias,2011-03-01,63,94,63,94,157
TUPIZA,atencion odontologica,periodoncias,2011-03-01,92,102,92,102,194
UNCIA,atencion odontologica,periodoncias,2011-03-01,1,0,1,0,1
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2011-03-01,7,13,7,13,20
URUBICHA,atencion odontologica,periodoncias,2011-03-01,1,2,1,2,3
UYUNI,atencion odontologica,periodoncias,2011-03-01,1,4,1,4,5
VACAS,atencion odontologica,periodoncias,2011-03-01,0,4,0,4,4
VALLEGRANDE,atencion odontologica,periodoncias,2011-03-01,1,5,1,5,6
VIACHA,atencion odontologica,periodoncias,2011-03-01,31,22,31,22,53
VILA VILA,atencion odontologica,periodoncias,2011-03-01,0,3,0,3,3
VILLA CHARCAS,atencion odontologica,periodoncias,2011-03-01,0,5,0,5,5
VILLA MONTES,atencion odontologica,periodoncias,2011-03-01,19,22,19,22,41
VILLA NUEVA (LOMA ALTA),atencion odontologica,periodoncias,2011-03-01,0,2,0,2,2
VILLA RIVERO,atencion odontologica,periodoncias,2011-03-01,50,27,50,27,77
VILLA SERRANO,atencion odontologica,periodoncias,2011-03-01,1,4,1,4,5
VILLA TUNARI,atencion odontologica,periodoncias,2011-03-01,32,69,32,69,101
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,periodoncias,2011-03-01,0,2,0,2,2
VILLAZON,atencion odontologica,periodoncias,2011-03-01,1,10,1,10,11
VINTO,atencion odontologica,periodoncias,2011-03-01,6,13,6,13,19
VITICHI,atencion odontologica,periodoncias,2011-03-01,1,3,1,3,4
WARNES,atencion odontologica,periodoncias,2011-03-01,12,25,12,25,37
YACUIBA,atencion odontologica,periodoncias,2011-03-01,16,53,16,53,69
YAMPARAEZ,atencion odontologica,periodoncias,2011-03-01,1,5,1,5,6
YANACACHI,atencion odontologica,periodoncias,2011-03-01,2,2,2,2,4
YAPACANI,atencion odontologica,periodoncias,2011-03-01,8,19,8,19,27
YOCALLA,atencion odontologica,periodoncias,2011-03-01,3,10,3,10,13
YOTALA,atencion odontologica,periodoncias,2011-03-01,2,28,2,28,30
YUNCHARA,atencion odontologica,periodoncias,2011-03-01,5,4,5,4,9
ZUDAÑEZ,atencion odontologica,periodoncias,2011-03-01,1,3,1,3,4
ACHACACHI,atencion odontologica,periodoncias,2011-04-01,3,3,3,3,6
AIQUILE,atencion odontologica,periodoncias,2011-04-01,3,24,3,24,27
ALCALA,atencion odontologica,periodoncias,2011-04-01,1,9,1,9,10
ALTO BENI,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
ANCORAIMES,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
ANTEQUERA,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
ANZALDO,atencion odontologica,periodoncias,2011-04-01,2,3,2,3,5
APOLO,atencion odontologica,periodoncias,2011-04-01,2,10,2,10,12
ARANI,atencion odontologica,periodoncias,2011-04-01,2,6,2,6,8
ARBIETO,atencion odontologica,periodoncias,2011-04-01,24,41,24,41,65
ARQUE,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
ATOCHA,atencion odontologica,periodoncias,2011-04-01,10,13,10,13,23
AYATA,atencion odontologica,periodoncias,2011-04-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2011-04-01,11,37,11,37,48
AZURDUY,atencion odontologica,periodoncias,2011-04-01,0,9,0,9,9
BELLA FLOR,atencion odontologica,periodoncias,2011-04-01,0,7,0,7,7
BERMEJO,atencion odontologica,periodoncias,2011-04-01,17,20,17,20,37
BETANZOS,atencion odontologica,periodoncias,2011-04-01,1,4,1,4,5
BOLIVAR,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
CABEZAS,atencion odontologica,periodoncias,2011-04-01,11,36,11,36,47
CAIROMA,atencion odontologica,periodoncias,2011-04-01,10,3,10,3,13
"CAIZA ""D""",atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CAMARGO,atencion odontologica,periodoncias,2011-04-01,2,5,2,5,7
CAMIRI,atencion odontologica,periodoncias,2011-04-01,13,23,13,23,36
CAPINOTA,atencion odontologica,periodoncias,2011-04-01,10,8,10,8,18
CAQUIAVIRI,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CARACOLLO,atencion odontologica,periodoncias,2011-04-01,9,15,9,15,24
CARANAVI,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
CARAPARI,atencion odontologica,periodoncias,2011-04-01,8,12,8,12,20
CARIPUYO,atencion odontologica,periodoncias,2011-04-01,1,1,1,1,2
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2011-04-01,0,9,0,9,9
CATACORA,atencion odontologica,periodoncias,2011-04-01,1,1,1,1,2
CHALLAPATA,atencion odontologica,periodoncias,2011-04-01,5,7,5,7,12
CHARAGUA,atencion odontologica,periodoncias,2011-04-01,0,5,0,5,5
CHIMORE,atencion odontologica,periodoncias,2011-04-01,3,9,3,9,12
CHOQUE COTA,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2011-04-01,2,4,2,4,6
CHUMA,atencion odontologica,periodoncias,2011-04-01,4,12,4,12,16
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CLIZA,atencion odontologica,periodoncias,2011-04-01,24,55,24,55,79
COBIJA,atencion odontologica,periodoncias,2011-04-01,96,123,96,123,219
COCAPATA,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
COCHABAMBA,atencion odontologica,periodoncias,2011-04-01,348,711,348,711,1059
COIPASA,atencion odontologica,periodoncias,2011-04-01,2,2,2,2,4
COLCAPIRHUA,atencion odontologica,periodoncias,2011-04-01,14,17,14,17,31
COLOMI,atencion odontologica,periodoncias,2011-04-01,3,3,3,3,6
COLPA BELGICA,atencion odontologica,periodoncias,2011-04-01,0,21,0,21,21
COLQUENCHA,atencion odontologica,periodoncias,2011-04-01,2,5,2,5,7
COLQUIRI,atencion odontologica,periodoncias,2011-04-01,4,4,4,4,8
COMANCHE,atencion odontologica,periodoncias,2011-04-01,5,9,5,9,14
COMARAPA,atencion odontologica,periodoncias,2011-04-01,0,12,0,12,12
COMBAYA,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
CONCEPCION,atencion odontologica,periodoncias,2011-04-01,2,6,2,6,8
CORIPATA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CORO CORO,atencion odontologica,periodoncias,2011-04-01,0,4,0,4,4
COROICO,atencion odontologica,periodoncias,2011-04-01,7,12,7,12,19
CORQUE,atencion odontologica,periodoncias,2011-04-01,0,9,0,9,9
COTAGAITA,atencion odontologica,periodoncias,2011-04-01,10,9,10,9,19
COTOCA,atencion odontologica,periodoncias,2011-04-01,0,46,0,46,46
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
CUEVO,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,periodoncias,2011-04-01,4,0,4,0,4
EL ALTO,atencion odontologica,periodoncias,2011-04-01,80,269,80,269,349
EL PUENTE(TJA),atencion odontologica,periodoncias,2011-04-01,1,10,1,10,11
EL TORNO,atencion odontologica,periodoncias,2011-04-01,6,21,6,21,27
EL VILLAR,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2011-04-01,2,0,2,0,2
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
ESCOMA,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
EUCALIPTUS,atencion odontologica,periodoncias,2011-04-01,2,0,2,0,2
EXALTACION,atencion odontologica,periodoncias,2011-04-01,4,3,4,3,7
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2011-04-01,3,4,3,4,7
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
GUANAY,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
GUAYARAMERIN,atencion odontologica,periodoncias,2011-04-01,10,11,10,11,21
GUTIERREZ,atencion odontologica,periodoncias,2011-04-01,8,12,8,12,20
HUACARETA,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
HUANUNI,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
HUARACAJE,atencion odontologica,periodoncias,2011-04-01,7,9,7,9,16
HUAYLLAMARCA,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
ICLA,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
JESUS DE MACHACA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
LA ASUNTA,atencion odontologica,periodoncias,2011-04-01,2,6,2,6,8
LA GUARDIA,atencion odontologica,periodoncias,2011-04-01,2,10,2,10,12
LA PAZ,atencion odontologica,periodoncias,2011-04-01,391,557,391,557,948
LAGUNILLAS,atencion odontologica,periodoncias,2011-04-01,3,13,3,13,16
LAJA,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
LAS CARRERAS,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
LLALLAGUA,atencion odontologica,periodoncias,2011-04-01,2,6,2,6,8
LLICA,atencion odontologica,periodoncias,2011-04-01,8,0,8,0,8
MACHACAMARCA,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
MACHARETI,atencion odontologica,periodoncias,2011-04-01,6,10,6,10,16
MAGDALENA,atencion odontologica,periodoncias,2011-04-01,2,3,2,3,5
MAIRANA,atencion odontologica,periodoncias,2011-04-01,0,7,0,7,7
MAPIRI,atencion odontologica,periodoncias,2011-04-01,3,2,3,2,5
MECAPACA,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
MINEROS,atencion odontologica,periodoncias,2011-04-01,0,13,0,13,13
MIZQUE,atencion odontologica,periodoncias,2011-04-01,0,17,0,17,17
MOCOMOCO,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
MOJOCOYA,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
MONTEAGUDO,atencion odontologica,periodoncias,2011-04-01,1,4,1,4,5
MONTERO,atencion odontologica,periodoncias,2011-04-01,28,67,28,67,95
MOROCHATA,atencion odontologica,periodoncias,2011-04-01,0,8,0,8,8
OKINAWA,atencion odontologica,periodoncias,2011-04-01,32,35,32,35,67
OMEREQUE,atencion odontologica,periodoncias,2011-04-01,13,7,13,7,20
ORURO,atencion odontologica,periodoncias,2011-04-01,79,122,79,122,201
PADCAYA,atencion odontologica,periodoncias,2011-04-01,2,15,2,15,17
PADILLA,atencion odontologica,periodoncias,2011-04-01,5,6,5,6,11
PAILON,atencion odontologica,periodoncias,2011-04-01,6,9,6,9,15
PALCA,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
PALOS BLANCOS,atencion odontologica,periodoncias,2011-04-01,2,3,2,3,5
PAMPA GRANDE,atencion odontologica,periodoncias,2011-04-01,0,11,0,11,11
PAPEL PAMPA,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
PASORAPA,atencion odontologica,periodoncias,2011-04-01,0,5,0,5,5
PATACAMAYA,atencion odontologica,periodoncias,2011-04-01,12,32,12,32,44
PELECHUCO,atencion odontologica,periodoncias,2011-04-01,2,1,2,1,3
POCOATA,atencion odontologica,periodoncias,2011-04-01,0,18,0,18,18
POCONA,atencion odontologica,periodoncias,2011-04-01,0,5,0,5,5
POJO (CBBA),atencion odontologica,periodoncias,2011-04-01,5,13,5,13,18
PORTACHUELO,atencion odontologica,periodoncias,2011-04-01,2,9,2,9,11
PORVENIR,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
POTOSI,atencion odontologica,periodoncias,2011-04-01,13,20,13,20,33
PUCARANI,atencion odontologica,periodoncias,2011-04-01,4,4,4,4,8
PUERTO ACOSTA,atencion odontologica,periodoncias,2011-04-01,2,4,2,4,6
PUERTO CARABUCO,atencion odontologica,periodoncias,2011-04-01,2,2,2,2,4
PUERTO RICO,atencion odontologica,periodoncias,2011-04-01,3,4,3,4,7
PUERTO SILES,atencion odontologica,periodoncias,2011-04-01,2,1,2,1,3
PUERTO SUAREZ,atencion odontologica,periodoncias,2011-04-01,1,11,1,11,12
PUERTO VILLARROEL,atencion odontologica,periodoncias,2011-04-01,13,22,13,22,35
PUNA,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
PUNATA,atencion odontologica,periodoncias,2011-04-01,720,921,720,921,1641
QUILLACOLLO,atencion odontologica,periodoncias,2011-04-01,19,56,19,56,75
QUIME,atencion odontologica,periodoncias,2011-04-01,3,1,3,1,4
QUIRUSILLAS,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
REYES,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
RIBERALTA,atencion odontologica,periodoncias,2011-04-01,33,282,33,282,315
ROBORE,atencion odontologica,periodoncias,2011-04-01,1,6,1,6,7
RURRENABAQUE,atencion odontologica,periodoncias,2011-04-01,71,72,71,72,143
SACABA,atencion odontologica,periodoncias,2011-04-01,98,150,98,150,248
SACABAMBA,atencion odontologica,periodoncias,2011-04-01,21,27,21,27,48
SACACA,atencion odontologica,periodoncias,2011-04-01,0,4,0,4,4
SAIPINA,atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncias,2011-04-01,3,3,3,3,6
SAMAIPATA,atencion odontologica,periodoncias,2011-04-01,2,0,2,0,2
SAN AGUSTIN,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
SAN ANDRES DE MACHACA,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
SAN BENITO,atencion odontologica,periodoncias,2011-04-01,17,18,17,18,35
SAN BORJA,atencion odontologica,periodoncias,2011-04-01,1,11,1,11,12
SAN BUENA VENTURA,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
SAN CARLOS,atencion odontologica,periodoncias,2011-04-01,13,20,13,20,33
SAN IGNACIO,atencion odontologica,periodoncias,2011-04-01,3,7,3,7,10
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncias,2011-04-01,5,5,5,5,10
SAN JAVIER(STC),atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncias,2011-04-01,7,48,7,48,55
SAN JULIAN,atencion odontologica,periodoncias,2011-04-01,4,5,4,5,9
SAN LORENZO(PND),atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
SAN LORENZO(TJA),atencion odontologica,periodoncias,2011-04-01,1,7,1,7,8
SAN LUCAS,atencion odontologica,periodoncias,2011-04-01,62,104,62,104,166
SAN MATIAS,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncias,2011-04-01,1,1,1,1,2
SAN PEDRO,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
SAN RAFAEL,atencion odontologica,periodoncias,2011-04-01,21,44,21,44,65
SAN RAMON SCZ,atencion odontologica,periodoncias,2011-04-01,5,12,5,12,17
SANTA ANA,atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncias,2011-04-01,475,813,475,813,1288
SANTA ROSA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,periodoncias,2011-04-01,2,10,2,10,12
SANTIAGO DE HUARI,atencion odontologica,periodoncias,2011-04-01,7,4,7,4,11
SANTIAGO DE HUATA,atencion odontologica,periodoncias,2011-04-01,3,9,3,9,12
SANTIVAÑES,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
SENA,atencion odontologica,periodoncias,2011-04-01,5,3,5,3,8
SHINAOTA,atencion odontologica,periodoncias,2011-04-01,32,33,32,33,65
SICA SICA (VILLA AROMA),atencion odontologica,periodoncias,2011-04-01,2,0,2,0,2
SICAYA,atencion odontologica,periodoncias,2011-04-01,0,6,0,6,6
SIPE SIPE,atencion odontologica,periodoncias,2011-04-01,16,50,16,50,66
SOPACHUY,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
SORATA,atencion odontologica,periodoncias,2011-04-01,5,4,5,4,9
SUCRE,atencion odontologica,periodoncias,2011-04-01,229,494,229,494,723
TAPACARI,atencion odontologica,periodoncias,2011-04-01,4,2,4,2,6
TARABUCO,atencion odontologica,periodoncias,2011-04-01,4,28,4,28,32
TARACO,atencion odontologica,periodoncias,2011-04-01,1,0,1,0,1
TARATA,atencion odontologica,periodoncias,2011-04-01,1,4,1,4,5
TARIJA,atencion odontologica,periodoncias,2011-04-01,105,154,105,154,259
TARVITA,atencion odontologica,periodoncias,2011-04-01,2,8,2,8,10
TIAWANACU,atencion odontologica,periodoncias,2011-04-01,2,3,2,3,5
TIPUANI,atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
TIQUIPAYA,atencion odontologica,periodoncias,2011-04-01,53,177,53,177,230
TIRAQUE (CBBA),atencion odontologica,periodoncias,2011-04-01,21,41,21,41,62
TOCO,atencion odontologica,periodoncias,2011-04-01,10,7,10,7,17
TOLATA,atencion odontologica,periodoncias,2011-04-01,8,25,8,25,33
TOLEDO,atencion odontologica,periodoncias,2011-04-01,1,2,1,2,3
TOMINA,atencion odontologica,periodoncias,2011-04-01,3,4,3,4,7
TORO TORO,atencion odontologica,periodoncias,2011-04-01,1,1,1,1,2
TOTORA(CBBA),atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
TRIGAL,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
TRINIDAD,atencion odontologica,periodoncias,2011-04-01,51,78,51,78,129
TUPIZA,atencion odontologica,periodoncias,2011-04-01,71,72,71,72,143
TURCO,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2011-04-01,5,13,5,13,18
URUBICHA,atencion odontologica,periodoncias,2011-04-01,0,1,0,1,1
UYUNI,atencion odontologica,periodoncias,2011-04-01,1,3,1,3,4
VACAS,atencion odontologica,periodoncias,2011-04-01,11,17,11,17,28
VALLEGRANDE,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
VIACHA,atencion odontologica,periodoncias,2011-04-01,31,16,31,16,47
VILA VILA,atencion odontologica,periodoncias,2011-04-01,2,5,2,5,7
VILLA CHARCAS,atencion odontologica,periodoncias,2011-04-01,5,2,5,2,7
VILLA MONTES,atencion odontologica,periodoncias,2011-04-01,19,16,19,16,35
VILLA RIVERO,atencion odontologica,periodoncias,2011-04-01,0,2,0,2,2
VILLA TUNARI,atencion odontologica,periodoncias,2011-04-01,30,52,30,52,82
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,periodoncias,2011-04-01,2,4,2,4,6
VILLAZON,atencion odontologica,periodoncias,2011-04-01,1,8,1,8,9
VINTO,atencion odontologica,periodoncias,2011-04-01,5,19,5,19,24
VITICHI,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
WARNES,atencion odontologica,periodoncias,2011-04-01,17,18,17,18,35
YACUIBA,atencion odontologica,periodoncias,2011-04-01,21,42,21,42,63
YAMPARAEZ,atencion odontologica,periodoncias,2011-04-01,0,4,0,4,4
YANACACHI,atencion odontologica,periodoncias,2011-04-01,3,4,3,4,7
YAPACANI,atencion odontologica,periodoncias,2011-04-01,3,14,3,14,17
YOCALLA,atencion odontologica,periodoncias,2011-04-01,2,7,2,7,9
YOTALA,atencion odontologica,periodoncias,2011-04-01,0,9,0,9,9
YUNCHARA,atencion odontologica,periodoncias,2011-04-01,2,1,2,1,3
ZUDAÑEZ,atencion odontologica,periodoncias,2011-04-01,0,3,0,3,3
ACACIO,atencion odontologica,periodoncias,2011-05-01,0,4,0,4,4
ACHACACHI,atencion odontologica,periodoncias,2011-05-01,3,10,3,10,13
ACHOCALLA,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
AIQUILE,atencion odontologica,periodoncias,2011-05-01,6,39,6,39,45
ALCALA,atencion odontologica,periodoncias,2011-05-01,2,2,2,2,4
ALTO BENI,atencion odontologica,periodoncias,2011-05-01,1,0,1,0,1
ANCORAIMES,atencion odontologica,periodoncias,2011-05-01,0,2,0,2,2
ANTEQUERA,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
ANZALDO,atencion odontologica,periodoncias,2011-05-01,2,6,2,6,8
APOLO,atencion odontologica,periodoncias,2011-05-01,1,26,1,26,27
ARAMPAMPA,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
ARANI,atencion odontologica,periodoncias,2011-05-01,0,10,0,10,10
ARBIETO,atencion odontologica,periodoncias,2011-05-01,21,33,21,33,54
ARQUE,atencion odontologica,periodoncias,2011-05-01,0,5,0,5,5
ATOCHA,atencion odontologica,periodoncias,2011-05-01,2,12,2,12,14
AYATA,atencion odontologica,periodoncias,2011-05-01,4,0,4,0,4
AYO AYO,atencion odontologica,periodoncias,2011-05-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2011-05-01,4,12,4,12,16
AZURDUY,atencion odontologica,periodoncias,2011-05-01,0,3,0,3,3
BERMEJO,atencion odontologica,periodoncias,2011-05-01,17,38,17,38,55
BETANZOS,atencion odontologica,periodoncias,2011-05-01,1,3,1,3,4
CABEZAS,atencion odontologica,periodoncias,2011-05-01,10,41,10,41,51
CAIROMA,atencion odontologica,periodoncias,2011-05-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica,periodoncias,2011-05-01,0,3,0,3,3
CAMARGO,atencion odontologica,periodoncias,2011-05-01,3,9,3,9,12
CAMIRI,atencion odontologica,periodoncias,2011-05-01,15,40,15,40,55
CAPINOTA,atencion odontologica,periodoncias,2011-05-01,1,2,1,2,3
CARACOLLO,atencion odontologica,periodoncias,2011-05-01,16,10,16,10,26
CARANAVI,atencion odontologica,periodoncias,2011-05-01,3,3,3,3,6
CARAPARI,atencion odontologica,periodoncias,2011-05-01,9,17,9,17,26
CARIPUYO,atencion odontologica,periodoncias,2011-05-01,0,2,0,2,2
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2011-05-01,3,11,3,11,14
CATACORA,atencion odontologica,periodoncias,2011-05-01,3,1,3,1,4
CHALLAPATA,atencion odontologica,periodoncias,2011-05-01,7,7,7,7,14
CHARAGUA,atencion odontologica,periodoncias,2011-05-01,1,2,1,2,3
CHAYANTA,atencion odontologica,periodoncias,2011-05-01,1,1,1,1,2
CHIMORE,atencion odontologica,periodoncias,2011-05-01,3,18,3,18,21
CHIPAYA,atencion odontologica,periodoncias,2011-05-01,1,1,1,1,2
CHOQUE COTA,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2011-05-01,0,2,0,2,2
CHUMA,atencion odontologica,periodoncias,2011-05-01,5,2,5,2,7
CLIZA,atencion odontologica,periodoncias,2011-05-01,29,42,29,42,71
COBIJA,atencion odontologica,periodoncias,2011-05-01,38,40,38,40,78
COCAPATA,atencion odontologica,periodoncias,2011-05-01,3,7,3,7,10
COCHABAMBA,atencion odontologica,periodoncias,2011-05-01,674,919,674,919,1593
COIPASA,atencion odontologica,periodoncias,2011-05-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,periodoncias,2011-05-01,5,24,5,24,29
"COLCHA ""K""",atencion odontologica,periodoncias,2011-05-01,1,0,1,0,1
COLOMI,atencion odontologica,periodoncias,2011-05-01,3,20,3,20,23
COLPA BELGICA,atencion odontologica,periodoncias,2011-05-01,1,17,1,17,18
COLQUECHACA,atencion odontologica,periodoncias,2011-05-01,12,16,12,16,28
COLQUENCHA,atencion odontologica,periodoncias,2011-05-01,2,7,2,7,9
COLQUIRI,atencion odontologica,periodoncias,2011-05-01,6,7,6,7,13
COMANCHE,atencion odontologica,periodoncias,2011-05-01,4,1,4,1,5
COMARAPA,atencion odontologica,periodoncias,2011-05-01,2,6,2,6,8
CONCEPCION,atencion odontologica,periodoncias,2011-05-01,3,2,3,2,5
CORO CORO,atencion odontologica,periodoncias,2011-05-01,1,0,1,0,1
COROICO,atencion odontologica,periodoncias,2011-05-01,3,6,3,6,9
CORQUE,atencion odontologica,periodoncias,2011-05-01,1,1,1,1,2
COTAGAITA,atencion odontologica,periodoncias,2011-05-01,15,20,15,20,35
COTOCA,atencion odontologica,periodoncias,2011-05-01,6,11,6,11,17
CUATRO CAÑADAS,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
CUEVO,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2011-05-01,0,2,0,2,2
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2011-05-01,0,1,0,1,1
EL ALTO,atencion odontologica,periodoncias,2011-05-01,88,253,88,253,341
EL PUENTE(TJA),atencion odontologica,periodoncias,2011-05-01,1,0,1,0,1
EL TORNO,atencion odontologica,periodoncias,2011-05-01,10,27,10,27,37
EL VILLAR,atencion odontologica,periodoncias,2011-05-01,10,21,10,21,31
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2011-05-01,3,4,3,4,7
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2011-05-01,2,8,2,8,10
