,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,275,294,275,294,569
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,2,1,2,1,3
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,71,85,71,85,156
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,242,127,242,127,369
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,294,369,294,369,663
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,38,48,38,48,86
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,55,105,55,105,160
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,308,439,308,439,747
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,926,676,926,676,1602
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,83,117,83,117,200
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,810,1087,810,1087,1897
TOLEDO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,5,5,5,5,10
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,0,1,0,1,1
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,35,47,35,47,82
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,15,8,15,8,23
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,358,339,358,339,697
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,58,69,58,69,127
TURCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,35,37,35,37,72
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,4,0,4,0,4
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,32,42,32,42,74
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,70,86,70,86,156
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,425,513,425,513,938
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,82,95,82,95,177
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,76,77,76,77,153
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,18,44,18,44,62
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,0,6,0,6,6
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,14,26,14,26,40
VILLA RIVERO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,337,306,337,306,643
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,41,56,41,56,97
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,54,62,54,62,116
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,60,70,60,70,130
VILLAZON,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,353,279,353,279,632
VINTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,291,301,291,301,592
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,0,15,0,15,15
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,50,60,50,60,110
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,3,5,3,5,8
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,33,28,33,28,61
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,4,1,4,1,5
YOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,67,42,67,42,109
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,69,70,69,70,139
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,2,0,2,0,2
ZUDAÑEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-03-01,8,7,8,7,15
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,21,20,21,20,41
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,28,30,28,30,58
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,953,1014,953,1014,1967
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,27,27,27,27,54
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,3,1,3,4
ANDAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,7,7,7,7,14
ANZALDO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,180,150,180,150,330
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,5,9,5,9,14
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,504,584,504,584,1088
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,126,139,126,139,265
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,12,6,12,18
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,12,14,12,14,26
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,210,320,210,320,530
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,141,126,141,126,267
BATALLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,5,10,5,10,15
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,3,0,3,0,3
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,55,53,55,53,108
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,6,6,6,12
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,8,1,8,1,9
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,16,19,16,19,35
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,27,170,27,170,197
CAIROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,16,34,16,34,50
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,186,178,186,178,364
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,19,12,19,12,31
CALAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,0,6,0,6
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,7,8,7,8,15
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,744,865,744,865,1609
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,401,411,401,411,812
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,9,5,9,5,14
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,62,0,62,62
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,44,36,44,36,80
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,6,0,6,6
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,12,13,12,13,25
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,208,213,208,213,421
CHOQUE COTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,20,27,20,27,47
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,94,80,94,80,174
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,46,10,46,56
CLIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1605,2888,1605,2888,4493
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,159,108,159,108,267
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,18,2,18,20
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,237,290,237,290,527
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,284,401,284,401,685
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,8,6,8,14
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,4,2,4,6
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,72,96,72,96,168
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,4,0,4,0,4
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,70,50,70,50,120
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,408,479,408,479,887
CORIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,2,2,2,4
CORO CORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,0,1,0,1
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,409,443,409,443,852
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,52,105,52,105,157
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,1,1,1,2
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,13,13,13,13,26
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,307,296,307,296,603
CURVA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,33,22,33,22,55
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,21,12,21,12,33
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,30,32,30,32,62
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,41,27,41,27,68
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,5,1,5,6
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,419,386,419,386,805
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,29,32,29,32,61
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,34,2,34,36
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,8,10,8,10,18
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,33,57,33,57,90
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,4,1,4,5
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,53,72,53,72,125
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,73,51,73,51,124
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,26,32,26,32,58
HUARACAJE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,20,11,20,11,31
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,4,0,4,4
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,3,2,3,5
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,208,244,208,244,452
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,55,78,55,78,133
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,4,8,4,8,12
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,67,67,67,67,134
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,16,10,16,26
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,216,238,216,238,454
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,4,10,4,14
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,131,180,131,180,311
LAGUNILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,5,2,5,7
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,285,300,285,300,585
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,52,18,52,18,70
MACHACAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,8,2,8,10
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,40,17,40,17,57
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,12,11,12,11,23
MINEROS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,20,30,20,30,50
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,381,100,381,100,481
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,3,10,3,13
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,3,0,3,3
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,373,463,373,463,836
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,436,618,436,618,1054
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,47,82,47,82,129
OKINAWA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,87,85,87,85,172
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,32,31,32,31,63
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,7,10,7,17
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,83,104,83,104,187
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,15,10,15,25
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,20,19,20,19,39
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,11,9,11,9,20
PASORAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,109,98,109,98,207
PATACAMAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,3,0,3,3
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,21,21,21,21,42
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,374,324,374,324,698
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,23,63,23,63,86
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,15,21,15,21,36
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,29,54,29,54,83
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,108,118,108,118,226
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,84,109,84,109,193
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,93,117,93,117,210
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,5,0,5,5
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,254,234,254,234,488
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1401,0,1401,0,1401
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,200,218,200,218,418
PUERTO SILES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,3,5,3,5,8
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,12,17,12,17,29
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,207,404,207,404,611
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,442,442,442,442,884
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,4,1,4,5
QUIRUSILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,15,10,15,10,25
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,441,485,441,485,926
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,60,60,60,60,120
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,4297,4901,4297,4901,9198
SACABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,228,240,228,240,468
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,23,10,23,33
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,117,109,117,109,226
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,2,2,2,4
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,27,25,27,25,52
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,14,6,14,6,20
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,358,363,358,363,721
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,1,1,1,2
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,195,0,195,195
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,43,18,43,18,61
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,357,365,357,365,722
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,3,1,3,4
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,329,337,329,337,666
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,30,28,30,28,58
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,48,51,48,51,99
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,3,0,3,3
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,64,8,64,8,72
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,106,149,106,149,255
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,18,19,18,19,37
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,45,20,45,20,65
SAN RAMON BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,227,219,227,219,446
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,11,17,11,17,28
SANTA ANA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,129,10,129,139
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,4333,4223,4333,4223,8556
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,216,229,216,229,445
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,76,64,76,64,140
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,0,1,0,1
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,0,1,0,1
SANTIVAÑES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,74,99,74,99,173
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,345,290,345,290,635
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,41,39,41,39,80
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,9,6,9,6,15
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,32,290,32,290,322
SOPACHUY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,32,26,32,26,58
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,19,18,19,18,37
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,9,14,9,14,23
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,348,380,348,380,728
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,57,50,57,50,107
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,154,45,154,45,199
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,394,476,394,476,870
TARATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,340,346,340,346,686
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,44,42,44,42,86
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,83,58,83,58,141
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,16,16,16,16,32
TIPUANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,221,199,221,199,420
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,339,349,339,349,688
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,182,239,182,239,421
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,138,224,138,224,362
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,2,6,2,8
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,20,39,20,39,59
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,31,26,31,26,57
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,283,214,283,214,497
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,33,47,33,47,80
TURCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,61,60,61,60,121
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,6,0,6,0,6
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,76,81,76,81,157
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,50,68,50,68,118
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,13,18,13,18,31
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,32,22,32,22,54
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,25,13,25,13,38
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,103,86,103,86,189
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,28,60,28,60,88
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,50,19,50,19,69
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,34,50,34,50,84
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,159,111,159,111,270
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,0,7,0,7,7
VILLAZON,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,320,421,320,421,741
VINTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,194,213,194,213,407
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,9,11,9,11,20
WALDO BALLIVIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,3,8,3,8,11
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,22,35,22,35,57
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,2,4,2,4,6
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,43,45,43,45,88
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,1,4,1,4,5
YOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,5,10,5,10,15
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,10,15,10,15,25
ZUDAÑEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-04-01,4,3,4,3,7
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,56,68,56,68,124
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,3,3,3,3,6
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,50,57,50,57,107
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,14,10,14,10,24
ANDAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,10,10,10,10,20
ANZALDO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,175,118,175,118,293
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,0,3,0,3,3
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,19,27,19,27,46
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,53,63,53,63,116
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,6,4,6,4,10
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,37,29,37,29,66
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,17,21,17,21,38
BATALLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,3,5,3,5,8
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,2,2,2,2,4
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,107,51,107,51,158
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,221,191,221,191,412
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,18,28,18,28,46
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,19,11,19,11,30
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,67,30,67,30,97
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,7,11,7,11,18
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,35,538,35,538,573
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,63,53,63,53,116
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,42,41,42,41,83
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,215,246,215,246,461
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,11,8,11,8,19
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,176,407,176,407,583
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-05-01,41,28,41,28,69
