,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,11,5,11,16
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,4,14,4,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,2,8,2,10
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,71,2,71,2,73
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,24,5,24,5,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,6,6,6,12
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,29,20,29,20,49
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,80,32,80,32,112
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,12,13,12,25
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,27,3,27,30
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,1,5,1,6
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,0,4,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,52,16,52,16,68
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,5,5,5,10
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,21,14,21,35
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,19,20,19,20,39
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,27,5,27,5,32
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,21,20,21,41
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,5,6,5,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,10,8,10,18
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,16,26,16,26,42
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,26,11,26,11,37
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,119,5,119,5,124
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,37,11,37,48
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1401,24,1401,24,1425
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,0,4,0,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,107,2,107,2,109
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,7,11,7,18
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,41,8,41,8,49
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,3,8,3,11
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,26,69,26,69,95
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,2,14,2,16
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,17,34,17,34,51
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,1,1,1,2
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,29,5,29,5,34
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,28,11,28,11,39
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,11,20,11,31
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,2,22,2,24
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,9,8,9,8,17
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,12,4,12,4,16
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,4,8,4,12
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,28,22,28,22,50
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,109,14,109,14,123
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,35,20,35,55
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,3,6,3,9
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,17,13,17,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,0,6,0,6
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,5,1,5,6
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,7,8,7,15
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1627,53,1627,53,1680
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,5,2,5,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,4,14,4,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,23,2,23,2,25
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,85,4,85,4,89
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,9,1,9,1,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,33,12,33,12,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,54,12,54,12,66
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,2,10,2,12
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,15,0,15,0,15
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,3,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,7,0,7,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,3,22,3,25
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,3,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,19,2,19,2,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,13,10,13,23
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,12,14,12,26
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,6,5,6,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,93,23,93,23,116
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,30,8,30,8,38
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,1,11,1,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,3,0,3,3
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,58,13,58,13,71
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,1,6,1,7
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,4,5,4,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,2,5,2,7
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,5,0,5,5
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,7,2,7,9
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,7,8,7,15
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,4,13,4,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,4,0,4,4
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,14,5,14,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,14,6,14,20
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,1,14,1,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,17,1,17,1,18
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,48,13,48,13,61
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,139,3,139,3,142
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1424,20,1424,20,1444
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,3,4,3,7
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,3,22,3,25
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,4,3,4,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,66,41,66,41,107
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,1,5,1,6
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,3,3,3,6
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,3,3,3,6
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,2,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,9,7,9,7,16
MAGDALENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,7,22,7,29
MAIRANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,0,22,0,22
MALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
MAPIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,34,6,34,6,40
MECAPACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,9,24,9,24,33
MINEROS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,37,19,37,19,56
MIZQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,49,34,49,34,83
MOCOMOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,16,23,16,23,39
MOJINETE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,5,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,33,12,33,12,45
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,205,4,205,4,209
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,2,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,17,7,17,24
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,1,2,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,23,38,23,38,61
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,26,4,26,4,30
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,6,4,6,10
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,640,3,640,3,643
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,7,20,7,27
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,7,2,7,9
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,40,57,40,57,97
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,13,7,13,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,38,12,38,12,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,1,10,1,11
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,16,4,16,4,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,4,7,4,11
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,2,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,25,9,25,9,34
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,0,6,0,6
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,10,4,10,14
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,50,11,50,61
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,17,8,17,25
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,18,20,18,38
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,5,1,5,1,6
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,19,5,19,5,24
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,25,23,25,23,48
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,8,14,8,22
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,35,2,35,2,37
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,0,10,0,10
POSTRER VALLE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,431,22,431,22,453
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,15,3,15,18
PUCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,1,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,32,20,32,20,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,8,6,8,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,7,13,7,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,4,11,4,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,8,3,8,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,23,5,23,5,28
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,3,13,3,16
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,22,2,22,2,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,105,9,105,9,114
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,23,28,23,28,51
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,60,1,60,1,61
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,191,14,191,14,205
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,3,13,3,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,40,10,40,50
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,29,25,29,25,54
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,193,28,193,28,221
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,3,11,3,14
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,25,3,25,3,28
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,226,19,226,19,245
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,2,6,2,8
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,28,32,28,32,60
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,3,13,3,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,3,8,3,11
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,15,6,15,21
SAN AGUSTIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,19,13,19,13,32
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,4,2,4,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,10,5,10,5,15
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,21,5,21,5,26
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,60,19,60,19,79
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,13,3,13,3,16
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,37,4,37,4,41
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,44,10,44,10,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,95,39,95,39,134
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,3,7,3,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,26,0,26,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,34,2,34,2,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,24,6,24,6,30
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,44,16,44,16,60
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,8,11,8,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,25,14,25,14,39
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,35,41,35,41,76
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,24,0,24,0,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,14,10,14,10,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,7,1,7,1,8
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,25,30,25,30,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,3,0,3,0,3
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,4,3,4,3,7
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,11,1,11,1,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,2,6,2,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,20,4,20,4,24
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,28,24,28,24,52
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,2085,81,2085,81,2166
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,17,0,17,0,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,31,10,31,10,41
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-03-01,6,3,6,3,9
