,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,40,36,40,36,76
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,19,0,19,0,19
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,16,7,16,7,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,2,0,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,27,4,27,4,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,23,9,23,9,32
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,5,0,5,0,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,6,1,6,1,7
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,13,2,13,2,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,5,5,5,5,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,20,1,20,1,21
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,24,25,24,25,49
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1992,69,1992,69,2061
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,24,5,24,5,29
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,16,5,16,5,21
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,0,3,0,3,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,7,3,7,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,9,3,9,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,0,3,0,3,3
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,2,8,2,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,2,2,2,2,4
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,10,3,10,13
SENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,0,8,0,8
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,31,0,31,0,31
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,13,11,13,11,24
SICAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,2,1,2,1,3
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,73,2,73,2,75
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,6,6,6,6,12
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,21,8,21,29
SORATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,16,22,16,22,38
SUCRE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,446,22,446,22,468
TACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,7,6,7,6,13
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,11,0,11,0,11
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,6,8,6,14
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,23,29,23,29,52
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,21,19,21,19,40
TARACO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1,3,1,3,4
TARATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,11,0,11,0,11
TARIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,308,11,308,11,319
TARVITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,7,8,7,15
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,11,14,11,14,25
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,12,8,12,20
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,35,26,35,26,61
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,15,1,15,1,16
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,90,5,90,5,95
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,33,10,33,10,43
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,5,3,5,3,8
TODOS SANTOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,2,1,2,1,3
TOLATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,9,1,9,1,10
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,6,1,6,1,7
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,4,6,4,6,10
TOMINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,9,5,9,5,14
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,9,19,9,19,28
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,21,4,21,4,25
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,9,2,9,2,11
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,198,15,198,15,213
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,71,10,71,10,81
TURCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,5,2,5,2,7
UMALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1,6,1,6,7
UNCIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,25,8,25,8,33
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,16,4,16,4,20
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,0,7,0,7,7
UYUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,42,4,42,4,46
VACAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,7,11,7,11,18
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,20,5,20,5,25
VIACHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,71,7,71,7,78
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,6,2,6,2,8
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,16,13,16,13,29
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,42,6,42,6,48
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1,3,1,3,4
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,8,0,8,0,8
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,7,5,7,5,12
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,110,16,110,16,126
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,14,1,14,1,15
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,68,9,68,9,77
VINTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,69,3,69,3,72
VITICHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,4,5,4,5,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1,3,1,3,4
WARNES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,109,22,109,22,131
YACO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,8,3,8,11
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,108,29,108,29,137
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,6,3,6,3,9
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,11,0,11,0,11
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,72,6,72,6,78
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,3,12,3,12,15
YOTALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,13,1,13,1,14
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,1,4,1,4,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-02-01,12,5,12,5,17
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,5,11,5,11,16
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,55,46,55,46,101
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,18,5,18,5,23
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,45,14,45,14,59
ALALAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,11,3,11,14
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,2,1,2,3
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,19,14,19,14,33
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,9,17,9,17,26
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,0,3,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,5,18,5,18,23
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,29,9,29,9,38
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,14,2,14,16
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,10,12,10,12,22
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,4,14,4,18
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,38,4,38,4,42
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,65,8,65,8,73
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,20,7,20,7,27
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,9,4,9,13
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,7,14,7,21
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,38,27,38,27,65
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,11,24,11,24,35
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,21,11,21,11,32
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,1,14,1,15
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,2,3,2,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,2,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,53,7,53,7,60
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,39,31,39,31,70
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,12,12,12,12,24
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,6,0,6,6
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,7,4,7,4,11
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,15,10,15,10,25
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,31,1,31,1,32
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,10,6,10,6,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,9,14,9,14,23
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,2,6,2,8
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,5,2,5,7
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,16,11,16,11,27
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,31,7,31,7,38
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,1,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,64,11,64,11,75
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,36,3,36,3,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,11,4,11,15
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,30,16,30,16,46
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,85,42,85,42,127
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,29,8,29,8,37
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,9,26,9,26,35
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,5,3,5,8
CATACORA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,0,2,0,2
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,48,17,48,17,65
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,13,10,13,10,23
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,21,26,21,26,47
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,3,1,3,4
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,26,18,26,18,44
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,39,13,39,13,52
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,2,2,2,4
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,11,14,11,25
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,8,7,8,7,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,7,6,7,6,13
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,12,35,12,35,47
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,37,4,37,4,41
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,126,1,126,1,127
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,13,33,13,33,46
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1552,17,1552,17,1569
COIPASA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,2,2,2,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,93,0,93,0,93
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,17,1,17,1,18
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,0,4,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,42,9,42,9,51
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,8,6,8,6,14
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,33,74,33,74,107
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,12,5,12,5,17
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,47,6,47,53
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,1,1,1,2
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,33,4,33,4,37
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,7,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,46,9,46,9,55
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,17,14,17,14,31
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,23,0,23,0,23
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,2,4,2,6
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,13,6,13,6,19
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,5,3,5,8
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,25,22,25,22,47
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,100,13,100,13,113
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,29,29,29,29,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,5,3,5,3,8
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,33,24,33,24,57
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,10,1,10,1,11
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,9,2,9,11
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,3,4,3,7
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1730,60,1730,60,1790
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,4,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,19,16,19,16,35
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,27,12,27,12,39
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,104,3,104,3,107
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,1,2,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,29,11,29,11,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,61,14,61,14,75
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,9,2,9,2,11
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,8,0,8,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,7,0,7,7
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,14,3,14,17
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,11,1,11,1,12
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,4,6,4,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,23,5,23,5,28
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,7,11,7,11,18
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,9,14,9,23
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,5,10,5,10,15
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,109,29,109,29,138
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,27,15,27,15,42
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,17,8,17,8,25
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,4,0,4,4
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,0,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,62,7,62,7,69
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,0,6,0,6
HUARINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,7,3,7,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,4,2,4,2,6
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,7,3,7,10
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,7,2,7,9
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,14,6,14,20
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,9,6,9,6,15
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,0,10,0,10,10
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,14,1,14,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,13,14,13,27
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,17,0,17,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,12,2,12,2,14
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,54,9,54,9,63
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,144,1,144,1,145
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1507,26,1507,26,1533
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,7,2,7,2,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,20,5,20,5,25
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,1,4,1,4,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,3,1,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,72,33,72,33,105
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,8,4,8,4,12
LORETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,5,3,5,3,8
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,5,6,5,11
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,8,3,8,3,11
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,6,4,6,4,10
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,17,4,17,4,21
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,18,1,18,1,19
MALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,3,2,3,5
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,29,11,29,11,40
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,14,10,14,10,24
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,50,7,50,7,57
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,44,20,44,20,64
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,10,8,10,8,18
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,3,2,3,5
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,16,2,16,2,18
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,43,12,43,12,55
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,256,3,256,3,259
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-03-01,2,1,2,1,3
