,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES,TOTALES,TOTALES
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,1,6,1,7
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,13,0,13,0,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,5,6,5,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,19,0,19,0,19
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,25,19,25,19,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1939,37,1939,37,1976
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,24,5,24,5,29
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,16,6,16,6,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,2,5,2,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,3,7,3,7,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,9,2,9,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,0,3,0,3,3
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,2,8,2,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,2,2,2,4
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,7,5,7,5,12
SENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,0,6,0,6
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,31,0,31,0,31
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,12,13,12,13,25
SICAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,2,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,70,1,70,1,71
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,6,6,6,12
SORACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,17,6,17,23
SORATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,15,21,15,21,36
SUCRE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,430,19,430,19,449
TACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,7,6,7,6,13
TACOBAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,11,0,11,0,11
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,6,8,6,14
TAHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,22,28,22,28,50
TARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,21,18,21,18,39
TARACO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1,3,1,3,4
TARATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,11,0,11,0,11
TARIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,301,7,301,7,308
TARVITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,7,8,7,15
TEOPONTE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,9,8,9,8,17
TIAWANACU,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,11,8,11,19
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,41,13,41,13,54
TIPUANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,14,0,14,0,14
TIQUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,85,4,85,4,89
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,34,10,34,10,44
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,3,5,3,8
TODOS SANTOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,1,2,1,3
TOLATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,9,1,9,1,10
TOLEDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,1,6,1,7
TOMAVE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,3,6,3,6,9
TOMINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,4,8,4,12
TORO TORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,11,16,11,16,27
TOTORA(CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,24,5,24,5,29
TOTORA(ORR),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,7,2,7,2,9
TRINIDAD,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,209,15,209,15,224
TUPIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,75,10,75,10,85
TURCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,2,5,2,7
UMALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1,6,1,6,7
UNCIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,26,8,26,8,34
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,13,3,13,3,16
URUBICHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,0,7,0,7,7
UYUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,39,0,39,0,39
VACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,7,5,7,12
VALLEGRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,19,5,19,5,24
VIACHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,71,7,71,7,78
VILA VILA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,3,6,3,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,17,12,17,12,29
VILLA MONTES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,42,5,42,5,47
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1,3,1,3,4
VILLA RIVERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,8,0,8,0,8
VILLA SERRANO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,6,4,6,4,10
VILLA TUNARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,117,10,117,10,127
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,14,2,14,2,16
VILLAZON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,70,8,70,8,78
VINTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,66,3,66,3,69
VITICHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,5,5,5,10
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1,3,1,3,4
WARNES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,122,21,122,21,143
YACO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,4,7,4,7,11
YACUIBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,107,14,107,14,121
YAMPARAEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,5,3,5,3,8
YANACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,11,0,11,0,11
YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,71,5,71,5,76
YOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,2,12,2,12,14
YOTALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,14,1,14,1,15
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,1,4,1,4,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-02-01,12,5,12,5,17
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,8,6,8,14
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,54,42,54,42,96
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,17,2,17,2,19
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,45,15,45,15,60
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,3,10,3,10,13
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,2,1,2,3
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,19,12,19,12,31
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,17,9,17,26
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,3,0,3,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,5,20,5,20,25
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,28,14,28,14,42
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,14,2,14,16
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,10,7,10,7,17
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,13,4,13,4,17
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,31,3,31,3,34
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,63,5,63,5,68
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,18,6,18,6,24
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,8,4,8,12
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,14,7,14,7,21
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,2,7,2,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,39,27,39,27,66
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,10,23,10,23,33
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,20,11,20,11,31
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,17,0,17,0,17
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,3,2,3,2,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,2,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,54,8,54,8,62
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,40,31,40,31,71
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,11,12,11,12,23
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,6,0,6,6
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,2,7,2,9
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,13,8,13,8,21
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,30,2,30,2,32
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,6,9,6,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,12,8,12,20
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,3,5,3,5,8
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,4,2,4,6
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,19,19,19,19,38
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,31,7,31,7,38
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,1,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,44,11,44,11,55
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,37,4,37,4,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,11,4,11,15
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,31,16,31,16,47
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,84,40,84,40,124
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,29,7,29,7,36
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,26,9,26,35
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,3,5,3,5,8
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,0,2,0,2
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,48,20,48,20,68
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,13,11,13,11,24
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,20,21,20,21,41
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,4,1,4,5
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,24,19,24,19,43
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,34,10,34,10,44
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,2,2,2,4
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,2,9,2,11
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,6,8,6,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,6,7,6,13
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,16,32,16,32,48
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,43,8,43,8,51
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,125,2,125,2,127
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,11,32,11,32,43
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1568,16,1568,16,1584
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,2,2,2,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,92,0,92,0,92
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,15,2,15,2,17
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,0,4,0,4
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,38,7,38,7,45
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,11,6,11,6,17
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,32,73,32,73,105
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,12,4,12,4,16
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,46,6,46,52
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,1,1,1,2
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,39,4,39,4,43
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,42,9,42,9,51
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,22,9,22,9,31
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,21,0,21,0,21
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,2,4,2,6
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,14,6,14,6,20
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,5,2,5,7
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,26,20,26,20,46
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,86,2,86,2,88
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,28,30,28,30,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,5,3,5,3,8
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,30,21,30,21,51
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,10,1,10,1,11
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,9,2,9,11
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,3,7,3,10
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1695,38,1695,38,1733
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,4,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,18,14,18,14,32
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,29,12,29,12,41
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,102,2,102,2,104
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,1,2,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,30,11,30,11,41
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,67,5,67,5,72
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,2,9,2,11
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,0,8,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,7,0,7,7
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,10,2,10,12
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,13,0,13,0,13
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,4,6,4,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,19,1,19,1,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,9,7,9,16
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,14,12,14,12,26
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,5,10,5,10,15
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,109,31,109,31,140
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,29,10,29,10,39
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,18,8,18,8,26
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,4,0,4,4
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,0,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,62,7,62,7,69
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,0,6,0,6
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,7,4,7,11
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,2,4,2,6
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,8,2,8,10
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,10,1,10,11
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,14,6,14,20
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,10,6,10,6,16
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,7,0,7,7
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,0,12,0,12,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,14,12,14,12,26
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,0,8,0,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,12,2,12,2,14
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,57,8,57,8,65
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,123,0,123,0,123
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1500,14,1500,14,1514
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,2,6,2,8
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,21,5,21,5,26
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,4,1,4,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,4,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,76,31,76,31,107
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,3,8,3,11
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,5,4,5,4,9
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,6,5,6,5,11
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,3,8,3,11
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,8,4,8,4,12
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,21,4,21,4,25
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,18,1,18,1,19
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,3,2,3,5
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,21,8,21,8,29
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,9,14,9,14,23
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,53,4,53,4,57
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,44,18,44,18,62
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,11,7,11,7,18
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,3,2,3,5
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,15,2,15,2,17
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,45,12,45,12,57
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,250,2,250,2,252
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,7,34,7,34,41
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-03-01,1,2,1,2,3
