,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,3,6,3,9
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,17,13,17,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,0,6,0,6
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,5,1,5,6
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,7,8,7,15
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1627,53,1627,53,1680
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,5,2,5,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,4,14,4,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,2,23,2,25
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,86,3,86,3,89
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,1,9,1,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,32,12,32,12,44
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,53,12,53,12,65
ESCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,1,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,2,10,2,12
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,15,0,15,0,15
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,3,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,7,0,7,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,22,3,22,3,25
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,3,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,19,2,19,2,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,13,10,13,23
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,12,14,12,26
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,6,5,6,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,93,23,93,23,116
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,30,8,30,8,38
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,1,10,1,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,3,0,3,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,58,13,58,13,71
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,1,6,1,7
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,4,5,4,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,2,5,2,7
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,5,0,5,5
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,7,2,7,9
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,7,8,7,15
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,4,13,4,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,4,0,4,4
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,14,5,14,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,14,6,14,20
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,1,14,1,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,17,1,17,1,18
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,48,13,48,13,61
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,133,3,133,3,136
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1435,20,1435,20,1455
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,3,4,3,7
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,22,3,22,3,25
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,4,3,4,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,64,44,64,44,108
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,1,5,1,6
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,3,3,3,6
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,3,3,3,6
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,2,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,7,9,7,16
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,22,7,22,7,29
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,22,0,22,0,22
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,0,1,0,1
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,34,6,34,6,40
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,24,9,24,33
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,37,19,37,19,56
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,49,34,49,34,83
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,16,23,16,23,39
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,5,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,33,12,33,12,45
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,205,4,205,4,209
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,2,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,17,7,17,24
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,2,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,38,23,38,61
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,26,4,26,4,30
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,6,4,6,10
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,639,3,639,3,642
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,20,7,20,7,27
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,7,2,7,9
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,40,57,40,57,97
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,13,7,13,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,38,12,38,12,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,1,10,1,11
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,16,4,16,4,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,4,7,4,11
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,2,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,25,9,25,9,34
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,0,6,0,6
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,10,4,10,14
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,50,11,50,61
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,17,8,17,25
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,20,18,20,18,38
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,1,5,1,6
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,19,5,19,5,24
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,25,23,25,23,48
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,15,9,15,9,24
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,34,2,34,2,36
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,0,10,0,10
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,431,22,431,22,453
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,15,3,15,18
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,1,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,32,20,32,20,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,8,6,8,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,7,13,7,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,5,11,5,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,8,3,8,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,5,23,5,28
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,3,14,3,17
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,22,2,22,2,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,105,9,105,9,114
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,30,23,30,53
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,60,1,60,1,61
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,191,14,191,14,205
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,3,13,3,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,40,10,40,50
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,29,25,29,25,54
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,194,28,194,28,222
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,12,3,12,3,15
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,25,3,25,3,28
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,226,19,226,19,245
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,2,6,2,8
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,28,32,28,32,60
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,3,13,3,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,3,8,3,11
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,15,6,15,21
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,19,13,19,13,32
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,4,3,4,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,5,10,5,15
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,21,5,21,5,26
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,60,19,60,19,79
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,3,13,3,16
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,37,4,37,4,41
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,44,10,44,10,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,95,39,95,39,134
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,3,7,3,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,26,0,26,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,34,2,34,2,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,24,6,24,6,30
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,44,16,44,16,60
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,8,11,8,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,25,14,25,14,39
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,35,41,35,41,76
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,24,0,24,0,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,10,14,10,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,1,7,1,8
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,25,30,25,30,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,0,3,0,3
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,4,3,4,3,7
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,1,11,1,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,2,6,2,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,20,4,20,4,24
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,28,24,28,24,52
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1987,96,1987,96,2083
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,17,0,17,0,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,31,10,31,10,41
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,3,6,3,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,13,2,13,15
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,3,5,3,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,0,3,0,3,3
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,1,7,1,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,2,5,2,7
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,12,3,12,15
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,1,10,1,11
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,41,0,41,0,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,17,22,17,22,39
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,3,2,3,5
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,61,5,61,5,66
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,10,5,10,5,15
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,18,7,18,25
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,24,23,24,47
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,544,18,544,18,562
TACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,0,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,11,11,11,22
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,10,9,10,19
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,11,5,11,16
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,38,19,38,19,57
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,18,25,18,25,43
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,6,1,6,7
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,3,13,3,16
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,379,18,379,18,397
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,12,8,12,20
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,4,6,4,10
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,14,11,14,25
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,23,25,23,25,48
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,17,2,17,2,19
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,110,9,110,9,119
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,29,13,29,13,42
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,2,8,2,10
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,8,0,8,0,8
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,1,6,1,7
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,13,12,13,12,25
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,7,9,7,16
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,12,6,12,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,15,8,15,8,23
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,4,6,4,10
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,199,13,199,13,212
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,73,23,73,23,96
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,2,7,2,9
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,11,2,11,13
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,37,11,37,11,48
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,20,4,20,4,24
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,2,9,2,9,11
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,45,7,45,7,52
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,10,3,10,13
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,31,1,31,1,32
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,86,7,86,7,93
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,6,3,6,3,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,18,10,18,10,28
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,42,14,42,14,56
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,0,5,0,5
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,14,8,14,8,22
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,120,20,120,20,140
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,9,11,9,11,20
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,79,6,79,6,85
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,92,6,92,6,98
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,12,7,12,7,19
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,2,1,2,3
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,119,32,119,32,151
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,3,7,3,7,10
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,159,18,159,18,177
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,5,7,5,12
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,5,3,5,3,8
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,102,8,102,8,110
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,11,7,11,7,18
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,12,6,12,6,18
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,1,11,1,11,12
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-03-01,7,2,7,2,9
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,6,7,6,7,13
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,47,42,47,42,89
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,6,12,6,12,18
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,32,8,32,8,40
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,4,1,4,1,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,2,0,2,0,2
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,19,8,19,8,27
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,5,19,5,19,24
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,1,1,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,4,12,4,12,16
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,22,13,22,13,35
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,2,5,2,5,7
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,17,10,17,10,27
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-04-01,10,21,10,21,31
