,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,33,7,33,7,40
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,164,10,164,10,174
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,4,3,4,7
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,20,11,20,31
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,0,3,0,3
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,4,2,4,6
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,15,35,15,35,50
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,17,7,17,7,24
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,2,5,2,7
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,417,4,417,4,421
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,22,13,22,13,35
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,4,5,4,9
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,30,13,30,13,43
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,16,11,16,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,40,6,40,6,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,2,2,2,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,0,7,0,7
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,2,2,2,4
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,3,5,3,8
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,23,6,23,6,29
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,0,5,0,5
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,7,2,7,9
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,9,41,9,41,50
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,13,14,13,14,27
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,8,11,8,19
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,2,7,2,9
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,15,5,15,5,20
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,12,24,12,24,36
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,6,5,6,11
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,16,9,16,9,25
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,9,0,9,0,9
POSTRER VALLE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,347,7,347,7,354
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,10,3,10,13
PUCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,3,0,3,3
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,24,10,24,10,34
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,7,0,7,7
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,12,7,12,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,3,4,3,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,6,2,6,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,22,21,22,21,43
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,4,8,4,12
PUERTO SILES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,19,2,19,2,21
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,92,12,92,12,104
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,19,21,19,21,40
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,47,7,47,7,54
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,6,2,6,8
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,187,17,187,17,204
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,9,6,9,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,0,4,0,4
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,10,27,10,27,37
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,17,8,17,8,25
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,179,31,179,31,210
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,16,1,16,1,17
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,23,3,23,3,26
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,2,5,2,7
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,180,33,180,33,213
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,9,1,9,1,10
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,21,15,21,15,36
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,9,2,9,2,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,7,8,7,15
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,4,8,4,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,10,8,10,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,7,0,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,5,3,5,8
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,12,7,12,7,19
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,57,32,57,32,89
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,5,7,5,12
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,39,6,39,6,45
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,25,11,25,11,36
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,101,35,101,35,136
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,10,4,10,14
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,21,2,21,2,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,10,2,10,2,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,28,0,28,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,7,8,7,15
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,47,23,47,23,70
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,11,8,11,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,16,18,16,34
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,59,51,59,51,110
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,19,4,19,4,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,14,14,14,14,28
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,0,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,27,0,27,0,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,15,38,15,38,53
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,8,1,8,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,4,5,4,9
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,3,7,3,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,1,6,1,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,13,2,13,2,15
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,22,18,22,40
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1567,36,1567,36,1603
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,2,18,2,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,27,7,27,7,34
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,6,2,6,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,9,5,9,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,1,4,1,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,0,6,0,6,6
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,2,6,2,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,4,7,4,11
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,7,3,7,10
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,2,6,2,8
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,32,3,32,3,35
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,14,17,14,17,31
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,2,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,50,8,50,8,58
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,8,8,8,16
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,9,26,9,26,35
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,10,31,10,31,41
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,472,28,472,28,500
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,11,6,11,17
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,10,6,10,16
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,12,6,12,6,18
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,2,3,2,5
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,29,29,29,29,58
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,27,18,27,45
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,5,2,5,7
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,17,3,17,3,20
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,293,2,293,2,295
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,10,11,10,21
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,9,4,9,13
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,12,12,12,12,24
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,23,19,23,19,42
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,17,2,17,2,19
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,97,15,97,15,112
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,21,37,21,37,58
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,2,3,2,5
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,1,6,1,7
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,5,3,5,8
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,17,7,17,7,24
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,4,11,4,15
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,3,8,3,8,11
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,11,4,11,4,15
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,4,4,4,8
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,1,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,174,6,174,6,180
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,52,16,52,16,68
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,1,6,1,7
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,10,2,10,12
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,23,15,23,15,38
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,5,18,5,23
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,3,2,3,5
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,47,5,47,5,52
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,18,5,18,23
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,18,3,18,3,21
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,77,7,77,7,84
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,4,3,4,3,7
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,20,8,20,8,28
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,44,9,44,9,53
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,4,8,4,12
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,14,7,14,21
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,84,18,84,18,102
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,4,7,4,11
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,79,8,79,8,87
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,75,4,75,4,79
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,8,8,8,8,16
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,2,3,2,3,5
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,86,31,86,31,117
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,5,5,5,10
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,106,17,106,17,123
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,3,6,3,9
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,5,0,5,0,5
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,31,16,31,16,47
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,15,7,15,7,22
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,7,3,7,3,10
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,1,13,1,13,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-04-01,6,3,6,3,9
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,1,12,1,12,13
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,45,31,45,31,76
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,11,7,11,7,18
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,35,16,35,16,51
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,4,8,4,8,12
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,0,5,0,5,5
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,10,4,10,4,14
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,4,15,4,15,19
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,1,4,1,4,5
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,6,11,6,11,17
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,16,17,16,17,33
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,4,8,4,8,12
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,11,8,11,8,19
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,9,20,9,20,29
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,20,17,20,17,37
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,37,14,37,14,51
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,23,7,23,7,30
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,1,4,1,4,5
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,9,7,9,7,16
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,13,7,13,7,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,16,44,16,44,60
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,17,10,17,10,27
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,21,12,21,12,33
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,10,0,10,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,1,4,1,4,5
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,0,9,0,9,9
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,55,11,55,11,66
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,45,46,45,46,91
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,11,20,11,20,31
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-05-01,10,4,10,4,14
