,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES,TOTALES,TOTALES
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,5,13,5,18
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,0,5,0,5
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,17,1,17,1,18
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,8,9,8,17
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,4,5,4,9
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,20,2,20,2,22
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,10,10,10,20
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,1,3,1,4
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,297,10,297,10,307
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,12,5,12,17
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,2,0,2,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,31,7,31,7,38
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,10,1,10,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,7,7,7,7,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,4,3,4,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,11,5,11,5,16
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,8,2,8,2,10
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,2,1,2,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,25,2,25,2,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,85,8,85,8,93
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,6,24,6,24,30
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,54,1,54,1,55
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,10,1,10,11
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,170,8,170,8,178
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,6,4,6,10
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,7,17,7,17,24
REYES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,7,0,7,0,7
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,138,33,138,33,171
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,2,13,2,15
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,22,11,22,11,33
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,3,4,3,7
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,144,6,144,6,150
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,8,3,8,3,11
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,22,14,22,14,36
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,4,9,4,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,5,5,5,10
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,1,9,1,10
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,3,13,3,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,7,0,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,6,4,6,10
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,4,10,4,14
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,41,40,41,40,81
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,5,10,5,15
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,2,21,2,23
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,24,12,24,12,36
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,90,24,90,24,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,13,0,13,13
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,23,2,23,2,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,8,7,8,7,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,0,21,0,21
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,68,30,68,30,98
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,5,4,5,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,5,13,5,18
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,47,46,47,46,93
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,20,0,20,0,20
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,4,10,4,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,0,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,4,21,4,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,18,9,18,9,27
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,5,3,5,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,1,3,1,4
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,11,0,11,0,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,3,9,3,12
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,12,0,12,0,12
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,15,21,15,36
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1525,36,1525,36,1561
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,4,10,4,14
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,22,0,22,0,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,0,4,0,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,7,4,7,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,3,2,3,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,1,9,1,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,0,1,0,1
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,3,4,3,7
SENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,0,3,0,3
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,36,0,36,0,36
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,8,13,8,21
SICAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,3,4,3,7
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,51,4,51,4,55
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,6,9,6,15
SORACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,13,15,13,15,28
SORATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,12,17,12,17,29
SUCRE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,425,22,425,22,447
TACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,3,4,3,7
TACOBAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,3,9,3,12
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,11,7,11,7,18
TAHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,0,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,24,21,24,21,45
TARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,17,21,17,38
TARACO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,1,4,1,5
TARATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,15,0,15,0,15
TARIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,261,6,261,6,267
TARVITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,14,10,14,10,24
TEOPONTE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,8,3,8,11
TIAWANACU,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,8,7,8,7,15
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,21,8,21,8,29
TIPUANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,15,0,15,0,15
TIQUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,68,3,68,3,71
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,25,14,25,14,39
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,1,4,1,5
TOLATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,1,5,1,6
TOLEDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,1,4,1,5
TOMAVE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,7,1,7,1,8
TOMINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,5,10,5,15
TORO TORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,11,9,11,20
TOTORA(CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,26,7,26,7,33
TOTORA(ORR),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,3,1,3,1,4
TRIGAL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,1,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,179,16,179,16,195
TUPIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,63,12,63,12,75
TURCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,1,2,1,3
UMALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,4,5,4,9
UNCIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,20,10,20,10,30
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,10,2,10,2,12
URUBICHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,7,0,7,7
UYUNI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,32,0,32,0,32
VACAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,7,8,7,8,15
VALLEGRANDE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,17,3,17,3,20
VIACHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,58,3,58,3,61
VILA VILA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,6,4,6,4,10
VILLA CHARCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,24,8,24,8,32
VILLA MONTES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,53,12,53,12,65
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,5,0,5,0,5
VILLA SERRANO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,11,9,11,20
VILLA TUNARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,83,13,83,13,96
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,6,3,6,3,9
VILLAZON,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,74,6,74,6,80
VINTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,63,2,63,2,65
VITICHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,11,2,11,2,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,1,2,1,3
WARNES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,77,18,77,18,95
YACO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,0,10,0,10,10
YACUIBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,74,2,74,2,76
YAMPARAEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,3,9,3,12
YANACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,0,9,0,9
YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,77,1,77,1,78
YOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,6,9,6,9,15
YOTALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,9,6,9,6,15
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,2,7,2,7,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-02-01,4,3,4,3,7
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,5,9,5,9,14
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,46,34,46,34,80
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,4,3,4,3,7
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,36,12,36,12,48
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,4,7,4,7,11
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,2,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,15,5,15,5,20
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,18,13,18,31
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1,3,1,3,4
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,0,2,0,2
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,12,7,12,19
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,27,8,27,8,35
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,5,2,5,7
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,18,4,18,4,22
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,8,13,8,13,21
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,18,4,18,4,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,52,1,52,1,53
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,23,14,23,14,37
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,5,2,5,7
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,9,10,9,10,19
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,5,4,5,4,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,21,13,21,34
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,15,10,15,10,25
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,28,5,28,5,33
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,1,7,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,0,2,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,0,5,0,5,5
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,0,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,53,8,53,8,61
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,49,36,49,36,85
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,10,9,10,9,19
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,2,2,2,4
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,10,1,10,1,11
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,16,0,16,0,16
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,22,6,22,6,28
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,6,7,6,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,5,11,5,11,16
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,2,7,2,9
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,5,3,5,3,8
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,3,4,3,4,7
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,14,4,14,4,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,8,2,8,2,10
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,39,5,39,5,44
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,23,6,23,6,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,6,6,6,6,12
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,28,20,28,20,48
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,83,35,83,35,118
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,14,12,14,12,26
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,3,27,3,27,30
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,3,0,3,0,3
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,4,0,4,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,50,15,50,15,65
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,4,7,4,11
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,16,13,16,29
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,19,18,19,18,37
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,25,4,25,4,29
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,9,6,9,6,15
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,11,5,11,5,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,8,7,8,7,15
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,16,25,16,25,41
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,30,4,30,4,34
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,112,7,112,7,119
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,10,30,10,30,40
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1276,21,1276,21,1297
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,108,2,108,2,110
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,2,13,2,15
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,1,2,1,3
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,19,3,19,3,22
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,6,4,6,4,10
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,27,57,27,57,84
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,2,13,2,15
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,17,23,17,23,40
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1,0,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,26,5,26,5,31
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,23,3,23,3,26
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,14,6,14,6,20
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,27,1,27,1,28
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,9,7,9,7,16
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,13,4,13,4,17
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,6,4,6,4,10
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,28,19,28,19,47
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,89,3,89,3,92
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,16,15,16,15,31
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,7,3,7,3,10
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,10,11,10,11,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,6,0,6,0,6
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1,4,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,4,6,4,6,10
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,1544,30,1544,30,1574
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,3,8,3,8,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-03-01,14,0,14,0,14
