,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
TUPIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,58,21,58,21,79
TURCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,1,9,1,9,10
UMALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,0,9,0,9,9
UNCIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,4,19,4,19,23
URIONDO (A. CONCEPCION),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,11,0,11,0,11
URUBICHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,8,11,8,11,19
UYUNI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,86,82,86,82,168
VACAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,7,11,7,11,18
VALLEGRANDE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,23,46,23,46,69
VIACHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,82,13,82,13,95
VILA VILA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,3,5,3,5,8
VILLA CHARCAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,18,20,18,20,38
VILLA MONTES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,143,140,143,140,283
VILLA RIVERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,6,0,6,0,6
VILLA SERRANO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,4,3,4,3,7
VILLA TUNARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,70,381,70,381,451
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,6,2,6,2,8
VILLAZON,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,80,6,80,6,86
VINTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,21,33,21,33,54
VITICHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,4,4,4,4,8
WARNES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,98,56,98,56,154
YACO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,79,1,79,1,80
YACUIBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,55,53,55,53,108
YAMPARAEZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,11,1,11,1,12
YANACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,0,2,0,2,2
YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,27,90,27,90,117
YOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,3,35,3,35,38
YOTALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,3,1,3,1,4
YUNCHARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,0,12,0,12,12
ZUDAÑEZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-03-01,4,0,4,0,4
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,1,0,1,1
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,17,20,17,20,37
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,1,9,1,10
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,22,6,22,6,28
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,3,3,3,6
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,76,9,76,85
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,3,4,3,7
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,1,4,1,5
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,116,1,116,117
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,148,9,148,157
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,5,5,5,10
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,0,4,0,4
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,36,304,36,304,340
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,85,10,85,95
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,28,5,28,33
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,59,55,59,55,114
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,16,13,16,29
AUCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,4,3,4,7
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,2,9,2,11
AYO AYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,47,13,47,60
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,9,3,9,12
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,25,7,25,7,32
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,4,5,4,9
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,1,0,1,1
BELEN DE URMIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,31,3,31,3,34
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,25,32,25,32,57
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,8,7,8,7,15
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,2,1,2,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,47,137,47,137,184
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,65,13,65,78
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,3,0,3,3
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,35,3,35,3,38
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,0,2,0,2
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,9,4,9,13
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,0,5,0,5
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,8,1,8,9
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,0,2,0,2
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,100,152,100,152,252
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,16,10,16,10,26
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,2,5,2,7
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,23,3,23,26
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,54,64,54,64,118
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,12,43,12,43,55
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,10,1,10,11
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,6,0,6,0,6
CATACORA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,23,13,23,36
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,0,4,0,4
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,22,75,22,75,97
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,1,0,1,1
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,16,26,16,26,42
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,29,21,29,21,50
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,2,0,2,2
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,3,4,3,7
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,9,0,9,9
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,9,5,9,14
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,40,16,40,16,56
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,64,0,64,0,64
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,39,9,39,48
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,946,1469,946,1469,2415
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,64,26,64,26,90
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,17,16,17,16,33
COLLANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,22,2,22,2,24
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,6,54,6,54,60
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,23,26,23,26,49
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,0,7,0,7
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,87,9,87,96
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,0,2,0,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,16,7,16,7,23
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,25,0,25,0,25
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,140,0,140,140
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,12,0,12,0,12
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,10,9,10,19
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,16,5,16,21
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,4,4,4,8
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,22,29,22,29,51
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,37,132,37,132,169
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,20,0,20,0,20
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,3,0,3,3
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,9,2,9,11
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,17,10,17,10,27
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,1,1,1,2
CURVA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,1,3,1,4
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,11,0,11,0,11
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1238,1969,1238,1969,3207
EL CHORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,8,24,8,24,32
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,14,3,14,3,17
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,56,284,56,284,340
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,0,3,0,3
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,22,16,22,16,38
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,55,15,55,15,70
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,2,3,2,5
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,1,1,1,2
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,6,2,6,8
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,0,3,0,3
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,33,368,33,368,401
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,21,4,21,25
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,25,112,25,112,137
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,4,4,4,8
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,23,7,23,7,30
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,8,30,8,30,38
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,51,4,51,4,55
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,23,7,23,7,30
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,4,4,4,8
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,6,0,6,6
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,20,0,20,0,20
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
HUARINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,1,4,1,5
HUMANATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,3,1,3,4
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,2,0,2,2
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,14,2,14,16
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,7,3,7,10
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,9,9,9,18
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,9,7,9,16
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,55,0,55,55
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,41,171,41,171,212
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,113,486,113,486,599
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1379,1452,1379,1452,2831
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,20,1,20,21
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,21,487,21,487,508
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,3,2,3,5
LICOMA PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,5,7,5,12
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,14,20,14,20,34
LLICA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,10,0,10,10
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,7,10,7,17
LURIBAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,106,7,106,113
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,0,4,0,4
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,93,56,93,56,149
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,21,385,21,385,406
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,14,0,14,0,14
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,16,5,16,21
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,43,35,43,35,78
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,15,26,15,26,41
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,1,3,1,4
MOJINETE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,8,5,8,13
MOJOCOYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,5,7,5,12
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,38,10,38,10,48
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,161,432,161,432,593
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,35,1,35,36
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,2,7,2,9
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,9,7,9,16
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,6,23,6,23,29
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,17,107,17,107,124
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,1,7,1,8
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,286,11,286,11,297
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,8,10,8,18
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,30,10,30,40
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,5,10,5,15
PALCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,9,0,9,9
PALOS BLANCOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,21,41,21,41,62
PAMPA AULLAGAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,89,0,89,89
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,146,13,146,159
PASORAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,3,2,3,5
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,41,0,41,0,41
PAZÑA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,14,136,14,136,150
PELECHUCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,21,0,21,21
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,38,7,38,45
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,15,19,15,19,34
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,19,9,19,28
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,0,5,0,5
PORCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,3,13,3,16
POROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,10,1,10,11
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,33,2,33,35
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,25,100,25,100,125
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,0,3,0,3
POSTRER VALLE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,3,4,3,7
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,221,13,221,13,234
PRESTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,2,1,2,3
PUCARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,6,5,6,11
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,20,21,20,21,41
PUERTO ACOSTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,7,5,7,5,12
PUERTO CARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,8,3,8,11
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,0,6,0,6,6
PUERTO PEREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,1,123,1,123,124
PUERTO QUIJARRO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,144,10,144,154
PUERTO RICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,11,29,11,29,40
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,13,0,13,0,13
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,77,77,77,77,154
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,48,0,48,0,48
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,39,13,39,13,52
QUIABAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,1,3,1,4
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,48,129,48,129,177
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,2,0,2,0,2
QUIRUSILLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,10,0,10,0,10
RAVELO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,14,5,14,19
REYES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,36,25,36,25,61
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,196,232,196,232,428
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,11,9,11,20
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,45,10,45,10,55
SABAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,4,10,4,10,14
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,177,227,177,227,404
SACABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,5,1,5,1,6
SACACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,15,37,15,37,52
SAIPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,11,9,11,20
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,11,11,11,11,22
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,20,44,20,44,64
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,12,3,12,3,15
SAN ANDRES DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-04-01,9,4,9,4,13
